SearchBayesianSkopt: New best config found. Config 0: {'num_factors': 600, 'regularization': 0.0002854552694568681, 'learning_rate': 0.1, 'epochs': 400} - results: ROC_AUC: 0.0409282, PRECISION: 0.0064558, PRECISION_RECALL_MIN_DEN: 0.0215193, RECALL: 0.0215193, MAP: 0.0107598, MRR: 0.0298707, NDCG: 0.0182454, F1: 0.0099320, HIT_RATE: 0.0645580, ARHR: 0.0310457, RMSE: 1.3365888, NOVELTY: 0.0075052, AVERAGE_POPULARITY: 0.0804566, DIVERSITY_MEAN_INTER_LIST: 0.9967010, DIVERSITY_HERFINDAHL: 0.9996639, COVERAGE_ITEM: 0.5483644, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5354751, SHANNON_ENTROPY: 12.6642841, 
SearchBayesianSkopt: New best config found. Config 1: {'num_factors': 600, 'regularization': 0.0001981905057460794, 'learning_rate': 0.1, 'epochs': 400} - results: ROC_AUC: 0.0403194, PRECISION: 0.0062334, PRECISION_RECALL_MIN_DEN: 0.0207780, RECALL: 0.0207780, MAP: 0.0110653, MRR: 0.0304785, NDCG: 0.0182824, F1: 0.0095898, HIT_RATE: 0.0623340, ARHR: 0.0318107, RMSE: 1.4253196, NOVELTY: 0.0075107, AVERAGE_POPULARITY: 0.0789110, DIVERSITY_MEAN_INTER_LIST: 0.9966815, DIVERSITY_HERFINDAHL: 0.9996620, COVERAGE_ITEM: 0.5341984, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5368061, SHANNON_ENTROPY: 12.6279436, 
SearchBayesianSkopt: New best config found. Config 2: {'num_factors': 600, 'regularization': 0.0003920077942556069, 'learning_rate': 0.1, 'epochs': 400} - results: ROC_AUC: 0.0451213, PRECISION: 0.0069994, PRECISION_RECALL_MIN_DEN: 0.0233315, RECALL: 0.0233315, MAP: 0.0118063, MRR: 0.0329237, NDCG: 0.0199697, F1: 0.0107684, HIT_RATE: 0.0699944, ARHR: 0.0341465, RMSE: 1.2665402, NOVELTY: 0.0075073, AVERAGE_POPULARITY: 0.0810888, DIVERSITY_MEAN_INTER_LIST: 0.9968100, DIVERSITY_HERFINDAHL: 0.9996748, COVERAGE_ITEM: 0.5586915, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5302705, SHANNON_ENTROPY: 12.6773657, 
SearchBayesianSkopt: New best config found. Config 3: {'num_factors': 600, 'regularization': 0.019444413456626265, 'learning_rate': 0.1, 'epochs': 400} - results: ROC_AUC: 0.0817787, PRECISION: 0.0127880, PRECISION_RECALL_MIN_DEN: 0.0426268, RECALL: 0.0426268, MAP: 0.0208279, MRR: 0.0580574, NDCG: 0.0357175, F1: 0.0196739, HIT_RATE: 0.1278804, ARHR: 0.0602172, RMSE: 0.9280754, NOVELTY: 0.0065934, AVERAGE_POPULARITY: 0.1593872, DIVERSITY_MEAN_INTER_LIST: 0.9941821, DIVERSITY_HERFINDAHL: 0.9994121, COVERAGE_ITEM: 0.4475804, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2950295, SHANNON_ENTROPY: 11.5961208, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'num_factors': 600, 'regularization': 0.0007329412882148094, 'learning_rate': 0.1, 'epochs': 400} - results: ROC_AUC: 0.0496446, PRECISION: 0.0076358, PRECISION_RECALL_MIN_DEN: 0.0254525, RECALL: 0.0254525, MAP: 0.0130427, MRR: 0.0360741, NDCG: 0.0219075, F1: 0.0117473, HIT_RATE: 0.0763576, ARHR: 0.0375565, RMSE: 1.1576276, NOVELTY: 0.0074511, AVERAGE_POPULARITY: 0.0880365, DIVERSITY_MEAN_INTER_LIST: 0.9968452, DIVERSITY_HERFINDAHL: 0.9996784, COVERAGE_ITEM: 0.5806975, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5043030, SHANNON_ENTROPY: 12.6776989, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'num_factors': 600, 'regularization': 0.1, 'learning_rate': 0.1, 'epochs': 400} - results: ROC_AUC: 0.0236129, PRECISION: 0.0040897, PRECISION_RECALL_MIN_DEN: 0.0136323, RECALL: 0.0136323, MAP: 0.0052209, MRR: 0.0152228, NDCG: 0.0100111, F1: 0.0062918, HIT_RATE: 0.0408970, ARHR: 0.0154427, RMSE: 0.8993105, NOVELTY: 0.0072195, AVERAGE_POPULARITY: 0.0987778, DIVERSITY_MEAN_INTER_LIST: 0.9670840, DIVERSITY_HERFINDAHL: 0.9967024, COVERAGE_ITEM: 0.2790484, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1696571, SHANNON_ENTROPY: 9.8018198, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'num_factors': 600, 'regularization': 0.1, 'learning_rate': 0.1, 'epochs': 400} - results: ROC_AUC: 0.0223096, PRECISION: 0.0039909, PRECISION_RECALL_MIN_DEN: 0.0133029, RECALL: 0.0133029, MAP: 0.0050875, MRR: 0.0146980, NDCG: 0.0097236, F1: 0.0061398, HIT_RATE: 0.0399086, ARHR: 0.0149802, RMSE: 0.8952577, NOVELTY: 0.0073221, AVERAGE_POPULARITY: 0.0876788, DIVERSITY_MEAN_INTER_LIST: 0.9676742, DIVERSITY_HERFINDAHL: 0.9967614, COVERAGE_ITEM: 0.2737497, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1605869, SHANNON_ENTROPY: 9.7091142, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'num_factors': 600, 'regularization': 0.005575798189055335, 'learning_rate': 0.1, 'epochs': 400} - results: ROC_AUC: 0.0749860, PRECISION: 0.0115278, PRECISION_RECALL_MIN_DEN: 0.0384259, RECALL: 0.0384259, MAP: 0.0192024, MRR: 0.0536698, NDCG: 0.0326824, F1: 0.0177350, HIT_RATE: 0.1152777, ARHR: 0.0556080, RMSE: 0.9836741, NOVELTY: 0.0067875, AVERAGE_POPULARITY: 0.1424207, DIVERSITY_MEAN_INTER_LIST: 0.9963134, DIVERSITY_HERFINDAHL: 0.9996252, COVERAGE_ITEM: 0.5323601, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3519188, SHANNON_ENTROPY: 12.1285651, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'num_factors': 600, 'regularization': 0.005599147284661853, 'learning_rate': 0.1, 'epochs': 400} - results: ROC_AUC: 0.0762058, PRECISION: 0.0115648, PRECISION_RECALL_MIN_DEN: 0.0385495, RECALL: 0.0385495, MAP: 0.0195538, MRR: 0.0546424, NDCG: 0.0331045, F1: 0.0177921, HIT_RATE: 0.1156484, ARHR: 0.0566163, RMSE: 0.9848716, NOVELTY: 0.0067871, AVERAGE_POPULARITY: 0.1427786, DIVERSITY_MEAN_INTER_LIST: 0.9963448, DIVERSITY_HERFINDAHL: 0.9996283, COVERAGE_ITEM: 0.5326845, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3513893, SHANNON_ENTROPY: 12.1295990, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'num_factors': 600, 'regularization': 0.007133066661088178, 'learning_rate': 0.1, 'epochs': 400} - results: ROC_AUC: 0.0762118, PRECISION: 0.0118119, PRECISION_RECALL_MIN_DEN: 0.0393732, RECALL: 0.0393732, MAP: 0.0196893, MRR: 0.0548810, NDCG: 0.0334672, F1: 0.0181722, HIT_RATE: 0.1181195, ARHR: 0.0569371, RMSE: 0.9719696, NOVELTY: 0.0067239, AVERAGE_POPULARITY: 0.1474758, DIVERSITY_MEAN_INTER_LIST: 0.9959984, DIVERSITY_HERFINDAHL: 0.9995937, COVERAGE_ITEM: 0.5113815, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3392357, SHANNON_ENTROPY: 12.0192829, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'num_factors': 600, 'regularization': 0.0001, 'learning_rate': 0.1, 'epochs': 400} - results: ROC_AUC: 0.0374150, PRECISION: 0.0057330, PRECISION_RECALL_MIN_DEN: 0.0191100, RECALL: 0.0191100, MAP: 0.0095886, MRR: 0.0267951, NDCG: 0.0162916, F1: 0.0088200, HIT_RATE: 0.0573300, ARHR: 0.0277580, RMSE: 1.6514774, NOVELTY: 0.0075377, AVERAGE_POPULARITY: 0.0723104, DIVERSITY_MEAN_INTER_LIST: 0.9963027, DIVERSITY_HERFINDAHL: 0.9996241, COVERAGE_ITEM: 0.5179238, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5335625, SHANNON_ENTROPY: 12.5714013, 
