CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 863, 'shrink': 1516, 'normalize': False, 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.008456±0.0012, PRECISION: 0.001427±0.0001, PRECISION_RECALL_MIN_DEN: 0.014273±0.0014, RECALL: 0.014273±0.0014, MAP: 0.005581±0.0009, MRR: 0.005581±0.0009, NDCG: 0.007587±0.0010, F1: 0.002595±0.0003, HIT_RATE: 0.014273±0.0014, ARHR: 0.005581±0.0009, RMSE: 0.996344±0.0000, NOVELTY: 0.006173±0.0000, AVERAGE_POPULARITY: 0.063752±0.0003, DIVERSITY_MEAN_INTER_LIST: 0.994058±0.0000, DIVERSITY_HERFINDAHL: 0.999383±0.0000, COVERAGE_ITEM: 0.411008±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.368273±0.0004, SHANNON_ENTROPY: 11.692958±0.0022, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 929, 'shrink': 1525, 'normalize': False, 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.008311±0.0012, PRECISION: 0.001369±0.0001, PRECISION_RECALL_MIN_DEN: 0.013686±0.0014, RECALL: 0.013686±0.0014, MAP: 0.005425±0.0009, MRR: 0.005425±0.0009, NDCG: 0.007341±0.0010, F1: 0.002488±0.0003, HIT_RATE: 0.013686±0.0014, ARHR: 0.005425±0.0009, RMSE: 0.996332±0.0000, NOVELTY: 0.006214±0.0000, AVERAGE_POPULARITY: 0.063209±0.0003, DIVERSITY_MEAN_INTER_LIST: 0.993950±0.0000, DIVERSITY_HERFINDAHL: 0.999373±0.0000, COVERAGE_ITEM: 0.408986±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.367189±0.0005, SHANNON_ENTROPY: 11.676652±0.0040, 
CrossSearchBayesianSkopt: New best config found. Config 2: {'topK': 213, 'shrink': 110, 'normalize': False, 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.009023±0.0014, PRECISION: 0.001509±0.0002, PRECISION_RECALL_MIN_DEN: 0.015086±0.0021, RECALL: 0.015086±0.0021, MAP: 0.006073±0.0009, MRR: 0.006073±0.0009, NDCG: 0.008150±0.0012, F1: 0.002743±0.0004, HIT_RATE: 0.015086±0.0021, ARHR: 0.006073±0.0009, RMSE: 0.971643±0.0006, NOVELTY: 0.005555±0.0000, AVERAGE_POPULARITY: 0.068676±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.993009±0.0000, DIVERSITY_HERFINDAHL: 0.999278±0.0000, COVERAGE_ITEM: 0.475296±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.375441±0.0007, SHANNON_ENTROPY: 11.817045±0.0032, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 825, 'shrink': 1459, 'normalize': False, 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.008436±0.0012, PRECISION: 0.001364±0.0001, PRECISION_RECALL_MIN_DEN: 0.013640±0.0013, RECALL: 0.013640±0.0013, MAP: 0.005511±0.0009, MRR: 0.005511±0.0009, NDCG: 0.007399±0.0009, F1: 0.002480±0.0002, HIT_RATE: 0.013640±0.0013, ARHR: 0.005511±0.0009, RMSE: 0.996226±0.0000, NOVELTY: 0.006142±0.0000, AVERAGE_POPULARITY: 0.063841±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.994138±0.0000, DIVERSITY_HERFINDAHL: 0.999391±0.0000, COVERAGE_ITEM: 0.413052±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.369970±0.0008, SHANNON_ENTROPY: 11.708620±0.0035, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 347, 'shrink': 19, 'normalize': False, 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.007990±0.0012, PRECISION: 0.001305±0.0002, PRECISION_RECALL_MIN_DEN: 0.013053±0.0023, RECALL: 0.013053±0.0023, MAP: 0.005074±0.0006, MRR: 0.005074±0.0006, NDCG: 0.006931±0.0009, F1: 0.002373±0.0004, HIT_RATE: 0.013053±0.0023, ARHR: 0.005074±0.0006, RMSE: 0.714153±0.0106, NOVELTY: 0.006342±0.0000, AVERAGE_POPULARITY: 0.046042±0.0003, DIVERSITY_MEAN_INTER_LIST: 0.997014±0.0000, DIVERSITY_HERFINDAHL: 0.999679±0.0000, COVERAGE_ITEM: 0.579357±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.467083±0.0008, SHANNON_ENTROPY: 12.557993±0.0050, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 254, 'shrink': 1160, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.008376±0.0012, PRECISION: 0.001328±0.0002, PRECISION_RECALL_MIN_DEN: 0.013279±0.0021, RECALL: 0.013279±0.0021, MAP: 0.005517±0.0006, MRR: 0.005517±0.0006, NDCG: 0.007324±0.0009, F1: 0.002414±0.0004, HIT_RATE: 0.013279±0.0021, ARHR: 0.005517±0.0006, RMSE: 0.982776±0.0004, NOVELTY: 0.006317±0.0000, AVERAGE_POPULARITY: 0.046234±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.996752±0.0000, DIVERSITY_HERFINDAHL: 0.999653±0.0000, COVERAGE_ITEM: 0.591792±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.465393±0.0006, SHANNON_ENTROPY: 12.553488±0.0043, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 806, 'shrink': 739, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.007493±0.0011, PRECISION: 0.001256±0.0002, PRECISION_RECALL_MIN_DEN: 0.012556±0.0022, RECALL: 0.012556±0.0022, MAP: 0.004806±0.0007, MRR: 0.004806±0.0007, NDCG: 0.006597±0.0011, F1: 0.002283±0.0004, HIT_RATE: 0.012556±0.0022, ARHR: 0.004806±0.0007, RMSE: 0.957856±0.0005, NOVELTY: 0.006547±0.0000, AVERAGE_POPULARITY: 0.047267±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.996531±0.0000, DIVERSITY_HERFINDAHL: 0.999631±0.0000, COVERAGE_ITEM: 0.512701±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.430780±0.0009, SHANNON_ENTROPY: 12.278727±0.0048, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 818, 'shrink': 1570, 'normalize': False, 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.007598±0.0012, PRECISION: 0.001269±0.0002, PRECISION_RECALL_MIN_DEN: 0.012692±0.0020, RECALL: 0.012692±0.0020, MAP: 0.004849±0.0008, MRR: 0.004849±0.0008, NDCG: 0.006663±0.0011, F1: 0.002308±0.0004, HIT_RATE: 0.012692±0.0020, ARHR: 0.004849±0.0008, RMSE: 0.988767±0.0001, NOVELTY: 0.006589±0.0000, AVERAGE_POPULARITY: 0.047597±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.996516±0.0000, DIVERSITY_HERFINDAHL: 0.999629±0.0000, COVERAGE_ITEM: 0.513393±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.430585±0.0012, SHANNON_ENTROPY: 12.279135±0.0058, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 379, 'shrink': 696, 'normalize': True, 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.007864±0.0012, PRECISION: 0.001287±0.0002, PRECISION_RECALL_MIN_DEN: 0.012873±0.0022, RECALL: 0.012873±0.0022, MAP: 0.004957±0.0006, MRR: 0.004957±0.0006, NDCG: 0.006799±0.0009, F1: 0.002340±0.0004, HIT_RATE: 0.012873±0.0022, ARHR: 0.004957±0.0006, RMSE: 0.980228±0.0003, NOVELTY: 0.006262±0.0000, AVERAGE_POPULARITY: 0.045424±0.0002, DIVERSITY_MEAN_INTER_LIST: 0.996993±0.0000, DIVERSITY_HERFINDAHL: 0.999677±0.0000, COVERAGE_ITEM: 0.577302±0.0016, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.464963±0.0005, SHANNON_ENTROPY: 12.545962±0.0040, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 691, 'shrink': 258, 'normalize': False, 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.007678±0.0011, PRECISION: 0.001269±0.0002, PRECISION_RECALL_MIN_DEN: 0.012692±0.0019, RECALL: 0.012692±0.0019, MAP: 0.004843±0.0007, MRR: 0.004843±0.0007, NDCG: 0.006665±0.0010, F1: 0.002308±0.0003, HIT_RATE: 0.012692±0.0019, ARHR: 0.004843±0.0007, RMSE: 0.933609±0.0006, NOVELTY: 0.006500±0.0000, AVERAGE_POPULARITY: 0.047021±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.996707±0.0000, DIVERSITY_HERFINDAHL: 0.999648±0.0000, COVERAGE_ITEM: 0.522639±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.437085±0.0009, SHANNON_ENTROPY: 12.332437±0.0042, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 626, 'shrink': 824, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.007548±0.0012, PRECISION: 0.001265±0.0002, PRECISION_RECALL_MIN_DEN: 0.012647±0.0018, RECALL: 0.012647±0.0018, MAP: 0.004736±0.0008, MRR: 0.004736±0.0008, NDCG: 0.006571±0.0010, F1: 0.002299±0.0003, HIT_RATE: 0.012647±0.0018, ARHR: 0.004736±0.0008, RMSE: 0.963966±0.0005, NOVELTY: 0.006423±0.0000, AVERAGE_POPULARITY: 0.046293±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.996846±0.0000, DIVERSITY_HERFINDAHL: 0.999662±0.0000, COVERAGE_ITEM: 0.530176±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.444095±0.0004, SHANNON_ENTROPY: 12.379772±0.0047, 
