CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 685, 'shrink': 1042, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.12158226231975136, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.032265±0.0022, PRECISION: 0.005032±0.0003, PRECISION_RECALL_MIN_DEN: 0.050317±0.0034, RECALL: 0.050317±0.0034, MAP: 0.021688±0.0015, MRR: 0.021688±0.0015, NDCG: 0.028355±0.0017, F1: 0.009149±0.0006, HIT_RATE: 0.050317±0.0034, ARHR: 0.021688±0.0015, RMSE: 4.353474±0.0992, NOVELTY: 0.005074±0.0000, AVERAGE_POPULARITY: 0.721472±0.0037, DIVERSITY_MEAN_INTER_LIST: 0.780618±0.0007, DIVERSITY_HERFINDAHL: 0.978042±0.0001, COVERAGE_ITEM: 0.035491±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.116648±0.0009, SHANNON_ENTROPY: 6.414548±0.0036, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 307, 'shrink': 236, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.8625708102068028, 'feature_weighting': 'none'} - results: ROC_AUC: 0.030885±0.0021, PRECISION: 0.004880±0.0002, PRECISION_RECALL_MIN_DEN: 0.048795±0.0023, RECALL: 0.048795±0.0023, MAP: 0.021369±0.0014, MRR: 0.021369±0.0014, NDCG: 0.027719±0.0016, F1: 0.008872±0.0004, HIT_RATE: 0.048795±0.0023, ARHR: 0.021369±0.0014, RMSE: 0.908012±0.0020, NOVELTY: 0.005142±0.0000, AVERAGE_POPULARITY: 0.669007±0.0032, DIVERSITY_MEAN_INTER_LIST: 0.856724±0.0004, DIVERSITY_HERFINDAHL: 0.985651±0.0000, COVERAGE_ITEM: 0.046661±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.133489±0.0008, SHANNON_ENTROPY: 7.046292±0.0030, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 2640, 'shrink': 1213, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.2194726761714614, 'feature_weighting': 'none'} - results: ROC_AUC: 0.023761±0.0004, PRECISION: 0.003520±0.0002, PRECISION_RECALL_MIN_DEN: 0.035202±0.0018, RECALL: 0.035202±0.0018, MAP: 0.016713±0.0007, MRR: 0.016713±0.0007, NDCG: 0.021025±0.0007, F1: 0.006400±0.0003, HIT_RATE: 0.035202±0.0018, ARHR: 0.016713±0.0007, RMSE: 0.923060±0.0014, NOVELTY: 0.004910±0.0000, AVERAGE_POPULARITY: 0.834875±0.0043, DIVERSITY_MEAN_INTER_LIST: 0.529458±0.0014, DIVERSITY_HERFINDAHL: 0.952932±0.0001, COVERAGE_ITEM: 0.008262±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.148212±0.0036, SHANNON_ENTROPY: 4.857374±0.0020, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 1508, 'shrink': 1922, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.2895556480268204, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.031516±0.0020, PRECISION: 0.004991±0.0002, PRECISION_RECALL_MIN_DEN: 0.049911±0.0022, RECALL: 0.049911±0.0022, MAP: 0.021667±0.0013, MRR: 0.021667±0.0013, NDCG: 0.028203±0.0015, F1: 0.009075±0.0004, HIT_RATE: 0.049911±0.0022, ARHR: 0.021667±0.0013, RMSE: 1.762961±0.0335, NOVELTY: 0.004989±0.0000, AVERAGE_POPULARITY: 0.779594±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.690719±0.0008, DIVERSITY_HERFINDAHL: 0.969054±0.0001, COVERAGE_ITEM: 0.020308±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.117851±0.0012, SHANNON_ENTROPY: 5.731577±0.0035, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 266, 'shrink': 1708, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.003319035136825744, 'feature_weighting': 'none'} - results: ROC_AUC: 0.030603±0.0015, PRECISION: 0.004732±0.0001, PRECISION_RECALL_MIN_DEN: 0.047324±0.0015, RECALL: 0.047324±0.0015, MAP: 0.021239±0.0009, MRR: 0.021239±0.0009, NDCG: 0.027296±0.0010, F1: 0.008604±0.0003, HIT_RATE: 0.047324±0.0015, ARHR: 0.021239±0.0009, RMSE: 0.984450±0.0006, NOVELTY: 0.005167±0.0000, AVERAGE_POPULARITY: 0.653973±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.869011±0.0007, DIVERSITY_HERFINDAHL: 0.986879±0.0001, COVERAGE_ITEM: 0.052468±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.135250±0.0007, SHANNON_ENTROPY: 7.213057±0.0066, 
CrossSearchBayesianSkopt: New best config found. Config 5: {'topK': 645, 'shrink': 283, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.1402871268997194, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.036453±0.0026, PRECISION: 0.005640±0.0004, PRECISION_RECALL_MIN_DEN: 0.056404±0.0039, RECALL: 0.056404±0.0039, MAP: 0.024432±0.0013, MRR: 0.024432±0.0013, NDCG: 0.031886±0.0019, F1: 0.010255±0.0007, HIT_RATE: 0.056404±0.0039, ARHR: 0.024432±0.0013, RMSE: 0.887658±0.0053, NOVELTY: 0.005290±0.0000, AVERAGE_POPULARITY: 0.607871±0.0030, DIVERSITY_MEAN_INTER_LIST: 0.886559±0.0016, DIVERSITY_HERFINDAHL: 0.988633±0.0002, COVERAGE_ITEM: 0.067770±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.151269±0.0018, SHANNON_ENTROPY: 7.625146±0.0133, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1562, 'shrink': 56, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.3801042553593966, 'feature_weighting': 'none'} - results: ROC_AUC: 0.028895±0.0015, PRECISION: 0.004464±0.0002, PRECISION_RECALL_MIN_DEN: 0.044636±0.0022, RECALL: 0.044636±0.0022, MAP: 0.020224±0.0013, MRR: 0.020224±0.0013, NDCG: 0.025887±0.0015, F1: 0.008116±0.0004, HIT_RATE: 0.044636±0.0022, ARHR: 0.020224±0.0013, RMSE: 0.800237±0.0081, NOVELTY: 0.004985±0.0000, AVERAGE_POPULARITY: 0.774767±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.702686±0.0009, DIVERSITY_HERFINDAHL: 0.970251±0.0001, COVERAGE_ITEM: 0.017918±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.129673±0.0009, SHANNON_ENTROPY: 5.747910±0.0020, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 304, 'shrink': 276, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.777327875453411, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.035241±0.0020, PRECISION: 0.005498±0.0003, PRECISION_RECALL_MIN_DEN: 0.054984±0.0027, RECALL: 0.054984±0.0027, MAP: 0.023758±0.0013, MRR: 0.023758±0.0013, NDCG: 0.031027±0.0015, F1: 0.009997±0.0005, HIT_RATE: 0.054984±0.0027, ARHR: 0.023758±0.0013, RMSE: 1.406627±0.0330, NOVELTY: 0.005224±0.0000, AVERAGE_POPULARITY: 0.640743±0.0023, DIVERSITY_MEAN_INTER_LIST: 0.873024±0.0010, DIVERSITY_HERFINDAHL: 0.987280±0.0001, COVERAGE_ITEM: 0.064147±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.135533±0.0012, SHANNON_ENTROPY: 7.375638±0.0109, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 256, 'shrink': 224, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.149550237022747, 'feature_weighting': 'none'} - results: ROC_AUC: 0.031612±0.0021, PRECISION: 0.004905±0.0002, PRECISION_RECALL_MIN_DEN: 0.049049±0.0018, RECALL: 0.049049±0.0018, MAP: 0.021591±0.0015, MRR: 0.021591±0.0015, NDCG: 0.027976±0.0015, F1: 0.008918±0.0003, HIT_RATE: 0.049049±0.0018, ARHR: 0.021591±0.0015, RMSE: 0.924877±0.0017, NOVELTY: 0.005221±0.0000, AVERAGE_POPULARITY: 0.628484±0.0029, DIVERSITY_MEAN_INTER_LIST: 0.883875±0.0008, DIVERSITY_HERFINDAHL: 0.988365±0.0001, COVERAGE_ITEM: 0.069521±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.135921±0.0004, SHANNON_ENTROPY: 7.521482±0.0107, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 748, 'shrink': 592, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.9088612777076475, 'feature_weighting': 'none'} - results: ROC_AUC: 0.029357±0.0017, PRECISION: 0.004459±0.0003, PRECISION_RECALL_MIN_DEN: 0.044585±0.0029, RECALL: 0.044585±0.0029, MAP: 0.020365±0.0013, MRR: 0.020365±0.0013, NDCG: 0.026009±0.0015, F1: 0.008106±0.0005, HIT_RATE: 0.044585±0.0029, ARHR: 0.020365±0.0013, RMSE: 0.920170±0.0019, NOVELTY: 0.005017±0.0000, AVERAGE_POPULARITY: 0.751330±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.756444±0.0013, DIVERSITY_HERFINDAHL: 0.975625±0.0001, COVERAGE_ITEM: 0.023779±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.124481±0.0013, SHANNON_ENTROPY: 6.074936±0.0048, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 549, 'shrink': 1519, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.059199851024852826, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.032372±0.0017, PRECISION: 0.005001±0.0003, PRECISION_RECALL_MIN_DEN: 0.050013±0.0033, RECALL: 0.050013±0.0033, MAP: 0.021988±0.0014, MRR: 0.021988±0.0014, NDCG: 0.028514±0.0017, F1: 0.009093±0.0006, HIT_RATE: 0.050013±0.0033, ARHR: 0.021988±0.0014, RMSE: 0.866008±0.0092, NOVELTY: 0.005186±0.0000, AVERAGE_POPULARITY: 0.657194±0.0031, DIVERSITY_MEAN_INTER_LIST: 0.849519±0.0006, DIVERSITY_HERFINDAHL: 0.984930±0.0001, COVERAGE_ITEM: 0.058416±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.123353±0.0005, SHANNON_ENTROPY: 7.123599±0.0048, 
