CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 1069, 'shrink': 1779, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.033161±0.0025, PRECISION: 0.005133±0.0003, PRECISION_RECALL_MIN_DEN: 0.051331±0.0029, RECALL: 0.051331±0.0029, MAP: 0.022657±0.0013, MRR: 0.022657±0.0013, NDCG: 0.029322±0.0016, F1: 0.009333±0.0005, HIT_RATE: 0.051331±0.0029, ARHR: 0.022657±0.0013, RMSE: 1.260845±0.0225, NOVELTY: 0.005042±0.0000, AVERAGE_POPULARITY: 0.743291±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.755521±0.0009, DIVERSITY_HERFINDAHL: 0.975533±0.0001, COVERAGE_ITEM: 0.028505±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.118611±0.0008, SHANNON_ENTROPY: 6.174593±0.0051, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 2553, 'shrink': 531, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.026381±0.0011, PRECISION: 0.004038±0.0002, PRECISION_RECALL_MIN_DEN: 0.040375±0.0017, RECALL: 0.040375±0.0017, MAP: 0.018508±0.0010, MRR: 0.018508±0.0010, NDCG: 0.023587±0.0011, F1: 0.007341±0.0003, HIT_RATE: 0.040375±0.0017, ARHR: 0.018508±0.0010, RMSE: 0.874922±0.0021, NOVELTY: 0.004944±0.0000, AVERAGE_POPULARITY: 0.806565±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.623198±0.0009, DIVERSITY_HERFINDAHL: 0.962304±0.0001, COVERAGE_ITEM: 0.012360±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.133622±0.0015, SHANNON_ENTROPY: 5.286219±0.0019, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 2812, 'shrink': 991, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.026105±0.0008, PRECISION: 0.003967±0.0001, PRECISION_RECALL_MIN_DEN: 0.039665±0.0014, RECALL: 0.039665±0.0014, MAP: 0.018213±0.0010, MRR: 0.018213±0.0010, NDCG: 0.023204±0.0010, F1: 0.007212±0.0002, HIT_RATE: 0.039665±0.0014, ARHR: 0.018213±0.0010, RMSE: 0.922805±0.0014, NOVELTY: 0.004938±0.0000, AVERAGE_POPULARITY: 0.810866±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.610840±0.0012, DIVERSITY_HERFINDAHL: 0.961068±0.0001, COVERAGE_ITEM: 0.011549±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.135745±0.0019, SHANNON_ENTROPY: 5.214578±0.0044, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 2893, 'shrink': 1165, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.029594±0.0017, PRECISION: 0.004601±0.0001, PRECISION_RECALL_MIN_DEN: 0.046006±0.0015, RECALL: 0.046006±0.0015, MAP: 0.020777±0.0007, MRR: 0.020777±0.0007, NDCG: 0.026624±0.0009, F1: 0.008365±0.0003, HIT_RATE: 0.046006±0.0015, ARHR: 0.020777±0.0007, RMSE: 2.469797±0.0391, NOVELTY: 0.004969±0.0000, AVERAGE_POPULARITY: 0.791688±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.658139±0.0011, DIVERSITY_HERFINDAHL: 0.965797±0.0001, COVERAGE_ITEM: 0.016707±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.120260±0.0021, SHANNON_ENTROPY: 5.516168±0.0040, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 1536, 'shrink': 74, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.028895±0.0015, PRECISION: 0.004494±0.0002, PRECISION_RECALL_MIN_DEN: 0.044940±0.0021, RECALL: 0.044940±0.0021, MAP: 0.020405±0.0013, MRR: 0.020405±0.0013, NDCG: 0.026088±0.0015, F1: 0.008171±0.0004, HIT_RATE: 0.044940±0.0021, ARHR: 0.020405±0.0013, RMSE: 0.794560±0.0067, NOVELTY: 0.004986±0.0000, AVERAGE_POPULARITY: 0.774267±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.703174±0.0006, DIVERSITY_HERFINDAHL: 0.970300±0.0001, COVERAGE_ITEM: 0.018178±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.128734±0.0010, SHANNON_ENTROPY: 5.755131±0.0023, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 2670, 'shrink': 113, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.026613±0.0014, PRECISION: 0.004180±0.0002, PRECISION_RECALL_MIN_DEN: 0.041796±0.0023, RECALL: 0.041796±0.0023, MAP: 0.018651±0.0007, MRR: 0.018651±0.0007, NDCG: 0.024011±0.0010, F1: 0.007599±0.0004, HIT_RATE: 0.041796±0.0023, ARHR: 0.018651±0.0007, RMSE: 81.444425±1.2361, NOVELTY: 0.004955±0.0000, AVERAGE_POPULARITY: 0.799193±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.608118±0.0012, DIVERSITY_HERFINDAHL: 0.960796±0.0001, COVERAGE_ITEM: 0.014588±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.116460±0.0014, SHANNON_ENTROPY: 5.282650±0.0044, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 661, 'shrink': 1217, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.029814±0.0016, PRECISION: 0.004636±0.0002, PRECISION_RECALL_MIN_DEN: 0.046361±0.0025, RECALL: 0.046361±0.0025, MAP: 0.020813±0.0011, MRR: 0.020813±0.0011, NDCG: 0.026738±0.0014, F1: 0.008429±0.0005, HIT_RATE: 0.046361±0.0025, ARHR: 0.020813±0.0011, RMSE: 0.967971±0.0009, NOVELTY: 0.005055±0.0000, AVERAGE_POPULARITY: 0.725246±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.786772±0.0013, DIVERSITY_HERFINDAHL: 0.978657±0.0001, COVERAGE_ITEM: 0.031057±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.121238±0.0012, SHANNON_ENTROPY: 6.371283±0.0076, 
CrossSearchBayesianSkopt: New best config found. Config 7: {'topK': 1532, 'shrink': 1778, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.037574±0.0019, PRECISION: 0.005803±0.0002, PRECISION_RECALL_MIN_DEN: 0.058027±0.0019, RECALL: 0.058027±0.0019, MAP: 0.025345±0.0013, MRR: 0.025345±0.0013, NDCG: 0.032958±0.0013, F1: 0.010550±0.0003, HIT_RATE: 0.058027±0.0019, ARHR: 0.025345±0.0013, RMSE: 0.712128±0.0045, NOVELTY: 0.005110±0.0000, AVERAGE_POPULARITY: 0.702635±0.0029, DIVERSITY_MEAN_INTER_LIST: 0.807391±0.0017, DIVERSITY_HERFINDAHL: 0.980719±0.0002, COVERAGE_ITEM: 0.031284±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.143536±0.0011, SHANNON_ENTROPY: 6.593847±0.0098, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 952, 'shrink': 1127, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.028653±0.0016, PRECISION: 0.004469±0.0002, PRECISION_RECALL_MIN_DEN: 0.044687±0.0024, RECALL: 0.044687±0.0024, MAP: 0.019835±0.0014, MRR: 0.019835±0.0014, NDCG: 0.025599±0.0015, F1: 0.008125±0.0004, HIT_RATE: 0.044687±0.0024, ARHR: 0.019835±0.0014, RMSE: 0.949593±0.0012, NOVELTY: 0.004992±0.0000, AVERAGE_POPULARITY: 0.769295±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.723191±0.0014, DIVERSITY_HERFINDAHL: 0.972301±0.0001, COVERAGE_ITEM: 0.019919±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.124645±0.0017, SHANNON_ENTROPY: 5.840109±0.0052, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 2429, 'shrink': 300, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.035602±0.0019, PRECISION: 0.005478±0.0002, PRECISION_RECALL_MIN_DEN: 0.054781±0.0019, RECALL: 0.054781±0.0019, MAP: 0.023851±0.0011, MRR: 0.023851±0.0011, NDCG: 0.031066±0.0013, F1: 0.009960±0.0003, HIT_RATE: 0.054781±0.0019, ARHR: 0.023851±0.0011, RMSE: 4.993432±0.0737, NOVELTY: 0.005041±0.0000, AVERAGE_POPULARITY: 0.743878±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.754099±0.0017, DIVERSITY_HERFINDAHL: 0.975391±0.0002, COVERAGE_ITEM: 0.023585±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.132573±0.0013, SHANNON_ENTROPY: 6.127515±0.0085, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 2562, 'shrink': 1035, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.026770±0.0014, PRECISION: 0.004210±0.0002, PRECISION_RECALL_MIN_DEN: 0.042100±0.0020, RECALL: 0.042100±0.0020, MAP: 0.018647±0.0007, MRR: 0.018647±0.0007, NDCG: 0.024083±0.0010, F1: 0.007655±0.0004, HIT_RATE: 0.042100±0.0020, ARHR: 0.018647±0.0007, RMSE: 8.059237±0.1326, NOVELTY: 0.004957±0.0000, AVERAGE_POPULARITY: 0.797769±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.613429±0.0009, DIVERSITY_HERFINDAHL: 0.961327±0.0001, COVERAGE_ITEM: 0.015096±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.115054±0.0011, SHANNON_ENTROPY: 5.310302±0.0041, 
CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 1505, 'shrink': 619, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.029481±0.0021, PRECISION: 0.004585±0.0003, PRECISION_RECALL_MIN_DEN: 0.045853±0.0029, RECALL: 0.045853±0.0029, MAP: 0.020489±0.0014, MRR: 0.020489±0.0014, NDCG: 0.026371±0.0017, F1: 0.008337±0.0005, HIT_RATE: 0.045853±0.0029, ARHR: 0.020489±0.0014, RMSE: 11.425742±0.2042, NOVELTY: 0.004991±0.0000, AVERAGE_POPULARITY: 0.774199±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.682890±0.0008, DIVERSITY_HERFINDAHL: 0.968272±0.0001, COVERAGE_ITEM: 0.021292±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.110729±0.0010, SHANNON_ENTROPY: 5.701051±0.0031, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 757, 'shrink': 1918, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.032029±0.0023, PRECISION: 0.004915±0.0003, PRECISION_RECALL_MIN_DEN: 0.049150±0.0033, RECALL: 0.049150±0.0033, MAP: 0.021446±0.0016, MRR: 0.021446±0.0016, NDCG: 0.027915±0.0018, F1: 0.008936±0.0006, HIT_RATE: 0.049150±0.0033, ARHR: 0.021446±0.0016, RMSE: 2.354758±0.0524, NOVELTY: 0.005060±0.0000, AVERAGE_POPULARITY: 0.729650±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.768614±0.0005, DIVERSITY_HERFINDAHL: 0.976842±0.0001, COVERAGE_ITEM: 0.032798±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.116294±0.0005, SHANNON_ENTROPY: 6.311810±0.0065, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 1664, 'shrink': 141, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.028737±0.0021, PRECISION: 0.004489±0.0002, PRECISION_RECALL_MIN_DEN: 0.044890±0.0024, RECALL: 0.044890±0.0024, MAP: 0.019919±0.0010, MRR: 0.019919±0.0010, NDCG: 0.025707±0.0013, F1: 0.008162±0.0004, HIT_RATE: 0.044890±0.0024, ARHR: 0.019919±0.0010, RMSE: 55.165489±0.9205, NOVELTY: 0.004983±0.0000, AVERAGE_POPULARITY: 0.779450±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.669317±0.0009, DIVERSITY_HERFINDAHL: 0.966915±0.0001, COVERAGE_ITEM: 0.019800±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.111539±0.0011, SHANNON_ENTROPY: 5.618702±0.0052, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 239, 'shrink': 709, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.031961±0.0015, PRECISION: 0.004915±0.0002, PRECISION_RECALL_MIN_DEN: 0.049150±0.0018, RECALL: 0.049150±0.0018, MAP: 0.021916±0.0012, MRR: 0.021916±0.0012, NDCG: 0.028260±0.0012, F1: 0.008936±0.0003, HIT_RATE: 0.049150±0.0018, ARHR: 0.021916±0.0012, RMSE: 3.489322±0.1020, NOVELTY: 0.005280±0.0000, AVERAGE_POPULARITY: 0.610655±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.889267±0.0004, DIVERSITY_HERFINDAHL: 0.988904±0.0000, COVERAGE_ITEM: 0.086358±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.135683±0.0004, SHANNON_ENTROPY: 7.707061±0.0042, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 1867, 'shrink': 1074, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.027373±0.0014, PRECISION: 0.004261±0.0002, PRECISION_RECALL_MIN_DEN: 0.042607±0.0021, RECALL: 0.042607±0.0021, MAP: 0.019107±0.0011, MRR: 0.019107±0.0011, NDCG: 0.024552±0.0013, F1: 0.007747±0.0004, HIT_RATE: 0.042607±0.0021, ARHR: 0.019107±0.0011, RMSE: 0.939880±0.0012, NOVELTY: 0.004966±0.0000, AVERAGE_POPULARITY: 0.789268±0.0043, DIVERSITY_MEAN_INTER_LIST: 0.663809±0.0009, DIVERSITY_HERFINDAHL: 0.966364±0.0001, COVERAGE_ITEM: 0.015723±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.125874±0.0014, SHANNON_ENTROPY: 5.524671±0.0042, 
