CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 522, 'shrink': 1721, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.030428±0.0021, PRECISION: 0.004743±0.0003, PRECISION_RECALL_MIN_DEN: 0.047426±0.0034, RECALL: 0.047426±0.0034, MAP: 0.020820±0.0014, MRR: 0.020820±0.0014, NDCG: 0.027000±0.0018, F1: 0.008623±0.0006, HIT_RATE: 0.047426±0.0034, ARHR: 0.020820±0.0014, RMSE: 0.980734±0.0006, NOVELTY: 0.005081±0.0000, AVERAGE_POPULARITY: 0.707961±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.809394±0.0005, DIVERSITY_HERFINDAHL: 0.980919±0.0001, COVERAGE_ITEM: 0.035685±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.123635±0.0007, SHANNON_ENTROPY: 6.580857±0.0022, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 246, 'shrink': 1579, 'normalize': True, 'similarity': 'dice'} - results: ROC_AUC: 0.030197±0.0020, PRECISION: 0.004672±0.0003, PRECISION_RECALL_MIN_DEN: 0.046716±0.0031, RECALL: 0.046716±0.0031, MAP: 0.020372±0.0011, MRR: 0.020372±0.0011, NDCG: 0.026509±0.0015, F1: 0.008494±0.0006, HIT_RATE: 0.046716±0.0031, ARHR: 0.020372±0.0011, RMSE: 0.986950±0.0005, NOVELTY: 0.005187±0.0000, AVERAGE_POPULARITY: 0.642629±0.0030, DIVERSITY_MEAN_INTER_LIST: 0.875173±0.0005, DIVERSITY_HERFINDAHL: 0.987495±0.0001, COVERAGE_ITEM: 0.057745±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.134807±0.0009, SHANNON_ENTROPY: 7.323169±0.0064, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 1675, 'shrink': 933, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.027976±0.0015, PRECISION: 0.004347±0.0002, PRECISION_RECALL_MIN_DEN: 0.043469±0.0019, RECALL: 0.043469±0.0019, MAP: 0.019642±0.0012, MRR: 0.019642±0.0012, NDCG: 0.025161±0.0013, F1: 0.007904±0.0003, HIT_RATE: 0.043469±0.0019, ARHR: 0.019642±0.0012, RMSE: 0.939391±0.0013, NOVELTY: 0.004975±0.0000, AVERAGE_POPULARITY: 0.782221±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.679592±0.0008, DIVERSITY_HERFINDAHL: 0.967942±0.0001, COVERAGE_ITEM: 0.016956±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.125639±0.0010, SHANNON_ENTROPY: 5.622567±0.0019, 
CrossSearchBayesianSkopt: New best config found. Config 3: {'topK': 378, 'shrink': 1105, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.030710±0.0023, PRECISION: 0.004768±0.0003, PRECISION_RECALL_MIN_DEN: 0.047679±0.0025, RECALL: 0.047679±0.0025, MAP: 0.020976±0.0015, MRR: 0.020976±0.0015, NDCG: 0.027188±0.0016, F1: 0.008669±0.0005, HIT_RATE: 0.047679±0.0025, ARHR: 0.020976±0.0015, RMSE: 0.976411±0.0008, NOVELTY: 0.005120±0.0000, AVERAGE_POPULARITY: 0.683799±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.836610±0.0004, DIVERSITY_HERFINDAHL: 0.983640±0.0000, COVERAGE_ITEM: 0.043698±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.126694±0.0007, SHANNON_ENTROPY: 6.872419±0.0042, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 112, 'shrink': 292, 'normalize': True, 'similarity': 'dice'} - results: ROC_AUC: 0.027734±0.0032, PRECISION: 0.004251±0.0004, PRECISION_RECALL_MIN_DEN: 0.042506±0.0041, RECALL: 0.042506±0.0041, MAP: 0.018880±0.0022, MRR: 0.018880±0.0022, NDCG: 0.024388±0.0026, F1: 0.007728±0.0008, HIT_RATE: 0.042506±0.0041, ARHR: 0.018880±0.0022, RMSE: 0.970862±0.0009, NOVELTY: 0.005342±0.0000, AVERAGE_POPULARITY: 0.560250±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.925505±0.0004, DIVERSITY_HERFINDAHL: 0.992527±0.0000, COVERAGE_ITEM: 0.095723±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.155794±0.0006, SHANNON_ENTROPY: 8.189759±0.0129, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 2232, 'shrink': 1135, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.026923±0.0012, PRECISION: 0.004109±0.0002, PRECISION_RECALL_MIN_DEN: 0.041085±0.0020, RECALL: 0.041085±0.0020, MAP: 0.018921±0.0011, MRR: 0.018921±0.0011, NDCG: 0.024070±0.0013, F1: 0.007470±0.0004, HIT_RATE: 0.041085±0.0020, ARHR: 0.018921±0.0011, RMSE: 0.941894±0.0012, NOVELTY: 0.004953±0.0000, AVERAGE_POPULARITY: 0.799155±0.0043, DIVERSITY_MEAN_INTER_LIST: 0.641022±0.0007, DIVERSITY_HERFINDAHL: 0.964086±0.0001, COVERAGE_ITEM: 0.014101±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.127420±0.0012, SHANNON_ENTROPY: 5.395942±0.0044, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 2259, 'shrink': 1838, 'normalize': True, 'similarity': 'dice'} - results: ROC_AUC: 0.026889±0.0014, PRECISION: 0.004098±0.0002, PRECISION_RECALL_MIN_DEN: 0.040984±0.0017, RECALL: 0.040984±0.0017, MAP: 0.018779±0.0011, MRR: 0.018779±0.0011, NDCG: 0.023942±0.0013, F1: 0.007452±0.0003, HIT_RATE: 0.040984±0.0017, ARHR: 0.018779±0.0011, RMSE: 0.962229±0.0008, NOVELTY: 0.004952±0.0000, AVERAGE_POPULARITY: 0.800021±0.0043, DIVERSITY_MEAN_INTER_LIST: 0.638421±0.0006, DIVERSITY_HERFINDAHL: 0.963826±0.0001, COVERAGE_ITEM: 0.013971±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.127114±0.0012, SHANNON_ENTROPY: 5.380066±0.0041, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 815, 'shrink': 1197, 'normalize': True, 'similarity': 'dice'} - results: ROC_AUC: 0.029842±0.0018, PRECISION: 0.004666±0.0003, PRECISION_RECALL_MIN_DEN: 0.046665±0.0031, RECALL: 0.046665±0.0031, MAP: 0.020781±0.0013, MRR: 0.020781±0.0013, NDCG: 0.026781±0.0016, F1: 0.008485±0.0006, HIT_RATE: 0.046665±0.0031, ARHR: 0.020781±0.0013, RMSE: 0.965534±0.0009, NOVELTY: 0.005035±0.0000, AVERAGE_POPULARITY: 0.739386±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.765505±0.0012, DIVERSITY_HERFINDAHL: 0.976531±0.0001, COVERAGE_ITEM: 0.027024±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.121482±0.0009, SHANNON_ENTROPY: 6.195472±0.0055, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 2299, 'shrink': 124, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.027745±0.0012, PRECISION: 0.004261±0.0002, PRECISION_RECALL_MIN_DEN: 0.042607±0.0020, RECALL: 0.042607±0.0020, MAP: 0.019376±0.0011, MRR: 0.019376±0.0011, NDCG: 0.024771±0.0013, F1: 0.007747±0.0004, HIT_RATE: 0.042607±0.0020, ARHR: 0.019376±0.0011, RMSE: 0.783064±0.0032, NOVELTY: 0.004955±0.0000, AVERAGE_POPULARITY: 0.798807±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.650829±0.0008, DIVERSITY_HERFINDAHL: 0.965066±0.0001, COVERAGE_ITEM: 0.014090±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.131173±0.0016, SHANNON_ENTROPY: 5.440317±0.0059, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 1678, 'shrink': 1079, 'normalize': True, 'similarity': 'dice'} - results: ROC_AUC: 0.027909±0.0015, PRECISION: 0.004347±0.0002, PRECISION_RECALL_MIN_DEN: 0.043469±0.0020, RECALL: 0.043469±0.0020, MAP: 0.019627±0.0012, MRR: 0.019627±0.0012, NDCG: 0.025148±0.0014, F1: 0.007904±0.0004, HIT_RATE: 0.043469±0.0020, ARHR: 0.019627±0.0012, RMSE: 0.946470±0.0012, NOVELTY: 0.004975±0.0000, AVERAGE_POPULARITY: 0.782423±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.678870±0.0008, DIVERSITY_HERFINDAHL: 0.967870±0.0001, COVERAGE_ITEM: 0.016945±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.125353±0.0008, SHANNON_ENTROPY: 5.618603±0.0025, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 2932, 'shrink': 613, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.025948±0.0006, PRECISION: 0.003931±0.0002, PRECISION_RECALL_MIN_DEN: 0.039310±0.0016, RECALL: 0.039310±0.0016, MAP: 0.017973±0.0008, MRR: 0.017973±0.0008, NDCG: 0.022944±0.0009, F1: 0.007147±0.0003, HIT_RATE: 0.039310±0.0016, ARHR: 0.017973±0.0008, RMSE: 0.891739±0.0018, NOVELTY: 0.004937±0.0000, AVERAGE_POPULARITY: 0.812559±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.608414±0.0012, DIVERSITY_HERFINDAHL: 0.960826±0.0001, COVERAGE_ITEM: 0.011365±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.136859±0.0028, SHANNON_ENTROPY: 5.204064±0.0035, 
