CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 627, 'shrink': 627, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.030445±0.0018, PRECISION: 0.004672±0.0003, PRECISION_RECALL_MIN_DEN: 0.046716±0.0032, RECALL: 0.046716±0.0032, MAP: 0.021080±0.0012, MRR: 0.021080±0.0012, NDCG: 0.027042±0.0016, F1: 0.008494±0.0006, HIT_RATE: 0.046716±0.0032, ARHR: 0.021080±0.0012, RMSE: 0.948650±0.0013, NOVELTY: 0.005062±0.0000, AVERAGE_POPULARITY: 0.721257±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.792079±0.0008, DIVERSITY_HERFINDAHL: 0.979188±0.0001, COVERAGE_ITEM: 0.032041±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.121853±0.0008, SHANNON_ENTROPY: 6.420626±0.0061, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 2487, 'shrink': 786, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.026815±0.0011, PRECISION: 0.004093±0.0002, PRECISION_RECALL_MIN_DEN: 0.040933±0.0020, RECALL: 0.040933±0.0020, MAP: 0.018833±0.0011, MRR: 0.018833±0.0011, NDCG: 0.023967±0.0013, F1: 0.007442±0.0004, HIT_RATE: 0.040933±0.0020, ARHR: 0.018833±0.0011, RMSE: 0.916385±0.0016, NOVELTY: 0.004946±0.0000, AVERAGE_POPULARITY: 0.805040±0.0043, DIVERSITY_MEAN_INTER_LIST: 0.627486±0.0004, DIVERSITY_HERFINDAHL: 0.962733±0.0000, COVERAGE_ITEM: 0.012944±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.130447±0.0023, SHANNON_ENTROPY: 5.314694±0.0025, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 1982, 'shrink': 489, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.027385±0.0012, PRECISION: 0.004261±0.0002, PRECISION_RECALL_MIN_DEN: 0.042607±0.0016, RECALL: 0.042607±0.0016, MAP: 0.019238±0.0011, MRR: 0.019238±0.0011, NDCG: 0.024652±0.0012, F1: 0.007747±0.0003, HIT_RATE: 0.042607±0.0016, ARHR: 0.019238±0.0011, RMSE: 0.891404±0.0019, NOVELTY: 0.004963±0.0000, AVERAGE_POPULARITY: 0.792113±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.660096±0.0004, DIVERSITY_HERFINDAHL: 0.965993±0.0000, COVERAGE_ITEM: 0.015258±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.127608±0.0008, SHANNON_ENTROPY: 5.504281±0.0049, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 1583, 'shrink': 866, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.028027±0.0016, PRECISION: 0.004342±0.0002, PRECISION_RECALL_MIN_DEN: 0.043419±0.0020, RECALL: 0.043419±0.0020, MAP: 0.019740±0.0013, MRR: 0.019740±0.0013, NDCG: 0.025227±0.0014, F1: 0.007894±0.0004, HIT_RATE: 0.043419±0.0020, ARHR: 0.019740±0.0013, RMSE: 0.936889±0.0013, NOVELTY: 0.004980±0.0000, AVERAGE_POPULARITY: 0.778832±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.686789±0.0010, DIVERSITY_HERFINDAHL: 0.968662±0.0001, COVERAGE_ITEM: 0.017724±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.124519±0.0013, SHANNON_ENTROPY: 5.669082±0.0032, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 175, 'shrink': 1246, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.028641±0.0025, PRECISION: 0.004494±0.0003, PRECISION_RECALL_MIN_DEN: 0.044940±0.0034, RECALL: 0.044940±0.0034, MAP: 0.019704±0.0019, MRR: 0.019704±0.0019, NDCG: 0.025561±0.0022, F1: 0.008171±0.0006, HIT_RATE: 0.044940±0.0034, ARHR: 0.019704±0.0019, RMSE: 0.987195±0.0005, NOVELTY: 0.005253±0.0000, AVERAGE_POPULARITY: 0.605478±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.901330±0.0007, DIVERSITY_HERFINDAHL: 0.990110±0.0001, COVERAGE_ITEM: 0.072917±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.143573±0.0012, SHANNON_ENTROPY: 7.716511±0.0087, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 811, 'shrink': 1598, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.029831±0.0018, PRECISION: 0.004666±0.0003, PRECISION_RECALL_MIN_DEN: 0.046665±0.0028, RECALL: 0.046665±0.0028, MAP: 0.020752±0.0013, MRR: 0.020752±0.0013, NDCG: 0.026758±0.0016, F1: 0.008485±0.0005, HIT_RATE: 0.046665±0.0028, ARHR: 0.020752±0.0013, RMSE: 0.973438±0.0008, NOVELTY: 0.005035±0.0000, AVERAGE_POPULARITY: 0.739003±0.0037, DIVERSITY_MEAN_INTER_LIST: 0.766213±0.0010, DIVERSITY_HERFINDAHL: 0.976602±0.0001, COVERAGE_ITEM: 0.027240±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.120973±0.0013, SHANNON_ENTROPY: 6.199777±0.0042, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 2789, 'shrink': 1721, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.026083±0.0008, PRECISION: 0.003946±0.0001, PRECISION_RECALL_MIN_DEN: 0.039462±0.0010, RECALL: 0.039462±0.0010, MAP: 0.018167±0.0009, MRR: 0.018167±0.0009, NDCG: 0.023127±0.0009, F1: 0.007175±0.0002, HIT_RATE: 0.039462±0.0010, ARHR: 0.018167±0.0009, RMSE: 0.955977±0.0009, NOVELTY: 0.004939±0.0000, AVERAGE_POPULARITY: 0.810367±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.612145±0.0009, DIVERSITY_HERFINDAHL: 0.961199±0.0001, COVERAGE_ITEM: 0.011614±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.135866±0.0019, SHANNON_ENTROPY: 5.223799±0.0041, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 505, 'shrink': 1017, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.030558±0.0022, PRECISION: 0.004788±0.0003, PRECISION_RECALL_MIN_DEN: 0.047882±0.0027, RECALL: 0.047882±0.0027, MAP: 0.020902±0.0013, MRR: 0.020902±0.0013, NDCG: 0.027167±0.0016, F1: 0.008706±0.0005, HIT_RATE: 0.047882±0.0027, ARHR: 0.020902±0.0013, RMSE: 0.969634±0.0009, NOVELTY: 0.005086±0.0000, AVERAGE_POPULARITY: 0.705064±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.812685±0.0003, DIVERSITY_HERFINDAHL: 0.981248±0.0000, COVERAGE_ITEM: 0.036637±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.123884±0.0010, SHANNON_ENTROPY: 6.616055±0.0032, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 2089, 'shrink': 1772, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.027165±0.0012, PRECISION: 0.004195±0.0002, PRECISION_RECALL_MIN_DEN: 0.041948±0.0023, RECALL: 0.041948±0.0023, MAP: 0.018997±0.0011, MRR: 0.018997±0.0011, NDCG: 0.024323±0.0013, F1: 0.007627±0.0004, HIT_RATE: 0.041948±0.0023, ARHR: 0.018997±0.0011, RMSE: 0.962195±0.0008, NOVELTY: 0.004958±0.0000, AVERAGE_POPULARITY: 0.795581±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.649216±0.0006, DIVERSITY_HERFINDAHL: 0.964905±0.0001, COVERAGE_ITEM: 0.014663±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.127145±0.0021, SHANNON_ENTROPY: 5.444036±0.0055, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 1843, 'shrink': 133, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.028563±0.0014, PRECISION: 0.004433±0.0002, PRECISION_RECALL_MIN_DEN: 0.044332±0.0016, RECALL: 0.044332±0.0016, MAP: 0.020044±0.0011, MRR: 0.020044±0.0011, NDCG: 0.025675±0.0012, F1: 0.008060±0.0003, HIT_RATE: 0.044332±0.0016, ARHR: 0.020044±0.0011, RMSE: 0.799938±0.0029, NOVELTY: 0.004972±0.0000, AVERAGE_POPULARITY: 0.785475±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.680292±0.0004, DIVERSITY_HERFINDAHL: 0.968012±0.0000, COVERAGE_ITEM: 0.016253±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.129369±0.0018, SHANNON_ENTROPY: 5.611846±0.0044, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 1545, 'shrink': 1535, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.027886±0.0015, PRECISION: 0.004286±0.0002, PRECISION_RECALL_MIN_DEN: 0.042861±0.0021, RECALL: 0.042861±0.0021, MAP: 0.019589±0.0012, MRR: 0.019589±0.0012, NDCG: 0.024990±0.0014, F1: 0.007793±0.0004, HIT_RATE: 0.042861±0.0021, ARHR: 0.019589±0.0012, RMSE: 0.962248±0.0009, NOVELTY: 0.004981±0.0000, AVERAGE_POPULARITY: 0.777629±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.688629±0.0007, DIVERSITY_HERFINDAHL: 0.968845±0.0001, COVERAGE_ITEM: 0.018037±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.123712±0.0017, SHANNON_ENTROPY: 5.682481±0.0043, 
