CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 1007, 'shrink': 1247, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.1891582647451386, 'tversky_beta': 1.2389045039445277} - results: ROC_AUC: 0.029352±0.0018, PRECISION: 0.004519±0.0002, PRECISION_RECALL_MIN_DEN: 0.045194±0.0020, RECALL: 0.045194±0.0020, MAP: 0.020165±0.0013, MRR: 0.020165±0.0013, NDCG: 0.025990±0.0014, F1: 0.008217±0.0004, HIT_RATE: 0.045194±0.0020, ARHR: 0.020165±0.0013, RMSE: 0.963422±0.0009, NOVELTY: 0.005015±0.0000, AVERAGE_POPULARITY: 0.753128±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.739858±0.0015, DIVERSITY_HERFINDAHL: 0.973967±0.0002, COVERAGE_ITEM: 0.023996±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.120053±0.0018, SHANNON_ENTROPY: 6.017624±0.0053, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 2473, 'shrink': 310, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 0.8698207958927526, 'tversky_beta': 0.9089439248652165} - results: ROC_AUC: 0.027069±0.0012, PRECISION: 0.004103±0.0002, PRECISION_RECALL_MIN_DEN: 0.041035±0.0023, RECALL: 0.041035±0.0023, MAP: 0.018987±0.0010, MRR: 0.018987±0.0010, NDCG: 0.024115±0.0013, F1: 0.007461±0.0004, HIT_RATE: 0.041035±0.0023, ARHR: 0.018987±0.0010, RMSE: 0.838122±0.0020, NOVELTY: 0.004947±0.0000, AVERAGE_POPULARITY: 0.804166±0.0043, DIVERSITY_MEAN_INTER_LIST: 0.632239±0.0006, DIVERSITY_HERFINDAHL: 0.963208±0.0001, COVERAGE_ITEM: 0.013117±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.131102±0.0019, SHANNON_ENTROPY: 5.340643±0.0035, 
CrossSearchBayesianSkopt: New best config found. Config 2: {'topK': 473, 'shrink': 444, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 1.8906031649753359, 'tversky_beta': 1.969299960981821} - results: ROC_AUC: 0.031071±0.0023, PRECISION: 0.004763±0.0003, PRECISION_RECALL_MIN_DEN: 0.047629±0.0025, RECALL: 0.047629±0.0025, MAP: 0.021214±0.0017, MRR: 0.021214±0.0017, NDCG: 0.027366±0.0018, F1: 0.008660±0.0005, HIT_RATE: 0.047629±0.0025, ARHR: 0.021214±0.0017, RMSE: 0.950965±0.0012, NOVELTY: 0.005092±0.0000, AVERAGE_POPULARITY: 0.701513±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.817243±0.0004, DIVERSITY_HERFINDAHL: 0.981704±0.0000, COVERAGE_ITEM: 0.037686±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.124929±0.0012, SHANNON_ENTROPY: 6.664130±0.0047, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 1470, 'shrink': 1730, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 1.9484914968566387, 'tversky_beta': 0.43077367374130293} - results: ROC_AUC: 0.028292±0.0015, PRECISION: 0.004342±0.0001, PRECISION_RECALL_MIN_DEN: 0.043419±0.0015, RECALL: 0.043419±0.0015, MAP: 0.019764±0.0012, MRR: 0.019764±0.0012, NDCG: 0.025262±0.0013, F1: 0.007894±0.0003, HIT_RATE: 0.043419±0.0015, ARHR: 0.019764±0.0012, RMSE: 0.967540±0.0008, NOVELTY: 0.004985±0.0000, AVERAGE_POPULARITY: 0.774589±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.696104±0.0008, DIVERSITY_HERFINDAHL: 0.969593±0.0001, COVERAGE_ITEM: 0.018654±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.123989±0.0013, SHANNON_ENTROPY: 5.729835±0.0045, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 1224, 'shrink': 1987, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 0.05833731249458986, 'tversky_beta': 1.779059172840676} - results: ROC_AUC: 0.028619±0.0015, PRECISION: 0.004388±0.0002, PRECISION_RECALL_MIN_DEN: 0.043875±0.0017, RECALL: 0.043875±0.0017, MAP: 0.019855±0.0012, MRR: 0.019855±0.0012, NDCG: 0.025441±0.0013, F1: 0.007977±0.0003, HIT_RATE: 0.043875±0.0017, ARHR: 0.019855±0.0012, RMSE: 0.972852±0.0006, NOVELTY: 0.004998±0.0000, AVERAGE_POPULARITY: 0.765011±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.714769±0.0013, DIVERSITY_HERFINDAHL: 0.971459±0.0001, COVERAGE_ITEM: 0.021173±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.120335±0.0015, SHANNON_ENTROPY: 5.853719±0.0050, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 2588, 'shrink': 910, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 0.4657746134148232, 'tversky_beta': 1.4935192778826398} - results: ROC_AUC: 0.026263±0.0009, PRECISION: 0.003992±0.0002, PRECISION_RECALL_MIN_DEN: 0.039919±0.0018, RECALL: 0.039919±0.0018, MAP: 0.018299±0.0008, MRR: 0.018299±0.0008, NDCG: 0.023330±0.0010, F1: 0.007258±0.0003, HIT_RATE: 0.039919±0.0018, ARHR: 0.018299±0.0008, RMSE: 0.923678±0.0014, NOVELTY: 0.004943±0.0000, AVERAGE_POPULARITY: 0.807102±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.620779±0.0009, DIVERSITY_HERFINDAHL: 0.962062±0.0001, COVERAGE_ITEM: 0.012338±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.132793±0.0014, SHANNON_ENTROPY: 5.274693±0.0022, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1374, 'shrink': 1655, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.4128215536918942, 'tversky_beta': 0.20381529425487527} - results: ROC_AUC: 0.028501±0.0014, PRECISION: 0.004377±0.0002, PRECISION_RECALL_MIN_DEN: 0.043774±0.0019, RECALL: 0.043774±0.0019, MAP: 0.019767±0.0014, MRR: 0.019767±0.0014, NDCG: 0.025349±0.0015, F1: 0.007959±0.0003, HIT_RATE: 0.043774±0.0019, ARHR: 0.019767±0.0014, RMSE: 0.966310±0.0008, NOVELTY: 0.004990±0.0000, AVERAGE_POPULARITY: 0.771017±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.703224±0.0008, DIVERSITY_HERFINDAHL: 0.970305±0.0001, COVERAGE_ITEM: 0.019703±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.122093±0.0009, SHANNON_ENTROPY: 5.778933±0.0044, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 2293, 'shrink': 1198, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.3892809118756861, 'tversky_beta': 0.946557718324968} - results: ROC_AUC: 0.026889±0.0013, PRECISION: 0.004109±0.0002, PRECISION_RECALL_MIN_DEN: 0.041085±0.0019, RECALL: 0.041085±0.0019, MAP: 0.018871±0.0012, MRR: 0.018871±0.0012, NDCG: 0.024031±0.0013, F1: 0.007470±0.0003, HIT_RATE: 0.041085±0.0019, ARHR: 0.018871±0.0012, RMSE: 0.944761±0.0012, NOVELTY: 0.004952±0.0000, AVERAGE_POPULARITY: 0.800653±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.638230±0.0009, DIVERSITY_HERFINDAHL: 0.963807±0.0001, COVERAGE_ITEM: 0.013885±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.127609±0.0019, SHANNON_ENTROPY: 5.377721±0.0059, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 875, 'shrink': 212, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.1712372931073787, 'tversky_beta': 1.9304914959538617} - results: ROC_AUC: 0.030174±0.0019, PRECISION: 0.004661±0.0003, PRECISION_RECALL_MIN_DEN: 0.046614±0.0027, RECALL: 0.046614±0.0027, MAP: 0.021129±0.0016, MRR: 0.021129±0.0016, NDCG: 0.027042±0.0018, F1: 0.008475±0.0005, HIT_RATE: 0.046614±0.0027, ARHR: 0.021129±0.0016, RMSE: 0.887804±0.0017, NOVELTY: 0.005030±0.0000, AVERAGE_POPULARITY: 0.742908±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.760346±0.0010, DIVERSITY_HERFINDAHL: 0.976015±0.0001, COVERAGE_ITEM: 0.025672±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.123589±0.0019, SHANNON_ENTROPY: 6.154905±0.0029, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 490, 'shrink': 1790, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 1.088234368208233, 'tversky_beta': 0.619285015730049} - results: ROC_AUC: 0.030755±0.0023, PRECISION: 0.004702±0.0002, PRECISION_RECALL_MIN_DEN: 0.047020±0.0024, RECALL: 0.047020±0.0024, MAP: 0.020905±0.0014, MRR: 0.020905±0.0014, NDCG: 0.026993±0.0016, F1: 0.008549±0.0004, HIT_RATE: 0.047020±0.0024, ARHR: 0.020905±0.0014, RMSE: 0.981870±0.0006, NOVELTY: 0.005089±0.0000, AVERAGE_POPULARITY: 0.703201±0.0037, DIVERSITY_MEAN_INTER_LIST: 0.814884±0.0003, DIVERSITY_HERFINDAHL: 0.981468±0.0000, COVERAGE_ITEM: 0.037545±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.123413±0.0005, SHANNON_ENTROPY: 6.640378±0.0032, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 693, 'shrink': 1590, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.3416117051736276, 'tversky_beta': 1.0667990131108573} - results: ROC_AUC: 0.029966±0.0013, PRECISION: 0.004616±0.0002, PRECISION_RECALL_MIN_DEN: 0.046158±0.0019, RECALL: 0.046158±0.0019, MAP: 0.020802±0.0010, MRR: 0.020802±0.0010, NDCG: 0.026692±0.0012, F1: 0.008392±0.0004, HIT_RATE: 0.046158±0.0019, ARHR: 0.020802±0.0010, RMSE: 0.975938±0.0007, NOVELTY: 0.005051±0.0000, AVERAGE_POPULARITY: 0.728251±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.782395±0.0010, DIVERSITY_HERFINDAHL: 0.978220±0.0001, COVERAGE_ITEM: 0.030019±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.121767±0.0022, SHANNON_ENTROPY: 6.333937±0.0049, 
