CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 2327, 'shrink': 143, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.0684621876754077, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.028435±0.0020, PRECISION: 0.004449±0.0003, PRECISION_RECALL_MIN_DEN: 0.044490±0.0027, RECALL: 0.044490±0.0027, MAP: 0.019846±0.0010, MRR: 0.019846±0.0010, NDCG: 0.025563±0.0013, F1: 0.008089±0.0005, HIT_RATE: 0.044490±0.0027, ARHR: 0.019846±0.0010, RMSE: 57.902565±0.7074, NOVELTY: 0.004968±0.0000, AVERAGE_POPULARITY: 0.790128±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.637450±0.0007, DIVERSITY_HERFINDAHL: 0.963731±0.0001, COVERAGE_ITEM: 0.018113±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.107402±0.0010, SHANNON_ENTROPY: 5.448045±0.0033, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 2365, 'shrink': 1583, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.6678274565895446, 'feature_weighting': 'none'} - results: ROC_AUC: 0.025555±0.0011, PRECISION: 0.003880±0.0001, PRECISION_RECALL_MIN_DEN: 0.038799±0.0009, RECALL: 0.038799±0.0009, MAP: 0.017973±0.0012, MRR: 0.017973±0.0012, NDCG: 0.022817±0.0011, F1: 0.007054±0.0002, HIT_RATE: 0.038799±0.0009, ARHR: 0.017973±0.0012, RMSE: 0.948775±0.0008, NOVELTY: 0.004932±0.0000, AVERAGE_POPULARITY: 0.816074±0.0043, DIVERSITY_MEAN_INTER_LIST: 0.601183±0.0013, DIVERSITY_HERFINDAHL: 0.960105±0.0001, COVERAGE_ITEM: 0.011398±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.131949±0.0018, SHANNON_ENTROPY: 5.156024±0.0020, 
CrossSearchBayesianSkopt: New best config found. Config 2: {'topK': 339, 'shrink': 527, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.8333810977390852, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.033504±0.0015, PRECISION: 0.005149±0.0003, PRECISION_RECALL_MIN_DEN: 0.051491±0.0028, RECALL: 0.051491±0.0028, MAP: 0.022930±0.0008, MRR: 0.022930±0.0008, NDCG: 0.029583±0.0011, F1: 0.009362±0.0005, HIT_RATE: 0.051491±0.0028, ARHR: 0.022930±0.0008, RMSE: 5.503144±0.1312, NOVELTY: 0.005217±0.0000, AVERAGE_POPULARITY: 0.642634±0.0029, DIVERSITY_MEAN_INTER_LIST: 0.865672±0.0007, DIVERSITY_HERFINDAHL: 0.986548±0.0001, COVERAGE_ITEM: 0.072030±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.123516±0.0004, SHANNON_ENTROPY: 7.354027±0.0044, 
CrossSearchBayesianSkopt: New best config found. Config 3: {'topK': 1868, 'shrink': 764, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.5845302103484664, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.037012±0.0024, PRECISION: 0.005705±0.0003, PRECISION_RECALL_MIN_DEN: 0.057046±0.0026, RECALL: 0.057046±0.0026, MAP: 0.024849±0.0014, MRR: 0.024849±0.0014, NDCG: 0.032359±0.0016, F1: 0.010372±0.0005, HIT_RATE: 0.057046±0.0026, ARHR: 0.024849±0.0014, RMSE: 0.998829±0.0076, NOVELTY: 0.005069±0.0000, AVERAGE_POPULARITY: 0.724674±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.779305±0.0010, DIVERSITY_HERFINDAHL: 0.977913±0.0001, COVERAGE_ITEM: 0.026018±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.137818±0.0017, SHANNON_ENTROPY: 6.316586±0.0044, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 2966, 'shrink': 1370, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.6058760970924806, 'feature_weighting': 'none'} - results: ROC_AUC: 0.024887±0.0007, PRECISION: 0.003713±0.0001, PRECISION_RECALL_MIN_DEN: 0.037127±0.0006, RECALL: 0.037127±0.0006, MAP: 0.017424±0.0010, MRR: 0.017424±0.0010, NDCG: 0.022020±0.0009, F1: 0.006750±0.0001, HIT_RATE: 0.037127±0.0006, ARHR: 0.017424±0.0010, RMSE: 0.936091±0.0010, NOVELTY: 0.004922±0.0000, AVERAGE_POPULARITY: 0.824379±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.569949±0.0013, DIVERSITY_HERFINDAHL: 0.956982±0.0001, COVERAGE_ITEM: 0.010024±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.135379±0.0020, SHANNON_ENTROPY: 5.010837±0.0041, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 2386, 'shrink': 607, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.8094974196132614, 'feature_weighting': 'none'} - results: ROC_AUC: 0.025429±0.0008, PRECISION: 0.003744±0.0001, PRECISION_RECALL_MIN_DEN: 0.037444±0.0012, RECALL: 0.037444±0.0012, MAP: 0.017851±0.0011, MRR: 0.017851±0.0011, NDCG: 0.022428±0.0009, F1: 0.006808±0.0002, HIT_RATE: 0.037444±0.0012, ARHR: 0.017851±0.0011, RMSE: 0.878041±0.0015, NOVELTY: 0.004919±0.0000, AVERAGE_POPULARITY: 0.828703±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.564182±0.0014, DIVERSITY_HERFINDAHL: 0.956405±0.0001, COVERAGE_ITEM: 0.010262±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.133980±0.0019, SHANNON_ENTROPY: 5.022189±0.0031, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 2938, 'shrink': 1404, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.7213095433698743, 'feature_weighting': 'none'} - results: ROC_AUC: 0.024872±0.0008, PRECISION: 0.003722±0.0001, PRECISION_RECALL_MIN_DEN: 0.037218±0.0007, RECALL: 0.037218±0.0007, MAP: 0.017415±0.0011, MRR: 0.017415±0.0011, NDCG: 0.022033±0.0009, F1: 0.006767±0.0001, HIT_RATE: 0.037218±0.0007, ARHR: 0.017415±0.0011, RMSE: 0.937795±0.0010, NOVELTY: 0.004922±0.0000, AVERAGE_POPULARITY: 0.824011±0.0043, DIVERSITY_MEAN_INTER_LIST: 0.571534±0.0013, DIVERSITY_HERFINDAHL: 0.957141±0.0001, COVERAGE_ITEM: 0.010111±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.134926±0.0033, SHANNON_ENTROPY: 5.017744±0.0037, 
CrossSearchBayesianSkopt: New best config found. Config 7: {'topK': 1073, 'shrink': 1874, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.0526472704750829, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.038839±0.0027, PRECISION: 0.006012±0.0004, PRECISION_RECALL_MIN_DEN: 0.060117±0.0035, RECALL: 0.060117±0.0035, MAP: 0.026183±0.0018, MRR: 0.026183±0.0018, NDCG: 0.034087±0.0021, F1: 0.010930±0.0006, HIT_RATE: 0.060117±0.0035, ARHR: 0.026183±0.0018, RMSE: 0.705227±0.0042, NOVELTY: 0.005178±0.0000, AVERAGE_POPULARITY: 0.664793±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.844268±0.0017, DIVERSITY_HERFINDAHL: 0.984408±0.0002, COVERAGE_ITEM: 0.042617±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.146307±0.0015, SHANNON_ENTROPY: 7.008309±0.0163, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 2651, 'shrink': 1573, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.8429984512271853, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.035040±0.0022, PRECISION: 0.005483±0.0003, PRECISION_RECALL_MIN_DEN: 0.054833±0.0027, RECALL: 0.054833±0.0027, MAP: 0.023934±0.0012, MRR: 0.023934±0.0012, NDCG: 0.031112±0.0015, F1: 0.009970±0.0005, HIT_RATE: 0.054833±0.0027, ARHR: 0.023934±0.0012, RMSE: 0.773799±0.0059, NOVELTY: 0.005031±0.0000, AVERAGE_POPULARITY: 0.749198±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.744962±0.0016, DIVERSITY_HERFINDAHL: 0.974479±0.0002, COVERAGE_ITEM: 0.022449±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.130314±0.0007, SHANNON_ENTROPY: 6.044737±0.0075, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 1076, 'shrink': 242, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.5943190571951974, 'feature_weighting': 'none'} - results: ROC_AUC: 0.028847±0.0016, PRECISION: 0.004408±0.0002, PRECISION_RECALL_MIN_DEN: 0.044083±0.0020, RECALL: 0.044083±0.0020, MAP: 0.019932±0.0011, MRR: 0.019932±0.0011, NDCG: 0.025553±0.0012, F1: 0.008015±0.0004, HIT_RATE: 0.044083±0.0020, ARHR: 0.019932±0.0011, RMSE: 0.837979±0.0026, NOVELTY: 0.004988±0.0000, AVERAGE_POPULARITY: 0.772187±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.716851±0.0006, DIVERSITY_HERFINDAHL: 0.971669±0.0001, COVERAGE_ITEM: 0.020557±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.118575±0.0012, SHANNON_ENTROPY: 5.807361±0.0036, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 1606, 'shrink': 243, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.23100630160954988, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.036711±0.0028, PRECISION: 0.005565±0.0003, PRECISION_RECALL_MIN_DEN: 0.055646±0.0029, RECALL: 0.055646±0.0029, MAP: 0.025310±0.0020, MRR: 0.025310±0.0020, NDCG: 0.032382±0.0022, F1: 0.010117±0.0005, HIT_RATE: 0.055646±0.0029, ARHR: 0.025310±0.0020, RMSE: 2.041029±0.0202, NOVELTY: 0.005116±0.0000, AVERAGE_POPULARITY: 0.697125±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.810504±0.0006, DIVERSITY_HERFINDAHL: 0.981032±0.0001, COVERAGE_ITEM: 0.038627±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.128393±0.0012, SHANNON_ENTROPY: 6.686486±0.0052, 
