CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 715, 'shrink': 1106, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.038252±0.0026, PRECISION: 0.005881±0.0003, PRECISION_RECALL_MIN_DEN: 0.058808±0.0031, RECALL: 0.058808±0.0031, MAP: 0.025737±0.0015, MRR: 0.025737±0.0015, NDCG: 0.033456±0.0019, F1: 0.010692±0.0006, HIT_RATE: 0.058808±0.0031, ARHR: 0.025737±0.0015, RMSE: 0.735656±0.0055, NOVELTY: 0.005287±0.0000, AVERAGE_POPULARITY: 0.614577±0.0031, DIVERSITY_MEAN_INTER_LIST: 0.880729±0.0012, DIVERSITY_HERFINDAHL: 0.988053±0.0001, COVERAGE_ITEM: 0.069651±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.144801±0.0012, SHANNON_ENTROPY: 7.576827±0.0156, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 1928, 'shrink': 1699, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.037780±0.0024, PRECISION: 0.005790±0.0002, PRECISION_RECALL_MIN_DEN: 0.057904±0.0020, RECALL: 0.057904±0.0020, MAP: 0.025538±0.0015, MRR: 0.025538±0.0015, NDCG: 0.033085±0.0016, F1: 0.010528±0.0004, HIT_RATE: 0.057904±0.0020, ARHR: 0.025538±0.0015, RMSE: 0.766574±0.0065, NOVELTY: 0.005075±0.0000, AVERAGE_POPULARITY: 0.723253±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.781923±0.0012, DIVERSITY_HERFINDAHL: 0.978175±0.0001, COVERAGE_ITEM: 0.028483±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.132907±0.0016, SHANNON_ENTROPY: 6.367685±0.0067, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 385, 'shrink': 137, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.034136±0.0016, PRECISION: 0.005316±0.0003, PRECISION_RECALL_MIN_DEN: 0.053162±0.0025, RECALL: 0.053162±0.0025, MAP: 0.022961±0.0005, MRR: 0.022961±0.0005, NDCG: 0.029992±0.0009, F1: 0.009666±0.0005, HIT_RATE: 0.053162±0.0025, ARHR: 0.022961±0.0005, RMSE: 2.763566±0.0322, NOVELTY: 0.005543±0.0000, AVERAGE_POPULARITY: 0.519779±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.929914±0.0005, DIVERSITY_HERFINDAHL: 0.992970±0.0000, COVERAGE_ITEM: 0.158302±0.0022, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.163279±0.0015, SHANNON_ENTROPY: 8.674570±0.0071, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 1333, 'shrink': 1943, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.030603±0.0024, PRECISION: 0.004788±0.0003, PRECISION_RECALL_MIN_DEN: 0.047877±0.0031, RECALL: 0.047877±0.0031, MAP: 0.021310±0.0010, MRR: 0.021310±0.0010, NDCG: 0.027469±0.0015, F1: 0.008705±0.0006, HIT_RATE: 0.047877±0.0031, ARHR: 0.021310±0.0010, RMSE: 2.871366±0.0467, NOVELTY: 0.005011±0.0000, AVERAGE_POPULARITY: 0.761905±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.709560±0.0003, DIVERSITY_HERFINDAHL: 0.970940±0.0000, COVERAGE_ITEM: 0.025964±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.106075±0.0010, SHANNON_ENTROPY: 5.886144±0.0027, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 1115, 'shrink': 818, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.030142±0.0017, PRECISION: 0.004589±0.0002, PRECISION_RECALL_MIN_DEN: 0.045890±0.0020, RECALL: 0.045890±0.0020, MAP: 0.020769±0.0012, MRR: 0.020769±0.0012, NDCG: 0.026622±0.0013, F1: 0.008344±0.0004, HIT_RATE: 0.045890±0.0020, ARHR: 0.020769±0.0012, RMSE: 0.943210±0.0010, NOVELTY: 0.005014±0.0000, AVERAGE_POPULARITY: 0.754055±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.737406±0.0011, DIVERSITY_HERFINDAHL: 0.973724±0.0001, COVERAGE_ITEM: 0.025001±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.115037±0.0019, SHANNON_ENTROPY: 6.008901±0.0046, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 1021, 'shrink': 30, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.031843±0.0020, PRECISION: 0.004932±0.0003, PRECISION_RECALL_MIN_DEN: 0.049322±0.0027, RECALL: 0.049322±0.0027, MAP: 0.022253±0.0016, MRR: 0.022253±0.0016, NDCG: 0.028530±0.0018, F1: 0.008968±0.0005, HIT_RATE: 0.049322±0.0027, ARHR: 0.022253±0.0016, RMSE: 0.823538±0.0091, NOVELTY: 0.005037±0.0000, AVERAGE_POPULARITY: 0.737974±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.770878±0.0007, DIVERSITY_HERFINDAHL: 0.977070±0.0001, COVERAGE_ITEM: 0.026483±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.125043±0.0025, SHANNON_ENTROPY: 6.223332±0.0034, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1188, 'shrink': 141, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.031376±0.0026, PRECISION: 0.004923±0.0003, PRECISION_RECALL_MIN_DEN: 0.049232±0.0032, RECALL: 0.049232±0.0032, MAP: 0.021611±0.0013, MRR: 0.021611±0.0013, NDCG: 0.028018±0.0017, F1: 0.008951±0.0006, HIT_RATE: 0.049232±0.0032, ARHR: 0.021611±0.0013, RMSE: 44.508219±0.6471, NOVELTY: 0.005021±0.0000, AVERAGE_POPULARITY: 0.754886±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.724053±0.0004, DIVERSITY_HERFINDAHL: 0.972389±0.0000, COVERAGE_ITEM: 0.027716±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.107511±0.0011, SHANNON_ENTROPY: 5.985634±0.0061, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 649, 'shrink': 196, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.036826±0.0019, PRECISION: 0.005610±0.0003, PRECISION_RECALL_MIN_DEN: 0.056098±0.0027, RECALL: 0.056098±0.0027, MAP: 0.025492±0.0013, MRR: 0.025492±0.0013, NDCG: 0.032626±0.0016, F1: 0.010200±0.0005, HIT_RATE: 0.056098±0.0027, ARHR: 0.025492±0.0013, RMSE: 1.371673±0.0150, NOVELTY: 0.005215±0.0000, AVERAGE_POPULARITY: 0.646635±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.863904±0.0014, DIVERSITY_HERFINDAHL: 0.986371±0.0001, COVERAGE_ITEM: 0.060243±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.133570±0.0011, SHANNON_ENTROPY: 7.285086±0.0078, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1290, 'shrink': 1439, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.028009±0.0014, PRECISION: 0.004273±0.0001, PRECISION_RECALL_MIN_DEN: 0.042728±0.0014, RECALL: 0.042728±0.0014, MAP: 0.019351±0.0011, MRR: 0.019351±0.0011, NDCG: 0.024794±0.0011, F1: 0.007769±0.0003, HIT_RATE: 0.042728±0.0014, ARHR: 0.019351±0.0011, RMSE: 0.956769±0.0008, NOVELTY: 0.004973±0.0000, AVERAGE_POPULARITY: 0.784105±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.690841±0.0007, DIVERSITY_HERFINDAHL: 0.969068±0.0001, COVERAGE_ITEM: 0.017821±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.120868±0.0019, SHANNON_ENTROPY: 5.642125±0.0050, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 1757, 'shrink': 1065, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.029419±0.0022, PRECISION: 0.004621±0.0002, PRECISION_RECALL_MIN_DEN: 0.046206±0.0024, RECALL: 0.046206±0.0024, MAP: 0.020687±0.0011, MRR: 0.020687±0.0011, NDCG: 0.026593±0.0014, F1: 0.008401±0.0004, HIT_RATE: 0.046206±0.0024, ARHR: 0.020687±0.0011, RMSE: 6.349839±0.0925, NOVELTY: 0.004987±0.0000, AVERAGE_POPULARITY: 0.777572±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.673035±0.0008, DIVERSITY_HERFINDAHL: 0.967288±0.0001, COVERAGE_ITEM: 0.021919±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.104246±0.0020, SHANNON_ENTROPY: 5.651721±0.0052, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 45, 'shrink': 1312, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.006991±0.0007, PRECISION: 0.001102±0.0001, PRECISION_RECALL_MIN_DEN: 0.011021±0.0010, RECALL: 0.011021±0.0010, MAP: 0.004756±0.0006, MRR: 0.004756±0.0006, NDCG: 0.006209±0.0007, F1: 0.002004±0.0002, HIT_RATE: 0.011021±0.0010, ARHR: 0.004756±0.0006, RMSE: 0.977262±0.0013, NOVELTY: 0.007636±0.0000, AVERAGE_POPULARITY: 0.085347±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.998325±0.0000, DIVERSITY_HERFINDAHL: 0.999810±0.0000, COVERAGE_ITEM: 0.583260±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.554944±0.0007, SHANNON_ENTROPY: 12.886843±0.0032, 
