CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 2710, 'shrink': 1652, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.026895±0.0012, PRECISION: 0.004033±0.0001, PRECISION_RECALL_MIN_DEN: 0.040334±0.0010, RECALL: 0.040334±0.0010, MAP: 0.018631±0.0011, MRR: 0.018631±0.0011, NDCG: 0.023697±0.0011, F1: 0.007333±0.0002, HIT_RATE: 0.040334±0.0010, ARHR: 0.018631±0.0011, RMSE: 0.957144±0.0007, NOVELTY: 0.004943±0.0000, AVERAGE_POPULARITY: 0.807123±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.623951±0.0008, DIVERSITY_HERFINDAHL: 0.962381±0.0001, COVERAGE_ITEM: 0.012771±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.129656±0.0023, SHANNON_ENTROPY: 5.287888±0.0030, 
CrossSearchBayesianSkopt: New best config found. Config 1: {'topK': 288, 'shrink': 993, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.031281±0.0029, PRECISION: 0.004801±0.0003, PRECISION_RECALL_MIN_DEN: 0.048013±0.0034, RECALL: 0.048013±0.0034, MAP: 0.021323±0.0017, MRR: 0.021323±0.0017, NDCG: 0.027542±0.0021, F1: 0.008730±0.0006, HIT_RATE: 0.048013±0.0034, ARHR: 0.021323±0.0017, RMSE: 0.979741±0.0006, NOVELTY: 0.005176±0.0000, AVERAGE_POPULARITY: 0.649781±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.868518±0.0002, DIVERSITY_HERFINDAHL: 0.986832±0.0000, COVERAGE_ITEM: 0.058491±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.127451±0.0013, SHANNON_ENTROPY: 7.253080±0.0040, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 2288, 'shrink': 1758, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.027517±0.0015, PRECISION: 0.004178±0.0002, PRECISION_RECALL_MIN_DEN: 0.041780±0.0017, RECALL: 0.041780±0.0017, MAP: 0.019164±0.0013, MRR: 0.019164±0.0013, NDCG: 0.024429±0.0013, F1: 0.007596±0.0003, HIT_RATE: 0.041780±0.0017, ARHR: 0.019164±0.0013, RMSE: 0.962462±0.0006, NOVELTY: 0.004955±0.0000, AVERAGE_POPULARITY: 0.798232±0.0043, DIVERSITY_MEAN_INTER_LIST: 0.645561±0.0009, DIVERSITY_HERFINDAHL: 0.964542±0.0001, COVERAGE_ITEM: 0.014739±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.124109±0.0009, SHANNON_ENTROPY: 5.419177±0.0039, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 1739, 'shrink': 274, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.028917±0.0017, PRECISION: 0.004435±0.0002, PRECISION_RECALL_MIN_DEN: 0.044354±0.0019, RECALL: 0.044354±0.0019, MAP: 0.020196±0.0013, MRR: 0.020196±0.0013, NDCG: 0.025809±0.0014, F1: 0.008064±0.0004, HIT_RATE: 0.044354±0.0019, ARHR: 0.020196±0.0013, RMSE: 0.859434±0.0013, NOVELTY: 0.004979±0.0000, AVERAGE_POPULARITY: 0.779782±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.690353±0.0012, DIVERSITY_HERFINDAHL: 0.969020±0.0001, COVERAGE_ITEM: 0.018297±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.122102±0.0008, SHANNON_ENTROPY: 5.685156±0.0011, 
CrossSearchBayesianSkopt: New best config found. Config 4: {'topK': 851, 'shrink': 140, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.031316±0.0019, PRECISION: 0.004842±0.0002, PRECISION_RECALL_MIN_DEN: 0.048419±0.0023, RECALL: 0.048419±0.0023, MAP: 0.022010±0.0015, MRR: 0.022010±0.0015, NDCG: 0.028136±0.0016, F1: 0.008803±0.0004, HIT_RATE: 0.048419±0.0023, ARHR: 0.022010±0.0015, RMSE: 0.858232±0.0014, NOVELTY: 0.005044±0.0000, AVERAGE_POPULARITY: 0.733725±0.0037, DIVERSITY_MEAN_INTER_LIST: 0.774997±0.0006, DIVERSITY_HERFINDAHL: 0.977482±0.0001, COVERAGE_ITEM: 0.028905±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.120808±0.0016, SHANNON_ENTROPY: 6.276992±0.0048, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 1654, 'shrink': 801, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.028837±0.0019, PRECISION: 0.004453±0.0002, PRECISION_RECALL_MIN_DEN: 0.044535±0.0018, RECALL: 0.044535±0.0018, MAP: 0.020194±0.0015, MRR: 0.020194±0.0015, NDCG: 0.025840±0.0015, F1: 0.008097±0.0003, HIT_RATE: 0.044535±0.0018, ARHR: 0.020194±0.0015, RMSE: 0.935131±0.0010, NOVELTY: 0.004981±0.0000, AVERAGE_POPULARITY: 0.777739±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.691220±0.0009, DIVERSITY_HERFINDAHL: 0.969106±0.0001, COVERAGE_ITEM: 0.018643±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.121228±0.0017, SHANNON_ENTROPY: 5.697739±0.0022, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 956, 'shrink': 1760, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.030453±0.0019, PRECISION: 0.004625±0.0002, PRECISION_RECALL_MIN_DEN: 0.046251±0.0024, RECALL: 0.046251±0.0024, MAP: 0.020901±0.0012, MRR: 0.020901±0.0012, NDCG: 0.026809±0.0014, F1: 0.008409±0.0004, HIT_RATE: 0.046251±0.0024, ARHR: 0.020901±0.0012, RMSE: 0.975190±0.0006, NOVELTY: 0.005028±0.0000, AVERAGE_POPULARITY: 0.744173±0.0037, DIVERSITY_MEAN_INTER_LIST: 0.755568±0.0005, DIVERSITY_HERFINDAHL: 0.975540±0.0000, COVERAGE_ITEM: 0.027153±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.116704±0.0025, SHANNON_ENTROPY: 6.138178±0.0040, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 1063, 'shrink': 605, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.030478±0.0019, PRECISION: 0.004634±0.0002, PRECISION_RECALL_MIN_DEN: 0.046341±0.0022, RECALL: 0.046341±0.0022, MAP: 0.021075±0.0015, MRR: 0.021075±0.0015, NDCG: 0.026962±0.0016, F1: 0.008426±0.0004, HIT_RATE: 0.046341±0.0022, ARHR: 0.021075±0.0015, RMSE: 0.934034±0.0011, NOVELTY: 0.005020±0.0000, AVERAGE_POPULARITY: 0.750378±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.744660±0.0009, DIVERSITY_HERFINDAHL: 0.974449±0.0001, COVERAGE_ITEM: 0.025672±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.116357±0.0017, SHANNON_ENTROPY: 6.060660±0.0052, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1768, 'shrink': 1350, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.028395±0.0018, PRECISION: 0.004309±0.0002, PRECISION_RECALL_MIN_DEN: 0.043089±0.0018, RECALL: 0.043089±0.0018, MAP: 0.019690±0.0012, MRR: 0.019690±0.0012, NDCG: 0.025138±0.0013, F1: 0.007834±0.0003, HIT_RATE: 0.043089±0.0018, ARHR: 0.019690±0.0012, RMSE: 0.957455±0.0008, NOVELTY: 0.004975±0.0000, AVERAGE_POPULARITY: 0.782424±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.681106±0.0011, DIVERSITY_HERFINDAHL: 0.968095±0.0001, COVERAGE_ITEM: 0.017832±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.120802±0.0014, SHANNON_ENTROPY: 5.633973±0.0031, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 1723, 'shrink': 1561, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.028536±0.0016, PRECISION: 0.004395±0.0002, PRECISION_RECALL_MIN_DEN: 0.043948±0.0021, RECALL: 0.043948±0.0021, MAP: 0.019875±0.0012, MRR: 0.019875±0.0012, NDCG: 0.025465±0.0014, F1: 0.007990±0.0004, HIT_RATE: 0.043948±0.0021, ARHR: 0.019875±0.0012, RMSE: 0.963169±0.0007, NOVELTY: 0.004977±0.0000, AVERAGE_POPULARITY: 0.780691±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.684360±0.0009, DIVERSITY_HERFINDAHL: 0.968421±0.0001, COVERAGE_ITEM: 0.018102±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.120829±0.0008, SHANNON_ENTROPY: 5.654283±0.0011, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 2765, 'shrink': 137, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.027773±0.0011, PRECISION: 0.004169±0.0001, PRECISION_RECALL_MIN_DEN: 0.041689±0.0014, RECALL: 0.041689±0.0014, MAP: 0.019224±0.0011, MRR: 0.019224±0.0011, NDCG: 0.024469±0.0011, F1: 0.007580±0.0003, HIT_RATE: 0.041689±0.0014, ARHR: 0.019224±0.0011, RMSE: 0.781357±0.0035, NOVELTY: 0.004945±0.0000, AVERAGE_POPULARITY: 0.806340±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.634572±0.0014, DIVERSITY_HERFINDAHL: 0.963443±0.0001, COVERAGE_ITEM: 0.012912±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.132881±0.0022, SHANNON_ENTROPY: 5.340646±0.0053, 
CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 2831, 'shrink': 962, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.026884±0.0010, PRECISION: 0.004020±0.0001, PRECISION_RECALL_MIN_DEN: 0.040199±0.0011, RECALL: 0.040199±0.0011, MAP: 0.018666±0.0011, MRR: 0.018666±0.0011, NDCG: 0.023691±0.0011, F1: 0.007309±0.0002, HIT_RATE: 0.040199±0.0011, ARHR: 0.018666±0.0011, RMSE: 0.929227±0.0010, NOVELTY: 0.004941±0.0000, AVERAGE_POPULARITY: 0.809020±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.619603±0.0011, DIVERSITY_HERFINDAHL: 0.961946±0.0001, COVERAGE_ITEM: 0.012306±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.132068±0.0017, SHANNON_ENTROPY: 5.263326±0.0036, 
