CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 1370, 'shrink': 972, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.4659765866607084, 'tversky_beta': 0.18627103480235133} - results: ROC_AUC: 0.029554±0.0017, PRECISION: 0.004539±0.0002, PRECISION_RECALL_MIN_DEN: 0.045393±0.0017, RECALL: 0.045393±0.0017, MAP: 0.020480±0.0014, MRR: 0.020480±0.0014, NDCG: 0.026273±0.0014, F1: 0.008253±0.0003, HIT_RATE: 0.045393±0.0017, ARHR: 0.020480±0.0014, RMSE: 0.949145±0.0009, NOVELTY: 0.004998±0.0000, AVERAGE_POPULARITY: 0.765793±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.715075±0.0008, DIVERSITY_HERFINDAHL: 0.971491±0.0001, COVERAGE_ITEM: 0.021606±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.118756±0.0011, SHANNON_ENTROPY: 5.861116±0.0057, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 1810, 'shrink': 506, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 0.43629766062281783, 'tversky_beta': 1.9388495790930762} - results: ROC_AUC: 0.028410±0.0018, PRECISION: 0.004368±0.0002, PRECISION_RECALL_MIN_DEN: 0.043677±0.0021, RECALL: 0.043677±0.0021, MAP: 0.019835±0.0013, MRR: 0.019835±0.0013, NDCG: 0.025373±0.0014, F1: 0.007941±0.0004, HIT_RATE: 0.043677±0.0021, ARHR: 0.019835±0.0013, RMSE: 0.903771±0.0012, NOVELTY: 0.004973±0.0000, AVERAGE_POPULARITY: 0.783916±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.678034±0.0011, DIVERSITY_HERFINDAHL: 0.967788±0.0001, COVERAGE_ITEM: 0.017562±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.120880±0.0012, SHANNON_ENTROPY: 5.614819±0.0039, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 2109, 'shrink': 628, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 0.03574099239493456, 'tversky_beta': 1.8527475803362323} - results: ROC_AUC: 0.027567±0.0014, PRECISION: 0.004237±0.0002, PRECISION_RECALL_MIN_DEN: 0.042367±0.0019, RECALL: 0.042367±0.0019, MAP: 0.019206±0.0012, MRR: 0.019206±0.0012, NDCG: 0.024590±0.0013, F1: 0.007703±0.0003, HIT_RATE: 0.042367±0.0019, ARHR: 0.019206±0.0012, RMSE: 0.908283±0.0012, NOVELTY: 0.004961±0.0000, AVERAGE_POPULARITY: 0.793265±0.0043, DIVERSITY_MEAN_INTER_LIST: 0.656501±0.0007, DIVERSITY_HERFINDAHL: 0.965635±0.0001, COVERAGE_ITEM: 0.015734±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.122363±0.0022, SHANNON_ENTROPY: 5.485051±0.0050, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 2034, 'shrink': 1912, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 0.8889774550337928, 'tversky_beta': 1.0402634319163022} - results: ROC_AUC: 0.027858±0.0016, PRECISION: 0.004286±0.0002, PRECISION_RECALL_MIN_DEN: 0.042864±0.0020, RECALL: 0.042864±0.0020, MAP: 0.019407±0.0011, MRR: 0.019407±0.0011, NDCG: 0.024859±0.0013, F1: 0.007793±0.0004, HIT_RATE: 0.042864±0.0020, ARHR: 0.019407±0.0011, RMSE: 0.967001±0.0006, NOVELTY: 0.004964±0.0000, AVERAGE_POPULARITY: 0.791408±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.661263±0.0006, DIVERSITY_HERFINDAHL: 0.966111±0.0001, COVERAGE_ITEM: 0.016004±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.123011±0.0011, SHANNON_ENTROPY: 5.515213±0.0045, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 2528, 'shrink': 870, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 0.677053036215398, 'tversky_beta': 0.548155009905494} - results: ROC_AUC: 0.027145±0.0015, PRECISION: 0.004142±0.0002, PRECISION_RECALL_MIN_DEN: 0.041418±0.0016, RECALL: 0.041418±0.0016, MAP: 0.018966±0.0012, MRR: 0.018966±0.0012, NDCG: 0.024187±0.0013, F1: 0.007531±0.0003, HIT_RATE: 0.041418±0.0016, ARHR: 0.018966±0.0012, RMSE: 0.923282±0.0011, NOVELTY: 0.004948±0.0000, AVERAGE_POPULARITY: 0.803790±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.632521±0.0009, DIVERSITY_HERFINDAHL: 0.963238±0.0001, COVERAGE_ITEM: 0.013474±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.127768±0.0015, SHANNON_ENTROPY: 5.340250±0.0007, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 1296, 'shrink': 1585, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 0.31591277687677405, 'tversky_beta': 0.8272313139510525} - results: ROC_AUC: 0.029564±0.0020, PRECISION: 0.004517±0.0002, PRECISION_RECALL_MIN_DEN: 0.045167±0.0020, RECALL: 0.045167±0.0020, MAP: 0.020382±0.0016, MRR: 0.020382±0.0016, NDCG: 0.026151±0.0016, F1: 0.008212±0.0004, HIT_RATE: 0.045167±0.0020, ARHR: 0.020382±0.0016, RMSE: 0.967040±0.0007, NOVELTY: 0.005001±0.0000, AVERAGE_POPULARITY: 0.763425±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.718495±0.0011, DIVERSITY_HERFINDAHL: 0.971833±0.0001, COVERAGE_ITEM: 0.022330±0.0000, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.117081±0.0004, SHANNON_ENTROPY: 5.884722±0.0048, 
CrossSearchBayesianSkopt: New best config found. Config 6: {'topK': 515, 'shrink': 132, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.2999982689336775, 'tversky_beta': 1.7447397896547479} - results: ROC_AUC: 0.032284±0.0028, PRECISION: 0.004977±0.0004, PRECISION_RECALL_MIN_DEN: 0.049774±0.0036, RECALL: 0.049774±0.0036, MAP: 0.022131±0.0017, MRR: 0.022131±0.0017, NDCG: 0.028563±0.0022, F1: 0.009050±0.0007, HIT_RATE: 0.049774±0.0036, ARHR: 0.022131±0.0017, RMSE: 0.900356±0.0009, NOVELTY: 0.005093±0.0000, AVERAGE_POPULARITY: 0.700525±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.819165±0.0007, DIVERSITY_HERFINDAHL: 0.981898±0.0001, COVERAGE_ITEM: 0.038335±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.122276±0.0012, SHANNON_ENTROPY: 6.666567±0.0066, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 1952, 'shrink': 1604, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 0.8667321404793127, 'tversky_beta': 1.8980193426136005} - results: ROC_AUC: 0.027838±0.0015, PRECISION: 0.004318±0.0002, PRECISION_RECALL_MIN_DEN: 0.043180±0.0018, RECALL: 0.043180±0.0018, MAP: 0.019598±0.0013, MRR: 0.019598±0.0013, NDCG: 0.025063±0.0014, F1: 0.007851±0.0003, HIT_RATE: 0.043180±0.0018, ARHR: 0.019598±0.0013, RMSE: 0.962771±0.0006, NOVELTY: 0.004967±0.0000, AVERAGE_POPULARITY: 0.788883±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.667135±0.0007, DIVERSITY_HERFINDAHL: 0.966698±0.0001, COVERAGE_ITEM: 0.016404±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.123137±0.0024, SHANNON_ENTROPY: 5.549387±0.0047, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 2773, 'shrink': 133, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 0.49787269434759873, 'tversky_beta': 0.3375359808821286} - results: ROC_AUC: 0.027462±0.0011, PRECISION: 0.004128±0.0001, PRECISION_RECALL_MIN_DEN: 0.041283±0.0015, RECALL: 0.041283±0.0015, MAP: 0.019095±0.0011, MRR: 0.019095±0.0011, NDCG: 0.024269±0.0012, F1: 0.007506±0.0003, HIT_RATE: 0.041283±0.0015, ARHR: 0.019095±0.0011, RMSE: 0.773211±0.0054, NOVELTY: 0.004944±0.0000, AVERAGE_POPULARITY: 0.807298±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.628964±0.0013, DIVERSITY_HERFINDAHL: 0.962882±0.0001, COVERAGE_ITEM: 0.012760±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.131944±0.0022, SHANNON_ENTROPY: 5.313025±0.0047, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 2770, 'shrink': 1473, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.528707596545317, 'tversky_beta': 1.5756836486671186} - results: ROC_AUC: 0.026960±0.0011, PRECISION: 0.004024±0.0001, PRECISION_RECALL_MIN_DEN: 0.040244±0.0012, RECALL: 0.040244±0.0012, MAP: 0.018651±0.0010, MRR: 0.018651±0.0010, NDCG: 0.023696±0.0011, F1: 0.007317±0.0002, HIT_RATE: 0.040244±0.0012, ARHR: 0.018651±0.0010, RMSE: 0.953845±0.0007, NOVELTY: 0.004942±0.0000, AVERAGE_POPULARITY: 0.807926±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.622705±0.0010, DIVERSITY_HERFINDAHL: 0.962256±0.0001, COVERAGE_ITEM: 0.012566±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.130928±0.0026, SHANNON_ENTROPY: 5.279779±0.0041, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 2078, 'shrink': 151, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.6973287695890371, 'tversky_beta': 1.5165604960413268} - results: ROC_AUC: 0.029113±0.0014, PRECISION: 0.004426±0.0002, PRECISION_RECALL_MIN_DEN: 0.044264±0.0019, RECALL: 0.044264±0.0019, MAP: 0.020264±0.0013, MRR: 0.020264±0.0013, NDCG: 0.025851±0.0014, F1: 0.008048±0.0003, HIT_RATE: 0.044264±0.0019, ARHR: 0.020264±0.0013, RMSE: 0.824836±0.0021, NOVELTY: 0.004968±0.0000, AVERAGE_POPULARITY: 0.789100±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.676633±0.0006, DIVERSITY_HERFINDAHL: 0.967648±0.0001, COVERAGE_ITEM: 0.016177±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.127931±0.0021, SHANNON_ENTROPY: 5.590588±0.0035, 
