SearchBayesianSkopt: New best config found. Config 0: {'topK': 61, 'alpha': 1.593247861610292, 'normalize_similarity': True} - results: ROC_AUC: 0.1200590, PRECISION: 0.0191937, PRECISION_RECALL_MIN_DEN: 0.0639791, RECALL: 0.0639791, MAP: 0.0297566, MRR: 0.0835986, NDCG: 0.0521592, F1: 0.0295288, HIT_RATE: 0.1919373, ARHR: 0.0864055, RMSE: 0.9924571, NOVELTY: 0.0059300, AVERAGE_POPULARITY: 0.3447729, DIVERSITY_MEAN_INTER_LIST: 0.9740038, DIVERSITY_HERFINDAHL: 0.9973845, COVERAGE_ITEM: 0.2235199, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2113871, SHANNON_ENTROPY: 9.8359456, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 648, 'alpha': 0.9993423079568846, 'normalize_similarity': False} - results: ROC_AUC: 0.0564148, PRECISION: 0.0089767, PRECISION_RECALL_MIN_DEN: 0.0299222, RECALL: 0.0299222, MAP: 0.0135720, MRR: 0.0387307, NDCG: 0.0241277, F1: 0.0138102, HIT_RATE: 0.0897666, ARHR: 0.0397151, RMSE: 0.9965088, NOVELTY: 0.0062063, AVERAGE_POPULARITY: 0.2439048, DIVERSITY_MEAN_INTER_LIST: 0.9917449, DIVERSITY_HERFINDAHL: 0.9991583, COVERAGE_ITEM: 0.2802920, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3127674, SHANNON_ENTROPY: 11.0145927, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 942, 'alpha': 1.9790416857953828, 'normalize_similarity': True} - results: ROC_AUC: 0.0622639, PRECISION: 0.0101191, PRECISION_RECALL_MIN_DEN: 0.0337305, RECALL: 0.0337305, MAP: 0.0150907, MRR: 0.0430165, NDCG: 0.0269441, F1: 0.0155679, HIT_RATE: 0.1011914, ARHR: 0.0441341, RMSE: 0.9914599, NOVELTY: 0.0058116, AVERAGE_POPULARITY: 0.3546009, DIVERSITY_MEAN_INTER_LIST: 0.9780251, DIVERSITY_HERFINDAHL: 0.9977865, COVERAGE_ITEM: 0.1814544, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2211052, SHANNON_ENTROPY: 9.7967170, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 814, 'alpha': 0.18764314194298698, 'normalize_similarity': True} - results: ROC_AUC: 0.0806993, PRECISION: 0.0134650, PRECISION_RECALL_MIN_DEN: 0.0448833, RECALL: 0.0448833, MAP: 0.0199876, MRR: 0.0567581, NDCG: 0.0356836, F1: 0.0207154, HIT_RATE: 0.1346499, ARHR: 0.0583386, RMSE: 0.9949128, NOVELTY: 0.0058461, AVERAGE_POPULARITY: 0.3453453, DIVERSITY_MEAN_INTER_LIST: 0.9757278, DIVERSITY_HERFINDAHL: 0.9975569, COVERAGE_ITEM: 0.1917816, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2314359, SHANNON_ENTROPY: 9.8697233, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 337, 'alpha': 0.48433929461739555, 'normalize_similarity': True} - results: ROC_AUC: 0.1091212, PRECISION: 0.0174310, PRECISION_RECALL_MIN_DEN: 0.0581035, RECALL: 0.0581035, MAP: 0.0269253, MRR: 0.0759255, NDCG: 0.0473044, F1: 0.0268170, HIT_RATE: 0.1743104, ARHR: 0.0783303, RMSE: 0.9955977, NOVELTY: 0.0059750, AVERAGE_POPULARITY: 0.3135951, DIVERSITY_MEAN_INTER_LIST: 0.9790538, DIVERSITY_HERFINDAHL: 0.9978894, COVERAGE_ITEM: 0.2400108, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2299191, SHANNON_ENTROPY: 10.1275382, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 167, 'alpha': 0.8133829053315826, 'normalize_similarity': True} - results: ROC_AUC: 0.1198682, PRECISION: 0.0196344, PRECISION_RECALL_MIN_DEN: 0.0654480, RECALL: 0.0654480, MAP: 0.0294518, MRR: 0.0829869, NDCG: 0.0523278, F1: 0.0302068, HIT_RATE: 0.1963441, ARHR: 0.0856548, RMSE: 0.9948515, NOVELTY: 0.0059672, AVERAGE_POPULARITY: 0.3223576, DIVERSITY_MEAN_INTER_LIST: 0.9774380, DIVERSITY_HERFINDAHL: 0.9977278, COVERAGE_ITEM: 0.2309273, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2212858, SHANNON_ENTROPY: 10.0031435, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 401, 'alpha': 1.0788806054575533, 'normalize_similarity': True} - results: ROC_AUC: 0.0960237, PRECISION: 0.0153909, PRECISION_RECALL_MIN_DEN: 0.0513030, RECALL: 0.0513030, MAP: 0.0236048, MRR: 0.0669996, NDCG: 0.0416578, F1: 0.0236783, HIT_RATE: 0.1539089, ARHR: 0.0688953, RMSE: 0.9949887, NOVELTY: 0.0060628, AVERAGE_POPULARITY: 0.2839191, DIVERSITY_MEAN_INTER_LIST: 0.9839974, DIVERSITY_HERFINDAHL: 0.9983837, COVERAGE_ITEM: 0.2488781, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2605231, SHANNON_ENTROPY: 10.4290306, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 374, 'alpha': 0.0760325030516198, 'normalize_similarity': True} - results: ROC_AUC: 0.1010059, PRECISION: 0.0163865, PRECISION_RECALL_MIN_DEN: 0.0546216, RECALL: 0.0546216, MAP: 0.0248286, MRR: 0.0702733, NDCG: 0.0439739, F1: 0.0252100, HIT_RATE: 0.1638649, ARHR: 0.0723510, RMSE: 0.9959995, NOVELTY: 0.0059602, AVERAGE_POPULARITY: 0.3152709, DIVERSITY_MEAN_INTER_LIST: 0.9787581, DIVERSITY_HERFINDAHL: 0.9978598, COVERAGE_ITEM: 0.2343877, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2313843, SHANNON_ENTROPY: 10.1190291, 
SearchBayesianSkopt: New best config found. Config 8: {'topK': 23, 'alpha': 0.7076076659036109, 'normalize_similarity': True} - results: ROC_AUC: 0.1267233, PRECISION: 0.0209401, PRECISION_RECALL_MIN_DEN: 0.0698003, RECALL: 0.0698003, MAP: 0.0317538, MRR: 0.0885569, NDCG: 0.0560075, F1: 0.0322155, HIT_RATE: 0.2094010, ARHR: 0.0918928, RMSE: 0.9876974, NOVELTY: 0.0058209, AVERAGE_POPULARITY: 0.3682544, DIVERSITY_MEAN_INTER_LIST: 0.9722466, DIVERSITY_HERFINDAHL: 0.9972088, COVERAGE_ITEM: 0.1551230, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2084452, SHANNON_ENTROPY: 9.4782611, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 713, 'alpha': 0.9459777417935022, 'normalize_similarity': True} - results: ROC_AUC: 0.0824799, PRECISION: 0.0133671, PRECISION_RECALL_MIN_DEN: 0.0445569, RECALL: 0.0445569, MAP: 0.0203415, MRR: 0.0575941, NDCG: 0.0359626, F1: 0.0205647, HIT_RATE: 0.1336706, ARHR: 0.0592875, RMSE: 0.9942126, NOVELTY: 0.0059280, AVERAGE_POPULARITY: 0.3183014, DIVERSITY_MEAN_INTER_LIST: 0.9805806, DIVERSITY_HERFINDAHL: 0.9980421, COVERAGE_ITEM: 0.2095161, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2444096, SHANNON_ENTROPY: 10.1104133, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 637, 'alpha': 0.5021301511078552, 'normalize_similarity': True} - results: ROC_AUC: 0.0897773, PRECISION: 0.0146564, PRECISION_RECALL_MIN_DEN: 0.0488548, RECALL: 0.0488548, MAP: 0.0223732, MRR: 0.0632867, NDCG: 0.0394870, F1: 0.0225484, HIT_RATE: 0.1465644, ARHR: 0.0651895, RMSE: 0.9950509, NOVELTY: 0.0059186, AVERAGE_POPULARITY: 0.3236119, DIVERSITY_MEAN_INTER_LIST: 0.9786310, DIVERSITY_HERFINDAHL: 0.9978471, COVERAGE_ITEM: 0.2147067, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2364861, SHANNON_ENTROPY: 10.0543623, 
