CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 379, 'alpha': 1.628129249798307, 'normalize_similarity': True} - results: ROC_AUC: 0.0346828, PRECISION: 0.0052445, PRECISION_RECALL_MIN_DEN: 0.0524446, RECALL: 0.0524446, MAP: 0.0235628, MRR: 0.0235628, NDCG: 0.0303145, F1: 0.0095354, HIT_RATE: 0.0524446, ARHR: 0.0235628, RMSE: 0.9932094, NOVELTY: 0.0063689, AVERAGE_POPULARITY: 0.2528178, DIVERSITY_MEAN_INTER_LIST: 0.9900954, DIVERSITY_HERFINDAHL: 0.9990051, COVERAGE_ITEM: 0.4587835, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2650101, SHANNON_ENTROPY: 11.2945503, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 982, 'alpha': 1.2127772433884567, 'normalize_similarity': False} - results: ROC_AUC: 0.0280839, PRECISION: 0.0041973, PRECISION_RECALL_MIN_DEN: 0.0419734, RECALL: 0.0419734, MAP: 0.0194039, MRR: 0.0194039, NDCG: 0.0246820, F1: 0.0076315, HIT_RATE: 0.0419734, ARHR: 0.0194039, RMSE: 0.9991369, NOVELTY: 0.0064672, AVERAGE_POPULARITY: 0.2219475, DIVERSITY_MEAN_INTER_LIST: 0.9933111, DIVERSITY_HERFINDAHL: 0.9993267, COVERAGE_ITEM: 0.5303271, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2860936, SHANNON_ENTROPY: 11.6779344, 
CrossSearchBayesianSkopt: New best config found. Config 2: {'topK': 358, 'alpha': 0.6302579815163213, 'normalize_similarity': False} - results: ROC_AUC: 0.0589714, PRECISION: 0.0084204, PRECISION_RECALL_MIN_DEN: 0.0842044, RECALL: 0.0842044, MAP: 0.0416197, MRR: 0.0416197, NDCG: 0.0516333, F1: 0.0153099, HIT_RATE: 0.0842044, ARHR: 0.0416197, RMSE: 0.9488955, NOVELTY: 0.0055613, AVERAGE_POPULARITY: 0.5000393, DIVERSITY_MEAN_INTER_LIST: 0.9314101, DIVERSITY_HERFINDAHL: 0.9931369, COVERAGE_ITEM: 0.3675588, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1033714, SHANNON_ENTROPY: 8.9092078, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 204, 'alpha': 1.0995780904037613, 'normalize_similarity': True} - results: ROC_AUC: 0.0518101, PRECISION: 0.0071797, PRECISION_RECALL_MIN_DEN: 0.0717971, RECALL: 0.0717971, MAP: 0.0370020, MRR: 0.0370020, NDCG: 0.0452189, F1: 0.0130540, HIT_RATE: 0.0717971, ARHR: 0.0370020, RMSE: 0.9938665, NOVELTY: 0.0062981, AVERAGE_POPULARITY: 0.2557492, DIVERSITY_MEAN_INTER_LIST: 0.9891033, DIVERSITY_HERFINDAHL: 0.9989059, COVERAGE_ITEM: 0.4815572, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2385556, SHANNON_ENTROPY: 11.1743799, 
CrossSearchBayesianSkopt: New best config found. Config 4: {'topK': 122, 'alpha': 0.38923114168898876, 'normalize_similarity': True} - results: ROC_AUC: 0.0651223, PRECISION: 0.0089409, PRECISION_RECALL_MIN_DEN: 0.0894089, RECALL: 0.0894089, MAP: 0.0463118, MRR: 0.0463118, NDCG: 0.0565159, F1: 0.0162562, HIT_RATE: 0.0894089, ARHR: 0.0463118, RMSE: 0.9939464, NOVELTY: 0.0061533, AVERAGE_POPULARITY: 0.2857239, DIVERSITY_MEAN_INTER_LIST: 0.9833118, DIVERSITY_HERFINDAHL: 0.9983268, COVERAGE_ITEM: 0.4400324, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1694933, SHANNON_ENTROPY: 10.5032536, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 234, 'alpha': 0.3606238734062717, 'normalize_similarity': False} - results: ROC_AUC: 0.0509575, PRECISION: 0.0072614, PRECISION_RECALL_MIN_DEN: 0.0726142, RECALL: 0.0726142, MAP: 0.0365498, MRR: 0.0365498, NDCG: 0.0450149, F1: 0.0132026, HIT_RATE: 0.0726142, ARHR: 0.0365498, RMSE: 1.1855296, NOVELTY: 0.0052468, AVERAGE_POPULARITY: 0.6392199, DIVERSITY_MEAN_INTER_LIST: 0.8614901, DIVERSITY_HERFINDAHL: 0.9861452, COVERAGE_ITEM: 0.2397621, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0655881, SHANNON_ENTROPY: 7.5547437, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 633, 'alpha': 0.7320307693354157, 'normalize_similarity': True} - results: ROC_AUC: 0.0555452, PRECISION: 0.0077952, PRECISION_RECALL_MIN_DEN: 0.0779520, RECALL: 0.0779520, MAP: 0.0395143, MRR: 0.0395143, NDCG: 0.0485750, F1: 0.0141731, HIT_RATE: 0.0779520, ARHR: 0.0395143, RMSE: 0.9954845, NOVELTY: 0.0060330, AVERAGE_POPULARITY: 0.3205527, DIVERSITY_MEAN_INTER_LIST: 0.9813394, DIVERSITY_HERFINDAHL: 0.9981296, COVERAGE_ITEM: 0.4792863, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1781325, SHANNON_ENTROPY: 10.5595775, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 501, 'alpha': 0.3642923195886392, 'normalize_similarity': False} - results: ROC_AUC: 0.0486276, PRECISION: 0.0069310, PRECISION_RECALL_MIN_DEN: 0.0693104, RECALL: 0.0693104, MAP: 0.0348892, MRR: 0.0348892, NDCG: 0.0429692, F1: 0.0126019, HIT_RATE: 0.0693104, ARHR: 0.0348892, RMSE: 1.2340148, NOVELTY: 0.0051606, AVERAGE_POPULARITY: 0.6876673, DIVERSITY_MEAN_INTER_LIST: 0.8118206, DIVERSITY_HERFINDAHL: 0.9811785, COVERAGE_ITEM: 0.2079697, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0541902, SHANNON_ENTROPY: 7.0102334, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 634, 'alpha': 1.5946143034884752, 'normalize_similarity': True} - results: ROC_AUC: 0.0347430, PRECISION: 0.0053191, PRECISION_RECALL_MIN_DEN: 0.0531906, RECALL: 0.0531906, MAP: 0.0235120, MRR: 0.0235120, NDCG: 0.0304351, F1: 0.0096710, HIT_RATE: 0.0531906, ARHR: 0.0235120, RMSE: 0.9931612, NOVELTY: 0.0063055, AVERAGE_POPULARITY: 0.2730406, DIVERSITY_MEAN_INTER_LIST: 0.9879716, DIVERSITY_HERFINDAHL: 0.9987928, COVERAGE_ITEM: 0.4636172, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2546852, SHANNON_ENTROPY: 11.1753260, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 839, 'alpha': 1.72943703041547, 'normalize_similarity': False} - results: ROC_AUC: 0.0127556, PRECISION: 0.0020765, PRECISION_RECALL_MIN_DEN: 0.0207647, RECALL: 0.0207647, MAP: 0.0084095, MRR: 0.0084095, NDCG: 0.0112746, F1: 0.0037754, HIT_RATE: 0.0207647, ARHR: 0.0084095, RMSE: 0.9999582, NOVELTY: 0.0066751, AVERAGE_POPULARITY: 0.1807334, DIVERSITY_MEAN_INTER_LIST: 0.9956807, DIVERSITY_HERFINDAHL: 0.9995636, COVERAGE_ITEM: 0.5545174, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3371113, SHANNON_ENTROPY: 12.0724655, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 613, 'alpha': 0.692169217614471, 'normalize_similarity': False} - results: ROC_AUC: 0.0574162, PRECISION: 0.0082259, PRECISION_RECALL_MIN_DEN: 0.0822594, RECALL: 0.0822594, MAP: 0.0405404, MRR: 0.0405404, NDCG: 0.0503424, F1: 0.0149563, HIT_RATE: 0.0822594, ARHR: 0.0405404, RMSE: 0.9623724, NOVELTY: 0.0055899, AVERAGE_POPULARITY: 0.4864304, DIVERSITY_MEAN_INTER_LIST: 0.9376534, DIVERSITY_HERFINDAHL: 0.9937612, COVERAGE_ITEM: 0.3782860, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1078915, SHANNON_ENTROPY: 9.0395675, 
