CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 619, 'alpha': 0.4713094113679447, 'normalize_similarity': False} - results: ROC_AUC: 0.025970±0.0014, PRECISION: 0.004109±0.0003, PRECISION_RECALL_MIN_DEN: 0.041085±0.0027, RECALL: 0.041085±0.0027, MAP: 0.017973±0.0012, MRR: 0.017973±0.0012, NDCG: 0.023325±0.0014, F1: 0.007470±0.0005, HIT_RATE: 0.041085±0.0027, ARHR: 0.017973±0.0012, RMSE: 0.952370±0.0071, NOVELTY: 0.004964±0.0000, AVERAGE_POPULARITY: 0.797654±0.0056, DIVERSITY_MEAN_INTER_LIST: 0.666464±0.0028, DIVERSITY_HERFINDAHL: 0.966630±0.0003, COVERAGE_ITEM: 0.019584±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.102826±0.0016, SHANNON_ENTROPY: 5.513635±0.0107, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 777, 'alpha': 1.7447198230535559, 'normalize_similarity': False} - results: ROC_AUC: 0.003787±0.0007, PRECISION: 0.000685±0.0001, PRECISION_RECALL_MIN_DEN: 0.006848±0.0008, RECALL: 0.006848±0.0008, MAP: 0.002403±0.0004, MRR: 0.002403±0.0004, NDCG: 0.003422±0.0005, F1: 0.001245±0.0002, HIT_RATE: 0.006848±0.0008, ARHR: 0.002403±0.0004, RMSE: 0.999915±0.0000, NOVELTY: 0.006735±0.0000, AVERAGE_POPULARITY: 0.182944±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.995326±0.0000, DIVERSITY_HERFINDAHL: 0.999507±0.0000, COVERAGE_ITEM: 0.371603±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.435753±0.0014, SHANNON_ENTROPY: 11.852241±0.0047, 
CrossSearchBayesianSkopt: New best config found. Config 2: {'topK': 398, 'alpha': 0.6819378848108272, 'normalize_similarity': True} - results: ROC_AUC: 0.040567±0.0014, PRECISION: 0.006361±0.0002, PRECISION_RECALL_MIN_DEN: 0.063606±0.0017, RECALL: 0.063606±0.0017, MAP: 0.027067±0.0016, MRR: 0.027067±0.0016, NDCG: 0.035573±0.0014, F1: 0.011565±0.0003, HIT_RATE: 0.063606±0.0017, ARHR: 0.027067±0.0016, RMSE: 0.991675±0.0001, NOVELTY: 0.005923±0.0000, AVERAGE_POPULARITY: 0.344523±0.0026, DIVERSITY_MEAN_INTER_LIST: 0.971221±0.0004, DIVERSITY_HERFINDAHL: 0.997097±0.0000, COVERAGE_ITEM: 0.211971±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.219892±0.0006, SHANNON_ENTROPY: 9.755107±0.0094, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 618, 'alpha': 1.138595165753777, 'normalize_similarity': True} - results: ROC_AUC: 0.029554±0.0023, PRECISION: 0.004743±0.0002, PRECISION_RECALL_MIN_DEN: 0.047426±0.0024, RECALL: 0.047426±0.0024, MAP: 0.019154±0.0019, MRR: 0.019154±0.0019, NDCG: 0.025739±0.0020, F1: 0.008623±0.0004, HIT_RATE: 0.047426±0.0024, ARHR: 0.019154±0.0019, RMSE: 0.988873±0.0001, NOVELTY: 0.006033±0.0000, AVERAGE_POPULARITY: 0.341733±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.975426±0.0004, DIVERSITY_HERFINDAHL: 0.997518±0.0000, COVERAGE_ITEM: 0.242520±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.265942±0.0007, SHANNON_ENTROPY: 10.175630±0.0109, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 962, 'alpha': 0.6162309182806464, 'normalize_similarity': True} - results: ROC_AUC: 0.034683±0.0023, PRECISION: 0.005443±0.0003, PRECISION_RECALL_MIN_DEN: 0.054426±0.0033, RECALL: 0.054426±0.0033, MAP: 0.023043±0.0020, MRR: 0.023043±0.0020, NDCG: 0.030352±0.0022, F1: 0.009896±0.0006, HIT_RATE: 0.054426±0.0033, ARHR: 0.023043±0.0020, RMSE: 0.990663±0.0001, NOVELTY: 0.005751±0.0000, AVERAGE_POPULARITY: 0.403885±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.960420±0.0005, DIVERSITY_HERFINDAHL: 0.996018±0.0000, COVERAGE_ITEM: 0.188462±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.201246±0.0010, SHANNON_ENTROPY: 9.390809±0.0096, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 786, 'alpha': 0.8384292818254986, 'normalize_similarity': True} - results: ROC_AUC: 0.033516±0.0023, PRECISION: 0.005295±0.0004, PRECISION_RECALL_MIN_DEN: 0.052955±0.0036, RECALL: 0.052955±0.0036, MAP: 0.022727±0.0016, MRR: 0.022727±0.0016, NDCG: 0.029749±0.0020, F1: 0.009628±0.0007, HIT_RATE: 0.052955±0.0036, ARHR: 0.022727±0.0016, RMSE: 0.990133±0.0001, NOVELTY: 0.005873±0.0000, AVERAGE_POPULARITY: 0.375220±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.967664±0.0003, DIVERSITY_HERFINDAHL: 0.996742±0.0000, COVERAGE_ITEM: 0.219984±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.225404±0.0007, SHANNON_ENTROPY: 9.752008±0.0070, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 904, 'alpha': 0.6034282894435986, 'normalize_similarity': False} - results: ROC_AUC: 0.027988±0.0010, PRECISION: 0.004459±0.0002, PRECISION_RECALL_MIN_DEN: 0.044585±0.0018, RECALL: 0.044585±0.0018, MAP: 0.019133±0.0010, MRR: 0.019133±0.0010, NDCG: 0.025031±0.0009, F1: 0.008106±0.0003, HIT_RATE: 0.044585±0.0018, ARHR: 0.019133±0.0010, RMSE: 0.802435±0.0031, NOVELTY: 0.005019±0.0000, AVERAGE_POPULARITY: 0.757623±0.0054, DIVERSITY_MEAN_INTER_LIST: 0.735206±0.0021, DIVERSITY_HERFINDAHL: 0.973502±0.0002, COVERAGE_ITEM: 0.027294±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.105507±0.0006, SHANNON_ENTROPY: 5.971395±0.0111, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 741, 'alpha': 1.9229446782581336, 'normalize_similarity': False} - results: ROC_AUC: 0.003387±0.0008, PRECISION: 0.000609±0.0001, PRECISION_RECALL_MIN_DEN: 0.006087±0.0011, RECALL: 0.006087±0.0011, MAP: 0.002217±0.0004, MRR: 0.002217±0.0004, NDCG: 0.003104±0.0006, F1: 0.001107±0.0002, HIT_RATE: 0.006087±0.0011, ARHR: 0.002217±0.0004, RMSE: 0.999964±0.0000, NOVELTY: 0.006763±0.0000, AVERAGE_POPULARITY: 0.177978±0.0018, DIVERSITY_MEAN_INTER_LIST: 0.995558±0.0000, DIVERSITY_HERFINDAHL: 0.999531±0.0000, COVERAGE_ITEM: 0.376037±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.441748±0.0014, SHANNON_ENTROPY: 11.895215±0.0037, 
CrossSearchBayesianSkopt: New best config found. Config 8: {'topK': 100, 'alpha': 0.2652258527171301, 'normalize_similarity': True} - results: ROC_AUC: 0.048181±0.0009, PRECISION: 0.007730±0.0001, PRECISION_RECALL_MIN_DEN: 0.077302±0.0009, RECALL: 0.077302±0.0009, MAP: 0.031108±0.0010, MRR: 0.031108±0.0010, NDCG: 0.041853±0.0009, F1: 0.014055±0.0002, HIT_RATE: 0.077302±0.0009, ARHR: 0.031108±0.0010, RMSE: 0.990008±0.0002, NOVELTY: 0.005889±0.0000, AVERAGE_POPULARITY: 0.334951±0.0023, DIVERSITY_MEAN_INTER_LIST: 0.970845±0.0003, DIVERSITY_HERFINDAHL: 0.997060±0.0000, COVERAGE_ITEM: 0.130619±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.231807±0.0007, SHANNON_ENTROPY: 9.394426±0.0069, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 210, 'alpha': 1.312453140795668, 'normalize_similarity': False} - results: ROC_AUC: 0.005839±0.0011, PRECISION: 0.001065±0.0001, PRECISION_RECALL_MIN_DEN: 0.010652±0.0011, RECALL: 0.010652±0.0011, MAP: 0.003653±0.0006, MRR: 0.003653±0.0006, NDCG: 0.005260±0.0007, F1: 0.001937±0.0002, HIT_RATE: 0.010652±0.0011, ARHR: 0.003653±0.0006, RMSE: 0.999553±0.0000, NOVELTY: 0.006847±0.0000, AVERAGE_POPULARITY: 0.159134±0.0015, DIVERSITY_MEAN_INTER_LIST: 0.996364±0.0000, DIVERSITY_HERFINDAHL: 0.999611±0.0000, COVERAGE_ITEM: 0.395437±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.454803±0.0013, SHANNON_ENTROPY: 12.037871±0.0048, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 436, 'alpha': 0.9626112423000763, 'normalize_similarity': False} - results: ROC_AUC: 0.024933±0.0024, PRECISION: 0.003977±0.0003, PRECISION_RECALL_MIN_DEN: 0.039767±0.0026, RECALL: 0.039767±0.0026, MAP: 0.016395±0.0022, MRR: 0.016395±0.0022, NDCG: 0.021830±0.0022, F1: 0.007230±0.0005, HIT_RATE: 0.039767±0.0026, ARHR: 0.016395±0.0022, RMSE: 0.993825±0.0001, NOVELTY: 0.006414±0.0000, AVERAGE_POPULARITY: 0.235623±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.989953±0.0001, DIVERSITY_HERFINDAHL: 0.998970±0.0000, COVERAGE_ITEM: 0.316075±0.0014, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.350323±0.0009, SHANNON_ENTROPY: 11.171675±0.0064, 
