SearchBayesianSkopt: New best config found. Config 0: {'topK': 392, 'alpha': 0.18842749643163131, 'normalize_similarity': True} - results: ROC_AUC: 0.3053020, PRECISION: 0.0134889, PRECISION_RECALL_MIN_DEN: 0.0449630, RECALL: 0.0449630, MAP: 0.0227076, MRR: 0.0620329, NDCG: 0.0382249, F1: 0.0207521, HIT_RATE: 0.1348889, ARHR: 0.0650083, RMSE: nan, NOVELTY: 0.0047138, AVERAGE_POPULARITY: 0.2340044, DIVERSITY_MEAN_INTER_LIST: 0.9901367, DIVERSITY_HERFINDAHL: 0.9983725, COVERAGE_ITEM: 0.3884293, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1866870, SHANNON_ENTROPY: 10.5177350, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 447, 'alpha': 1.7979841043761848, 'normalize_similarity': False} - results: ROC_AUC: 0.2325368, PRECISION: 0.0023044, PRECISION_RECALL_MIN_DEN: 0.0076813, RECALL: 0.0076813, MAP: 0.0029137, MRR: 0.0084443, NDCG: 0.0055928, F1: 0.0035452, HIT_RATE: 0.0230439, ARHR: 0.0085879, RMSE: nan, NOVELTY: 0.0052694, AVERAGE_POPULARITY: 0.1287154, DIVERSITY_MEAN_INTER_LIST: 0.9978523, DIVERSITY_HERFINDAHL: 0.9996394, COVERAGE_ITEM: 0.5220330, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3717279, SHANNON_ENTROPY: 12.1739378, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 522, 'alpha': 0.7028916047336596, 'normalize_similarity': True} - results: ROC_AUC: 0.2972050, PRECISION: 0.0123897, PRECISION_RECALL_MIN_DEN: 0.0412991, RECALL: 0.0412991, MAP: 0.0202873, MRR: 0.0555810, NDCG: 0.0345329, F1: 0.0190611, HIT_RATE: 0.1238972, ARHR: 0.0581467, RMSE: nan, NOVELTY: 0.0047659, AVERAGE_POPULARITY: 0.2304323, DIVERSITY_MEAN_INTER_LIST: 0.9910985, DIVERSITY_HERFINDAHL: 0.9985304, COVERAGE_ITEM: 0.4337929, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2082636, SHANNON_ENTROPY: 10.7695400, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 84, 'alpha': 0.6033770403001427, 'normalize_similarity': True} - results: ROC_AUC: 0.3122535, PRECISION: 0.0143470, PRECISION_RECALL_MIN_DEN: 0.0478234, RECALL: 0.0478234, MAP: 0.0247266, MRR: 0.0674692, NDCG: 0.0412585, F1: 0.0220723, HIT_RATE: 0.1434701, ARHR: 0.0707517, RMSE: nan, NOVELTY: 0.0048992, AVERAGE_POPULARITY: 0.2050107, DIVERSITY_MEAN_INTER_LIST: 0.9915792, DIVERSITY_HERFINDAHL: 0.9986093, COVERAGE_ITEM: 0.4264396, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2112661, SHANNON_ENTROPY: 10.7944246, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 183, 'alpha': 1.489467543557669, 'normalize_similarity': False} - results: ROC_AUC: 0.2318064, PRECISION: 0.0021067, PRECISION_RECALL_MIN_DEN: 0.0070224, RECALL: 0.0070224, MAP: 0.0027858, MRR: 0.0080937, NDCG: 0.0052525, F1: 0.0032411, HIT_RATE: 0.0210673, ARHR: 0.0082256, RMSE: nan, NOVELTY: 0.0054248, AVERAGE_POPULARITY: 0.1017238, DIVERSITY_MEAN_INTER_LIST: 0.9984795, DIVERSITY_HERFINDAHL: 0.9997424, COVERAGE_ITEM: 0.5480400, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.4221550, SHANNON_ENTROPY: 12.4626163, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 997, 'alpha': 1.9724513965139445, 'normalize_similarity': True} - results: ROC_AUC: 0.2463358, PRECISION: 0.0051005, PRECISION_RECALL_MIN_DEN: 0.0170017, RECALL: 0.0170017, MAP: 0.0059279, MRR: 0.0166782, NDCG: 0.0117286, F1: 0.0078469, HIT_RATE: 0.0510052, ARHR: 0.0172200, RMSE: nan, NOVELTY: 0.0049649, AVERAGE_POPULARITY: 0.2040609, DIVERSITY_MEAN_INTER_LIST: 0.9936759, DIVERSITY_HERFINDAHL: 0.9989536, COVERAGE_ITEM: 0.3784266, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2885483, SHANNON_ENTROPY: 11.1775598, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1000, 'alpha': 0.0, 'normalize_similarity': True} - results: ROC_AUC: 0.2902068, PRECISION: 0.0113243, PRECISION_RECALL_MIN_DEN: 0.0377477, RECALL: 0.0377477, MAP: 0.0184754, MRR: 0.0508970, NDCG: 0.0315346, F1: 0.0174220, HIT_RATE: 0.1132430, ARHR: 0.0531097, RMSE: nan, NOVELTY: 0.0045486, AVERAGE_POPULARITY: 0.2784280, DIVERSITY_MEAN_INTER_LIST: 0.9864038, DIVERSITY_HERFINDAHL: 0.9977595, COVERAGE_ITEM: 0.3105704, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1620656, SHANNON_ENTROPY: 10.0026347, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 5, 'alpha': 0.0, 'normalize_similarity': True} - results: ROC_AUC: 0.2964425, PRECISION: 0.0102348, PRECISION_RECALL_MIN_DEN: 0.0341159, RECALL: 0.0341159, MAP: 0.0208604, MRR: 0.0587959, NDCG: 0.0331792, F1: 0.0157458, HIT_RATE: 0.1023478, ARHR: 0.0606671, RMSE: nan, NOVELTY: 0.0058577, AVERAGE_POPULARITY: 0.0815948, DIVERSITY_MEAN_INTER_LIST: 0.8843846, DIVERSITY_HERFINDAHL: 0.9810073, COVERAGE_ITEM: 0.3471749, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1516685, SHANNON_ENTROPY: 8.5772512, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 5, 'alpha': 0.0, 'normalize_similarity': True} - results: ROC_AUC: 0.2964425, PRECISION: 0.0102348, PRECISION_RECALL_MIN_DEN: 0.0341159, RECALL: 0.0341159, MAP: 0.0208604, MRR: 0.0587959, NDCG: 0.0331792, F1: 0.0157458, HIT_RATE: 0.1023478, ARHR: 0.0606671, RMSE: nan, NOVELTY: 0.0058577, AVERAGE_POPULARITY: 0.0815948, DIVERSITY_MEAN_INTER_LIST: 0.8843846, DIVERSITY_HERFINDAHL: 0.9810073, COVERAGE_ITEM: 0.3471749, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1516685, SHANNON_ENTROPY: 8.5772512, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 1000, 'alpha': 0.0, 'normalize_similarity': False} - results: ROC_AUC: 0.2805954, PRECISION: 0.0098636, PRECISION_RECALL_MIN_DEN: 0.0328786, RECALL: 0.0328786, MAP: 0.0158086, MRR: 0.0443815, NDCG: 0.0272912, F1: 0.0151747, HIT_RATE: 0.0986357, ARHR: 0.0458756, RMSE: nan, NOVELTY: 0.0039589, AVERAGE_POPULARITY: 0.5885690, DIVERSITY_MEAN_INTER_LIST: 0.8062371, DIVERSITY_HERFINDAHL: 0.9681750, COVERAGE_ITEM: 0.1608543, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.0430653, SHANNON_ENTROPY: 6.1055252, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 992, 'alpha': 0.7861265208752637, 'normalize_similarity': True} - results: ROC_AUC: 0.2878268, PRECISION: 0.0112809, PRECISION_RECALL_MIN_DEN: 0.0376030, RECALL: 0.0376030, MAP: 0.0176033, MRR: 0.0483623, NDCG: 0.0305287, F1: 0.0173553, HIT_RATE: 0.1128091, ARHR: 0.0505257, RMSE: nan, NOVELTY: 0.0046733, AVERAGE_POPULARITY: 0.2629791, DIVERSITY_MEAN_INTER_LIST: 0.9882477, DIVERSITY_HERFINDAHL: 0.9980623, COVERAGE_ITEM: 0.4118951, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1914089, SHANNON_ENTROPY: 10.4695797, 
