CrossSearchBayesianSkopt: New best config found. Config 0: {'num_factors': 409, 'n_oversamples': 29, 'n_iter': 10, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.039789±0.0010, PRECISION: 0.005313±0.0001, PRECISION_RECALL_MIN_DEN: 0.053128±0.0010, RECALL: 0.053128±0.0010, MAP: 0.029224±0.0010, MRR: 0.029224±0.0010, NDCG: 0.034901±0.0009, F1: 0.009660±0.0002, HIT_RATE: 0.053128±0.0010, ARHR: 0.029224±0.0010, RMSE: 0.950915±0.0009, NOVELTY: 0.006065±0.0000, AVERAGE_POPULARITY: 0.205914±0.0025, DIVERSITY_MEAN_INTER_LIST: 0.985660±0.0001, DIVERSITY_HERFINDAHL: 0.998562±0.0000, COVERAGE_ITEM: 0.098437±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.357013±0.0030, SHANNON_ENTROPY: 9.767135±0.0048, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'num_factors': 388, 'n_oversamples': 28, 'n_iter': 15, 'feature_weighting': 'none'} - results: ROC_AUC: 0.036372±0.0009, PRECISION: 0.004745±0.0001, PRECISION_RECALL_MIN_DEN: 0.047453±0.0010, RECALL: 0.047453±0.0010, MAP: 0.027146±0.0008, MRR: 0.027146±0.0008, NDCG: 0.031981±0.0008, F1: 0.008628±0.0002, HIT_RATE: 0.047453±0.0010, ARHR: 0.027146±0.0008, RMSE: 0.987510±0.0003, NOVELTY: 0.006022±0.0000, AVERAGE_POPULARITY: 0.210141±0.0027, DIVERSITY_MEAN_INTER_LIST: 0.982724±0.0000, DIVERSITY_HERFINDAHL: 0.998268±0.0000, COVERAGE_ITEM: 0.082336±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.355760±0.0016, SHANNON_ENTROPY: 9.505809±0.0024, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'num_factors': 800, 'n_oversamples': 27, 'n_iter': 10, 'feature_weighting': 'none'} - results: ROC_AUC: 0.034053±0.0009, PRECISION: 0.004380±0.0001, PRECISION_RECALL_MIN_DEN: 0.043803±0.0010, RECALL: 0.043803±0.0010, MAP: 0.025546±0.0006, MRR: 0.025546±0.0006, NDCG: 0.029905±0.0006, F1: 0.007964±0.0002, HIT_RATE: 0.043803±0.0010, ARHR: 0.025546±0.0006, RMSE: 0.990524±0.0002, NOVELTY: 0.006418±0.0000, AVERAGE_POPULARITY: 0.127726±0.0017, DIVERSITY_MEAN_INTER_LIST: 0.990848±0.0000, DIVERSITY_HERFINDAHL: 0.999080±0.0000, COVERAGE_ITEM: 0.145985±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.375058±0.0016, SHANNON_ENTROPY: 10.404655±0.0057, 
CrossSearchBayesianSkopt: New best config found. Config 3: {'num_factors': 741, 'n_oversamples': 13, 'n_iter': 6, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.047744±0.0011, PRECISION: 0.006134±0.0001, PRECISION_RECALL_MIN_DEN: 0.061344±0.0012, RECALL: 0.061344±0.0012, MAP: 0.035378±0.0009, MRR: 0.035378±0.0009, NDCG: 0.041595±0.0009, F1: 0.011153±0.0002, HIT_RATE: 0.061344±0.0012, ARHR: 0.035378±0.0009, RMSE: 0.937851±0.0009, NOVELTY: 0.006266±0.0000, AVERAGE_POPULARITY: 0.167966±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.992395±0.0000, DIVERSITY_HERFINDAHL: 0.999235±0.0000, COVERAGE_ITEM: 0.177605±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.368478±0.0022, SHANNON_ENTROPY: 10.654334±0.0027, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'num_factors': 779, 'n_oversamples': 7, 'n_iter': 9, 'feature_weighting': 'none'} - results: ROC_AUC: 0.034534±0.0006, PRECISION: 0.004403±0.0001, PRECISION_RECALL_MIN_DEN: 0.044034±0.0010, RECALL: 0.044034±0.0010, MAP: 0.026018±0.0006, MRR: 0.026018±0.0006, NDCG: 0.030329±0.0006, F1: 0.008006±0.0002, HIT_RATE: 0.044034±0.0010, ARHR: 0.026018±0.0006, RMSE: 0.990398±0.0002, NOVELTY: 0.006398±0.0000, AVERAGE_POPULARITY: 0.130907±0.0017, DIVERSITY_MEAN_INTER_LIST: 0.990612±0.0000, DIVERSITY_HERFINDAHL: 0.999057±0.0000, COVERAGE_ITEM: 0.142612±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.374353±0.0017, SHANNON_ENTROPY: 10.367996±0.0035, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'num_factors': 780, 'n_oversamples': 13, 'n_iter': 10, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.046788±0.0008, PRECISION: 0.006030±0.0001, PRECISION_RECALL_MIN_DEN: 0.060296±0.0013, RECALL: 0.060296±0.0013, MAP: 0.034551±0.0006, MRR: 0.034551±0.0006, NDCG: 0.040713±0.0007, F1: 0.010963±0.0002, HIT_RATE: 0.060296±0.0013, ARHR: 0.034551±0.0006, RMSE: 0.938938±0.0011, NOVELTY: 0.006314±0.0000, AVERAGE_POPULARITY: 0.158122±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.992833±0.0000, DIVERSITY_HERFINDAHL: 0.999279±0.0000, COVERAGE_ITEM: 0.186548±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.372261±0.0016, SHANNON_ENTROPY: 10.739718±0.0025, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'num_factors': 207, 'n_oversamples': 22, 'n_iter': 12, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.048865±0.0007, PRECISION: 0.006707±0.0000, PRECISION_RECALL_MIN_DEN: 0.067072±0.0005, RECALL: 0.067072±0.0005, MAP: 0.035271±0.0008, MRR: 0.035271±0.0008, NDCG: 0.042790±0.0007, F1: 0.012195±0.0001, HIT_RATE: 0.067072±0.0005, ARHR: 0.035271±0.0008, RMSE: 0.928084±0.0007, NOVELTY: 0.005643±0.0000, AVERAGE_POPULARITY: 0.365734±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.975737±0.0000, DIVERSITY_HERFINDAHL: 0.997569±0.0000, COVERAGE_ITEM: 0.075437±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.280790±0.0012, SHANNON_ENTROPY: 9.044880±0.0016, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'num_factors': 508, 'n_oversamples': 20, 'n_iter': 5, 'feature_weighting': 'none'} - results: ROC_AUC: 0.036630±0.0005, PRECISION: 0.004744±0.0001, PRECISION_RECALL_MIN_DEN: 0.047435±0.0008, RECALL: 0.047435±0.0008, MAP: 0.027518±0.0006, MRR: 0.027518±0.0006, NDCG: 0.032265±0.0006, F1: 0.008625±0.0001, HIT_RATE: 0.047435±0.0008, ARHR: 0.027518±0.0006, RMSE: 0.988453±0.0003, NOVELTY: 0.006137±0.0000, AVERAGE_POPULARITY: 0.181843±0.0023, DIVERSITY_MEAN_INTER_LIST: 0.986112±0.0000, DIVERSITY_HERFINDAHL: 0.998607±0.0000, COVERAGE_ITEM: 0.099973±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.362234±0.0017, SHANNON_ENTROPY: 9.809184±0.0030, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'num_factors': 313, 'n_oversamples': 9, 'n_iter': 17, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.039548±0.0014, PRECISION: 0.005339±0.0001, PRECISION_RECALL_MIN_DEN: 0.053395±0.0011, RECALL: 0.053395±0.0011, MAP: 0.028820±0.0012, MRR: 0.028820±0.0012, NDCG: 0.034644±0.0012, F1: 0.009708±0.0002, HIT_RATE: 0.053395±0.0011, ARHR: 0.028820±0.0012, RMSE: 0.949457±0.0006, NOVELTY: 0.005942±0.0000, AVERAGE_POPULARITY: 0.240331±0.0031, DIVERSITY_MEAN_INTER_LIST: 0.981909±0.0001, DIVERSITY_HERFINDAHL: 0.998187±0.0000, COVERAGE_ITEM: 0.078367±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.356417±0.0043, SHANNON_ENTROPY: 9.435597±0.0060, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'num_factors': 90, 'n_oversamples': 29, 'n_iter': 17, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.039156±0.0012, PRECISION: 0.005478±0.0001, PRECISION_RECALL_MIN_DEN: 0.054780±0.0009, RECALL: 0.054780±0.0009, MAP: 0.028144±0.0012, MRR: 0.028144±0.0012, NDCG: 0.034419±0.0011, F1: 0.009960±0.0002, HIT_RATE: 0.054780±0.0009, ARHR: 0.028144±0.0012, RMSE: 0.951047±0.0005, NOVELTY: 0.005457±0.0000, AVERAGE_POPULARITY: 0.443095±0.0060, DIVERSITY_MEAN_INTER_LIST: 0.948247±0.0007, DIVERSITY_HERFINDAHL: 0.994820±0.0001, COVERAGE_ITEM: 0.031425±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.324034±0.0072, SHANNON_ENTROPY: 7.981546±0.0184, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'num_factors': 410, 'n_oversamples': 12, 'n_iter': 12, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.039581±0.0009, PRECISION: 0.005260±0.0001, PRECISION_RECALL_MIN_DEN: 0.052596±0.0010, RECALL: 0.052596±0.0010, MAP: 0.029112±0.0009, MRR: 0.029112±0.0009, NDCG: 0.034692±0.0008, F1: 0.009563±0.0002, HIT_RATE: 0.052596±0.0010, ARHR: 0.029112±0.0009, RMSE: 0.951424±0.0006, NOVELTY: 0.006067±0.0000, AVERAGE_POPULARITY: 0.205403±0.0024, DIVERSITY_MEAN_INTER_LIST: 0.985697±0.0001, DIVERSITY_HERFINDAHL: 0.998565±0.0000, COVERAGE_ITEM: 0.098773±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.356813±0.0035, SHANNON_ENTROPY: 9.771263±0.0059, 
CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'num_factors': 528, 'n_oversamples': 9, 'n_iter': 19, 'feature_weighting': 'none'} - results: ROC_AUC: 0.036188±0.0007, PRECISION: 0.004710±0.0001, PRECISION_RECALL_MIN_DEN: 0.047098±0.0008, RECALL: 0.047098±0.0008, MAP: 0.026949±0.0007, MRR: 0.026949±0.0007, NDCG: 0.031753±0.0007, F1: 0.008563±0.0001, HIT_RATE: 0.047098±0.0008, ARHR: 0.026949±0.0007, RMSE: 0.988678±0.0004, NOVELTY: 0.006175±0.0000, AVERAGE_POPULARITY: 0.173326±0.0022, DIVERSITY_MEAN_INTER_LIST: 0.986682±0.0000, DIVERSITY_HERFINDAHL: 0.998664±0.0000, COVERAGE_ITEM: 0.105109±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.361298±0.0025, SHANNON_ENTROPY: 9.880117±0.0014, 
