CrossSearchBayesianSkopt: New best config found. Config 0: {'num_factors': 14, 'n_oversamples': 5, 'n_iter': 3, 'feature_weighting': 'none'} - results: ROC_AUC: 0.027553±0.0007, PRECISION: 0.004250±0.0001, PRECISION_RECALL_MIN_DEN: 0.042502±0.0013, RECALL: 0.042502±0.0013, MAP: 0.018783±0.0005, MRR: 0.018783±0.0005, NDCG: 0.024309±0.0006, F1: 0.007728±0.0002, HIT_RATE: 0.042502±0.0013, ARHR: 0.018783±0.0005, RMSE: 0.987769±0.0003, NOVELTY: 0.005035±0.0000, AVERAGE_POPULARITY: 0.725893±0.0088, DIVERSITY_MEAN_INTER_LIST: 0.815786±0.0058, DIVERSITY_HERFINDAHL: 0.981575±0.0006, COVERAGE_ITEM: 0.007613±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.359438±0.0066, SHANNON_ENTROPY: 6.050137±0.0418, 
CrossSearchBayesianSkopt: New best config found. Config 1: {'num_factors': 43, 'n_oversamples': 21, 'n_iter': 8, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.040796±0.0012, PRECISION: 0.005922±0.0002, PRECISION_RECALL_MIN_DEN: 0.059218±0.0018, RECALL: 0.059218±0.0018, MAP: 0.028967±0.0009, MRR: 0.028967±0.0009, NDCG: 0.036054±0.0010, F1: 0.010767±0.0003, HIT_RATE: 0.059218±0.0018, ARHR: 0.028967±0.0009, RMSE: 0.949609±0.0010, NOVELTY: 0.005275±0.0000, AVERAGE_POPULARITY: 0.560956±0.0057, DIVERSITY_MEAN_INTER_LIST: 0.915359±0.0006, DIVERSITY_HERFINDAHL: 0.991532±0.0001, COVERAGE_ITEM: 0.018048±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.344460±0.0035, SHANNON_ENTROPY: 7.261750±0.0088, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'num_factors': 46, 'n_oversamples': 1, 'n_iter': 4, 'feature_weighting': 'none'} - results: ROC_AUC: 0.034324±0.0011, PRECISION: 0.004952±0.0001, PRECISION_RECALL_MIN_DEN: 0.049517±0.0015, RECALL: 0.049517±0.0015, MAP: 0.024348±0.0009, MRR: 0.024348±0.0009, NDCG: 0.030251±0.0010, F1: 0.009003±0.0003, HIT_RATE: 0.049517±0.0015, ARHR: 0.024348±0.0009, RMSE: 0.985488±0.0002, NOVELTY: 0.005202±0.0000, AVERAGE_POPULARITY: 0.594733±0.0061, DIVERSITY_MEAN_INTER_LIST: 0.903413±0.0008, DIVERSITY_HERFINDAHL: 0.990337±0.0001, COVERAGE_ITEM: 0.014934±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.347062±0.0059, SHANNON_ENTROPY: 6.983489±0.0144, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'num_factors': 25, 'n_oversamples': 8, 'n_iter': 2, 'feature_weighting': 'none'} - results: ROC_AUC: 0.027810±0.0006, PRECISION: 0.004215±0.0001, PRECISION_RECALL_MIN_DEN: 0.042148±0.0008, RECALL: 0.042148±0.0008, MAP: 0.019387±0.0005, MRR: 0.019387±0.0005, NDCG: 0.024691±0.0006, F1: 0.007663±0.0001, HIT_RATE: 0.042148±0.0008, ARHR: 0.019387±0.0005, RMSE: 0.987364±0.0002, NOVELTY: 0.005073±0.0000, AVERAGE_POPULARITY: 0.693071±0.0052, DIVERSITY_MEAN_INTER_LIST: 0.854109±0.0007, DIVERSITY_HERFINDAHL: 0.985407±0.0001, COVERAGE_ITEM: 0.010003±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.345729±0.0098, SHANNON_ENTROPY: 6.395740±0.0121, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'num_factors': 40, 'n_oversamples': 14, 'n_iter': 16, 'feature_weighting': 'none'} - results: ROC_AUC: 0.035508±0.0008, PRECISION: 0.005214±0.0001, PRECISION_RECALL_MIN_DEN: 0.052142±0.0013, RECALL: 0.052142±0.0013, MAP: 0.024766±0.0007, MRR: 0.024766±0.0007, NDCG: 0.031178±0.0008, F1: 0.009480±0.0002, HIT_RATE: 0.052142±0.0013, ARHR: 0.024766±0.0007, RMSE: 0.985075±0.0002, NOVELTY: 0.005225±0.0000, AVERAGE_POPULARITY: 0.581744±0.0055, DIVERSITY_MEAN_INTER_LIST: 0.903182±0.0013, DIVERSITY_HERFINDAHL: 0.990314±0.0001, COVERAGE_ITEM: 0.016880±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.318225±0.0026, SHANNON_ENTROPY: 7.049170±0.0089, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'num_factors': 14, 'n_oversamples': 26, 'n_iter': 13, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.035602±0.0010, PRECISION: 0.005419±0.0001, PRECISION_RECALL_MIN_DEN: 0.054190±0.0014, RECALL: 0.054190±0.0014, MAP: 0.024223±0.0005, MRR: 0.024223±0.0005, NDCG: 0.031219±0.0007, F1: 0.009853±0.0003, HIT_RATE: 0.054190±0.0014, ARHR: 0.024223±0.0005, RMSE: 0.953019±0.0010, NOVELTY: 0.005145±0.0000, AVERAGE_POPULARITY: 0.655114±0.0052, DIVERSITY_MEAN_INTER_LIST: 0.854734±0.0017, DIVERSITY_HERFINDAHL: 0.985470±0.0002, COVERAGE_ITEM: 0.009895±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.360121±0.0024, SHANNON_ENTROPY: 6.442609±0.0145, 
CrossSearchBayesianSkopt: New best config found. Config 6: {'num_factors': 41, 'n_oversamples': 17, 'n_iter': 11, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.042882±0.0011, PRECISION: 0.006316±0.0002, PRECISION_RECALL_MIN_DEN: 0.063164±0.0016, RECALL: 0.063164±0.0016, MAP: 0.029860±0.0008, MRR: 0.029860±0.0008, NDCG: 0.037657±0.0010, F1: 0.011484±0.0003, HIT_RATE: 0.063164±0.0016, ARHR: 0.029860±0.0008, RMSE: 0.936007±0.0012, NOVELTY: 0.005295±0.0000, AVERAGE_POPULARITY: 0.560995±0.0050, DIVERSITY_MEAN_INTER_LIST: 0.926214±0.0005, DIVERSITY_HERFINDAHL: 0.992617±0.0001, COVERAGE_ITEM: 0.039351±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.193685±0.0051, SHANNON_ENTROPY: 7.563738±0.0072, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'num_factors': 21, 'n_oversamples': 27, 'n_iter': 10, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.038365±0.0010, PRECISION: 0.005664±0.0002, PRECISION_RECALL_MIN_DEN: 0.056637±0.0017, RECALL: 0.056637±0.0017, MAP: 0.026492±0.0005, MRR: 0.026492±0.0005, NDCG: 0.033554±0.0008, F1: 0.010298±0.0003, HIT_RATE: 0.056637±0.0017, ARHR: 0.026492±0.0005, RMSE: 0.950013±0.0012, NOVELTY: 0.005183±0.0000, AVERAGE_POPULARITY: 0.627480±0.0051, DIVERSITY_MEAN_INTER_LIST: 0.878786±0.0007, DIVERSITY_HERFINDAHL: 0.987875±0.0001, COVERAGE_ITEM: 0.012198±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.351880±0.0034, SHANNON_ENTROPY: 6.719967±0.0053, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'num_factors': 39, 'n_oversamples': 26, 'n_iter': 2, 'feature_weighting': 'none'} - results: ROC_AUC: 0.031865±0.0009, PRECISION: 0.004702±0.0001, PRECISION_RECALL_MIN_DEN: 0.047016±0.0009, RECALL: 0.047016±0.0009, MAP: 0.022543±0.0007, MRR: 0.022543±0.0007, NDCG: 0.028262±0.0007, F1: 0.008548±0.0002, HIT_RATE: 0.047016±0.0009, ARHR: 0.022543±0.0007, RMSE: 0.986030±0.0002, NOVELTY: 0.005144±0.0000, AVERAGE_POPULARITY: 0.638734±0.0048, DIVERSITY_MEAN_INTER_LIST: 0.888019±0.0006, DIVERSITY_HERFINDAHL: 0.988798±0.0001, COVERAGE_ITEM: 0.013506±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.334600±0.0105, SHANNON_ENTROPY: 6.791140±0.0089, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'num_factors': 50, 'n_oversamples': 14, 'n_iter': 19, 'feature_weighting': 'none'} - results: ROC_AUC: 0.035447±0.0008, PRECISION: 0.005196±0.0002, PRECISION_RECALL_MIN_DEN: 0.051964±0.0017, RECALL: 0.051964±0.0017, MAP: 0.025096±0.0006, MRR: 0.025096±0.0006, NDCG: 0.031379±0.0007, F1: 0.009448±0.0003, HIT_RATE: 0.051964±0.0017, ARHR: 0.025096±0.0006, RMSE: 0.985070±0.0002, NOVELTY: 0.005278±0.0000, AVERAGE_POPULARITY: 0.544251±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.914579±0.0009, DIVERSITY_HERFINDAHL: 0.991454±0.0001, COVERAGE_ITEM: 0.019389±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.314882±0.0046, SHANNON_ENTROPY: 7.239008±0.0143, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'num_factors': 47, 'n_oversamples': 2, 'n_iter': 16, 'feature_weighting': 'none'} - results: ROC_AUC: 0.035209±0.0005, PRECISION: 0.005125±0.0001, PRECISION_RECALL_MIN_DEN: 0.051246±0.0012, RECALL: 0.051246±0.0012, MAP: 0.024924±0.0004, MRR: 0.024924±0.0004, NDCG: 0.031091±0.0005, F1: 0.009317±0.0002, HIT_RATE: 0.051246±0.0012, ARHR: 0.024924±0.0004, RMSE: 0.985158±0.0001, NOVELTY: 0.005256±0.0000, AVERAGE_POPULARITY: 0.558733±0.0053, DIVERSITY_MEAN_INTER_LIST: 0.909699±0.0013, DIVERSITY_HERFINDAHL: 0.990966±0.0001, COVERAGE_ITEM: 0.018059±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.317813±0.0063, SHANNON_ENTROPY: 7.148169±0.0164, 
