CrossSearchBayesianSkopt: New best config found. Config 0: {'num_factors': 35, 'n_oversamples': 19, 'n_iter': 4, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.046310±0.0016, PRECISION: 0.006631±0.0002, PRECISION_RECALL_MIN_DEN: 0.066306±0.0016, RECALL: 0.066306±0.0016, MAP: 0.032865±0.0013, MRR: 0.032865±0.0013, NDCG: 0.040721±0.0013, F1: 0.012056±0.0003, HIT_RATE: 0.066306±0.0016, ARHR: 0.032865±0.0013, RMSE: 0.934823±0.0013, NOVELTY: 0.005391±0.0000, AVERAGE_POPULARITY: 0.573798±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.919438±0.0010, DIVERSITY_HERFINDAHL: 0.991939±0.0001, COVERAGE_ITEM: 0.022006±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.307730±0.0034, SHANNON_ENTROPY: 7.389722±0.0215, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'num_factors': 42, 'n_oversamples': 30, 'n_iter': 17, 'feature_weighting': 'none'} - results: ROC_AUC: 0.015311±0.0006, PRECISION: 0.002779±0.0001, PRECISION_RECALL_MIN_DEN: 0.027794±0.0010, RECALL: 0.027794±0.0010, MAP: 0.009279±0.0004, MRR: 0.009279±0.0004, NDCG: 0.013540±0.0005, F1: 0.005053±0.0002, HIT_RATE: 0.027794±0.0010, ARHR: 0.009279±0.0004, RMSE: 0.979229±0.0001, NOVELTY: 0.005852±0.0000, AVERAGE_POPULARITY: 0.587545±0.0046, DIVERSITY_MEAN_INTER_LIST: 0.802438±0.0010, DIVERSITY_HERFINDAHL: 0.980239±0.0001, COVERAGE_ITEM: 0.199016±0.0024, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.107324±0.0007, SHANNON_ENTROPY: 7.311459±0.0171, 
CrossSearchBayesianSkopt: New best config found. Config 2: {'num_factors': 34, 'n_oversamples': 5, 'n_iter': 15, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.048454±0.0009, PRECISION: 0.006996±0.0001, PRECISION_RECALL_MIN_DEN: 0.069962±0.0008, RECALL: 0.069962±0.0008, MAP: 0.034431±0.0007, MRR: 0.034431±0.0007, NDCG: 0.042765±0.0007, F1: 0.012720±0.0002, HIT_RATE: 0.069962±0.0008, ARHR: 0.034431±0.0007, RMSE: 0.937954±0.0015, NOVELTY: 0.005420±0.0000, AVERAGE_POPULARITY: 0.559010±0.0061, DIVERSITY_MEAN_INTER_LIST: 0.922307±0.0007, DIVERSITY_HERFINDAHL: 0.992225±0.0001, COVERAGE_ITEM: 0.020860±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.338765±0.0062, SHANNON_ENTROPY: 7.446304±0.0095, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'num_factors': 32, 'n_oversamples': 23, 'n_iter': 1, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.030717±0.0008, PRECISION: 0.004504±0.0001, PRECISION_RECALL_MIN_DEN: 0.045039±0.0014, RECALL: 0.045039±0.0014, MAP: 0.021724±0.0008, MRR: 0.021724±0.0008, NDCG: 0.027178±0.0009, F1: 0.008189±0.0003, HIT_RATE: 0.045039±0.0014, ARHR: 0.021724±0.0008, RMSE: 0.939820±0.0008, NOVELTY: 0.005344±0.0000, AVERAGE_POPULARITY: 0.598338±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.912227±0.0014, DIVERSITY_HERFINDAHL: 0.991218±0.0001, COVERAGE_ITEM: 0.023671±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.257186±0.0058, SHANNON_ENTROPY: 7.244430±0.0179, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'num_factors': 23, 'n_oversamples': 15, 'n_iter': 9, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.045042±0.0014, PRECISION: 0.006567±0.0001, PRECISION_RECALL_MIN_DEN: 0.065668±0.0009, RECALL: 0.065668±0.0009, MAP: 0.031436±0.0009, MRR: 0.031436±0.0009, NDCG: 0.039468±0.0009, F1: 0.011940±0.0002, HIT_RATE: 0.065668±0.0009, ARHR: 0.031436±0.0009, RMSE: 0.939590±0.0017, NOVELTY: 0.005398±0.0000, AVERAGE_POPULARITY: 0.570816±0.0066, DIVERSITY_MEAN_INTER_LIST: 0.912744±0.0019, DIVERSITY_HERFINDAHL: 0.991269±0.0002, COVERAGE_ITEM: 0.016891±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.357653±0.0028, SHANNON_ENTROPY: 7.219322±0.0238, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'num_factors': 20, 'n_oversamples': 15, 'n_iter': 10, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.008518±0.0003, PRECISION: 0.001746±0.0001, PRECISION_RECALL_MIN_DEN: 0.017462±0.0006, RECALL: 0.017462±0.0006, MAP: 0.005103±0.0002, MRR: 0.005103±0.0002, NDCG: 0.007912±0.0003, F1: 0.003175±0.0001, HIT_RATE: 0.017462±0.0006, ARHR: 0.005103±0.0002, RMSE: 0.965775±0.0002, NOVELTY: 0.005844±0.0000, AVERAGE_POPULARITY: 0.646499±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.500334±0.0023, DIVERSITY_HERFINDAHL: 0.950031±0.0002, COVERAGE_ITEM: 0.086196±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.100154±0.0002, SHANNON_ENTROPY: 5.929211±0.0114, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'num_factors': 18, 'n_oversamples': 25, 'n_iter': 15, 'feature_weighting': 'none'} - results: ROC_AUC: 0.009649±0.0004, PRECISION: 0.001990±0.0001, PRECISION_RECALL_MIN_DEN: 0.019900±0.0007, RECALL: 0.019900±0.0007, MAP: 0.005886±0.0003, MRR: 0.005886±0.0003, NDCG: 0.009065±0.0004, F1: 0.003618±0.0001, HIT_RATE: 0.019900±0.0007, ARHR: 0.005886±0.0003, RMSE: 0.983259±0.0001, NOVELTY: 0.005560±0.0000, AVERAGE_POPULARITY: 0.710432±0.0050, DIVERSITY_MEAN_INTER_LIST: 0.463656±0.0023, DIVERSITY_HERFINDAHL: 0.946363±0.0002, COVERAGE_ITEM: 0.077394±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.079400±0.0013, SHANNON_ENTROPY: 5.537807±0.0112, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'num_factors': 12, 'n_oversamples': 21, 'n_iter': 17, 'feature_weighting': 'none'} - results: ROC_AUC: 0.009809±0.0004, PRECISION: 0.001966±0.0000, PRECISION_RECALL_MIN_DEN: 0.019661±0.0003, RECALL: 0.019661±0.0003, MAP: 0.005802±0.0004, MRR: 0.005802±0.0004, NDCG: 0.008961±0.0003, F1: 0.003575±0.0001, HIT_RATE: 0.019661±0.0003, ARHR: 0.005802±0.0004, RMSE: 0.983628±0.0001, NOVELTY: 0.005395±0.0000, AVERAGE_POPULARITY: 0.758228±0.0054, DIVERSITY_MEAN_INTER_LIST: 0.361948±0.0036, DIVERSITY_HERFINDAHL: 0.936193±0.0004, COVERAGE_ITEM: 0.055896±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.061763±0.0002, SHANNON_ENTROPY: 4.957091±0.0120, 
CrossSearchBayesianSkopt: New best config found. Config 8: {'num_factors': 35, 'n_oversamples': 28, 'n_iter': 14, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.048834±0.0011, PRECISION: 0.007058±0.0001, PRECISION_RECALL_MIN_DEN: 0.070578±0.0014, RECALL: 0.070578±0.0014, MAP: 0.034646±0.0006, MRR: 0.034646±0.0006, NDCG: 0.043071±0.0008, F1: 0.012832±0.0002, HIT_RATE: 0.070578±0.0014, ARHR: 0.034646±0.0006, RMSE: 0.938315±0.0009, NOVELTY: 0.005427±0.0000, AVERAGE_POPULARITY: 0.554723±0.0049, DIVERSITY_MEAN_INTER_LIST: 0.923870±0.0008, DIVERSITY_HERFINDAHL: 0.992382±0.0001, COVERAGE_ITEM: 0.021379±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.338331±0.0074, SHANNON_ENTROPY: 7.479085±0.0121, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'num_factors': 23, 'n_oversamples': 26, 'n_iter': 1, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.028653±0.0015, PRECISION: 0.004259±0.0002, PRECISION_RECALL_MIN_DEN: 0.042590±0.0023, RECALL: 0.042590±0.0023, MAP: 0.020214±0.0011, MRR: 0.020214±0.0011, NDCG: 0.025436±0.0013, F1: 0.007744±0.0004, HIT_RATE: 0.042590±0.0023, ARHR: 0.020214±0.0011, RMSE: 0.943245±0.0021, NOVELTY: 0.005318±0.0000, AVERAGE_POPULARITY: 0.616504±0.0068, DIVERSITY_MEAN_INTER_LIST: 0.898892±0.0021, DIVERSITY_HERFINDAHL: 0.989884±0.0002, COVERAGE_ITEM: 0.019129±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.276071±0.0114, SHANNON_ENTROPY: 7.034850±0.0176, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'num_factors': 21, 'n_oversamples': 24, 'n_iter': 2, 'feature_weighting': 'none'} - results: ROC_AUC: 0.012897±0.0005, PRECISION: 0.002348±0.0001, PRECISION_RECALL_MIN_DEN: 0.023476±0.0013, RECALL: 0.023476±0.0013, MAP: 0.008241±0.0005, MRR: 0.008241±0.0005, NDCG: 0.011732±0.0005, F1: 0.004268±0.0002, HIT_RATE: 0.023476±0.0013, ARHR: 0.008241±0.0005, RMSE: 0.982901±0.0001, NOVELTY: 0.005577±0.0000, AVERAGE_POPULARITY: 0.698455±0.0060, DIVERSITY_MEAN_INTER_LIST: 0.598999±0.0111, DIVERSITY_HERFINDAHL: 0.959896±0.0011, COVERAGE_ITEM: 0.120368±0.0043, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.080149±0.0018, SHANNON_ENTROPY: 6.082314±0.0495, 
