CrossSearchBayesianSkopt: New best config found. Config 0: {'num_factors': 414, 'n_oversamples': 14, 'n_iter': 27, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.066891±0.0011, PRECISION: 0.009143±0.0001, PRECISION_RECALL_MIN_DEN: 0.091434±0.0013, RECALL: 0.091434±0.0013, MAP: 0.048182±0.0009, MRR: 0.048182±0.0009, NDCG: 0.058418±0.0009, F1: 0.016624±0.0002, HIT_RATE: 0.091434±0.0013, ARHR: 0.048182±0.0009, RMSE: 0.902859±0.0019, NOVELTY: 0.006104±0.0000, AVERAGE_POPULARITY: 0.342888±0.0029, DIVERSITY_MEAN_INTER_LIST: 0.981682±0.0001, DIVERSITY_HERFINDAHL: 0.998163±0.0000, COVERAGE_ITEM: 0.489224±0.0037, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.135801±0.0003, SHANNON_ENTROPY: 10.171918±0.0077, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'num_factors': 692, 'n_oversamples': 2, 'n_iter': 12, 'feature_weighting': 'none'} - results: ROC_AUC: 0.063820±0.0006, PRECISION: 0.008302±0.0001, PRECISION_RECALL_MIN_DEN: 0.083016±0.0008, RECALL: 0.083016±0.0008, MAP: 0.047188±0.0006, MRR: 0.047188±0.0006, NDCG: 0.055742±0.0005, F1: 0.015094±0.0001, HIT_RATE: 0.083016±0.0008, ARHR: 0.047188±0.0006, RMSE: 0.931272±0.0010, NOVELTY: 0.006286±0.0000, AVERAGE_POPULARITY: 0.216504±0.0018, DIVERSITY_MEAN_INTER_LIST: 0.990240±0.0000, DIVERSITY_HERFINDAHL: 0.999018±0.0000, COVERAGE_ITEM: 0.396204±0.0025, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.167846±0.0008, SHANNON_ENTROPY: 10.587127±0.0058, 
CrossSearchBayesianSkopt: New best config found. Config 2: {'num_factors': 660, 'n_oversamples': 15, 'n_iter': 29, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.070746±0.0007, PRECISION: 0.009376±0.0001, PRECISION_RECALL_MIN_DEN: 0.093758±0.0011, RECALL: 0.093758±0.0011, MAP: 0.051951±0.0005, MRR: 0.051951±0.0005, NDCG: 0.061892±0.0006, F1: 0.017047±0.0002, HIT_RATE: 0.093758±0.0011, ARHR: 0.051951±0.0005, RMSE: 0.915392±0.0025, NOVELTY: 0.006238±0.0000, AVERAGE_POPULARITY: 0.265899±0.0018, DIVERSITY_MEAN_INTER_LIST: 0.989852±0.0000, DIVERSITY_HERFINDAHL: 0.998980±0.0000, COVERAGE_ITEM: 0.454793±0.0024, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.166254±0.0004, SHANNON_ENTROPY: 10.697008±0.0030, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'num_factors': 500, 'n_oversamples': 21, 'n_iter': 18, 'feature_weighting': 'none'} - results: ROC_AUC: 0.062513±0.0008, PRECISION: 0.008239±0.0001, PRECISION_RECALL_MIN_DEN: 0.082390±0.0007, RECALL: 0.082390±0.0007, MAP: 0.046019±0.0009, MRR: 0.046019±0.0009, NDCG: 0.054674±0.0008, F1: 0.014980±0.0001, HIT_RATE: 0.082390±0.0007, ARHR: 0.046019±0.0009, RMSE: 0.930788±0.0007, NOVELTY: 0.006097±0.0000, AVERAGE_POPULARITY: 0.281756±0.0024, DIVERSITY_MEAN_INTER_LIST: 0.985460±0.0001, DIVERSITY_HERFINDAHL: 0.998540±0.0000, COVERAGE_ITEM: 0.383033±0.0021, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.133661±0.0005, SHANNON_ENTROPY: 10.098313±0.0054, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'num_factors': 148, 'n_oversamples': 5, 'n_iter': 17, 'feature_weighting': 'none'} - results: ROC_AUC: 0.046137±0.0013, PRECISION: 0.006763±0.0001, PRECISION_RECALL_MIN_DEN: 0.067627±0.0013, RECALL: 0.067627±0.0013, MAP: 0.032223±0.0008, MRR: 0.032223±0.0008, NDCG: 0.040518±0.0009, F1: 0.012296±0.0002, HIT_RATE: 0.067627±0.0013, ARHR: 0.032223±0.0008, RMSE: 0.950720±0.0009, NOVELTY: 0.005877±0.0000, AVERAGE_POPULARITY: 0.479210±0.0055, DIVERSITY_MEAN_INTER_LIST: 0.943469±0.0006, DIVERSITY_HERFINDAHL: 0.994341±0.0001, COVERAGE_ITEM: 0.405558±0.0028, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.105837±0.0009, SHANNON_ENTROPY: 8.797838±0.0153, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'num_factors': 674, 'n_oversamples': 8, 'n_iter': 15, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.070575±0.0008, PRECISION: 0.009296±0.0001, PRECISION_RECALL_MIN_DEN: 0.092960±0.0008, RECALL: 0.092960±0.0008, MAP: 0.051842±0.0007, MRR: 0.051842±0.0007, NDCG: 0.061633±0.0006, F1: 0.016902±0.0002, HIT_RATE: 0.092960±0.0008, ARHR: 0.051842±0.0007, RMSE: 0.915978±0.0032, NOVELTY: 0.006246±0.0000, AVERAGE_POPULARITY: 0.262810±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.990097±0.0000, DIVERSITY_HERFINDAHL: 0.999004±0.0000, COVERAGE_ITEM: 0.455226±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.168172±0.0004, SHANNON_ENTROPY: 10.722782±0.0033, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'num_factors': 166, 'n_oversamples': 14, 'n_iter': 26, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.038319±0.0008, PRECISION: 0.005758±0.0001, PRECISION_RECALL_MIN_DEN: 0.057581±0.0010, RECALL: 0.057581±0.0010, MAP: 0.026433±0.0006, MRR: 0.026433±0.0006, NDCG: 0.033710±0.0007, F1: 0.010469±0.0002, HIT_RATE: 0.057581±0.0010, ARHR: 0.026433±0.0006, RMSE: 0.919737±0.0009, NOVELTY: 0.006561±0.0000, AVERAGE_POPULARITY: 0.340851±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.964965±0.0002, DIVERSITY_HERFINDAHL: 0.996491±0.0000, COVERAGE_ITEM: 0.520076±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.192281±0.0010, SHANNON_ENTROPY: 10.066758±0.0050, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'num_factors': 699, 'n_oversamples': 5, 'n_iter': 14, 'feature_weighting': 'none'} - results: ROC_AUC: 0.063746±0.0005, PRECISION: 0.008241±0.0000, PRECISION_RECALL_MIN_DEN: 0.082413±0.0005, RECALL: 0.082413±0.0005, MAP: 0.047242±0.0005, MRR: 0.047242±0.0005, NDCG: 0.055647±0.0005, F1: 0.014984±0.0001, HIT_RATE: 0.082413±0.0005, ARHR: 0.047242±0.0005, RMSE: 0.931295±0.0012, NOVELTY: 0.006294±0.0000, AVERAGE_POPULARITY: 0.214125±0.0016, DIVERSITY_MEAN_INTER_LIST: 0.990374±0.0000, DIVERSITY_HERFINDAHL: 0.999032±0.0000, COVERAGE_ITEM: 0.396875±0.0031, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.169354±0.0009, SHANNON_ENTROPY: 10.605174±0.0046, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'num_factors': 639, 'n_oversamples': 8, 'n_iter': 8, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.061462±0.0006, PRECISION: 0.007903±0.0001, PRECISION_RECALL_MIN_DEN: 0.079030±0.0011, RECALL: 0.079030±0.0011, MAP: 0.045997±0.0004, MRR: 0.045997±0.0004, NDCG: 0.053890±0.0005, F1: 0.014369±0.0002, HIT_RATE: 0.079030±0.0011, ARHR: 0.045997±0.0004, RMSE: 0.942406±0.0030, NOVELTY: 0.006333±0.0000, AVERAGE_POPULARITY: 0.181260±0.0014, DIVERSITY_MEAN_INTER_LIST: 0.991649±0.0000, DIVERSITY_HERFINDAHL: 0.999159±0.0000, COVERAGE_ITEM: 0.149965±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.398844±0.0029, SHANNON_ENTROPY: 10.528224±0.0060, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'num_factors': 217, 'n_oversamples': 28, 'n_iter': 2, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.057500±0.0015, PRECISION: 0.007661±0.0002, PRECISION_RECALL_MIN_DEN: 0.076615±0.0023, RECALL: 0.076615±0.0023, MAP: 0.042588±0.0010, MRR: 0.042588±0.0010, NDCG: 0.050655±0.0013, F1: 0.013930±0.0004, HIT_RATE: 0.076615±0.0023, ARHR: 0.042588±0.0010, RMSE: 0.922957±0.0023, NOVELTY: 0.005681±0.0000, AVERAGE_POPULARITY: 0.413379±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.971954±0.0002, DIVERSITY_HERFINDAHL: 0.997190±0.0000, COVERAGE_ITEM: 0.061552±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.310362±0.0039, SHANNON_ENTROPY: 8.900236±0.0057, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'num_factors': 256, 'n_oversamples': 4, 'n_iter': 7, 'feature_weighting': 'none'} - results: ROC_AUC: 0.055848±0.0014, PRECISION: 0.007814±0.0001, PRECISION_RECALL_MIN_DEN: 0.078141±0.0009, RECALL: 0.078141±0.0009, MAP: 0.040061±0.0012, MRR: 0.040061±0.0012, NDCG: 0.049036±0.0011, F1: 0.014207±0.0002, HIT_RATE: 0.078141±0.0009, ARHR: 0.040061±0.0012, RMSE: 0.938634±0.0012, NOVELTY: 0.005798±0.0000, AVERAGE_POPULARITY: 0.446705±0.0037, DIVERSITY_MEAN_INTER_LIST: 0.961718±0.0001, DIVERSITY_HERFINDAHL: 0.996166±0.0000, COVERAGE_ITEM: 0.395761±0.0036, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.092745±0.0006, SHANNON_ENTROPY: 9.046758±0.0094, 
