CrossSearchBayesianSkopt: New best config found. Config 0: {'num_factors': 707, 'n_oversamples': 38, 'n_iter': 13, 'feature_weighting': 'none'} - results: ROC_AUC: 0.063809±0.0010, PRECISION: 0.008266±0.0001, PRECISION_RECALL_MIN_DEN: 0.082663±0.0008, RECALL: 0.082663±0.0008, MAP: 0.047150±0.0006, MRR: 0.047150±0.0006, NDCG: 0.055634±0.0006, F1: 0.015030±0.0001, HIT_RATE: 0.082663±0.0008, ARHR: 0.047150±0.0006, RMSE: 0.931386±0.0011, NOVELTY: 0.006304±0.0000, AVERAGE_POPULARITY: 0.211433±0.0016, DIVERSITY_MEAN_INTER_LIST: 0.990517±0.0000, DIVERSITY_HERFINDAHL: 0.999046±0.0000, COVERAGE_ITEM: 0.397643±0.0025, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.171082±0.0007, SHANNON_ENTROPY: 10.625757±0.0030, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'num_factors': 512, 'n_oversamples': 49, 'n_iter': 23, 'feature_weighting': 'none'} - results: ROC_AUC: 0.062519±0.0007, PRECISION: 0.008231±0.0001, PRECISION_RECALL_MIN_DEN: 0.082310±0.0010, RECALL: 0.082310±0.0010, MAP: 0.046038±0.0008, MRR: 0.046038±0.0008, NDCG: 0.054673±0.0007, F1: 0.014965±0.0002, HIT_RATE: 0.082310±0.0010, ARHR: 0.046038±0.0008, RMSE: 0.930847±0.0008, NOVELTY: 0.006112±0.0000, AVERAGE_POPULARITY: 0.275694±0.0023, DIVERSITY_MEAN_INTER_LIST: 0.985960±0.0000, DIVERSITY_HERFINDAHL: 0.998590±0.0000, COVERAGE_ITEM: 0.383423±0.0028, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.136141±0.0005, SHANNON_ENTROPY: 10.138733±0.0057, 
CrossSearchBayesianSkopt: New best config found. Config 2: {'num_factors': 987, 'n_oversamples': 21, 'n_iter': 30, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.070200±0.0003, PRECISION: 0.009027±0.0001, PRECISION_RECALL_MIN_DEN: 0.090272±0.0008, RECALL: 0.090272±0.0008, MAP: 0.051772±0.0002, MRR: 0.051772±0.0002, NDCG: 0.060994±0.0002, F1: 0.016413±0.0002, HIT_RATE: 0.090272±0.0008, ARHR: 0.051772±0.0002, RMSE: 0.925095±0.0037, NOVELTY: 0.006492±0.0000, AVERAGE_POPULARITY: 0.187693±0.0014, DIVERSITY_MEAN_INTER_LIST: 0.994044±0.0000, DIVERSITY_HERFINDAHL: 0.999399±0.0000, COVERAGE_ITEM: 0.473263±0.0014, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.224330±0.0004, SHANNON_ENTROPY: 11.313255±0.0036, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'num_factors': 636, 'n_oversamples': 37, 'n_iter': 12, 'feature_weighting': 'none'} - results: ROC_AUC: 0.063494±0.0007, PRECISION: 0.008266±0.0001, PRECISION_RECALL_MIN_DEN: 0.082663±0.0007, RECALL: 0.082663±0.0007, MAP: 0.047056±0.0008, MRR: 0.047056±0.0008, NDCG: 0.055550±0.0007, F1: 0.015030±0.0001, HIT_RATE: 0.082663±0.0007, ARHR: 0.047056±0.0008, RMSE: 0.930919±0.0010, NOVELTY: 0.006237±0.0000, AVERAGE_POPULARITY: 0.231559±0.0019, DIVERSITY_MEAN_INTER_LIST: 0.989247±0.0000, DIVERSITY_HERFINDAHL: 0.998919±0.0000, COVERAGE_ITEM: 0.391057±0.0038, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.158548±0.0008, SHANNON_ENTROPY: 10.464560±0.0060, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'num_factors': 892, 'n_oversamples': 36, 'n_iter': 30, 'feature_weighting': 'none'} - results: ROC_AUC: 0.062758±0.0004, PRECISION: 0.008076±0.0000, PRECISION_RECALL_MIN_DEN: 0.080761±0.0005, RECALL: 0.080761±0.0005, MAP: 0.047055±0.0002, MRR: 0.047055±0.0002, NDCG: 0.055101±0.0002, F1: 0.014684±0.0001, HIT_RATE: 0.080761±0.0005, ARHR: 0.047055±0.0002, RMSE: 0.933743±0.0011, NOVELTY: 0.006464±0.0000, AVERAGE_POPULARITY: 0.171217±0.0013, DIVERSITY_MEAN_INTER_LIST: 0.992851±0.0000, DIVERSITY_HERFINDAHL: 0.999279±0.0000, COVERAGE_ITEM: 0.417929±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.203637±0.0004, SHANNON_ENTROPY: 10.995373±0.0033, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'num_factors': 990, 'n_oversamples': 43, 'n_iter': 32, 'feature_weighting': 'none'} - results: ROC_AUC: 0.061970±0.0004, PRECISION: 0.007914±0.0001, PRECISION_RECALL_MIN_DEN: 0.079143±0.0009, RECALL: 0.079143±0.0009, MAP: 0.046433±0.0003, MRR: 0.046433±0.0003, NDCG: 0.054260±0.0003, F1: 0.014390±0.0002, HIT_RATE: 0.079143±0.0009, ARHR: 0.046433±0.0003, RMSE: 0.934932±0.0009, NOVELTY: 0.006541±0.0000, AVERAGE_POPULARITY: 0.155083±0.0013, DIVERSITY_MEAN_INTER_LIST: 0.993707±0.0000, DIVERSITY_HERFINDAHL: 0.999365±0.0000, COVERAGE_ITEM: 0.429359±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.220203±0.0006, SHANNON_ENTROPY: 11.161570±0.0031, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'num_factors': 994, 'n_oversamples': 43, 'n_iter': 12, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.058302±0.0009, PRECISION: 0.007419±0.0001, PRECISION_RECALL_MIN_DEN: 0.074188±0.0012, RECALL: 0.074188±0.0012, MAP: 0.043853±0.0004, MRR: 0.043853±0.0004, NDCG: 0.051115±0.0006, F1: 0.013489±0.0002, HIT_RATE: 0.074188±0.0012, ARHR: 0.043853±0.0004, RMSE: 0.944055±0.0028, NOVELTY: 0.006600±0.0000, AVERAGE_POPULARITY: 0.130208±0.0010, DIVERSITY_MEAN_INTER_LIST: 0.994376±0.0000, DIVERSITY_HERFINDAHL: 0.999432±0.0000, COVERAGE_ITEM: 0.228148±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.389168±0.0017, SHANNON_ENTROPY: 11.100285±0.0028, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'num_factors': 751, 'n_oversamples': 30, 'n_iter': 45, 'feature_weighting': 'none'} - results: ROC_AUC: 0.063275±0.0008, PRECISION: 0.008190±0.0001, PRECISION_RECALL_MIN_DEN: 0.081900±0.0009, RECALL: 0.081900±0.0009, MAP: 0.047141±0.0004, MRR: 0.047141±0.0004, NDCG: 0.055437±0.0005, F1: 0.014891±0.0002, HIT_RATE: 0.081900±0.0009, ARHR: 0.047141±0.0004, RMSE: 0.932243±0.0012, NOVELTY: 0.006345±0.0000, AVERAGE_POPULARITY: 0.199981±0.0015, DIVERSITY_MEAN_INTER_LIST: 0.991184±0.0000, DIVERSITY_HERFINDAHL: 0.999113±0.0000, COVERAGE_ITEM: 0.400649±0.0035, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.179380±0.0009, SHANNON_ENTROPY: 10.720618±0.0034, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'num_factors': 935, 'n_oversamples': 37, 'n_iter': 13, 'feature_weighting': 'none'} - results: ROC_AUC: 0.062585±0.0005, PRECISION: 0.008027±0.0001, PRECISION_RECALL_MIN_DEN: 0.080271±0.0011, RECALL: 0.080271±0.0011, MAP: 0.046811±0.0002, MRR: 0.046811±0.0002, NDCG: 0.054812±0.0004, F1: 0.014595±0.0002, HIT_RATE: 0.080271±0.0011, ARHR: 0.046811±0.0002, RMSE: 0.934167±0.0012, NOVELTY: 0.006495±0.0000, AVERAGE_POPULARITY: 0.164415±0.0013, DIVERSITY_MEAN_INTER_LIST: 0.993229±0.0000, DIVERSITY_HERFINDAHL: 0.999317±0.0000, COVERAGE_ITEM: 0.422049±0.0021, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.210610±0.0004, SHANNON_ENTROPY: 11.064911±0.0036, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'num_factors': 831, 'n_oversamples': 36, 'n_iter': 29, 'feature_weighting': 'none'} - results: ROC_AUC: 0.063219±0.0007, PRECISION: 0.008143±0.0001, PRECISION_RECALL_MIN_DEN: 0.081433±0.0009, RECALL: 0.081433±0.0009, MAP: 0.047258±0.0004, MRR: 0.047258±0.0004, NDCG: 0.055419±0.0005, F1: 0.014806±0.0002, HIT_RATE: 0.081433±0.0009, ARHR: 0.047258±0.0004, RMSE: 0.933014±0.0012, NOVELTY: 0.006414±0.0000, AVERAGE_POPULARITY: 0.182669±0.0015, DIVERSITY_MEAN_INTER_LIST: 0.992206±0.0000, DIVERSITY_HERFINDAHL: 0.999215±0.0000, COVERAGE_ITEM: 0.410003±0.0028, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.193376±0.0008, SHANNON_ENTROPY: 10.881935±0.0023, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'num_factors': 533, 'n_oversamples': 17, 'n_iter': 31, 'feature_weighting': 'none'} - results: ROC_AUC: 0.063099±0.0005, PRECISION: 0.008326±0.0001, PRECISION_RECALL_MIN_DEN: 0.083255±0.0007, RECALL: 0.083255±0.0007, MAP: 0.046538±0.0008, MRR: 0.046538±0.0008, NDCG: 0.055272±0.0007, F1: 0.015137±0.0001, HIT_RATE: 0.083255±0.0007, ARHR: 0.046538±0.0008, RMSE: 0.930597±0.0009, NOVELTY: 0.006135±0.0000, AVERAGE_POPULARITY: 0.266848±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.986672±0.0000, DIVERSITY_HERFINDAHL: 0.998662±0.0000, COVERAGE_ITEM: 0.384363±0.0026, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.140151±0.0005, SHANNON_ENTROPY: 10.200904±0.0041, 
