CrossSearchBayesianSkopt: New best config found. Config 0: {'num_factors': 20, 'n_oversamples': 15, 'n_iter': 16, 'feature_weighting': 'none'} - results: ROC_AUC: 0.010674±0.0009, PRECISION: 0.002060±0.0001, PRECISION_RECALL_MIN_DEN: 0.020596±0.0010, RECALL: 0.020596±0.0010, MAP: 0.006963±0.0006, MRR: 0.006963±0.0006, NDCG: 0.010061±0.0007, F1: 0.003745±0.0002, HIT_RATE: 0.020596±0.0010, ARHR: 0.006963±0.0006, RMSE: 0.921933±0.0008, NOVELTY: 0.005031±0.0000, AVERAGE_POPULARITY: 0.847149±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.230700±0.0042, DIVERSITY_HERFINDAHL: 0.923065±0.0004, COVERAGE_ITEM: 0.012825±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.060575±0.0018, SHANNON_ENTROPY: 3.940735±0.0077, 
CrossSearchBayesianSkopt: New best config found. Config 1: {'num_factors': 38, 'n_oversamples': 16, 'n_iter': 17, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.033880±0.0006, PRECISION: 0.005208±0.0001, PRECISION_RECALL_MIN_DEN: 0.052078±0.0011, RECALL: 0.052078±0.0011, MAP: 0.022928±0.0008, MRR: 0.022928±0.0008, NDCG: 0.029725±0.0008, F1: 0.009469±0.0002, HIT_RATE: 0.052078±0.0011, ARHR: 0.022928±0.0008, RMSE: 0.856266±0.0022, NOVELTY: 0.005452±0.0000, AVERAGE_POPULARITY: 0.534349±0.0017, DIVERSITY_MEAN_INTER_LIST: 0.933867±0.0004, DIVERSITY_HERFINDAHL: 0.993366±0.0000, COVERAGE_ITEM: 0.019951±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.384568±0.0017, SHANNON_ENTROPY: 7.554438±0.0079, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'num_factors': 36, 'n_oversamples': 5, 'n_iter': 8, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.011417±0.0007, PRECISION: 0.002145±0.0001, PRECISION_RECALL_MIN_DEN: 0.021454±0.0012, RECALL: 0.021454±0.0012, MAP: 0.007293±0.0007, MRR: 0.007293±0.0007, NDCG: 0.010525±0.0007, F1: 0.003901±0.0002, HIT_RATE: 0.021454±0.0012, ARHR: 0.007293±0.0007, RMSE: 0.832910±0.0015, NOVELTY: 0.005124±0.0000, AVERAGE_POPULARITY: 0.810683±0.0059, DIVERSITY_MEAN_INTER_LIST: 0.343859±0.0319, DIVERSITY_HERFINDAHL: 0.934378±0.0032, COVERAGE_ITEM: 0.047353±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.039434±0.0012, SHANNON_ENTROPY: 4.448724±0.1023, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'num_factors': 26, 'n_oversamples': 26, 'n_iter': 3, 'feature_weighting': 'none'} - results: ROC_AUC: 0.011462±0.0009, PRECISION: 0.002123±0.0001, PRECISION_RECALL_MIN_DEN: 0.021229±0.0009, RECALL: 0.021229±0.0009, MAP: 0.007302±0.0006, MRR: 0.007302±0.0006, NDCG: 0.010484±0.0006, F1: 0.003860±0.0002, HIT_RATE: 0.021229±0.0009, ARHR: 0.007302±0.0006, RMSE: 0.921329±0.0007, NOVELTY: 0.005039±0.0000, AVERAGE_POPULARITY: 0.841305±0.0045, DIVERSITY_MEAN_INTER_LIST: 0.303437±0.0152, DIVERSITY_HERFINDAHL: 0.930337±0.0015, COVERAGE_ITEM: 0.016848±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.052409±0.0010, SHANNON_ENTROPY: 4.135376±0.0387, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'num_factors': 23, 'n_oversamples': 5, 'n_iter': 5, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.029288±0.0012, PRECISION: 0.004675±0.0001, PRECISION_RECALL_MIN_DEN: 0.046748±0.0014, RECALL: 0.046748±0.0014, MAP: 0.019710±0.0006, MRR: 0.019710±0.0006, NDCG: 0.025976±0.0008, F1: 0.008500±0.0003, HIT_RATE: 0.046748±0.0014, ARHR: 0.019710±0.0006, RMSE: 0.851356±0.0021, NOVELTY: 0.005368±0.0000, AVERAGE_POPULARITY: 0.582572±0.0032, DIVERSITY_MEAN_INTER_LIST: 0.915252±0.0008, DIVERSITY_HERFINDAHL: 0.991504±0.0001, COVERAGE_ITEM: 0.015128±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.394743±0.0071, SHANNON_ENTROPY: 7.190708±0.0137, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'num_factors': 29, 'n_oversamples': 6, 'n_iter': 8, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.010800±0.0009, PRECISION: 0.002073±0.0001, PRECISION_RECALL_MIN_DEN: 0.020732±0.0005, RECALL: 0.020732±0.0005, MAP: 0.006941±0.0005, MRR: 0.006941±0.0005, NDCG: 0.010078±0.0005, F1: 0.003769±0.0001, HIT_RATE: 0.020732±0.0005, ARHR: 0.006941±0.0005, RMSE: 0.835895±0.0018, NOVELTY: 0.005087±0.0000, AVERAGE_POPULARITY: 0.825084±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.249512±0.0112, DIVERSITY_HERFINDAHL: 0.924946±0.0011, COVERAGE_ITEM: 0.033836±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.036835±0.0003, SHANNON_ENTROPY: 4.117213±0.0355, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'num_factors': 31, 'n_oversamples': 10, 'n_iter': 15, 'feature_weighting': 'none'} - results: ROC_AUC: 0.012170±0.0007, PRECISION: 0.002254±0.0001, PRECISION_RECALL_MIN_DEN: 0.022538±0.0009, RECALL: 0.022538±0.0009, MAP: 0.007668±0.0007, MRR: 0.007668±0.0007, NDCG: 0.011074±0.0007, F1: 0.004098±0.0002, HIT_RATE: 0.022538±0.0009, ARHR: 0.007668±0.0007, RMSE: 0.919981±0.0008, NOVELTY: 0.005049±0.0000, AVERAGE_POPULARITY: 0.832467±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.415576±0.0073, DIVERSITY_HERFINDAHL: 0.941548±0.0007, COVERAGE_ITEM: 0.018740±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.055402±0.0017, SHANNON_ENTROPY: 4.426658±0.0165, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'num_factors': 11, 'n_oversamples': 11, 'n_iter': 11, 'feature_weighting': 'none'} - results: ROC_AUC: 0.010338±0.0008, PRECISION: 0.001987±0.0001, PRECISION_RECALL_MIN_DEN: 0.019874±0.0008, RECALL: 0.019874±0.0008, MAP: 0.006343±0.0005, MRR: 0.006343±0.0005, NDCG: 0.009440±0.0006, F1: 0.003613±0.0001, HIT_RATE: 0.019874±0.0008, ARHR: 0.006343±0.0005, RMSE: 0.923527±0.0007, NOVELTY: 0.005013±0.0000, AVERAGE_POPULARITY: 0.854804±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.160012±0.0030, DIVERSITY_HERFINDAHL: 0.915998±0.0003, COVERAGE_ITEM: 0.004250±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.155434±0.0099, SHANNON_ENTROPY: 3.692456±0.0049, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'num_factors': 12, 'n_oversamples': 7, 'n_iter': 8, 'feature_weighting': 'none'} - results: ROC_AUC: 0.010539±0.0009, PRECISION: 0.002010±0.0001, PRECISION_RECALL_MIN_DEN: 0.020099±0.0009, RECALL: 0.020099±0.0009, MAP: 0.006706±0.0007, MRR: 0.006706±0.0007, NDCG: 0.009761±0.0008, F1: 0.003654±0.0002, HIT_RATE: 0.020099±0.0009, ARHR: 0.006706±0.0007, RMSE: 0.923036±0.0005, NOVELTY: 0.005015±0.0000, AVERAGE_POPULARITY: 0.853755±0.0031, DIVERSITY_MEAN_INTER_LIST: 0.176328±0.0095, DIVERSITY_HERFINDAHL: 0.917629±0.0010, COVERAGE_ITEM: 0.004964±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.135487±0.0053, SHANNON_ENTROPY: 3.744708±0.0273, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'num_factors': 32, 'n_oversamples': 15, 'n_iter': 4, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.031446±0.0013, PRECISION: 0.004968±0.0001, PRECISION_RECALL_MIN_DEN: 0.049684±0.0014, RECALL: 0.049684±0.0014, MAP: 0.020893±0.0011, MRR: 0.020893±0.0011, NDCG: 0.027592±0.0011, F1: 0.009033±0.0003, HIT_RATE: 0.049684±0.0014, ARHR: 0.020893±0.0011, RMSE: 0.851782±0.0007, NOVELTY: 0.005387±0.0000, AVERAGE_POPULARITY: 0.571022±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.923141±0.0007, DIVERSITY_HERFINDAHL: 0.992293±0.0001, COVERAGE_ITEM: 0.017572±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.378876±0.0038, SHANNON_ENTROPY: 7.354883±0.0136, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'num_factors': 41, 'n_oversamples': 19, 'n_iter': 12, 'feature_weighting': 'none'} - results: ROC_AUC: 0.013008±0.0009, PRECISION: 0.002398±0.0001, PRECISION_RECALL_MIN_DEN: 0.023984±0.0009, RECALL: 0.023984±0.0009, MAP: 0.007955±0.0010, MRR: 0.007955±0.0010, NDCG: 0.011634±0.0009, F1: 0.004361±0.0002, HIT_RATE: 0.023984±0.0009, ARHR: 0.007955±0.0010, RMSE: 0.912567±0.0011, NOVELTY: 0.005110±0.0000, AVERAGE_POPULARITY: 0.776627±0.0037, DIVERSITY_MEAN_INTER_LIST: 0.642990±0.0017, DIVERSITY_HERFINDAHL: 0.964284±0.0002, COVERAGE_ITEM: 0.017951±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.085881±0.0017, SHANNON_ENTROPY: 5.112714±0.0074, 
