SearchBayesianSkopt: New best config found. Config 0: {'topK': 127, 'alpha': 1.9258883022529616, 'beta': 1.7735964134527078, 'normalize_similarity': False} - results: ROC_AUC: 0.0010159, PRECISION: 0.0002224, PRECISION_RECALL_MIN_DEN: 0.0007413, RECALL: 0.0007413, MAP: 0.0001899, MRR: 0.0005697, NDCG: 0.0004437, F1: 0.0003422, HIT_RATE: 0.0022240, ARHR: 0.0005697, RMSE: 0.9999976, NOVELTY: 0.0093165, AVERAGE_POPULARITY: 0.0039384, DIVERSITY_MEAN_INTER_LIST: 0.9978969, DIVERSITY_HERFINDAHL: 0.9997835, COVERAGE_ITEM: 0.5770208, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4326615, SHANNON_ENTROPY: 12.5938327, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 454, 'alpha': 1.4421559452149069, 'beta': 0.5963734478992021, 'normalize_similarity': False} - results: ROC_AUC: 0.0045617, PRECISION: 0.0009205, PRECISION_RECALL_MIN_DEN: 0.0030683, RECALL: 0.0030683, MAP: 0.0009274, MRR: 0.0026927, NDCG: 0.0019787, F1: 0.0014161, HIT_RATE: 0.0092049, ARHR: 0.0027375, RMSE: 0.9998813, NOVELTY: 0.0086697, AVERAGE_POPULARITY: 0.0137611, DIVERSITY_MEAN_INTER_LIST: 0.9988350, DIVERSITY_HERFINDAHL: 0.9998773, COVERAGE_ITEM: 0.7451203, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5598269, SHANNON_ENTROPY: 13.2943429, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 792, 'alpha': 1.3553985296140667, 'beta': 0.8933381185881586, 'normalize_similarity': False} - results: ROC_AUC: 0.0023815, PRECISION: 0.0004695, PRECISION_RECALL_MIN_DEN: 0.0015650, RECALL: 0.0015650, MAP: 0.0004388, MRR: 0.0012988, NDCG: 0.0009791, F1: 0.0007223, HIT_RATE: 0.0046951, ARHR: 0.0013076, RMSE: 0.9999111, NOVELTY: 0.0090666, AVERAGE_POPULARITY: 0.0064376, DIVERSITY_MEAN_INTER_LIST: 0.9984560, DIVERSITY_HERFINDAHL: 0.9998394, COVERAGE_ITEM: 0.6725602, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4881785, SHANNON_ENTROPY: 12.9750865, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 241, 'alpha': 0.3944300394228727, 'beta': 0.43520864023764083, 'normalize_similarity': False} - results: ROC_AUC: 0.0702452, PRECISION: 0.0113424, PRECISION_RECALL_MIN_DEN: 0.0378081, RECALL: 0.0378081, MAP: 0.0180036, MRR: 0.0497806, NDCG: 0.0310984, F1: 0.0174499, HIT_RATE: 0.1134244, ARHR: 0.0518514, RMSE: 0.8889424, NOVELTY: 0.0082506, AVERAGE_POPULARITY: 0.1299807, DIVERSITY_MEAN_INTER_LIST: 0.9925127, DIVERSITY_HERFINDAHL: 0.9992451, COVERAGE_ITEM: 0.6674777, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4314739, SHANNON_ENTROPY: 12.4496573, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 686, 'alpha': 0.46462743163247644, 'beta': 0.9733543818583692, 'normalize_similarity': False} - results: ROC_AUC: 0.0009473, PRECISION: 0.0001915, PRECISION_RECALL_MIN_DEN: 0.0006384, RECALL: 0.0006384, MAP: 0.0001882, MRR: 0.0005264, NDCG: 0.0004037, F1: 0.0002946, HIT_RATE: 0.0019151, ARHR: 0.0005456, RMSE: 0.9869555, NOVELTY: 0.0096252, AVERAGE_POPULARITY: 0.0021509, DIVERSITY_MEAN_INTER_LIST: 0.9969178, DIVERSITY_HERFINDAHL: 0.9996856, COVERAGE_ITEM: 0.3870235, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4130081, SHANNON_ENTROPY: 11.9322344, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 165, 'alpha': 0.3690484697725996, 'beta': 0.8374644419941912, 'normalize_similarity': True} - results: ROC_AUC: 0.0018280, PRECISION: 0.0004324, PRECISION_RECALL_MIN_DEN: 0.0014415, RECALL: 0.0014415, MAP: 0.0003836, MRR: 0.0010658, NDCG: 0.0008620, F1: 0.0006653, HIT_RATE: 0.0043245, ARHR: 0.0011083, RMSE: 0.9945894, NOVELTY: 0.0094298, AVERAGE_POPULARITY: 0.0036349, DIVERSITY_MEAN_INTER_LIST: 0.9978538, DIVERSITY_HERFINDAHL: 0.9997792, COVERAGE_ITEM: 0.5942687, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4073349, SHANNON_ENTROPY: 12.5552273, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 635, 'alpha': 1.8995202836678144, 'beta': 1.5129118364168148, 'normalize_similarity': True} - results: ROC_AUC: 0.0009747, PRECISION: 0.0002100, PRECISION_RECALL_MIN_DEN: 0.0007002, RECALL: 0.0007002, MAP: 0.0001902, MRR: 0.0005706, NDCG: 0.0004305, F1: 0.0003231, HIT_RATE: 0.0021005, ARHR: 0.0005706, RMSE: 0.9970993, NOVELTY: 0.0093677, AVERAGE_POPULARITY: 0.0036095, DIVERSITY_MEAN_INTER_LIST: 0.9959729, DIVERSITY_HERFINDAHL: 0.9995911, COVERAGE_ITEM: 0.5113274, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3274599, SHANNON_ENTROPY: 11.9750532, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 219, 'alpha': 1.7227012284681205, 'beta': 1.7023302987517999, 'normalize_similarity': False} - results: ROC_AUC: 0.0009138, PRECISION: 0.0002162, PRECISION_RECALL_MIN_DEN: 0.0007207, RECALL: 0.0007207, MAP: 0.0001825, MRR: 0.0005350, NDCG: 0.0004257, F1: 0.0003327, HIT_RATE: 0.0021622, ARHR: 0.0005412, RMSE: 0.9999949, NOVELTY: 0.0093573, AVERAGE_POPULARITY: 0.0036293, DIVERSITY_MEAN_INTER_LIST: 0.9977854, DIVERSITY_HERFINDAHL: 0.9997724, COVERAGE_ITEM: 0.5577183, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4249125, SHANNON_ENTROPY: 12.5209219, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 821, 'alpha': 1.3462657448847175, 'beta': 0.17475114776778614, 'normalize_similarity': False} - results: ROC_AUC: 0.0156833, PRECISION: 0.0029406, PRECISION_RECALL_MIN_DEN: 0.0098021, RECALL: 0.0098021, MAP: 0.0036437, MRR: 0.0100956, NDCG: 0.0069780, F1: 0.0045240, HIT_RATE: 0.0294063, ARHR: 0.0105082, RMSE: 0.9990114, NOVELTY: 0.0077988, AVERAGE_POPULARITY: 0.0541643, DIVERSITY_MEAN_INTER_LIST: 0.9988926, DIVERSITY_HERFINDAHL: 0.9998831, COVERAGE_ITEM: 0.7285753, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5881474, SHANNON_ENTROPY: 13.3158114, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 716, 'alpha': 1.8976684746415968, 'beta': 0.9764322834513011, 'normalize_similarity': False} - results: ROC_AUC: 0.0025809, PRECISION: 0.0004942, PRECISION_RECALL_MIN_DEN: 0.0016474, RECALL: 0.0016474, MAP: 0.0005223, MRR: 0.0015670, NDCG: 0.0010979, F1: 0.0007603, HIT_RATE: 0.0049422, ARHR: 0.0015670, RMSE: 0.9999933, NOVELTY: 0.0088740, AVERAGE_POPULARITY: 0.0093363, DIVERSITY_MEAN_INTER_LIST: 0.9986602, DIVERSITY_HERFINDAHL: 0.9998599, COVERAGE_ITEM: 0.7168424, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5193960, SHANNON_ENTROPY: 13.1456821, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 477, 'alpha': 1.6698856085223925, 'beta': 1.4949520448141997, 'normalize_similarity': False} - results: ROC_AUC: 0.0011257, PRECISION: 0.0002471, PRECISION_RECALL_MIN_DEN: 0.0008237, RECALL: 0.0008237, MAP: 0.0002165, MRR: 0.0006496, NDCG: 0.0004987, F1: 0.0003802, HIT_RATE: 0.0024711, ARHR: 0.0006496, RMSE: 0.9999923, NOVELTY: 0.0092952, AVERAGE_POPULARITY: 0.0041041, DIVERSITY_MEAN_INTER_LIST: 0.9979696, DIVERSITY_HERFINDAHL: 0.9997908, COVERAGE_ITEM: 0.5871317, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4386415, SHANNON_ENTROPY: 12.6375105, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 184, 'alpha': 0.9978748948319172, 'beta': 1.5888282487467915, 'normalize_similarity': False} - results: ROC_AUC: 0.0006843, PRECISION: 0.0001483, PRECISION_RECALL_MIN_DEN: 0.0004942, RECALL: 0.0004942, MAP: 0.0001631, MRR: 0.0004756, NDCG: 0.0003318, F1: 0.0002281, HIT_RATE: 0.0014827, ARHR: 0.0004825, RMSE: 0.9998825, NOVELTY: 0.0095721, AVERAGE_POPULARITY: 0.0023815, DIVERSITY_MEAN_INTER_LIST: 0.9969173, DIVERSITY_HERFINDAHL: 0.9996856, COVERAGE_ITEM: 0.4273047, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3897282, SHANNON_ENTROPY: 12.0196494, 
SearchBayesianSkopt: New best config found. Config 12: {'topK': 364, 'alpha': 0.17142678264804492, 'beta': 0.2056168128310541, 'normalize_similarity': False} - results: ROC_AUC: 0.1005171, PRECISION: 0.0163712, PRECISION_RECALL_MIN_DEN: 0.0545705, RECALL: 0.0545705, MAP: 0.0262674, MRR: 0.0729443, NDCG: 0.0451996, F1: 0.0251864, HIT_RATE: 0.1637116, ARHR: 0.0758253, RMSE: 7.8611771, NOVELTY: 0.0054508, AVERAGE_POPULARITY: 0.5692779, DIVERSITY_MEAN_INTER_LIST: 0.8809053, DIVERSITY_HERFINDAHL: 0.9880851, COVERAGE_ITEM: 0.4300622, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0852297, SHANNON_ENTROPY: 8.1356374, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 921, 'alpha': 1.508473006385245, 'beta': 1.8093063905486608, 'normalize_similarity': False} - results: ROC_AUC: 0.0007697, PRECISION: 0.0001668, PRECISION_RECALL_MIN_DEN: 0.0005560, RECALL: 0.0005560, MAP: 0.0001627, MRR: 0.0004745, NDCG: 0.0003517, F1: 0.0002566, HIT_RATE: 0.0016680, ARHR: 0.0004814, RMSE: 0.9999894, NOVELTY: 0.0094600, AVERAGE_POPULARITY: 0.0029657, DIVERSITY_MEAN_INTER_LIST: 0.9974227, DIVERSITY_HERFINDAHL: 0.9997361, COVERAGE_ITEM: 0.5019735, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4055890, SHANNON_ENTROPY: 12.3067374, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 627, 'alpha': 0.3775386176250378, 'beta': 1.6481928285657748, 'normalize_similarity': True} - results: ROC_AUC: 0.0007413, PRECISION: 0.0001483, PRECISION_RECALL_MIN_DEN: 0.0004942, RECALL: 0.0004942, MAP: 0.0001517, MRR: 0.0004550, NDCG: 0.0003233, F1: 0.0002281, HIT_RATE: 0.0014827, ARHR: 0.0004550, RMSE: 0.9977478, NOVELTY: 0.0095922, AVERAGE_POPULARITY: 0.0024140, DIVERSITY_MEAN_INTER_LIST: 0.9968719, DIVERSITY_HERFINDAHL: 0.9996810, COVERAGE_ITEM: 0.4602325, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3601894, SHANNON_ENTROPY: 12.0062699, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 897, 'alpha': 0.682547245919174, 'beta': 0.5858923190880124, 'normalize_similarity': False} - results: ROC_AUC: 0.0103004, PRECISION: 0.0020016, PRECISION_RECALL_MIN_DEN: 0.0066720, RECALL: 0.0066720, MAP: 0.0022401, MRR: 0.0061141, NDCG: 0.0044841, F1: 0.0030794, HIT_RATE: 0.0200161, ARHR: 0.0064071, RMSE: 0.9845856, NOVELTY: 0.0091660, AVERAGE_POPULARITY: 0.0068912, DIVERSITY_MEAN_INTER_LIST: 0.9983977, DIVERSITY_HERFINDAHL: 0.9998336, COVERAGE_ITEM: 0.6461206, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4847561, SHANNON_ENTROPY: 12.9096599, 
