CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 98, 'alpha': 0.6338441960891578, 'beta': 1.9801657464591942, 'normalize_similarity': False} - results: ROC_AUC: 0.0003020, PRECISION: 0.0000524, PRECISION_RECALL_MIN_DEN: 0.0005240, RECALL: 0.0005240, MAP: 0.0001849, MRR: 0.0001849, NDCG: 0.0002635, F1: 0.0000953, HIT_RATE: 0.0005240, ARHR: 0.0001849, RMSE: 0.9999469, NOVELTY: 0.0099128, AVERAGE_POPULARITY: 0.0014380, DIVERSITY_MEAN_INTER_LIST: 0.9952042, DIVERSITY_HERFINDAHL: 0.9995160, COVERAGE_ITEM: 0.2981779, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3447061, SHANNON_ENTROPY: 11.2641492, 
CrossSearchBayesianSkopt: New best config found. Config 1: {'topK': 68, 'alpha': 0.9765754773067747, 'beta': 1.3702562811623504, 'normalize_similarity': True} - results: ROC_AUC: 0.0005684, PRECISION: 0.0001021, PRECISION_RECALL_MIN_DEN: 0.0010214, RECALL: 0.0010214, MAP: 0.0003448, MRR: 0.0003448, NDCG: 0.0005010, F1: 0.0001857, HIT_RATE: 0.0010214, ARHR: 0.0003448, RMSE: 0.9993978, NOVELTY: 0.0097529, AVERAGE_POPULARITY: 0.0020184, DIVERSITY_MEAN_INTER_LIST: 0.9951176, DIVERSITY_HERFINDAHL: 0.9995073, COVERAGE_ITEM: 0.4643742, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2841176, SHANNON_ENTROPY: 11.6522389, 
CrossSearchBayesianSkopt: New best config found. Config 2: {'topK': 25, 'alpha': 0.07500226578445647, 'beta': 0.6671203768914556, 'normalize_similarity': True} - results: ROC_AUC: 0.0231518, PRECISION: 0.0031875, PRECISION_RECALL_MIN_DEN: 0.0318753, RECALL: 0.0318753, MAP: 0.0165976, MRR: 0.0165976, NDCG: 0.0202104, F1: 0.0057955, HIT_RATE: 0.0318753, ARHR: 0.0165976, RMSE: 0.9945862, NOVELTY: 0.0094018, AVERAGE_POPULARITY: 0.0341406, DIVERSITY_MEAN_INTER_LIST: 0.9959361, DIVERSITY_HERFINDAHL: 0.9995892, COVERAGE_ITEM: 0.5009786, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2999659, SHANNON_ENTROPY: 11.8504100, 
CrossSearchBayesianSkopt: New best config found. Config 3: {'topK': 825, 'alpha': 0.34885373651887625, 'beta': 0.15858826700357878, 'normalize_similarity': True} - results: ROC_AUC: 0.0540077, PRECISION: 0.0076549, PRECISION_RECALL_MIN_DEN: 0.0765487, RECALL: 0.0765487, MAP: 0.0380872, MRR: 0.0380872, NDCG: 0.0471487, F1: 0.0139179, HIT_RATE: 0.0765487, ARHR: 0.0380872, RMSE: 0.9960088, NOVELTY: 0.0063456, AVERAGE_POPULARITY: 0.3019888, DIVERSITY_MEAN_INTER_LIST: 0.9799241, DIVERSITY_HERFINDAHL: 0.9979881, COVERAGE_ITEM: 0.7287483, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2297695, SHANNON_ENTROPY: 11.1058316, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 522, 'alpha': 1.8878286467799008, 'beta': 1.3863409180910395, 'normalize_similarity': False} - results: ROC_AUC: 0.0012237, PRECISION: 0.0002229, PRECISION_RECALL_MIN_DEN: 0.0022292, RECALL: 0.0022292, MAP: 0.0007723, MRR: 0.0007723, NDCG: 0.0011061, F1: 0.0004053, HIT_RATE: 0.0022292, ARHR: 0.0007723, RMSE: 0.9999996, NOVELTY: 0.0091988, AVERAGE_POPULARITY: 0.0058014, DIVERSITY_MEAN_INTER_LIST: 0.9983579, DIVERSITY_HERFINDAHL: 0.9998314, COVERAGE_ITEM: 0.7077480, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4542593, SHANNON_ENTROPY: 12.9509822, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 564, 'alpha': 0.13055631392415948, 'beta': 0.5700148098419261, 'normalize_similarity': True} - results: ROC_AUC: 0.0236314, PRECISION: 0.0033536, PRECISION_RECALL_MIN_DEN: 0.0335361, RECALL: 0.0335361, MAP: 0.0171010, MRR: 0.0171010, NDCG: 0.0209587, F1: 0.0060975, HIT_RATE: 0.0335361, ARHR: 0.0171010, RMSE: 0.9969145, NOVELTY: 0.0089979, AVERAGE_POPULARITY: 0.0495972, DIVERSITY_MEAN_INTER_LIST: 0.9957100, DIVERSITY_HERFINDAHL: 0.9995666, COVERAGE_ITEM: 0.7394647, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4000571, SHANNON_ENTROPY: 12.6400398, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 62, 'alpha': 0.7842085999352773, 'beta': 0.8245592712969043, 'normalize_similarity': False} - results: ROC_AUC: 0.0024838, PRECISION: 0.0004769, PRECISION_RECALL_MIN_DEN: 0.0047693, RECALL: 0.0047693, MAP: 0.0014331, MRR: 0.0014331, NDCG: 0.0021989, F1: 0.0008671, HIT_RATE: 0.0047693, ARHR: 0.0014331, RMSE: 0.9997911, NOVELTY: 0.0094951, AVERAGE_POPULARITY: 0.0036503, DIVERSITY_MEAN_INTER_LIST: 0.9977403, DIVERSITY_HERFINDAHL: 0.9997696, COVERAGE_ITEM: 0.5978805, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3993943, SHANNON_ENTROPY: 12.5346278, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 93, 'alpha': 1.087730484556283, 'beta': 1.9425379631531927, 'normalize_similarity': True} - results: ROC_AUC: 0.0004628, PRECISION: 0.0000844, PRECISION_RECALL_MIN_DEN: 0.0008437, RECALL: 0.0008437, MAP: 0.0002862, MRR: 0.0002862, NDCG: 0.0004143, F1: 0.0001534, HIT_RATE: 0.0008437, ARHR: 0.0002862, RMSE: 0.9995448, NOVELTY: 0.0098194, AVERAGE_POPULARITY: 0.0017563, DIVERSITY_MEAN_INTER_LIST: 0.9949799, DIVERSITY_HERFINDAHL: 0.9994936, COVERAGE_ITEM: 0.4141552, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2844037, SHANNON_ENTROPY: 11.5120733, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 131, 'alpha': 1.0581836589561953, 'beta': 0.8724251935911247, 'normalize_similarity': True} - results: ROC_AUC: 0.0017861, PRECISION: 0.0003579, PRECISION_RECALL_MIN_DEN: 0.0035792, RECALL: 0.0035792, MAP: 0.0010248, MRR: 0.0010248, NDCG: 0.0016082, F1: 0.0006508, HIT_RATE: 0.0035792, ARHR: 0.0010248, RMSE: 0.9981461, NOVELTY: 0.0094528, AVERAGE_POPULARITY: 0.0039122, DIVERSITY_MEAN_INTER_LIST: 0.9961205, DIVERSITY_HERFINDAHL: 0.9996076, COVERAGE_ITEM: 0.6080130, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3133961, SHANNON_ENTROPY: 12.1327501, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 499, 'alpha': 1.8228184078382539, 'beta': 0.05536839489514246, 'normalize_similarity': False} - results: ROC_AUC: 0.0093521, PRECISION: 0.0015312, PRECISION_RECALL_MIN_DEN: 0.0153115, RECALL: 0.0153115, MAP: 0.0060699, MRR: 0.0060699, NDCG: 0.0082129, F1: 0.0027839, HIT_RATE: 0.0153115, ARHR: 0.0060699, RMSE: 0.9999823, NOVELTY: 0.0070826, AVERAGE_POPULARITY: 0.1250704, DIVERSITY_MEAN_INTER_LIST: 0.9976534, DIVERSITY_HERFINDAHL: 0.9997609, COVERAGE_ITEM: 0.6709922, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4124234, SHANNON_ENTROPY: 12.6931426, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 685, 'alpha': 0.4959995897113635, 'beta': 0.9090957887059061, 'normalize_similarity': False} - results: ROC_AUC: 0.0012671, PRECISION: 0.0002531, PRECISION_RECALL_MIN_DEN: 0.0025312, RECALL: 0.0025312, MAP: 0.0007227, MRR: 0.0007227, NDCG: 0.0011366, F1: 0.0004602, HIT_RATE: 0.0025312, ARHR: 0.0007227, RMSE: 0.9978409, NOVELTY: 0.0097886, AVERAGE_POPULARITY: 0.0019138, DIVERSITY_MEAN_INTER_LIST: 0.9967142, DIVERSITY_HERFINDAHL: 0.9996670, COVERAGE_ITEM: 0.4217897, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3667967, SHANNON_ENTROPY: 11.9095613, 
