SearchBayesianSkopt: New best config found. Config 0: {'topK': 271, 'alpha': 0.6197769909707519, 'beta': 1.018841021777955, 'normalize_similarity': False} - results: ROC_AUC: 0.2206045, PRECISION: 0.0002073, PRECISION_RECALL_MIN_DEN: 0.0006910, RECALL: 0.0006910, MAP: 0.0001891, MRR: 0.0005672, NDCG: 0.0004264, F1: 0.0003189, HIT_RATE: 0.0020730, ARHR: 0.0005672, RMSE: nan, NOVELTY: 0.0074823, AVERAGE_POPULARITY: 0.0018638, DIVERSITY_MEAN_INTER_LIST: 0.9980068, DIVERSITY_HERFINDAHL: 0.9996648, COVERAGE_ITEM: 0.4041633, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3855348, SHANNON_ENTROPY: 11.9238001, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 899, 'alpha': 1.231346030192223, 'beta': 0.5511596924488295, 'normalize_similarity': False} - results: ROC_AUC: 0.2274501, PRECISION: 0.0014607, PRECISION_RECALL_MIN_DEN: 0.0048691, RECALL: 0.0048691, MAP: 0.0015736, MRR: 0.0044664, NDCG: 0.0032425, F1: 0.0022473, HIT_RATE: 0.0146073, ARHR: 0.0045887, RMSE: nan, NOVELTY: 0.0066426, AVERAGE_POPULARITY: 0.0162173, DIVERSITY_MEAN_INTER_LIST: 0.9992910, DIVERSITY_HERFINDAHL: 0.9998757, COVERAGE_ITEM: 0.7431198, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.5588717, SHANNON_ENTROPY: 13.2867181, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 329, 'alpha': 1.37928834792499, 'beta': 0.7641283585111338, 'normalize_similarity': False} - results: ROC_AUC: 0.2230465, PRECISION: 0.0007858, PRECISION_RECALL_MIN_DEN: 0.0026194, RECALL: 0.0026194, MAP: 0.0006689, MRR: 0.0019229, NDCG: 0.0015498, F1: 0.0012089, HIT_RATE: 0.0078581, ARHR: 0.0019648, RMSE: nan, NOVELTY: 0.0068555, AVERAGE_POPULARITY: 0.0094142, DIVERSITY_MEAN_INTER_LIST: 0.9991771, DIVERSITY_HERFINDAHL: 0.9998570, COVERAGE_ITEM: 0.7231684, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.5124975, SHANNON_ENTROPY: 13.1396651, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 522, 'alpha': 0.6750527308419564, 'beta': 0.1148896264594639, 'normalize_similarity': False} - results: ROC_AUC: 0.3038771, PRECISION: 0.0135853, PRECISION_RECALL_MIN_DEN: 0.0452844, RECALL: 0.0452844, MAP: 0.0220122, MRR: 0.0601279, NDCG: 0.0375897, F1: 0.0209005, HIT_RATE: 0.1358531, ARHR: 0.0630185, RMSE: nan, NOVELTY: 0.0047196, AVERAGE_POPULARITY: 0.2934645, DIVERSITY_MEAN_INTER_LIST: 0.9796486, DIVERSITY_HERFINDAHL: 0.9966503, COVERAGE_ITEM: 0.5444174, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1905226, SHANNON_ENTROPY: 10.3362733, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 629, 'alpha': 1.9051078566242352, 'beta': 1.1732758143025663, 'normalize_similarity': False} - results: ROC_AUC: 0.2216223, PRECISION: 0.0004146, PRECISION_RECALL_MIN_DEN: 0.0013820, RECALL: 0.0013820, MAP: 0.0003706, MRR: 0.0011119, NDCG: 0.0008465, F1: 0.0006378, HIT_RATE: 0.0041460, ARHR: 0.0011119, RMSE: nan, NOVELTY: 0.0069508, AVERAGE_POPULARITY: 0.0073715, DIVERSITY_MEAN_INTER_LIST: 0.9990965, DIVERSITY_HERFINDAHL: 0.9998437, COVERAGE_ITEM: 0.7027845, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.4896581, SHANNON_ENTROPY: 13.0392126, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 389, 'alpha': 1.7644822154304884, 'beta': 1.3196125462410213, 'normalize_similarity': True} - results: ROC_AUC: 0.2205510, PRECISION: 0.0001784, PRECISION_RECALL_MIN_DEN: 0.0005946, RECALL: 0.0005946, MAP: 0.0001686, MRR: 0.0005059, NDCG: 0.0003750, F1: 0.0002744, HIT_RATE: 0.0017837, ARHR: 0.0005059, RMSE: nan, NOVELTY: 0.0072429, AVERAGE_POPULARITY: 0.0035331, DIVERSITY_MEAN_INTER_LIST: 0.9970614, DIVERSITY_HERFINDAHL: 0.9995095, COVERAGE_ITEM: 0.5161936, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3025682, SHANNON_ENTROPY: 11.8383086, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 5, 'alpha': 0.0, 'beta': 2.0, 'normalize_similarity': False} - results: ROC_AUC: 0.2200475, PRECISION: 0.0000723, PRECISION_RECALL_MIN_DEN: 0.0002410, RECALL: 0.0002410, MAP: 0.0000619, MRR: 0.0001857, NDCG: 0.0001463, F1: 0.0001113, HIT_RATE: 0.0007231, ARHR: 0.0001857, RMSE: nan, NOVELTY: 0.0073934, AVERAGE_POPULARITY: 0.0030347, DIVERSITY_MEAN_INTER_LIST: 0.9729126, DIVERSITY_HERFINDAHL: 0.9955442, COVERAGE_ITEM: 0.3163558, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2132657, SHANNON_ENTROPY: 10.1918762, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 5, 'alpha': 2.0, 'beta': 0.0, 'normalize_similarity': True} - results: ROC_AUC: 0.2394078, PRECISION: 0.0030950, PRECISION_RECALL_MIN_DEN: 0.0103167, RECALL: 0.0103167, MAP: 0.0045335, MRR: 0.0132640, NDCG: 0.0082256, F1: 0.0047616, HIT_RATE: 0.0309502, ARHR: 0.0134298, RMSE: nan, NOVELTY: 0.0056203, AVERAGE_POPULARITY: 0.0971802, DIVERSITY_MEAN_INTER_LIST: 0.9691011, DIVERSITY_HERFINDAHL: 0.9949183, COVERAGE_ITEM: 0.3157069, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2430417, SHANNON_ENTROPY: 10.2567502, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 5, 'alpha': 0.0, 'beta': 0.0, 'normalize_similarity': True} - results: ROC_AUC: 0.2964425, PRECISION: 0.0102348, PRECISION_RECALL_MIN_DEN: 0.0341159, RECALL: 0.0341159, MAP: 0.0208604, MRR: 0.0587959, NDCG: 0.0331792, F1: 0.0157458, HIT_RATE: 0.1023478, ARHR: 0.0606671, RMSE: nan, NOVELTY: 0.0058577, AVERAGE_POPULARITY: 0.0815948, DIVERSITY_MEAN_INTER_LIST: 0.8843846, DIVERSITY_HERFINDAHL: 0.9810073, COVERAGE_ITEM: 0.3471749, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1516685, SHANNON_ENTROPY: 8.5772512, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 983, 'alpha': 0.03641371966446845, 'beta': 0.00022457266852777706, 'normalize_similarity': True} - results: ROC_AUC: 0.2912954, PRECISION: 0.0114834, PRECISION_RECALL_MIN_DEN: 0.0382780, RECALL: 0.0382780, MAP: 0.0187216, MRR: 0.0515657, NDCG: 0.0319644, F1: 0.0176668, HIT_RATE: 0.1148339, ARHR: 0.0538128, RMSE: nan, NOVELTY: 0.0045689, AVERAGE_POPULARITY: 0.2757376, DIVERSITY_MEAN_INTER_LIST: 0.9865792, DIVERSITY_HERFINDAHL: 0.9977883, COVERAGE_ITEM: 0.3533387, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1550178, SHANNON_ENTROPY: 10.0721489, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 5, 'alpha': 0.0, 'beta': 0.0, 'normalize_similarity': False} - results: ROC_AUC: 0.3010101, PRECISION: 0.0133105, PRECISION_RECALL_MIN_DEN: 0.0443684, RECALL: 0.0443684, MAP: 0.0209282, MRR: 0.0575746, NDCG: 0.0362339, F1: 0.0204777, HIT_RATE: 0.1331051, ARHR: 0.0601356, RMSE: nan, NOVELTY: 0.0049109, AVERAGE_POPULARITY: 0.2808346, DIVERSITY_MEAN_INTER_LIST: 0.9574531, DIVERSITY_HERFINDAHL: 0.9930056, COVERAGE_ITEM: 0.2565018, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1062919, SHANNON_ENTROPY: 8.6746000, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 1000, 'alpha': 0.0, 'beta': 0.0, 'normalize_similarity': False} - results: ROC_AUC: 0.2805954, PRECISION: 0.0098636, PRECISION_RECALL_MIN_DEN: 0.0328786, RECALL: 0.0328786, MAP: 0.0158086, MRR: 0.0443815, NDCG: 0.0272912, F1: 0.0151747, HIT_RATE: 0.0986357, ARHR: 0.0458756, RMSE: nan, NOVELTY: 0.0039589, AVERAGE_POPULARITY: 0.5885690, DIVERSITY_MEAN_INTER_LIST: 0.8062371, DIVERSITY_HERFINDAHL: 0.9681750, COVERAGE_ITEM: 0.1608543, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.0430653, SHANNON_ENTROPY: 6.1055252, 
