SearchBayesianSkopt: New best config found. Config 0: {'topK': 35, 'alpha': 0.19114864564253198, 'beta': 5.0824494664771385e-11, 'normalize_similarity': True} - results: ROC_AUC: 0.1203470, PRECISION: 0.0189535, PRECISION_RECALL_MIN_DEN: 0.0631783, RECALL: 0.0631783, MAP: 0.0308596, MRR: 0.0848676, NDCG: 0.0527544, F1: 0.0291592, HIT_RATE: 0.1895348, ARHR: 0.0886505, RMSE: 0.9609575, NOVELTY: 0.0066629, AVERAGE_POPULARITY: 0.2468386, DIVERSITY_MEAN_INTER_LIST: 0.9871012, DIVERSITY_HERFINDAHL: 0.9987040, COVERAGE_ITEM: 0.6667207, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.2381190, SHANNON_ENTROPY: 11.3616878, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 24, 'alpha': 0.417633203331175, 'beta': 9.223499781348348e-11, 'normalize_similarity': False} - results: ROC_AUC: 0.1253670, PRECISION: 0.0205721, PRECISION_RECALL_MIN_DEN: 0.0685735, RECALL: 0.0685735, MAP: 0.0324701, MRR: 0.0889120, NDCG: 0.0560624, F1: 0.0316493, HIT_RATE: 0.2057206, ARHR: 0.0931043, RMSE: 1.5186158, NOVELTY: 0.0060585, AVERAGE_POPULARITY: 0.4137149, DIVERSITY_MEAN_INTER_LIST: 0.9652528, DIVERSITY_HERFINDAHL: 0.9965193, COVERAGE_ITEM: 0.4763450, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.1259209, SHANNON_ENTROPY: 9.6952822, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 49, 'alpha': 0.0032340819029651477, 'beta': 6.728965819666014e-11, 'normalize_similarity': False} - results: ROC_AUC: 0.0953851, PRECISION: 0.0151603, PRECISION_RECALL_MIN_DEN: 0.0505344, RECALL: 0.0505344, MAP: 0.0243453, MRR: 0.0681313, NDCG: 0.0420197, F1: 0.0233236, HIT_RATE: 0.1516031, ARHR: 0.0705576, RMSE: 81.3769889, NOVELTY: 0.0057392, AVERAGE_POPULARITY: 0.5167155, DIVERSITY_MEAN_INTER_LIST: 0.9374997, DIVERSITY_HERFINDAHL: 0.9937442, COVERAGE_ITEM: 0.2433090, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.0991131, SHANNON_ENTROPY: 8.6209847, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 33, 'alpha': 0.2711214406736441, 'beta': 2.3231094691752436e-11, 'normalize_similarity': True} - results: ROC_AUC: 0.1231454, PRECISION: 0.0193921, PRECISION_RECALL_MIN_DEN: 0.0646403, RECALL: 0.0646403, MAP: 0.0316819, MRR: 0.0870568, NDCG: 0.0540749, F1: 0.0298340, HIT_RATE: 0.1939210, ARHR: 0.0909744, RMSE: 0.9586885, NOVELTY: 0.0066831, AVERAGE_POPULARITY: 0.2406284, DIVERSITY_MEAN_INTER_LIST: 0.9875413, DIVERSITY_HERFINDAHL: 0.9987480, COVERAGE_ITEM: 0.6861314, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.2355853, SHANNON_ENTROPY: 11.3926641, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 34, 'alpha': 0.17628145528729053, 'beta': 7.466748060247732e-12, 'normalize_similarity': False} - results: ROC_AUC: 0.1096196, PRECISION: 0.0176376, PRECISION_RECALL_MIN_DEN: 0.0587920, RECALL: 0.0587920, MAP: 0.0283470, MRR: 0.0785672, NDCG: 0.0487556, F1: 0.0271348, HIT_RATE: 0.1763761, ARHR: 0.0817563, RMSE: 11.8876817, NOVELTY: 0.0058133, AVERAGE_POPULARITY: 0.4911444, DIVERSITY_MEAN_INTER_LIST: 0.9459594, DIVERSITY_HERFINDAHL: 0.9945901, COVERAGE_ITEM: 0.2882401, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.1035925, SHANNON_ENTROPY: 8.8732796, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 37, 'alpha': 0.006618746299707436, 'beta': 1.363055232103583e-12, 'normalize_similarity': True} - results: ROC_AUC: 0.1089952, PRECISION: 0.0173781, PRECISION_RECALL_MIN_DEN: 0.0579271, RECALL: 0.0579271, MAP: 0.0278830, MRR: 0.0767256, NDCG: 0.0479367, F1: 0.0267356, HIT_RATE: 0.1737814, ARHR: 0.0801224, RMSE: 0.9657057, NOVELTY: 0.0066738, AVERAGE_POPULARITY: 0.2496780, DIVERSITY_MEAN_INTER_LIST: 0.9869863, DIVERSITY_HERFINDAHL: 0.9986925, COVERAGE_ITEM: 0.6497432, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.2545700, SHANNON_ENTROPY: 11.4290733, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 36, 'alpha': 0.14688757406829486, 'beta': 5.354893426429831e-12, 'normalize_similarity': True} - results: ROC_AUC: 0.1181542, PRECISION: 0.0188423, PRECISION_RECALL_MIN_DEN: 0.0628076, RECALL: 0.0628076, MAP: 0.0303336, MRR: 0.0831812, NDCG: 0.0520296, F1: 0.0289881, HIT_RATE: 0.1884228, ARHR: 0.0870153, RMSE: 0.9622385, NOVELTY: 0.0066542, AVERAGE_POPULARITY: 0.2504499, DIVERSITY_MEAN_INTER_LIST: 0.9868942, DIVERSITY_HERFINDAHL: 0.9986833, COVERAGE_ITEM: 0.6569884, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.2402765, SHANNON_ENTROPY: 11.3517303, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 18, 'alpha': 0.4584422333542662, 'beta': 5.540605917009698e-11, 'normalize_similarity': True} - results: ROC_AUC: 0.1226936, PRECISION: 0.0189288, PRECISION_RECALL_MIN_DEN: 0.0630959, RECALL: 0.0630959, MAP: 0.0318228, MRR: 0.0878897, NDCG: 0.0538127, F1: 0.0291212, HIT_RATE: 0.1892877, ARHR: 0.0916118, RMSE: 0.9526846, NOVELTY: 0.0068638, AVERAGE_POPULARITY: 0.1984641, DIVERSITY_MEAN_INTER_LIST: 0.9872223, DIVERSITY_HERFINDAHL: 0.9987161, COVERAGE_ITEM: 0.7236550, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.2602291, SHANNON_ENTROPY: 11.6264269, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 48, 'alpha': 0.108952950862548, 'beta': 7.686422196776189e-11, 'normalize_similarity': False} - results: ROC_AUC: 0.1018726, PRECISION: 0.0163773, PRECISION_RECALL_MIN_DEN: 0.0545911, RECALL: 0.0545911, MAP: 0.0262093, MRR: 0.0728587, NDCG: 0.0451972, F1: 0.0251959, HIT_RATE: 0.1637734, ARHR: 0.0757006, RMSE: 26.5178691, NOVELTY: 0.0057589, AVERAGE_POPULARITY: 0.5101227, DIVERSITY_MEAN_INTER_LIST: 0.9395937, DIVERSITY_HERFINDAHL: 0.9939536, COVERAGE_ITEM: 0.2584482, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.1006815, SHANNON_ENTROPY: 8.6990468, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 42, 'alpha': 0.12646174572501181, 'beta': 2.1250684652343924e-12, 'normalize_similarity': False} - results: ROC_AUC: 0.1037892, PRECISION: 0.0167418, PRECISION_RECALL_MIN_DEN: 0.0558061, RECALL: 0.0558061, MAP: 0.0267927, MRR: 0.0743522, NDCG: 0.0461774, F1: 0.0257567, HIT_RATE: 0.1674183, ARHR: 0.0773218, RMSE: 21.0209160, NOVELTY: 0.0057740, AVERAGE_POPULARITY: 0.5047185, DIVERSITY_MEAN_INTER_LIST: 0.9417002, DIVERSITY_HERFINDAHL: 0.9941642, COVERAGE_ITEM: 0.2664504, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.1014860, SHANNON_ENTROPY: 8.7487916, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 37, 'alpha': 0.24202817882062555, 'beta': 7.135284904559688e-11, 'normalize_similarity': True} - results: ROC_AUC: 0.1222202, PRECISION: 0.0194353, PRECISION_RECALL_MIN_DEN: 0.0647845, RECALL: 0.0647845, MAP: 0.0316061, MRR: 0.0868035, NDCG: 0.0540091, F1: 0.0299005, HIT_RATE: 0.1943535, ARHR: 0.0907338, RMSE: 0.9606164, NOVELTY: 0.0066456, AVERAGE_POPULARITY: 0.2499012, DIVERSITY_MEAN_INTER_LIST: 0.9872660, DIVERSITY_HERFINDAHL: 0.9987205, COVERAGE_ITEM: 0.6738037, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.2323972, SHANNON_ENTROPY: 11.3422126, 
