SearchBayesianSkopt: New best config found. Config 0: {'topK': 38, 'alpha': 0.011405308116948067, 'beta': 1.6933007551166068, 'normalize_similarity': True} - results: ROC_AUC: 0.0006528, PRECISION: 0.0001306, PRECISION_RECALL_MIN_DEN: 0.0004352, RECALL: 0.0004352, MAP: 0.0000894, MRR: 0.0002681, NDCG: 0.0002384, F1: 0.0002009, HIT_RATE: 0.0013057, ARHR: 0.0002681, RMSE: 0.9989044, NOVELTY: 0.0089555, AVERAGE_POPULARITY: 0.0082261, DIVERSITY_MEAN_INTER_LIST: 0.9904300, DIVERSITY_HERFINDAHL: 0.9990268, COVERAGE_ITEM: 0.2265477, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3591533, SHANNON_ENTROPY: 10.8867602, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 794, 'alpha': 1.2339431468004658, 'beta': 1.087782518841816, 'normalize_similarity': True} - results: ROC_AUC: 0.0034150, PRECISION: 0.0007671, PRECISION_RECALL_MIN_DEN: 0.0025570, RECALL: 0.0025570, MAP: 0.0006786, MRR: 0.0019297, NDCG: 0.0015405, F1: 0.0011801, HIT_RATE: 0.0076710, ARHR: 0.0019827, RMSE: 0.9876094, NOVELTY: 0.0087458, AVERAGE_POPULARITY: 0.0116189, DIVERSITY_MEAN_INTER_LIST: 0.9958854, DIVERSITY_HERFINDAHL: 0.9995723, COVERAGE_ITEM: 0.3875642, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4165540, SHANNON_ENTROPY: 11.9066349, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 780, 'alpha': 0.3561299927300801, 'beta': 1.561565040524874, 'normalize_similarity': False} - results: ROC_AUC: 0.0006710, PRECISION: 0.0001306, PRECISION_RECALL_MIN_DEN: 0.0004352, RECALL: 0.0004352, MAP: 0.0000867, MRR: 0.0002602, NDCG: 0.0002358, F1: 0.0002009, HIT_RATE: 0.0013057, ARHR: 0.0002602, RMSE: 0.9949752, NOVELTY: 0.0090526, AVERAGE_POPULARITY: 0.0073939, DIVERSITY_MEAN_INTER_LIST: 0.9867358, DIVERSITY_HERFINDAHL: 0.9986575, COVERAGE_ITEM: 0.2422276, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3468528, SHANNON_ENTROPY: 10.8051719, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 32, 'alpha': 0.28870269934104004, 'beta': 0.9607448932113412, 'normalize_similarity': False} - results: ROC_AUC: 0.0057804, PRECISION: 0.0012241, PRECISION_RECALL_MIN_DEN: 0.0040803, RECALL: 0.0040803, MAP: 0.0011169, MRR: 0.0032690, NDCG: 0.0025075, F1: 0.0018832, HIT_RATE: 0.0122409, ARHR: 0.0033098, RMSE: 0.9851925, NOVELTY: 0.0088284, AVERAGE_POPULARITY: 0.0103841, DIVERSITY_MEAN_INTER_LIST: 0.9969251, DIVERSITY_HERFINDAHL: 0.9996762, COVERAGE_ITEM: 0.4408218, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4457728, SHANNON_ENTROPY: 12.2054217, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 893, 'alpha': 1.6920497306635085, 'beta': 1.2837927825241813, 'normalize_similarity': True} - results: ROC_AUC: 0.0035363, PRECISION: 0.0006692, PRECISION_RECALL_MIN_DEN: 0.0022306, RECALL: 0.0022306, MAP: 0.0007127, MRR: 0.0020475, NDCG: 0.0014835, F1: 0.0010295, HIT_RATE: 0.0066917, ARHR: 0.0020928, RMSE: 0.9879194, NOVELTY: 0.0087303, AVERAGE_POPULARITY: 0.0119689, DIVERSITY_MEAN_INTER_LIST: 0.9948520, DIVERSITY_HERFINDAHL: 0.9994690, COVERAGE_ITEM: 0.3583131, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3957099, SHANNON_ENTROPY: 11.6971592, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 539, 'alpha': 1.2171376575903163, 'beta': 0.2549439791066171, 'normalize_similarity': False} - results: ROC_AUC: 0.0160707, PRECISION: 0.0030031, PRECISION_RECALL_MIN_DEN: 0.0100103, RECALL: 0.0100103, MAP: 0.0035893, MRR: 0.0100708, NDCG: 0.0070098, F1: 0.0046202, HIT_RATE: 0.0300310, ARHR: 0.0104193, RMSE: 0.9989628, NOVELTY: 0.0083021, AVERAGE_POPULARITY: 0.0271107, DIVERSITY_MEAN_INTER_LIST: 0.9986907, DIVERSITY_HERFINDAHL: 0.9998528, COVERAGE_ITEM: 0.6915383, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5357833, SHANNON_ENTROPY: 13.1231748, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 682, 'alpha': 1.6197104477998865, 'beta': 0.36546901396177117, 'normalize_similarity': False} - results: ROC_AUC: 0.0074295, PRECISION: 0.0014689, PRECISION_RECALL_MIN_DEN: 0.0048964, RECALL: 0.0048964, MAP: 0.0014514, MRR: 0.0041172, NDCG: 0.0031200, F1: 0.0022599, HIT_RATE: 0.0146891, ARHR: 0.0042357, RMSE: 0.9999412, NOVELTY: 0.0083938, AVERAGE_POPULARITY: 0.0212588, DIVERSITY_MEAN_INTER_LIST: 0.9985328, DIVERSITY_HERFINDAHL: 0.9998370, COVERAGE_ITEM: 0.6390916, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5264266, SHANNON_ENTROPY: 12.9868302, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 815, 'alpha': 1.8960543914134018, 'beta': 0.9147257638398381, 'normalize_similarity': True} - results: ROC_AUC: 0.0042458, PRECISION: 0.0008324, PRECISION_RECALL_MIN_DEN: 0.0027746, RECALL: 0.0027746, MAP: 0.0009290, MRR: 0.0026365, NDCG: 0.0018776, F1: 0.0012806, HIT_RATE: 0.0083238, ARHR: 0.0027117, RMSE: 0.9824055, NOVELTY: 0.0086264, AVERAGE_POPULARITY: 0.0144141, DIVERSITY_MEAN_INTER_LIST: 0.9956900, DIVERSITY_HERFINDAHL: 0.9995528, COVERAGE_ITEM: 0.4190862, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4116087, SHANNON_ENTROPY: 11.9703191, 
SearchBayesianSkopt: New best config found. Config 8: {'topK': 759, 'alpha': 0.3274515839943655, 'beta': 0.3304842142057763, 'normalize_similarity': False} - results: ROC_AUC: 0.0880260, PRECISION: 0.0142647, PRECISION_RECALL_MIN_DEN: 0.0475491, RECALL: 0.0475491, MAP: 0.0217337, MRR: 0.0615048, NDCG: 0.0383892, F1: 0.0219457, HIT_RATE: 0.1426473, ARHR: 0.0633276, RMSE: 2.0898729, NOVELTY: 0.0057427, AVERAGE_POPULARITY: 0.5959646, DIVERSITY_MEAN_INTER_LIST: 0.8846650, DIVERSITY_HERFINDAHL: 0.9884521, COVERAGE_ITEM: 0.1808597, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1104422, SHANNON_ENTROPY: 7.9356341, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 121, 'alpha': 0.5546952941663733, 'beta': 1.2225760604988996, 'normalize_similarity': True} - results: ROC_AUC: 0.0009067, PRECISION: 0.0001795, PRECISION_RECALL_MIN_DEN: 0.0005984, RECALL: 0.0005984, MAP: 0.0001633, MRR: 0.0004900, NDCG: 0.0003699, F1: 0.0002762, HIT_RATE: 0.0017953, ARHR: 0.0004900, RMSE: 0.9949152, NOVELTY: 0.0089062, AVERAGE_POPULARITY: 0.0087753, DIVERSITY_MEAN_INTER_LIST: 0.9940081, DIVERSITY_HERFINDAHL: 0.9993846, COVERAGE_ITEM: 0.2962963, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3781453, SHANNON_ENTROPY: 11.3902982, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 440, 'alpha': 1.060199203604126, 'beta': 0.6300036349693475, 'normalize_similarity': True} - results: ROC_AUC: 0.0108729, PRECISION: 0.0022686, PRECISION_RECALL_MIN_DEN: 0.0075622, RECALL: 0.0075622, MAP: 0.0022677, MRR: 0.0062000, NDCG: 0.0047954, F1: 0.0034902, HIT_RATE: 0.0226865, ARHR: 0.0065015, RMSE: 0.9773844, NOVELTY: 0.0085790, AVERAGE_POPULARITY: 0.0176141, DIVERSITY_MEAN_INTER_LIST: 0.9973424, DIVERSITY_HERFINDAHL: 0.9997180, COVERAGE_ITEM: 0.5209516, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4551560, SHANNON_ENTROPY: 12.4597499, 
