CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 66, 'alpha': 1.49969997673343, 'beta': 1.1047773618560899, 'normalize_similarity': False} - results: ROC_AUC: 0.003887±0.0001, PRECISION: 0.000696±0.0000, PRECISION_RECALL_MIN_DEN: 0.006960±0.0002, RECALL: 0.006960±0.0002, MAP: 0.002290±0.0001, MRR: 0.002290±0.0001, NDCG: 0.003370±0.0001, F1: 0.001265±0.0000, HIT_RATE: 0.006960±0.0002, ARHR: 0.002290±0.0001, RMSE: 0.999979±0.0000, NOVELTY: 0.008687±0.0000, AVERAGE_POPULARITY: 0.009926±0.0001, DIVERSITY_MEAN_INTER_LIST: 0.998855±0.0000, DIVERSITY_HERFINDAHL: 0.999880±0.0000, COVERAGE_ITEM: 0.817875±0.0014, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.533946±0.0016, SHANNON_ENTROPY: 13.365051±0.0031, 
CrossSearchBayesianSkopt: New best config found. Config 1: {'topK': 396, 'alpha': 0.31013409574632683, 'beta': 0.15758538919397472, 'normalize_similarity': False} - results: ROC_AUC: 0.074714±0.0014, PRECISION: 0.010155±0.0002, PRECISION_RECALL_MIN_DEN: 0.101549±0.0016, RECALL: 0.101549±0.0016, MAP: 0.054485±0.0011, MRR: 0.054485±0.0011, NDCG: 0.065620±0.0012, F1: 0.018463±0.0003, HIT_RATE: 0.101549±0.0016, ARHR: 0.054485±0.0011, RMSE: 2.146302±0.0129, NOVELTY: 0.005775±0.0000, AVERAGE_POPULARITY: 0.511831±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.930405±0.0002, DIVERSITY_HERFINDAHL: 0.993035±0.0000, COVERAGE_ITEM: 0.600476±0.0016, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.116912±0.0003, SHANNON_ENTROPY: 9.150473±0.0054, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 54, 'alpha': 0.9617384152889912, 'beta': 1.3431376736031768, 'normalize_similarity': True} - results: ROC_AUC: 0.001960±0.0003, PRECISION: 0.000341±0.0000, PRECISION_RECALL_MIN_DEN: 0.003406±0.0004, RECALL: 0.003406±0.0004, MAP: 0.001157±0.0002, MRR: 0.001157±0.0002, NDCG: 0.001679±0.0002, F1: 0.000619±0.0001, HIT_RATE: 0.003406±0.0004, ARHR: 0.001157±0.0002, RMSE: 0.994362±0.0001, NOVELTY: 0.009055±0.0000, AVERAGE_POPULARITY: 0.005419±0.0000, DIVERSITY_MEAN_INTER_LIST: 0.996974±0.0000, DIVERSITY_HERFINDAHL: 0.999692±0.0000, COVERAGE_ITEM: 0.574350±0.0018, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.381806±0.0013, SHANNON_ENTROPY: 12.363429±0.0058, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 180, 'alpha': 0.9676283873058842, 'beta': 0.4103419212385745, 'normalize_similarity': True} - results: ROC_AUC: 0.044947±0.0008, PRECISION: 0.006525±0.0001, PRECISION_RECALL_MIN_DEN: 0.065247±0.0007, RECALL: 0.065247±0.0007, MAP: 0.031015±0.0005, MRR: 0.031015±0.0005, NDCG: 0.039063±0.0006, F1: 0.011863±0.0001, HIT_RATE: 0.065247±0.0007, ARHR: 0.031015±0.0005, RMSE: 0.968006±0.0002, NOVELTY: 0.008008±0.0000, AVERAGE_POPULARITY: 0.059961±0.0007, DIVERSITY_MEAN_INTER_LIST: 0.998467±0.0000, DIVERSITY_HERFINDAHL: 0.999841±0.0000, COVERAGE_ITEM: 0.868440±0.0024, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.501277±0.0013, SHANNON_ENTROPY: 13.313405±0.0044, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 87, 'alpha': 0.42055748032689155, 'beta': 0.6966190105663951, 'normalize_similarity': False} - results: ROC_AUC: 0.030617±0.0006, PRECISION: 0.004285±0.0001, PRECISION_RECALL_MIN_DEN: 0.042852±0.0005, RECALL: 0.042852±0.0005, MAP: 0.021653±0.0006, MRR: 0.021653±0.0006, NDCG: 0.026656±0.0006, F1: 0.007791±0.0001, HIT_RATE: 0.042852±0.0005, ARHR: 0.021653±0.0006, RMSE: 0.970129±0.0002, NOVELTY: 0.008756±0.0000, AVERAGE_POPULARITY: 0.022720±0.0002, DIVERSITY_MEAN_INTER_LIST: 0.998521±0.0000, DIVERSITY_HERFINDAHL: 0.999846±0.0000, COVERAGE_ITEM: 0.813679±0.0016, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.492633±0.0008, SHANNON_ENTROPY: 13.226074±0.0022, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 237, 'alpha': 1.205147257937424, 'beta': 1.265820881368317, 'normalize_similarity': True} - results: ROC_AUC: 0.002558±0.0002, PRECISION: 0.000442±0.0000, PRECISION_RECALL_MIN_DEN: 0.004420±0.0003, RECALL: 0.004420±0.0003, MAP: 0.001535±0.0002, MRR: 0.001535±0.0002, NDCG: 0.002204±0.0002, F1: 0.000804±0.0001, HIT_RATE: 0.004420±0.0003, ARHR: 0.001535±0.0002, RMSE: 0.993410±0.0001, NOVELTY: 0.008929±0.0000, AVERAGE_POPULARITY: 0.006631±0.0001, DIVERSITY_MEAN_INTER_LIST: 0.997685±0.0000, DIVERSITY_HERFINDAHL: 0.999763±0.0000, COVERAGE_ITEM: 0.646640±0.0021, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.413855±0.0010, SHANNON_ENTROPY: 12.660787±0.0068, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 439, 'alpha': 0.9293593690191904, 'beta': 1.9956641217667734, 'normalize_similarity': False} - results: ROC_AUC: 0.001210±0.0002, PRECISION: 0.000213±0.0000, PRECISION_RECALL_MIN_DEN: 0.002130±0.0003, RECALL: 0.002130±0.0003, MAP: 0.000737±0.0002, MRR: 0.000737±0.0002, NDCG: 0.001059±0.0002, F1: 0.000387±0.0001, HIT_RATE: 0.002130±0.0003, ARHR: 0.000737±0.0002, RMSE: 0.999953±0.0000, NOVELTY: 0.009224±0.0000, AVERAGE_POPULARITY: 0.004230±0.0000, DIVERSITY_MEAN_INTER_LIST: 0.997044±0.0000, DIVERSITY_HERFINDAHL: 0.999699±0.0000, COVERAGE_ITEM: 0.510787±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.416554±0.0009, SHANNON_ENTROPY: 12.329435±0.0018, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 532, 'alpha': 0.17404577463216267, 'beta': 0.8415278518487521, 'normalize_similarity': False} - results: ROC_AUC: 0.013397±0.0004, PRECISION: 0.002077±0.0001, PRECISION_RECALL_MIN_DEN: 0.020765±0.0008, RECALL: 0.020765±0.0008, MAP: 0.009035±0.0003, MRR: 0.009035±0.0003, NDCG: 0.011766±0.0004, F1: 0.003776±0.0001, HIT_RATE: 0.020765±0.0008, ARHR: 0.009035±0.0003, RMSE: 0.907750±0.0020, NOVELTY: 0.009167±0.0000, AVERAGE_POPULARITY: 0.009233±0.0001, DIVERSITY_MEAN_INTER_LIST: 0.996871±0.0000, DIVERSITY_HERFINDAHL: 0.999681±0.0000, COVERAGE_ITEM: 0.590841±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.348211±0.0008, SHANNON_ENTROPY: 12.287772±0.0043, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 645, 'alpha': 1.873411784823213, 'beta': 0.08252501347381781, 'normalize_similarity': True} - results: ROC_AUC: 0.025628±0.0006, PRECISION: 0.004290±0.0001, PRECISION_RECALL_MIN_DEN: 0.042898±0.0007, RECALL: 0.042898±0.0007, MAP: 0.016244±0.0006, MRR: 0.016244±0.0006, NDCG: 0.022419±0.0006, F1: 0.007800±0.0001, HIT_RATE: 0.042898±0.0007, ARHR: 0.016244±0.0006, RMSE: 0.970377±0.0002, NOVELTY: 0.007388±0.0000, AVERAGE_POPULARITY: 0.097525±0.0009, DIVERSITY_MEAN_INTER_LIST: 0.998092±0.0000, DIVERSITY_HERFINDAHL: 0.999804±0.0000, COVERAGE_ITEM: 0.738351±0.0032, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.439824±0.0012, SHANNON_ENTROPY: 12.930870±0.0058, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 227, 'alpha': 1.2812862323697658, 'beta': 1.5298706105644306, 'normalize_similarity': False} - results: ROC_AUC: 0.002201±0.0002, PRECISION: 0.000394±0.0000, PRECISION_RECALL_MIN_DEN: 0.003941±0.0004, RECALL: 0.003941±0.0004, MAP: 0.001288±0.0001, MRR: 0.001288±0.0001, NDCG: 0.001901±0.0002, F1: 0.000717±0.0001, HIT_RATE: 0.003941±0.0004, ARHR: 0.001288±0.0001, RMSE: 0.999977±0.0000, NOVELTY: 0.008969±0.0000, AVERAGE_POPULARITY: 0.006298±0.0001, DIVERSITY_MEAN_INTER_LIST: 0.998414±0.0000, DIVERSITY_HERFINDAHL: 0.999836±0.0000, COVERAGE_ITEM: 0.689895±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.488389±0.0004, SHANNON_ENTROPY: 12.998802±0.0028, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 639, 'alpha': 1.0468853942039857, 'beta': 0.4559907678480267, 'normalize_similarity': True} - results: ROC_AUC: 0.032345±0.0006, PRECISION: 0.004906±0.0001, PRECISION_RECALL_MIN_DEN: 0.049060±0.0008, RECALL: 0.049060±0.0008, MAP: 0.021770±0.0006, MRR: 0.021770±0.0006, NDCG: 0.028154±0.0006, F1: 0.008920±0.0001, HIT_RATE: 0.049060±0.0008, ARHR: 0.021770±0.0006, RMSE: 0.980073±0.0001, NOVELTY: 0.008185±0.0000, AVERAGE_POPULARITY: 0.038742±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.998869±0.0000, DIVERSITY_HERFINDAHL: 0.999881±0.0000, COVERAGE_ITEM: 0.884801±0.0018, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.538294±0.0008, SHANNON_ENTROPY: 13.472412±0.0036, 
