CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 256, 'alpha': 1.0564615488383653, 'beta': 1.1681419075061785, 'normalize_similarity': False} - results: ROC_AUC: 0.000587±0.0003, PRECISION: 0.000090±0.0001, PRECISION_RECALL_MIN_DEN: 0.000903±0.0006, RECALL: 0.000903±0.0006, MAP: 0.000389±0.0002, MRR: 0.000389±0.0002, NDCG: 0.000509±0.0003, F1: 0.000164±0.0001, HIT_RATE: 0.000903±0.0006, ARHR: 0.000389±0.0002, RMSE: 0.999959±0.0000, NOVELTY: 0.009641±0.0000, AVERAGE_POPULARITY: 0.002433±0.0000, DIVERSITY_MEAN_INTER_LIST: 0.996609±0.0000, DIVERSITY_HERFINDAHL: 0.999638±0.0000, COVERAGE_ITEM: 0.353458±0.0014, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.455942±0.0016, SHANNON_ENTROPY: 11.937657±0.0048, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 191, 'alpha': 1.3786858661345658, 'beta': 1.4096869251889612, 'normalize_similarity': False} - results: ROC_AUC: 0.000552±0.0003, PRECISION: 0.000095±0.0001, PRECISION_RECALL_MIN_DEN: 0.000949±0.0006, RECALL: 0.000949±0.0006, MAP: 0.000383±0.0002, MRR: 0.000383±0.0002, NDCG: 0.000512±0.0003, F1: 0.000172±0.0001, HIT_RATE: 0.000949±0.0006, ARHR: 0.000383±0.0002, RMSE: 0.999995±0.0000, NOVELTY: 0.009584±0.0000, AVERAGE_POPULARITY: 0.002718±0.0000, DIVERSITY_MEAN_INTER_LIST: 0.996824±0.0000, DIVERSITY_HERFINDAHL: 0.999660±0.0000, COVERAGE_ITEM: 0.374966±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.460433±0.0018, SHANNON_ENTROPY: 12.033085±0.0041, 
CrossSearchBayesianSkopt: New best config found. Config 2: {'topK': 389, 'alpha': 1.4603557848883493, 'beta': 0.592011463966965, 'normalize_similarity': True} - results: ROC_AUC: 0.003006±0.0005, PRECISION: 0.000682±0.0001, PRECISION_RECALL_MIN_DEN: 0.006820±0.0007, RECALL: 0.006820±0.0007, MAP: 0.001669±0.0003, MRR: 0.001669±0.0003, NDCG: 0.002835±0.0003, F1: 0.001240±0.0001, HIT_RATE: 0.006820±0.0007, ARHR: 0.001669±0.0003, RMSE: 0.991997±0.0001, NOVELTY: 0.008814±0.0000, AVERAGE_POPULARITY: 0.014931±0.0002, DIVERSITY_MEAN_INTER_LIST: 0.996349±0.0001, DIVERSITY_HERFINDAHL: 0.999612±0.0000, COVERAGE_ITEM: 0.433933±0.0014, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.436728±0.0012, SHANNON_ENTROPY: 12.104031±0.0096, 
CrossSearchBayesianSkopt: New best config found. Config 3: {'topK': 61, 'alpha': 0.40535624867509445, 'beta': 0.5170634283653056, 'normalize_similarity': False} - results: ROC_AUC: 0.035868±0.0013, PRECISION: 0.005285±0.0001, PRECISION_RECALL_MIN_DEN: 0.052846±0.0008, RECALL: 0.052846±0.0008, MAP: 0.024183±0.0015, MRR: 0.024183±0.0015, NDCG: 0.030919±0.0013, F1: 0.009608±0.0002, HIT_RATE: 0.052846±0.0008, ARHR: 0.024183±0.0015, RMSE: 0.971036±0.0006, NOVELTY: 0.007655±0.0000, AVERAGE_POPULARITY: 0.222984±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.979572±0.0003, DIVERSITY_HERFINDAHL: 0.997935±0.0000, COVERAGE_ITEM: 0.341509±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.350954±0.0022, SHANNON_ENTROPY: 10.955779±0.0162, 
CrossSearchBayesianSkopt: New best config found. Config 4: {'topK': 47, 'alpha': 0.3415529714476722, 'beta': 0.17602596658919636, 'normalize_similarity': False} - results: ROC_AUC: 0.039812±0.0013, PRECISION: 0.006156±0.0001, PRECISION_RECALL_MIN_DEN: 0.061563±0.0008, RECALL: 0.061563±0.0008, MAP: 0.027047±0.0013, MRR: 0.027047±0.0013, NDCG: 0.035085±0.0010, F1: 0.011193±0.0001, HIT_RATE: 0.061563±0.0008, ARHR: 0.027047±0.0013, RMSE: 0.918691±0.0062, NOVELTY: 0.005282±0.0000, AVERAGE_POPULARITY: 0.594554±0.0025, DIVERSITY_MEAN_INTER_LIST: 0.902490±0.0006, DIVERSITY_HERFINDAHL: 0.990229±0.0001, COVERAGE_ITEM: 0.053906±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.154796±0.0021, SHANNON_ENTROPY: 7.531262±0.0075, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 707, 'alpha': 1.3334882123903917, 'beta': 1.9214712358486712, 'normalize_similarity': True} - results: ROC_AUC: 0.000256±0.0002, PRECISION: 0.000050±0.0000, PRECISION_RECALL_MIN_DEN: 0.000497±0.0002, RECALL: 0.000497±0.0002, MAP: 0.000161±0.0001, MRR: 0.000161±0.0001, NDCG: 0.000237±0.0001, F1: 0.000090±0.0000, HIT_RATE: 0.000497±0.0002, ARHR: 0.000161±0.0001, RMSE: 0.998823±0.0001, NOVELTY: 0.009862±0.0000, AVERAGE_POPULARITY: 0.001615±0.0000, DIVERSITY_MEAN_INTER_LIST: 0.992365±0.0001, DIVERSITY_HERFINDAHL: 0.999214±0.0000, COVERAGE_ITEM: 0.228321±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.364706±0.0014, SHANNON_ENTROPY: 10.974382±0.0119, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 526, 'alpha': 1.3938673160907515, 'beta': 1.8801692379055364, 'normalize_similarity': True} - results: ROC_AUC: 0.000246±0.0002, PRECISION: 0.000050±0.0000, PRECISION_RECALL_MIN_DEN: 0.000497±0.0002, RECALL: 0.000497±0.0002, MAP: 0.000161±0.0001, MRR: 0.000161±0.0001, NDCG: 0.000237±0.0001, F1: 0.000090±0.0000, HIT_RATE: 0.000497±0.0002, ARHR: 0.000161±0.0001, RMSE: 0.998789±0.0001, NOVELTY: 0.009847±0.0000, AVERAGE_POPULARITY: 0.001665±0.0000, DIVERSITY_MEAN_INTER_LIST: 0.991963±0.0001, DIVERSITY_HERFINDAHL: 0.999174±0.0000, COVERAGE_ITEM: 0.229413±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.356711±0.0015, SHANNON_ENTROPY: 10.939536±0.0126, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 689, 'alpha': 0.13277654091181915, 'beta': 1.707613316775673, 'normalize_similarity': True} - results: ROC_AUC: 0.000351±0.0002, PRECISION: 0.000068±0.0000, PRECISION_RECALL_MIN_DEN: 0.000678±0.0003, RECALL: 0.000678±0.0003, MAP: 0.000229±0.0002, MRR: 0.000229±0.0002, NDCG: 0.000330±0.0002, F1: 0.000123±0.0001, HIT_RATE: 0.000678±0.0003, ARHR: 0.000229±0.0002, RMSE: 0.998995±0.0001, NOVELTY: 0.009929±0.0000, AVERAGE_POPULARITY: 0.001407±0.0000, DIVERSITY_MEAN_INTER_LIST: 0.974690±0.0008, DIVERSITY_HERFINDAHL: 0.997447±0.0001, COVERAGE_ITEM: 0.223736±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.347268±0.0023, SHANNON_ENTROPY: 10.584269±0.0216, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 416, 'alpha': 0.7281699755675629, 'beta': 1.524266746656406, 'normalize_similarity': True} - results: ROC_AUC: 0.000386±0.0002, PRECISION: 0.000072±0.0000, PRECISION_RECALL_MIN_DEN: 0.000723±0.0002, RECALL: 0.000723±0.0002, MAP: 0.000238±0.0001, MRR: 0.000238±0.0001, NDCG: 0.000349±0.0001, F1: 0.000131±0.0000, HIT_RATE: 0.000723±0.0002, ARHR: 0.000238±0.0001, RMSE: 0.998754±0.0001, NOVELTY: 0.009864±0.0000, AVERAGE_POPULARITY: 0.001610±0.0000, DIVERSITY_MEAN_INTER_LIST: 0.995702±0.0000, DIVERSITY_HERFINDAHL: 0.999548±0.0000, COVERAGE_ITEM: 0.269749±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.441484±0.0016, SHANNON_ENTROPY: 11.522227±0.0075, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 981, 'alpha': 1.0761593843892223, 'beta': 0.29791417749699184, 'normalize_similarity': True} - results: ROC_AUC: 0.022112±0.0008, PRECISION: 0.003911±0.0002, PRECISION_RECALL_MIN_DEN: 0.039115±0.0019, RECALL: 0.039115±0.0019, MAP: 0.013487±0.0009, MRR: 0.013487±0.0009, NDCG: 0.019405±0.0006, F1: 0.007112±0.0003, HIT_RATE: 0.039115±0.0019, ARHR: 0.013487±0.0009, RMSE: 0.989649±0.0001, NOVELTY: 0.007322±0.0000, AVERAGE_POPULARITY: 0.156427±0.0009, DIVERSITY_MEAN_INTER_LIST: 0.992629±0.0001, DIVERSITY_HERFINDAHL: 0.999241±0.0000, COVERAGE_ITEM: 0.504991±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.452472±0.0014, SHANNON_ENTROPY: 12.116747±0.0097, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 661, 'alpha': 0.7081319887391891, 'beta': 0.4497842996423135, 'normalize_similarity': True} - results: ROC_AUC: 0.022453±0.0011, PRECISION: 0.003916±0.0001, PRECISION_RECALL_MIN_DEN: 0.039160±0.0013, RECALL: 0.039160±0.0013, MAP: 0.013752±0.0011, MRR: 0.013752±0.0011, NDCG: 0.019622±0.0011, F1: 0.007120±0.0002, HIT_RATE: 0.039160±0.0013, ARHR: 0.013752±0.0011, RMSE: 0.991592±0.0001, NOVELTY: 0.007916±0.0000, AVERAGE_POPULARITY: 0.124647±0.0012, DIVERSITY_MEAN_INTER_LIST: 0.993259±0.0002, DIVERSITY_HERFINDAHL: 0.999303±0.0000, COVERAGE_ITEM: 0.595631±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.479005±0.0012, SHANNON_ENTROPY: 12.393458±0.0140, 
