SearchBayesianSkopt: New best config found. Config 0: {'ICM_price': 1.6191950513313214, 'ICM_asset': 0.7593407588545638, 'ICM_sub_class': 1.0600084372713825, 'ICM_item_pop': 0.8478796788999443} - results: ROC_AUC: 0.1336059, PRECISION: 0.0217953, PRECISION_RECALL_MIN_DEN: 0.0726509, RECALL: 0.0726509, MAP: 0.0355508, MRR: 0.0960593, NDCG: 0.0603723, F1: 0.0335312, HIT_RATE: 0.2179527, ARHR: 0.1012488, RMSE: 0.9818503, NOVELTY: 0.0060656, AVERAGE_POPULARITY: 0.2956057, DIVERSITY_MEAN_INTER_LIST: 0.9826833, DIVERSITY_HERFINDAHL: 0.9982623, COVERAGE_ITEM: 0.5205191, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1610662, SHANNON_ENTROPY: 10.5167589, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'ICM_price': 1.2824281366362926, 'ICM_asset': 1.530829169608254, 'ICM_sub_class': 0.3959314937119994, 'ICM_item_pop': 0.7837705630628762} - results: ROC_AUC: 0.1319985, PRECISION: 0.0213752, PRECISION_RECALL_MIN_DEN: 0.0712506, RECALL: 0.0712506, MAP: 0.0351059, MRR: 0.0950002, NDCG: 0.0594836, F1: 0.0328849, HIT_RATE: 0.2137518, ARHR: 0.1000439, RMSE: 0.9827473, NOVELTY: 0.0060143, AVERAGE_POPULARITY: 0.3022269, DIVERSITY_MEAN_INTER_LIST: 0.9816748, DIVERSITY_HERFINDAHL: 0.9981614, COVERAGE_ITEM: 0.4948905, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1552871, SHANNON_ENTROPY: 10.3998364, 
SearchBayesianSkopt: New best config found. Config 2: {'ICM_price': 1.7260918968622774, 'ICM_asset': 1.070965663638848, 'ICM_sub_class': 1.3904978865065027, 'ICM_item_pop': 0.4684692483209373} - results: ROC_AUC: 0.1340271, PRECISION: 0.0220300, PRECISION_RECALL_MIN_DEN: 0.0734334, RECALL: 0.0734334, MAP: 0.0358132, MRR: 0.0966810, NDCG: 0.0608545, F1: 0.0338923, HIT_RATE: 0.2203002, ARHR: 0.1019411, RMSE: 0.9815476, NOVELTY: 0.0060671, AVERAGE_POPULARITY: 0.2841814, DIVERSITY_MEAN_INTER_LIST: 0.9832865, DIVERSITY_HERFINDAHL: 0.9983226, COVERAGE_ITEM: 0.5950798, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1673944, SHANNON_ENTROPY: 10.6650990, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'ICM_price': 1.987011451973939, 'ICM_asset': 1.2635590076414336, 'ICM_sub_class': 0.032116110730870735, 'ICM_item_pop': 1.1220520574552018} - results: ROC_AUC: 0.1295750, PRECISION: 0.0209366, PRECISION_RECALL_MIN_DEN: 0.0697885, RECALL: 0.0697885, MAP: 0.0346868, MRR: 0.0939791, NDCG: 0.0585848, F1: 0.0322101, HIT_RATE: 0.2093655, ARHR: 0.0989017, RMSE: 0.9834767, NOVELTY: 0.0060074, AVERAGE_POPULARITY: 0.3030373, DIVERSITY_MEAN_INTER_LIST: 0.9807032, DIVERSITY_HERFINDAHL: 0.9980643, COVERAGE_ITEM: 0.5014328, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1543182, SHANNON_ENTROPY: 10.3633391, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'ICM_price': 1.607684718541467, 'ICM_asset': 1.3685513888474263, 'ICM_sub_class': 0.28442731869442045, 'ICM_item_pop': 1.0033462823460955} - results: ROC_AUC: 0.1312194, PRECISION: 0.0213134, PRECISION_RECALL_MIN_DEN: 0.0710447, RECALL: 0.0710447, MAP: 0.0350337, MRR: 0.0947987, NDCG: 0.0593312, F1: 0.0327898, HIT_RATE: 0.2131340, ARHR: 0.0998351, RMSE: 0.9829599, NOVELTY: 0.0060085, AVERAGE_POPULARITY: 0.3028966, DIVERSITY_MEAN_INTER_LIST: 0.9813591, DIVERSITY_HERFINDAHL: 0.9981298, COVERAGE_ITEM: 0.4994323, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1547382, SHANNON_ENTROPY: 10.3877005, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'ICM_price': 1.8392459692643892, 'ICM_asset': 0.6110651753196125, 'ICM_sub_class': 1.311136278693351, 'ICM_item_pop': 1.8122840096594386} - results: ROC_AUC: 0.1338577, PRECISION: 0.0218879, PRECISION_RECALL_MIN_DEN: 0.0729598, RECALL: 0.0729598, MAP: 0.0356609, MRR: 0.0964395, NDCG: 0.0605901, F1: 0.0336737, HIT_RATE: 0.2188793, ARHR: 0.1015993, RMSE: 0.9815751, NOVELTY: 0.0060953, AVERAGE_POPULARITY: 0.2871649, DIVERSITY_MEAN_INTER_LIST: 0.9833445, DIVERSITY_HERFINDAHL: 0.9983284, COVERAGE_ITEM: 0.5662612, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1664933, SHANNON_ENTROPY: 10.6327712, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'ICM_price': 0.8551450095167841, 'ICM_asset': 0.4368542721070844, 'ICM_sub_class': 0.4331939853177321, 'ICM_item_pop': 1.3513258097739724} - results: ROC_AUC: 0.1306884, PRECISION: 0.0211960, PRECISION_RECALL_MIN_DEN: 0.0706534, RECALL: 0.0706534, MAP: 0.0348308, MRR: 0.0941991, NDCG: 0.0589962, F1: 0.0326093, HIT_RATE: 0.2119602, ARHR: 0.0992324, RMSE: 0.9826399, NOVELTY: 0.0060597, AVERAGE_POPULARITY: 0.3053450, DIVERSITY_MEAN_INTER_LIST: 0.9824164, DIVERSITY_HERFINDAHL: 0.9982356, COVERAGE_ITEM: 0.4492566, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1613026, SHANNON_ENTROPY: 10.4022503, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'ICM_price': 1.4381293519837115, 'ICM_asset': 1.7048833580741547, 'ICM_sub_class': 0.20500106956712544, 'ICM_item_pop': 0.8852631983669403} - results: ROC_AUC: 0.1306597, PRECISION: 0.0211960, PRECISION_RECALL_MIN_DEN: 0.0706534, RECALL: 0.0706534, MAP: 0.0348763, MRR: 0.0943301, NDCG: 0.0590382, F1: 0.0326093, HIT_RATE: 0.2119602, ARHR: 0.0993650, RMSE: 0.9830905, NOVELTY: 0.0059997, AVERAGE_POPULARITY: 0.3021412, DIVERSITY_MEAN_INTER_LIST: 0.9811528, DIVERSITY_HERFINDAHL: 0.9981092, COVERAGE_ITEM: 0.5061368, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1550939, SHANNON_ENTROPY: 10.3894162, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'ICM_price': 1.1985688319573629, 'ICM_asset': 0.35642896410010155, 'ICM_sub_class': 0.7652040288806035, 'ICM_item_pop': 0.0411530996197429} - results: ROC_AUC: 0.1323637, PRECISION: 0.0214740, PRECISION_RECALL_MIN_DEN: 0.0715801, RECALL: 0.0715801, MAP: 0.0351214, MRR: 0.0950288, NDCG: 0.0596150, F1: 0.0330370, HIT_RATE: 0.2147402, ARHR: 0.1000915, RMSE: 0.9822224, NOVELTY: 0.0060624, AVERAGE_POPULARITY: 0.3018156, DIVERSITY_MEAN_INTER_LIST: 0.9827054, DIVERSITY_HERFINDAHL: 0.9982645, COVERAGE_ITEM: 0.4788321, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1605505, SHANNON_ENTROPY: 10.4541791, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'ICM_price': 1.1673046885255092, 'ICM_asset': 0.781096876734567, 'ICM_sub_class': 1.1048007828118702, 'ICM_item_pop': 0.14425512462512272} - results: ROC_AUC: 0.1333335, PRECISION: 0.0217891, PRECISION_RECALL_MIN_DEN: 0.0726303, RECALL: 0.0726303, MAP: 0.0355319, MRR: 0.0959474, NDCG: 0.0603328, F1: 0.0335217, HIT_RATE: 0.2178909, ARHR: 0.1011672, RMSE: 0.9816891, NOVELTY: 0.0060567, AVERAGE_POPULARITY: 0.2955490, DIVERSITY_MEAN_INTER_LIST: 0.9830421, DIVERSITY_HERFINDAHL: 0.9982981, COVERAGE_ITEM: 0.5325223, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1614078, SHANNON_ENTROPY: 10.5489875, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'ICM_price': 0.32458282070632444, 'ICM_asset': 0.8011452752980228, 'ICM_sub_class': 0.693892025675816, 'ICM_item_pop': 1.7179448468401182} - results: ROC_AUC: 0.1319317, PRECISION: 0.0214122, PRECISION_RECALL_MIN_DEN: 0.0713741, RECALL: 0.0713741, MAP: 0.0350342, MRR: 0.0947466, NDCG: 0.0594468, F1: 0.0329419, HIT_RATE: 0.2141224, ARHR: 0.0998158, RMSE: 0.9822362, NOVELTY: 0.0060677, AVERAGE_POPULARITY: 0.3025028, DIVERSITY_MEAN_INTER_LIST: 0.9827318, DIVERSITY_HERFINDAHL: 0.9982671, COVERAGE_ITEM: 0.4623952, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1629411, SHANNON_ENTROPY: 10.4494114, 
