SearchBayesianSkopt: New best config found. Config 0: {'ICM_price': 1.5799689334532587, 'ICM_asset': 1.9727558745792826, 'ICM_sub_class': 1.8936606124169375, 'ICM_item_pop': 1.3869386962208763, 'ICM_user_act': 0.9697716734849005} - results: ROC_AUC: 0.1313686, PRECISION: 0.0213752, PRECISION_RECALL_MIN_DEN: 0.0712506, RECALL: 0.0712506, MAP: 0.0348752, MRR: 0.0944035, NDCG: 0.0592485, F1: 0.0328849, HIT_RATE: 0.2137518, ARHR: 0.0994136, RMSE: 0.9785122, NOVELTY: 0.0060907, AVERAGE_POPULARITY: 0.2828134, DIVERSITY_MEAN_INTER_LIST: 0.9839211, DIVERSITY_HERFINDAHL: 0.9983860, COVERAGE_ITEM: 0.5898892, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1693125, SHANNON_ENTROPY: 10.6953829, 
SearchBayesianSkopt: New best config found. Config 1: {'ICM_price': 1.5358229907447791, 'ICM_asset': 1.1109807834802365, 'ICM_sub_class': 1.3981204735159434, 'ICM_item_pop': 1.4743979282349928, 'ICM_user_act': 0.28249591085158304} - results: ROC_AUC: 0.1335117, PRECISION: 0.0217953, PRECISION_RECALL_MIN_DEN: 0.0726509, RECALL: 0.0726509, MAP: 0.0355371, MRR: 0.0961140, NDCG: 0.0603674, F1: 0.0335312, HIT_RATE: 0.2179527, ARHR: 0.1012605, RMSE: 0.9806050, NOVELTY: 0.0060775, AVERAGE_POPULARITY: 0.2870984, DIVERSITY_MEAN_INTER_LIST: 0.9837004, DIVERSITY_HERFINDAHL: 0.9983640, COVERAGE_ITEM: 0.5629089, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1647054, SHANNON_ENTROPY: 10.6287755, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'ICM_price': 0.1909207834964562, 'ICM_asset': 0.6573253543598215, 'ICM_sub_class': 0.7947095896766456, 'ICM_item_pop': 1.3609645713169245, 'ICM_user_act': 1.0985570937076026} - results: ROC_AUC: 0.1276134, PRECISION: 0.0206462, PRECISION_RECALL_MIN_DEN: 0.0688207, RECALL: 0.0688207, MAP: 0.0335834, MRR: 0.0909852, NDCG: 0.0571517, F1: 0.0317634, HIT_RATE: 0.2064620, ARHR: 0.0957620, RMSE: 0.9796414, NOVELTY: 0.0060261, AVERAGE_POPULARITY: 0.3036602, DIVERSITY_MEAN_INTER_LIST: 0.9834837, DIVERSITY_HERFINDAHL: 0.9983423, COVERAGE_ITEM: 0.4366045, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1617552, SHANNON_ENTROPY: 10.4185534, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'ICM_price': 1.5685911888814168, 'ICM_asset': 1.2228087897204736, 'ICM_sub_class': 1.7694007023653517, 'ICM_item_pop': 1.5577300780581782, 'ICM_user_act': 1.9802166216665853} - results: ROC_AUC: 0.1267461, PRECISION: 0.0204856, PRECISION_RECALL_MIN_DEN: 0.0682852, RECALL: 0.0682852, MAP: 0.0335095, MRR: 0.0907534, NDCG: 0.0568952, F1: 0.0315163, HIT_RATE: 0.2048557, ARHR: 0.0955369, RMSE: 0.9766309, NOVELTY: 0.0060732, AVERAGE_POPULARITY: 0.2850198, DIVERSITY_MEAN_INTER_LIST: 0.9845861, DIVERSITY_HERFINDAHL: 0.9984525, COVERAGE_ITEM: 0.5227899, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1635517, SHANNON_ENTROPY: 10.6079556, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'ICM_price': 1.313887096617776, 'ICM_asset': 1.2237555032125642, 'ICM_sub_class': 0.4215350482600778, 'ICM_item_pop': 1.9455227651647622, 'ICM_user_act': 0.6624186654859484} - results: ROC_AUC: 0.1286523, PRECISION: 0.0207698, PRECISION_RECALL_MIN_DEN: 0.0692325, RECALL: 0.0692325, MAP: 0.0340296, MRR: 0.0923202, NDCG: 0.0577645, F1: 0.0319535, HIT_RATE: 0.2076975, ARHR: 0.0970982, RMSE: 0.9809658, NOVELTY: 0.0060150, AVERAGE_POPULARITY: 0.3057056, DIVERSITY_MEAN_INTER_LIST: 0.9825150, DIVERSITY_HERFINDAHL: 0.9982454, COVERAGE_ITEM: 0.4274669, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1580028, SHANNON_ENTROPY: 10.3468656, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'ICM_price': 0.014731023548797854, 'ICM_asset': 1.79768185103623, 'ICM_sub_class': 0.9185506331832118, 'ICM_item_pop': 1.5074269964491636, 'ICM_user_act': 1.679340354786791} - results: ROC_AUC: 0.1255644, PRECISION: 0.0202817, PRECISION_RECALL_MIN_DEN: 0.0676057, RECALL: 0.0676057, MAP: 0.0331589, MRR: 0.0898161, NDCG: 0.0563134, F1: 0.0312026, HIT_RATE: 0.2028171, ARHR: 0.0945389, RMSE: 0.9782853, NOVELTY: 0.0060447, AVERAGE_POPULARITY: 0.2979161, DIVERSITY_MEAN_INTER_LIST: 0.9837909, DIVERSITY_HERFINDAHL: 0.9983730, COVERAGE_ITEM: 0.4357394, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1634707, SHANNON_ENTROPY: 10.4415150, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'ICM_price': 0.5332287072067475, 'ICM_asset': 0.8307272967369865, 'ICM_sub_class': 0.19611415825269357, 'ICM_item_pop': 1.7250458106985644, 'ICM_user_act': 1.111796878626304} - results: ROC_AUC: 0.1253007, PRECISION: 0.0202323, PRECISION_RECALL_MIN_DEN: 0.0674410, RECALL: 0.0674410, MAP: 0.0330740, MRR: 0.0896545, NDCG: 0.0561801, F1: 0.0311266, HIT_RATE: 0.2023229, ARHR: 0.0943306, RMSE: 0.9803812, NOVELTY: 0.0060165, AVERAGE_POPULARITY: 0.3059837, DIVERSITY_MEAN_INTER_LIST: 0.9830330, DIVERSITY_HERFINDAHL: 0.9982972, COVERAGE_ITEM: 0.4155718, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1612786, SHANNON_ENTROPY: 10.3613702, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'ICM_price': 1.8780965000027132, 'ICM_asset': 1.3022980140541993, 'ICM_sub_class': 1.1189467449829285, 'ICM_item_pop': 1.5398723809528014, 'ICM_user_act': 1.7036231225149636} - results: ROC_AUC: 0.1265142, PRECISION: 0.0203991, PRECISION_RECALL_MIN_DEN: 0.0679970, RECALL: 0.0679970, MAP: 0.0334651, MRR: 0.0907212, NDCG: 0.0567725, F1: 0.0313832, HIT_RATE: 0.2039909, ARHR: 0.0954557, RMSE: 0.9780975, NOVELTY: 0.0060347, AVERAGE_POPULARITY: 0.2952015, DIVERSITY_MEAN_INTER_LIST: 0.9834575, DIVERSITY_HERFINDAHL: 0.9983397, COVERAGE_ITEM: 0.4575291, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1589410, SHANNON_ENTROPY: 10.4390959, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'ICM_price': 0.1312160014563, 'ICM_asset': 1.686540563144286, 'ICM_sub_class': 1.2127667542358713, 'ICM_item_pop': 1.1144539361063472, 'ICM_user_act': 0.3424813992659806} - results: ROC_AUC: 0.1330430, PRECISION: 0.0216779, PRECISION_RECALL_MIN_DEN: 0.0722596, RECALL: 0.0722596, MAP: 0.0353166, MRR: 0.0954813, NDCG: 0.0600155, F1: 0.0333506, HIT_RATE: 0.2167789, ARHR: 0.1006118, RMSE: 0.9806776, NOVELTY: 0.0060808, AVERAGE_POPULARITY: 0.2929725, DIVERSITY_MEAN_INTER_LIST: 0.9836315, DIVERSITY_HERFINDAHL: 0.9983571, COVERAGE_ITEM: 0.5160314, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1640426, SHANNON_ENTROPY: 10.5642511, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'ICM_price': 1.6356344394064652, 'ICM_asset': 1.6906886656569575, 'ICM_sub_class': 0.3931343551074705, 'ICM_item_pop': 1.53783154268198, 'ICM_user_act': 0.7398305022272179} - results: ROC_AUC: 0.1284858, PRECISION: 0.0207636, PRECISION_RECALL_MIN_DEN: 0.0692119, RECALL: 0.0692119, MAP: 0.0339916, MRR: 0.0922386, NDCG: 0.0577162, F1: 0.0319440, HIT_RATE: 0.2076358, ARHR: 0.0969994, RMSE: 0.9810497, NOVELTY: 0.0060155, AVERAGE_POPULARITY: 0.3042386, DIVERSITY_MEAN_INTER_LIST: 0.9819992, DIVERSITY_HERFINDAHL: 0.9981939, COVERAGE_ITEM: 0.4603947, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1531215, SHANNON_ENTROPY: 10.3444692, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'ICM_price': 1.5096184963944526, 'ICM_asset': 0.043090654365800514, 'ICM_sub_class': 0.05138683956283653, 'ICM_item_pop': 1.1689923477542066, 'ICM_user_act': 0.9074121005649471} - results: ROC_AUC: 0.1257120, PRECISION: 0.0203064, PRECISION_RECALL_MIN_DEN: 0.0676881, RECALL: 0.0676881, MAP: 0.0332866, MRR: 0.0903120, NDCG: 0.0564900, F1: 0.0312406, HIT_RATE: 0.2030642, ARHR: 0.0949796, RMSE: 0.9810963, NOVELTY: 0.0060161, AVERAGE_POPULARITY: 0.3100623, DIVERSITY_MEAN_INTER_LIST: 0.9824725, DIVERSITY_HERFINDAHL: 0.9982412, COVERAGE_ITEM: 0.4009192, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1616674, SHANNON_ENTROPY: 10.3148821, 
SearchBayesianSkopt: New best config found. Config 11: {'ICM_price': 1.3014078290976527, 'ICM_asset': 0.6569321724498728, 'ICM_sub_class': 1.758728793899692, 'ICM_item_pop': 0.8837462019013107, 'ICM_user_act': 0.22191939405141575} - results: ROC_AUC: 0.1333373, PRECISION: 0.0218756, PRECISION_RECALL_MIN_DEN: 0.0729186, RECALL: 0.0729186, MAP: 0.0356122, MRR: 0.0960718, NDCG: 0.0604807, F1: 0.0336547, HIT_RATE: 0.2187558, ARHR: 0.1013479, RMSE: 0.9804677, NOVELTY: 0.0060871, AVERAGE_POPULARITY: 0.2785392, DIVERSITY_MEAN_INTER_LIST: 0.9842832, DIVERSITY_HERFINDAHL: 0.9984222, COVERAGE_ITEM: 0.6263855, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1778256, SHANNON_ENTROPY: 10.7968019, 
