SearchBayesianSkopt: New best config found. Config 0: {'UCM_age': 0.502989852553181, 'UCM_region': 0.6749490236906132, 'UCM_user_act': 0.7578525823230129, 'UCM_sub_class': 1.8203231339659482, 'UCM_item_pop': 0.0742640931986709, 'UCM_asset': 0.19526657608701609, 'UCM_price': 1.877296510365906} - results: ROC_AUC: 0.1038597, PRECISION: 0.0176067, PRECISION_RECALL_MIN_DEN: 0.0586891, RECALL: 0.0586891, MAP: 0.0262343, MRR: 0.0721695, NDCG: 0.0463936, F1: 0.0270873, HIT_RATE: 0.1760672, ARHR: 0.0753850, RMSE: 5.0385895, NOVELTY: 0.0058346, AVERAGE_POPULARITY: 0.4208236, DIVERSITY_MEAN_INTER_LIST: 0.9627441, DIVERSITY_HERFINDAHL: 0.9962685, COVERAGE_ITEM: 0.4095161, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1515924, SHANNON_ENTROPY: 9.8302405, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'UCM_age': 0.8076315336337754, 'UCM_region': 0.09590389036020633, 'UCM_user_act': 1.0150488881867321, 'UCM_sub_class': 0.5719758595212289, 'UCM_item_pop': 1.2496839998485512, 'UCM_asset': 1.6732746572494395, 'UCM_price': 1.5746969978409222} - results: ROC_AUC: 0.0930027, PRECISION: 0.0149503, PRECISION_RECALL_MIN_DEN: 0.0498342, RECALL: 0.0498342, MAP: 0.0239355, MRR: 0.0658356, NDCG: 0.0411634, F1: 0.0230004, HIT_RATE: 0.1495027, ARHR: 0.0687849, RMSE: 5.2090802, NOVELTY: 0.0057816, AVERAGE_POPULARITY: 0.4484520, DIVERSITY_MEAN_INTER_LIST: 0.9568522, DIVERSITY_HERFINDAHL: 0.9956793, COVERAGE_ITEM: 0.4741281, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1370634, SHANNON_ENTROPY: 9.6286889, 
SearchBayesianSkopt: New best config found. Config 2: {'UCM_age': 0.12161473696468497, 'UCM_region': 0.5278631508656636, 'UCM_user_act': 0.1525068943565491, 'UCM_sub_class': 1.6502142636196655, 'UCM_item_pop': 0.36903149094291116, 'UCM_asset': 0.8583717858433748, 'UCM_price': 1.633765946118507} - results: ROC_AUC: 0.1074820, PRECISION: 0.0177859, PRECISION_RECALL_MIN_DEN: 0.0592863, RECALL: 0.0592863, MAP: 0.0273450, MRR: 0.0752205, NDCG: 0.0477680, F1: 0.0273629, HIT_RATE: 0.1778588, ARHR: 0.0785841, RMSE: 5.2729534, NOVELTY: 0.0058085, AVERAGE_POPULARITY: 0.4307013, DIVERSITY_MEAN_INTER_LIST: 0.9606025, DIVERSITY_HERFINDAHL: 0.9960543, COVERAGE_ITEM: 0.4177886, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1460823, SHANNON_ENTROPY: 9.7517973, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'UCM_age': 1.2044032618033522, 'UCM_region': 0.49069547339246655, 'UCM_user_act': 1.6476569046139504, 'UCM_sub_class': 0.9687697950667924, 'UCM_item_pop': 0.898706617429371, 'UCM_asset': 1.9751592236533542, 'UCM_price': 1.5704144546360703} - results: ROC_AUC: 0.0994560, PRECISION: 0.0159325, PRECISION_RECALL_MIN_DEN: 0.0531085, RECALL: 0.0531085, MAP: 0.0255170, MRR: 0.0701444, NDCG: 0.0438834, F1: 0.0245116, HIT_RATE: 0.1593254, ARHR: 0.0733158, RMSE: 5.8852646, NOVELTY: 0.0058113, AVERAGE_POPULARITY: 0.4382823, DIVERSITY_MEAN_INTER_LIST: 0.9589430, DIVERSITY_HERFINDAHL: 0.9958884, COVERAGE_ITEM: 0.4737497, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1424104, SHANNON_ENTROPY: 9.7335730, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'UCM_age': 1.5027952663781312, 'UCM_region': 0.053710678277791205, 'UCM_user_act': 0.22950473268814836, 'UCM_sub_class': 1.8058543552613184, 'UCM_item_pop': 1.4425990403852966, 'UCM_asset': 0.5322280042260862, 'UCM_price': 0.9161076018790437} - results: ROC_AUC: 0.1047785, PRECISION: 0.0173534, PRECISION_RECALL_MIN_DEN: 0.0578448, RECALL: 0.0578448, MAP: 0.0266861, MRR: 0.0735551, NDCG: 0.0466336, F1: 0.0266976, HIT_RATE: 0.1735343, ARHR: 0.0767514, RMSE: 5.2402826, NOVELTY: 0.0058285, AVERAGE_POPULARITY: 0.4230976, DIVERSITY_MEAN_INTER_LIST: 0.9631317, DIVERSITY_HERFINDAHL: 0.9963072, COVERAGE_ITEM: 0.4131928, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1494543, SHANNON_ENTROPY: 9.8078106, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'UCM_age': 1.8844849193299424, 'UCM_region': 0.5556086398846852, 'UCM_user_act': 0.44204228214275687, 'UCM_sub_class': 1.8166587614778626, 'UCM_item_pop': 0.0993342175338692, 'UCM_asset': 0.7387457621435066, 'UCM_price': 1.9808697972258438} - results: ROC_AUC: 0.1052952, PRECISION: 0.0173164, PRECISION_RECALL_MIN_DEN: 0.0577212, RECALL: 0.0577212, MAP: 0.0268090, MRR: 0.0738594, NDCG: 0.0467233, F1: 0.0266406, HIT_RATE: 0.1731636, ARHR: 0.0770929, RMSE: 5.6754324, NOVELTY: 0.0058393, AVERAGE_POPULARITY: 0.4220806, DIVERSITY_MEAN_INTER_LIST: 0.9623985, DIVERSITY_HERFINDAHL: 0.9962339, COVERAGE_ITEM: 0.4283861, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1507456, SHANNON_ENTROPY: 9.8434758, 
SearchBayesianSkopt: New best config found. Config 6: {'UCM_age': 0.1131210232663267, 'UCM_region': 0.33617382284914005, 'UCM_user_act': 0.538467076285026, 'UCM_sub_class': 1.4175563839954368, 'UCM_item_pop': 0.17297576524761385, 'UCM_asset': 0.9542073558840396, 'UCM_price': 0.19915462736608452} - results: ROC_AUC: 0.1099151, PRECISION: 0.0181998, PRECISION_RECALL_MIN_DEN: 0.0606660, RECALL: 0.0606660, MAP: 0.0277775, MRR: 0.0763394, NDCG: 0.0486604, F1: 0.0279997, HIT_RATE: 0.1819979, ARHR: 0.0797784, RMSE: 3.4897362, NOVELTY: 0.0057393, AVERAGE_POPULARITY: 0.4467361, DIVERSITY_MEAN_INTER_LIST: 0.9564958, DIVERSITY_HERFINDAHL: 0.9956437, COVERAGE_ITEM: 0.3538254, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1408502, SHANNON_ENTROPY: 9.5374863, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'UCM_age': 1.9149996742145754, 'UCM_region': 1.545814053072988, 'UCM_user_act': 0.8758215676871113, 'UCM_sub_class': 1.7349220816386104, 'UCM_item_pop': 1.457547489864803, 'UCM_asset': 1.7493637051788684, 'UCM_price': 1.8637231544697155} - results: ROC_AUC: 0.0993878, PRECISION: 0.0162353, PRECISION_RECALL_MIN_DEN: 0.0541175, RECALL: 0.0541175, MAP: 0.0256061, MRR: 0.0703414, NDCG: 0.0442705, F1: 0.0249773, HIT_RATE: 0.1623525, ARHR: 0.0735437, RMSE: 7.4795846, NOVELTY: 0.0059143, AVERAGE_POPULARITY: 0.4089312, DIVERSITY_MEAN_INTER_LIST: 0.9657751, DIVERSITY_HERFINDAHL: 0.9965715, COVERAGE_ITEM: 0.4926737, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1609492, SHANNON_ENTROPY: 10.0457467, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'UCM_age': 0.0615969888221113, 'UCM_region': 0.8542401878695507, 'UCM_user_act': 1.7035240018595033, 'UCM_sub_class': 1.909638890221594, 'UCM_item_pop': 0.036674647432411785, 'UCM_asset': 0.5706627457359325, 'UCM_price': 0.9940658094748447} - results: ROC_AUC: 0.1058773, PRECISION: 0.0178415, PRECISION_RECALL_MIN_DEN: 0.0594716, RECALL: 0.0594716, MAP: 0.0264868, MRR: 0.0728214, NDCG: 0.0469223, F1: 0.0274484, HIT_RATE: 0.1784148, ARHR: 0.0760866, RMSE: 4.6045717, NOVELTY: 0.0058219, AVERAGE_POPULARITY: 0.4209596, DIVERSITY_MEAN_INTER_LIST: 0.9629367, DIVERSITY_HERFINDAHL: 0.9962877, COVERAGE_ITEM: 0.3846445, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1521573, SHANNON_ENTROPY: 9.7965308, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'UCM_age': 1.3528792131111502, 'UCM_region': 1.5822795707875932, 'UCM_user_act': 1.1623319417896416, 'UCM_sub_class': 0.7674269557368743, 'UCM_item_pop': 1.65873189861152, 'UCM_asset': 1.5046188437369532, 'UCM_price': 1.6908250073682047} - results: ROC_AUC: 0.0945207, PRECISION: 0.0153951, PRECISION_RECALL_MIN_DEN: 0.0513169, RECALL: 0.0513169, MAP: 0.0245051, MRR: 0.0670854, NDCG: 0.0421701, F1: 0.0236847, HIT_RATE: 0.1539507, ARHR: 0.0702650, RMSE: 5.8138242, NOVELTY: 0.0058134, AVERAGE_POPULARITY: 0.4390017, DIVERSITY_MEAN_INTER_LIST: 0.9594812, DIVERSITY_HERFINDAHL: 0.9959422, COVERAGE_ITEM: 0.4821844, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1430384, SHANNON_ENTROPY: 9.7308137, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'UCM_age': 1.9684974500601387, 'UCM_region': 0.7797413233837323, 'UCM_user_act': 1.752256258526657, 'UCM_sub_class': 1.2284310424075469, 'UCM_item_pop': 0.48858620011106846, 'UCM_asset': 1.2063166179089597, 'UCM_price': 1.7364421808943087} - results: ROC_AUC: 0.1059134, PRECISION: 0.0171187, PRECISION_RECALL_MIN_DEN: 0.0570623, RECALL: 0.0570623, MAP: 0.0270753, MRR: 0.0746704, NDCG: 0.0468227, F1: 0.0263364, HIT_RATE: 0.1711868, ARHR: 0.0779055, RMSE: 5.4377708, NOVELTY: 0.0057820, AVERAGE_POPULARITY: 0.4430132, DIVERSITY_MEAN_INTER_LIST: 0.9572470, DIVERSITY_HERFINDAHL: 0.9957188, COVERAGE_ITEM: 0.4372533, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1392707, SHANNON_ENTROPY: 9.6547419, 
