SearchBayesianSkopt: New best config found. Config 0: {'UCM_age': 0.051454854824611665, 'UCM_region': 0.19306160072383977, 'UCM_user_act': 0.27101341566231524, 'UCM_sub_class': 1.262875287640209, 'UCM_item_pop': 0.22497165961339421, 'UCM_sub_class_entropy': 1.410198074867622} - results: ROC_AUC: 0.1055121, PRECISION: 0.0172793, PRECISION_RECALL_MIN_DEN: 0.0575977, RECALL: 0.0575977, MAP: 0.0277694, MRR: 0.0763350, NDCG: 0.0476180, F1: 0.0265835, HIT_RATE: 0.1727930, ARHR: 0.0797549, RMSE: 1.0552490, NOVELTY: 0.0052655, AVERAGE_POPULARITY: 0.6471880, DIVERSITY_MEAN_INTER_LIST: 0.8590480, DIVERSITY_HERFINDAHL: 0.9858995, COVERAGE_ITEM: 0.2543390, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0626295, SHANNON_ENTROPY: 7.4741440, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'UCM_age': 0.9102180711982737, 'UCM_region': 1.338887906946465, 'UCM_user_act': 0.5220650993801889, 'UCM_sub_class': 0.18918187745758736, 'UCM_item_pop': 0.24375508661911988, 'UCM_sub_class_entropy': 0.7713548579924188} - results: ROC_AUC: 0.1044529, PRECISION: 0.0171805, PRECISION_RECALL_MIN_DEN: 0.0572682, RECALL: 0.0572682, MAP: 0.0274860, MRR: 0.0753872, NDCG: 0.0471886, F1: 0.0264315, HIT_RATE: 0.1718045, ARHR: 0.0788600, RMSE: 1.0697874, NOVELTY: 0.0052545, AVERAGE_POPULARITY: 0.6487140, DIVERSITY_MEAN_INTER_LIST: 0.8597156, DIVERSITY_HERFINDAHL: 0.9859663, COVERAGE_ITEM: 0.2326034, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0619764, SHANNON_ENTROPY: 7.4431745, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'UCM_age': 0.5877772965379923, 'UCM_region': 0.2067867201022629, 'UCM_user_act': 1.6091204490509352, 'UCM_sub_class': 1.4683003405281851, 'UCM_item_pop': 1.8472725931785254, 'UCM_sub_class_entropy': 0.8249703153467063} - results: ROC_AUC: 0.0795330, PRECISION: 0.0137209, PRECISION_RECALL_MIN_DEN: 0.0457363, RECALL: 0.0457363, MAP: 0.0201207, MRR: 0.0554450, NDCG: 0.0357970, F1: 0.0211091, HIT_RATE: 0.1372089, ARHR: 0.0578585, RMSE: 2.2415866, NOVELTY: 0.0055359, AVERAGE_POPULARITY: 0.5111222, DIVERSITY_MEAN_INTER_LIST: 0.9443021, DIVERSITY_HERFINDAHL: 0.9944244, COVERAGE_ITEM: 0.3664234, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0991280, SHANNON_ENTROPY: 8.8349646, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'UCM_age': 1.4775572330702482, 'UCM_region': 0.9441847138402208, 'UCM_user_act': 0.04832929218760508, 'UCM_sub_class': 1.284089833627555, 'UCM_item_pop': 0.7773322778667415, 'UCM_sub_class_entropy': 0.1466895627349787} - results: ROC_AUC: 0.1010542, PRECISION: 0.0166121, PRECISION_RECALL_MIN_DEN: 0.0553737, RECALL: 0.0553737, MAP: 0.0261074, MRR: 0.0718273, NDCG: 0.0451924, F1: 0.0255571, HIT_RATE: 0.1661210, ARHR: 0.0750203, RMSE: 1.4006709, NOVELTY: 0.0053405, AVERAGE_POPULARITY: 0.6036027, DIVERSITY_MEAN_INTER_LIST: 0.8956700, DIVERSITY_HERFINDAHL: 0.9895615, COVERAGE_ITEM: 0.2714247, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0745835, SHANNON_ENTROPY: 7.9403205, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'UCM_age': 1.2944551629115868, 'UCM_region': 1.609234371723231, 'UCM_user_act': 0.44326739502439494, 'UCM_sub_class': 1.228540240152747, 'UCM_item_pop': 1.0705731078872252, 'UCM_sub_class_entropy': 0.8528142812353343} - results: ROC_AUC: 0.0939952, PRECISION: 0.0158028, PRECISION_RECALL_MIN_DEN: 0.0526760, RECALL: 0.0526760, MAP: 0.0242845, MRR: 0.0666943, NDCG: 0.0423704, F1: 0.0243120, HIT_RATE: 0.1580280, ARHR: 0.0697184, RMSE: 1.6666763, NOVELTY: 0.0053703, AVERAGE_POPULARITY: 0.5844798, DIVERSITY_MEAN_INTER_LIST: 0.9104704, DIVERSITY_HERFINDAHL: 0.9910414, COVERAGE_ITEM: 0.2824006, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0773461, SHANNON_ENTROPY: 8.1134080, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'UCM_age': 1.9114355325268608, 'UCM_region': 0.1100810837766504, 'UCM_user_act': 0.6173140599583008, 'UCM_sub_class': 0.4443805976432734, 'UCM_item_pop': 1.1198049279161975, 'UCM_sub_class_entropy': 1.574963780305134} - results: ROC_AUC: 0.0888274, PRECISION: 0.0149626, PRECISION_RECALL_MIN_DEN: 0.0498754, RECALL: 0.0498754, MAP: 0.0229897, MRR: 0.0633410, NDCG: 0.0401425, F1: 0.0230194, HIT_RATE: 0.1496262, ARHR: 0.0661083, RMSE: 1.6972742, NOVELTY: 0.0053413, AVERAGE_POPULARITY: 0.5952997, DIVERSITY_MEAN_INTER_LIST: 0.9062483, DIVERSITY_HERFINDAHL: 0.9906192, COVERAGE_ITEM: 0.2726683, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0712530, SHANNON_ENTROPY: 7.9700958, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'UCM_age': 1.0943146899211686, 'UCM_region': 1.7734592672825393, 'UCM_user_act': 1.8550692836144054, 'UCM_sub_class': 0.4922311046227307, 'UCM_item_pop': 0.6116784803599778, 'UCM_sub_class_entropy': 1.0414747152147488} - results: ROC_AUC: 0.0984406, PRECISION: 0.0161858, PRECISION_RECALL_MIN_DEN: 0.0539528, RECALL: 0.0539528, MAP: 0.0257767, MRR: 0.0708713, NDCG: 0.0443754, F1: 0.0249013, HIT_RATE: 0.1618583, ARHR: 0.0740610, RMSE: 1.3887756, NOVELTY: 0.0052781, AVERAGE_POPULARITY: 0.6337051, DIVERSITY_MEAN_INTER_LIST: 0.8753478, DIVERSITY_HERFINDAHL: 0.9875294, COVERAGE_ITEM: 0.2432549, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0656219, SHANNON_ENTROPY: 7.6115541, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'UCM_age': 0.509899607085858, 'UCM_region': 1.2234077116834106, 'UCM_user_act': 1.7646320877551114, 'UCM_sub_class': 1.5902086203863537, 'UCM_item_pop': 0.4102301337376598, 'UCM_sub_class_entropy': 0.2660884468212135} - results: ROC_AUC: 0.1055182, PRECISION: 0.0171743, PRECISION_RECALL_MIN_DEN: 0.0572476, RECALL: 0.0572476, MAP: 0.0277309, MRR: 0.0759934, NDCG: 0.0474477, F1: 0.0264220, HIT_RATE: 0.1717428, ARHR: 0.0795364, RMSE: 1.2292680, NOVELTY: 0.0053330, AVERAGE_POPULARITY: 0.6137250, DIVERSITY_MEAN_INTER_LIST: 0.8824487, DIVERSITY_HERFINDAHL: 0.9882394, COVERAGE_ITEM: 0.2685050, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0754523, SHANNON_ENTROPY: 7.8677836, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'UCM_age': 1.6361661446979265, 'UCM_region': 0.5157566512112762, 'UCM_user_act': 0.08713948971477593, 'UCM_sub_class': 1.7151623148020474, 'UCM_item_pop': 0.5851623081554848, 'UCM_sub_class_entropy': 0.20403177522620802} - results: ROC_AUC: 0.1053181, PRECISION: 0.0172731, PRECISION_RECALL_MIN_DEN: 0.0575771, RECALL: 0.0575771, MAP: 0.0276085, MRR: 0.0758695, NDCG: 0.0474477, F1: 0.0265740, HIT_RATE: 0.1727312, ARHR: 0.0792939, RMSE: 1.2789819, NOVELTY: 0.0053285, AVERAGE_POPULARITY: 0.6126638, DIVERSITY_MEAN_INTER_LIST: 0.8861222, DIVERSITY_HERFINDAHL: 0.9886067, COVERAGE_ITEM: 0.2603947, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0744495, SHANNON_ENTROPY: 7.8554963, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'UCM_age': 1.5177538445329923, 'UCM_region': 0.6791717940957925, 'UCM_user_act': 1.4412293455371008, 'UCM_sub_class': 1.4269233972502389, 'UCM_item_pop': 0.930794250296693, 'UCM_sub_class_entropy': 1.2553969353903738} - results: ROC_AUC: 0.0953956, PRECISION: 0.0157904, PRECISION_RECALL_MIN_DEN: 0.0526348, RECALL: 0.0526348, MAP: 0.0249350, MRR: 0.0685185, NDCG: 0.0430499, F1: 0.0242930, HIT_RATE: 0.1579045, ARHR: 0.0716166, RMSE: 1.6256581, NOVELTY: 0.0053436, AVERAGE_POPULARITY: 0.5995046, DIVERSITY_MEAN_INTER_LIST: 0.9007330, DIVERSITY_HERFINDAHL: 0.9900677, COVERAGE_ITEM: 0.2731549, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0739621, SHANNON_ENTROPY: 7.9666172, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'UCM_age': 1.0614370424722421, 'UCM_region': 1.2318441204814092, 'UCM_user_act': 1.1341425802811789, 'UCM_sub_class': 1.2927508460406127, 'UCM_item_pop': 1.276987967960386, 'UCM_sub_class_entropy': 1.436494655860233} - results: ROC_AUC: 0.0877192, PRECISION: 0.0147835, PRECISION_RECALL_MIN_DEN: 0.0492782, RECALL: 0.0492782, MAP: 0.0225808, MRR: 0.0622565, NDCG: 0.0395277, F1: 0.0227438, HIT_RATE: 0.1478347, ARHR: 0.0649561, RMSE: 1.8679624, NOVELTY: 0.0053952, AVERAGE_POPULARITY: 0.5707813, DIVERSITY_MEAN_INTER_LIST: 0.9193387, DIVERSITY_HERFINDAHL: 0.9919282, COVERAGE_ITEM: 0.3005677, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0788487, SHANNON_ENTROPY: 8.2338197, 
