SearchBayesianSkopt: New best config found. Config 0: {'topK': 688, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 4.3314817961803276e-05, 'lambda_j': 0.029607912764029538, 'learning_rate': 0.00040137805663606214} - results: ROC_AUC: 0.0913174, PRECISION: 0.0149688, PRECISION_RECALL_MIN_DEN: 0.0498960, RECALL: 0.0498960, MAP: 0.0242401, MRR: 0.0670605, NDCG: 0.0414953, F1: 0.0230289, HIT_RATE: 0.1496880, ARHR: 0.0698437, RMSE: 0.9224656, NOVELTY: 0.0052720, AVERAGE_POPULARITY: 0.6488170, DIVERSITY_MEAN_INTER_LIST: 0.8454034, DIVERSITY_HERFINDAHL: 0.9845351, COVERAGE_ITEM: 0.2658016, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0723801, SHANNON_ENTROPY: 7.4905966, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 1700, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 0.6868582041368538, 'lambda_j': 3.697928272020239e-05, 'learning_rate': 2.793278886493779e-05} - results: ROC_AUC: 0.0921686, PRECISION: 0.0149441, PRECISION_RECALL_MIN_DEN: 0.0498136, RECALL: 0.0498136, MAP: 0.0242518, MRR: 0.0670901, NDCG: 0.0415051, F1: 0.0229909, HIT_RATE: 0.1494409, ARHR: 0.0698745, RMSE: 0.9837658, NOVELTY: 0.0053330, AVERAGE_POPULARITY: 0.6474373, DIVERSITY_MEAN_INTER_LIST: 0.8277108, DIVERSITY_HERFINDAHL: 0.9827660, COVERAGE_ITEM: 0.3334415, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0849991, SHANNON_ENTROPY: 7.5755242, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 1858, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 0.0002338698466447784, 'lambda_j': 1.662274357529475e-06, 'learning_rate': 0.00014211682658375646} - results: ROC_AUC: 0.0909692, PRECISION: 0.0146970, PRECISION_RECALL_MIN_DEN: 0.0489899, RECALL: 0.0489899, MAP: 0.0235412, MRR: 0.0652740, NDCG: 0.0405374, F1: 0.0226107, HIT_RATE: 0.1469698, ARHR: 0.0678942, RMSE: 0.9989345, NOVELTY: 0.0052433, AVERAGE_POPULARITY: 0.6683691, DIVERSITY_MEAN_INTER_LIST: 0.8242487, DIVERSITY_HERFINDAHL: 0.9824198, COVERAGE_ITEM: 0.2639632, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0686757, SHANNON_ENTROPY: 7.3031670, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 1493, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 3.455008360213181e-06, 'lambda_j': 0.09767609878941776, 'learning_rate': 0.0005373396708424623} - results: ROC_AUC: 0.0902104, PRECISION: 0.0146476, PRECISION_RECALL_MIN_DEN: 0.0488252, RECALL: 0.0488252, MAP: 0.0236545, MRR: 0.0657133, NDCG: 0.0405968, F1: 0.0225347, HIT_RATE: 0.1464756, ARHR: 0.0682869, RMSE: 0.8948903, NOVELTY: 0.0052314, AVERAGE_POPULARITY: 0.6740583, DIVERSITY_MEAN_INTER_LIST: 0.8172414, DIVERSITY_HERFINDAHL: 0.9817191, COVERAGE_ITEM: 0.2604488, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0667005, SHANNON_ENTROPY: 7.2276697, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 1685, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 1.8904285588956386e-06, 'lambda_j': 0.9974071394074884, 'learning_rate': 0.000779026235411703} - results: ROC_AUC: 0.0898795, PRECISION: 0.0146414, PRECISION_RECALL_MIN_DEN: 0.0488046, RECALL: 0.0488046, MAP: 0.0234580, MRR: 0.0649861, NDCG: 0.0403602, F1: 0.0225252, HIT_RATE: 0.1464138, ARHR: 0.0676225, RMSE: 0.9942708, NOVELTY: 0.0052460, AVERAGE_POPULARITY: 0.6664088, DIVERSITY_MEAN_INTER_LIST: 0.8269496, DIVERSITY_HERFINDAHL: 0.9826899, COVERAGE_ITEM: 0.2643417, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0691550, SHANNON_ENTROPY: 7.3275396, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 5, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 1.0, 'lambda_j': 1e-06, 'learning_rate': 0.1} - results: ROC_AUC: 0.0011532, PRECISION: 0.0002348, PRECISION_RECALL_MIN_DEN: 0.0007825, RECALL: 0.0007825, MAP: 0.0002291, MRR: 0.0006872, NDCG: 0.0004998, F1: 0.0003612, HIT_RATE: 0.0023476, ARHR: 0.0006872, RMSE: 0.9998784, NOVELTY: 0.0080596, AVERAGE_POPULARITY: 0.0189403, DIVERSITY_MEAN_INTER_LIST: 0.9679286, DIVERSITY_HERFINDAHL: 0.9967869, COVERAGE_ITEM: 0.5266829, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3313435, SHANNON_ENTROPY: 11.4076932, 
SearchBayesianSkopt: New best config found. Config 6: {'topK': 5, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 1e-06, 'lambda_j': 1.0, 'learning_rate': 1e-05} - results: ROC_AUC: 0.1031824, PRECISION: 0.0158893, PRECISION_RECALL_MIN_DEN: 0.0529643, RECALL: 0.0529643, MAP: 0.0270302, MRR: 0.0742354, NDCG: 0.0454319, F1: 0.0244451, HIT_RATE: 0.1588929, ARHR: 0.0776151, RMSE: 0.9994842, NOVELTY: 0.0060879, AVERAGE_POPULARITY: 0.3230448, DIVERSITY_MEAN_INTER_LIST: 0.9543663, DIVERSITY_HERFINDAHL: 0.9954307, COVERAGE_ITEM: 0.3152744, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1484098, SHANNON_ENTROPY: 9.4738535, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 2000, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 1e-06, 'lambda_j': 1.0, 'learning_rate': 1e-05} - results: ROC_AUC: 0.0896305, PRECISION: 0.0146723, PRECISION_RECALL_MIN_DEN: 0.0489076, RECALL: 0.0489076, MAP: 0.0234130, MRR: 0.0651140, NDCG: 0.0403806, F1: 0.0225727, HIT_RATE: 0.1467227, ARHR: 0.0676246, RMSE: 0.9999244, NOVELTY: 0.0052409, AVERAGE_POPULARITY: 0.6704593, DIVERSITY_MEAN_INTER_LIST: 0.8215521, DIVERSITY_HERFINDAHL: 0.9821501, COVERAGE_ITEM: 0.2626115, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0690326, SHANNON_ENTROPY: 7.2861514, 
SearchBayesianSkopt: New best config found. Config 8: {'topK': 11, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 0.3693168822530403, 'lambda_j': 0.006574459928693325, 'learning_rate': 1.0331777094003012e-05} - results: ROC_AUC: 0.1036991, PRECISION: 0.0159758, PRECISION_RECALL_MIN_DEN: 0.0532526, RECALL: 0.0532526, MAP: 0.0271370, MRR: 0.0748670, NDCG: 0.0456823, F1: 0.0245781, HIT_RATE: 0.1597578, ARHR: 0.0780787, RMSE: 0.9999692, NOVELTY: 0.0063085, AVERAGE_POPULARITY: 0.2998466, DIVERSITY_MEAN_INTER_LIST: 0.9806569, DIVERSITY_HERFINDAHL: 0.9980596, COVERAGE_ITEM: 0.4168694, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2034642, SHANNON_ENTROPY: 10.5561353, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 53, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 6.924140812049066e-05, 'lambda_j': 2.2340774766657306e-06, 'learning_rate': 1.0021069532554986e-05} - results: ROC_AUC: 0.0988738, PRECISION: 0.0157781, PRECISION_RECALL_MIN_DEN: 0.0525936, RECALL: 0.0525936, MAP: 0.0259943, MRR: 0.0716290, NDCG: 0.0442022, F1: 0.0242740, HIT_RATE: 0.1577809, ARHR: 0.0747418, RMSE: 0.9979378, NOVELTY: 0.0056757, AVERAGE_POPULARITY: 0.4889975, DIVERSITY_MEAN_INTER_LIST: 0.9403028, DIVERSITY_HERFINDAHL: 0.9940245, COVERAGE_ITEM: 0.3808056, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1314596, SHANNON_ENTROPY: 9.1463753, 
SearchBayesianSkopt: New best config found. Config 10: {'topK': 5, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 1.0, 'lambda_j': 1.0, 'learning_rate': 1e-05} - results: ROC_AUC: 0.1033040, PRECISION: 0.0153271, PRECISION_RECALL_MIN_DEN: 0.0510904, RECALL: 0.0510904, MAP: 0.0273474, MRR: 0.0752924, NDCG: 0.0452106, F1: 0.0235802, HIT_RATE: 0.1532711, ARHR: 0.0786088, RMSE: 0.9999885, NOVELTY: 0.0063400, AVERAGE_POPULARITY: 0.2388521, DIVERSITY_MEAN_INTER_LIST: 0.9544668, DIVERSITY_HERFINDAHL: 0.9954408, COVERAGE_ITEM: 0.3346851, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1882444, SHANNON_ENTROPY: 9.9163637, 
