SearchBayesianSkopt: New best config found. Config 0: {'topK': 1405, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 1.7774926731437998e-05, 'lambda_j': 9.201412058447423e-07, 'learning_rate': 2.7775637774492805e-05} - results: ROC_AUC: 0.0925107, PRECISION: 0.0149503, PRECISION_RECALL_MIN_DEN: 0.0498342, RECALL: 0.0498342, MAP: 0.0243160, MRR: 0.0672546, NDCG: 0.0415791, F1: 0.0230004, HIT_RATE: 0.1495027, ARHR: 0.0700548, RMSE: 0.9841994, NOVELTY: 0.0053389, AVERAGE_POPULARITY: 0.6437369, DIVERSITY_MEAN_INTER_LIST: 0.8319539, DIVERSITY_HERFINDAHL: 0.9831903, COVERAGE_ITEM: 0.3350095, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0856013, SHANNON_ENTROPY: 7.6152547, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 98, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 7.802807983034244e-07, 'lambda_j': 0.8804590336784055, 'learning_rate': 1.133744256064125e-06} - results: ROC_AUC: 0.0984591, PRECISION: 0.0157843, PRECISION_RECALL_MIN_DEN: 0.0526142, RECALL: 0.0526142, MAP: 0.0259676, MRR: 0.0715262, NDCG: 0.0441680, F1: 0.0242835, HIT_RATE: 0.1578427, ARHR: 0.0746523, RMSE: 0.9997017, NOVELTY: 0.0055958, AVERAGE_POPULARITY: 0.5214798, DIVERSITY_MEAN_INTER_LIST: 0.9258654, DIVERSITY_HERFINDAHL: 0.9925808, COVERAGE_ITEM: 0.3681536, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1212006, SHANNON_ENTROPY: 8.8589632, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 1207, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 2.2387734278952935, 'lambda_j': 0.01602117674450546, 'learning_rate': 0.0005449563791568683} - results: ROC_AUC: 0.0816073, PRECISION: 0.0139124, PRECISION_RECALL_MIN_DEN: 0.0463747, RECALL: 0.0463747, MAP: 0.0205114, MRR: 0.0569476, NDCG: 0.0364937, F1: 0.0214037, HIT_RATE: 0.1391240, ARHR: 0.0591889, RMSE: 0.9966401, NOVELTY: 0.0052620, AVERAGE_POPULARITY: 0.6568008, DIVERSITY_MEAN_INTER_LIST: 0.8403432, DIVERSITY_HERFINDAHL: 0.9840291, COVERAGE_ITEM: 0.2693160, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0720591, SHANNON_ENTROPY: 7.4453741, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 1792, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 2.2701535722878415e-07, 'lambda_j': 0.12587990450364817, 'learning_rate': 0.0004142335464078759} - results: ROC_AUC: 0.0904423, PRECISION: 0.0147464, PRECISION_RECALL_MIN_DEN: 0.0491547, RECALL: 0.0491547, MAP: 0.0236997, MRR: 0.0658096, NDCG: 0.0407447, F1: 0.0226868, HIT_RATE: 0.1474640, ARHR: 0.0684042, RMSE: 0.9969231, NOVELTY: 0.0052447, AVERAGE_POPULARITY: 0.6676971, DIVERSITY_MEAN_INTER_LIST: 0.8254562, DIVERSITY_HERFINDAHL: 0.9825405, COVERAGE_ITEM: 0.2633685, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0692327, SHANNON_ENTROPY: 7.3148888, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 827, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 0.001059004782067146, 'lambda_j': 0.026717153135491074, 'learning_rate': 1.5649354866989636e-06} - results: ROC_AUC: 0.0915572, PRECISION: 0.0149626, PRECISION_RECALL_MIN_DEN: 0.0498754, RECALL: 0.0498754, MAP: 0.0239694, MRR: 0.0662614, NDCG: 0.0412154, F1: 0.0230194, HIT_RATE: 0.1496262, ARHR: 0.0690286, RMSE: 0.9999900, NOVELTY: 0.0052923, AVERAGE_POPULARITY: 0.6389573, DIVERSITY_MEAN_INTER_LIST: 0.8559483, DIVERSITY_HERFINDAHL: 0.9855895, COVERAGE_ITEM: 0.2716410, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0758153, SHANNON_ENTROPY: 7.6174842, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 1825, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 3.0544906016148183, 'lambda_j': 3.2983995958371573e-06, 'learning_rate': 0.000505445234284839} - results: ROC_AUC: 0.0744717, PRECISION: 0.0130104, PRECISION_RECALL_MIN_DEN: 0.0433681, RECALL: 0.0433681, MAP: 0.0178520, MRR: 0.0496905, NDCG: 0.0327690, F1: 0.0200161, HIT_RATE: 0.1301044, ARHR: 0.0515970, RMSE: 0.9940005, NOVELTY: 0.0055272, AVERAGE_POPULARITY: 0.5764762, DIVERSITY_MEAN_INTER_LIST: 0.8843947, DIVERSITY_HERFINDAHL: 0.9884340, COVERAGE_ITEM: 0.3861584, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1225435, SHANNON_ENTROPY: 8.4573092, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 765, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 0.06467053419212851, 'lambda_j': 5.667506165260164e-06, 'learning_rate': 1.2203541388004102e-05} - results: ROC_AUC: 0.0920019, PRECISION: 0.0151418, PRECISION_RECALL_MIN_DEN: 0.0504726, RECALL: 0.0504726, MAP: 0.0240402, MRR: 0.0664406, NDCG: 0.0414779, F1: 0.0232950, HIT_RATE: 0.1514178, ARHR: 0.0692235, RMSE: 0.9999240, NOVELTY: 0.0052964, AVERAGE_POPULARITY: 0.6361234, DIVERSITY_MEAN_INTER_LIST: 0.8576414, DIVERSITY_HERFINDAHL: 0.9857588, COVERAGE_ITEM: 0.2715869, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0766046, SHANNON_ENTROPY: 7.6442602, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 1095, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 8.317908369493178e-07, 'lambda_j': 1.1700415743619048e-06, 'learning_rate': 4.452908534886933e-05} - results: ROC_AUC: 0.0904908, PRECISION: 0.0147896, PRECISION_RECALL_MIN_DEN: 0.0492988, RECALL: 0.0492988, MAP: 0.0236233, MRR: 0.0654525, NDCG: 0.0406967, F1: 0.0227533, HIT_RATE: 0.1478965, ARHR: 0.0681099, RMSE: 0.9996956, NOVELTY: 0.0052719, AVERAGE_POPULARITY: 0.6514363, DIVERSITY_MEAN_INTER_LIST: 0.8429554, DIVERSITY_HERFINDAHL: 0.9842903, COVERAGE_ITEM: 0.2679643, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0735554, SHANNON_ENTROPY: 7.4886703, 
SearchBayesianSkopt: New best config found. Config 8: {'topK': 55, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 0.006071988955591601, 'lambda_j': 0.0027829464454598696, 'learning_rate': 8.887840175105999e-05} - results: ROC_AUC: 0.1021448, PRECISION: 0.0161982, PRECISION_RECALL_MIN_DEN: 0.0539939, RECALL: 0.0539939, MAP: 0.0266304, MRR: 0.0733606, NDCG: 0.0453388, F1: 0.0249203, HIT_RATE: 0.1619818, ARHR: 0.0765498, RMSE: 0.9995702, NOVELTY: 0.0059502, AVERAGE_POPULARITY: 0.4017150, DIVERSITY_MEAN_INTER_LIST: 0.9647932, DIVERSITY_HERFINDAHL: 0.9964734, COVERAGE_ITEM: 0.4061098, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1747465, SHANNON_ENTROPY: 9.9399211, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 1340, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 1.1734253997630083e-06, 'lambda_j': 0.04933238960291744, 'learning_rate': 2.3587768516482785e-06} - results: ROC_AUC: 0.0927235, PRECISION: 0.0149688, PRECISION_RECALL_MIN_DEN: 0.0498960, RECALL: 0.0498960, MAP: 0.0244781, MRR: 0.0676797, NDCG: 0.0417631, F1: 0.0230289, HIT_RATE: 0.1496880, ARHR: 0.0705076, RMSE: 0.9986400, NOVELTY: 0.0053398, AVERAGE_POPULARITY: 0.6427872, DIVERSITY_MEAN_INTER_LIST: 0.8338807, DIVERSITY_HERFINDAHL: 0.9833829, COVERAGE_ITEM: 0.3370641, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0852573, SHANNON_ENTROPY: 7.6269429, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 1826, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 0.0009344688150796569, 'lambda_j': 0.00042590374601593045, 'learning_rate': 1.971146638562918e-05} - results: ROC_AUC: 0.0907510, PRECISION: 0.0144499, PRECISION_RECALL_MIN_DEN: 0.0481662, RECALL: 0.0481662, MAP: 0.0236728, MRR: 0.0656907, NDCG: 0.0404198, F1: 0.0222306, HIT_RATE: 0.1444987, ARHR: 0.0683025, RMSE: 0.9941054, NOVELTY: 0.0052211, AVERAGE_POPULARITY: 0.6800185, DIVERSITY_MEAN_INTER_LIST: 0.8094563, DIVERSITY_HERFINDAHL: 0.9809406, COVERAGE_ITEM: 0.2541227, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0654608, SHANNON_ENTROPY: 7.1561829, 
