SearchBayesianSkopt: New best config found. Config 0: {'topK': 1007, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 9.202360148116188, 'lambda_j': 5.446843604850511e-06, 'learning_rate': 1.3846888699603925e-08} - results: ROC_AUC: 0.0727053, PRECISION: 0.0116533, PRECISION_RECALL_MIN_DEN: 0.0388445, RECALL: 0.0388445, MAP: 0.0182674, MRR: 0.0523586, NDCG: 0.0320049, F1: 0.0179282, HIT_RATE: 0.1165334, ARHR: 0.0535804, RMSE: 0.9999647, NOVELTY: 0.0050062, AVERAGE_POPULARITY: 0.7882596, DIVERSITY_MEAN_INTER_LIST: 0.6321062, DIVERSITY_HERFINDAHL: 0.9632003, COVERAGE_ITEM: 0.0203839, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0873286, SHANNON_ENTROPY: 5.3326990, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 1372, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 2.0298704209317244e-07, 'lambda_j': 2.1114185582761065e-06, 'learning_rate': 1.5141317972012731e-05} - results: ROC_AUC: 0.0784064, PRECISION: 0.0127795, PRECISION_RECALL_MIN_DEN: 0.0425983, RECALL: 0.0425983, MAP: 0.0196328, MRR: 0.0562715, NDCG: 0.0346598, F1: 0.0196608, HIT_RATE: 0.1277950, ARHR: 0.0575850, RMSE: 0.9990702, NOVELTY: 0.0050419, AVERAGE_POPULARITY: 0.7620291, DIVERSITY_MEAN_INTER_LIST: 0.6946794, DIVERSITY_HERFINDAHL: 0.9694566, COVERAGE_ITEM: 0.0268721, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0889444, SHANNON_ENTROPY: 5.7185207, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 1152, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 2.640504317121735e-05, 'lambda_j': 0.006111941165698903, 'learning_rate': 6.107682068071107e-05} - results: ROC_AUC: 0.0785197, PRECISION: 0.0126489, PRECISION_RECALL_MIN_DEN: 0.0421631, RECALL: 0.0421631, MAP: 0.0196993, MRR: 0.0563653, NDCG: 0.0345917, F1: 0.0194599, HIT_RATE: 0.1264893, ARHR: 0.0577316, RMSE: 0.9964068, NOVELTY: 0.0050478, AVERAGE_POPULARITY: 0.7576237, DIVERSITY_MEAN_INTER_LIST: 0.7041682, DIVERSITY_HERFINDAHL: 0.9704053, COVERAGE_ITEM: 0.0288727, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0869936, SHANNON_ENTROPY: 5.7761672, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 477, 'epochs': 999, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 0.07237355334205602, 'lambda_j': 0.0011107500555034644, 'learning_rate': 1.203533740540763e-07} - results: ROC_AUC: 0.0743737, PRECISION: 0.0122083, PRECISION_RECALL_MIN_DEN: 0.0406942, RECALL: 0.0406942, MAP: 0.0180025, MRR: 0.0518291, NDCG: 0.0323671, F1: 0.0187819, HIT_RATE: 0.1220826, ARHR: 0.0529183, RMSE: 0.9999974, NOVELTY: 0.0050579, AVERAGE_POPULARITY: 0.7472234, DIVERSITY_MEAN_INTER_LIST: 0.7351577, DIVERSITY_HERFINDAHL: 0.9735038, COVERAGE_ITEM: 0.0300622, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0912195, SHANNON_ENTROPY: 5.9191919, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 1462, 'epochs': 999, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 0.12735713316631933, 'lambda_j': 0.0017743884408635995, 'learning_rate': 5.786072289092964e-06} - results: ROC_AUC: 0.0701608, PRECISION: 0.0112780, PRECISION_RECALL_MIN_DEN: 0.0375932, RECALL: 0.0375932, MAP: 0.0177618, MRR: 0.0511194, NDCG: 0.0310903, F1: 0.0173507, HIT_RATE: 0.1127795, ARHR: 0.0522025, RMSE: 0.9921052, NOVELTY: 0.0049934, AVERAGE_POPULARITY: 0.7974187, DIVERSITY_MEAN_INTER_LIST: 0.6128389, DIVERSITY_HERFINDAHL: 0.9612739, COVERAGE_ITEM: 0.0158421, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1009923, SHANNON_ENTROPY: 5.2092789, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 21, 'epochs': 999, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 4.353158908561983, 'lambda_j': 0.8203543546106682, 'learning_rate': 8.060856515089921e-06} - results: ROC_AUC: 0.0919653, PRECISION: 0.0149665, PRECISION_RECALL_MIN_DEN: 0.0498885, RECALL: 0.0498885, MAP: 0.0228404, MRR: 0.0649751, NDCG: 0.0403593, F1: 0.0230254, HIT_RATE: 0.1496654, ARHR: 0.0667186, RMSE: 0.9980542, NOVELTY: 0.0052665, AVERAGE_POPULARITY: 0.6088599, DIVERSITY_MEAN_INTER_LIST: 0.8940896, DIVERSITY_HERFINDAHL: 0.9893944, COVERAGE_ITEM: 0.0517978, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1372384, SHANNON_ENTROPY: 7.3316709, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 148, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 1.7885274029095368e-07, 'lambda_j': 0.005572090567969173, 'learning_rate': 0.000909009931735888} - results: ROC_AUC: 0.0868315, PRECISION: 0.0140362, PRECISION_RECALL_MIN_DEN: 0.0467874, RECALL: 0.0467874, MAP: 0.0215960, MRR: 0.0615355, NDCG: 0.0380757, F1: 0.0215942, HIT_RATE: 0.1403623, ARHR: 0.0631527, RMSE: 0.9772522, NOVELTY: 0.0052195, AVERAGE_POPULARITY: 0.6414801, DIVERSITY_MEAN_INTER_LIST: 0.8655402, DIVERSITY_HERFINDAHL: 0.9865399, COVERAGE_ITEM: 0.0608813, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1085319, SHANNON_ENTROPY: 7.1023232, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 644, 'epochs': 999, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 2.2071110644418648e-05, 'lambda_j': 4.222411682642854e-06, 'learning_rate': 2.829380757057205e-08} - results: ROC_AUC: 0.0723664, PRECISION: 0.0117186, PRECISION_RECALL_MIN_DEN: 0.0390621, RECALL: 0.0390621, MAP: 0.0180268, MRR: 0.0520098, NDCG: 0.0318709, F1: 0.0180286, HIT_RATE: 0.1171862, ARHR: 0.0530451, RMSE: 0.9999681, NOVELTY: 0.0050198, AVERAGE_POPULARITY: 0.7761903, DIVERSITY_MEAN_INTER_LIST: 0.6689125, DIVERSITY_HERFINDAHL: 0.9668803, COVERAGE_ITEM: 0.0226548, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0891887, SHANNON_ENTROPY: 5.5143356, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 343, 'epochs': 999, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 3.0839307527279096e-06, 'lambda_j': 0.03098333482565452, 'learning_rate': 0.0005255720834457041} - results: ROC_AUC: 0.0749744, PRECISION: 0.0121919, PRECISION_RECALL_MIN_DEN: 0.0406398, RECALL: 0.0406398, MAP: 0.0183262, MRR: 0.0529089, NDCG: 0.0327250, F1: 0.0187568, HIT_RATE: 0.1219194, ARHR: 0.0539438, RMSE: 0.8821153, NOVELTY: 0.0050558, AVERAGE_POPULARITY: 0.7479927, DIVERSITY_MEAN_INTER_LIST: 0.7336894, DIVERSITY_HERFINDAHL: 0.9733570, COVERAGE_ITEM: 0.0294134, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0909469, SHANNON_ENTROPY: 5.8970815, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 1524, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 0.0001211630270280672, 'lambda_j': 0.00018340262148733188, 'learning_rate': 0.00041140152109587173} - results: ROC_AUC: 0.0784551, PRECISION: 0.0127305, PRECISION_RECALL_MIN_DEN: 0.0424351, RECALL: 0.0424351, MAP: 0.0198819, MRR: 0.0566949, NDCG: 0.0348263, F1: 0.0195854, HIT_RATE: 0.1273054, ARHR: 0.0581703, RMSE: 0.9748353, NOVELTY: 0.0050383, AVERAGE_POPULARITY: 0.7646765, DIVERSITY_MEAN_INTER_LIST: 0.6876375, DIVERSITY_HERFINDAHL: 0.9687525, COVERAGE_ITEM: 0.0267099, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0871167, SHANNON_ENTROPY: 5.6777193, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 471, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 0.0014428273437535977, 'lambda_j': 0.0010615783070400489, 'learning_rate': 0.00032106118967890077} - results: ROC_AUC: 0.0767164, PRECISION: 0.0126163, PRECISION_RECALL_MIN_DEN: 0.0420543, RECALL: 0.0420543, MAP: 0.0189280, MRR: 0.0545840, NDCG: 0.0338028, F1: 0.0194097, HIT_RATE: 0.1261629, ARHR: 0.0556839, RMSE: 0.8849015, NOVELTY: 0.0050598, AVERAGE_POPULARITY: 0.7458451, DIVERSITY_MEAN_INTER_LIST: 0.7368555, DIVERSITY_HERFINDAHL: 0.9736735, COVERAGE_ITEM: 0.0316842, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0875197, SHANNON_ENTROPY: 5.9374510, 
