SearchBayesianSkopt: New best config found. Config 0: {'topK': 512, 'epochs': 1499, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 3.162593273747494, 'lambda_j': 1.1054194739079606e-07, 'learning_rate': 4.570760371792744e-05} - results: ROC_AUC: 0.0877910, PRECISION: 0.0144375, PRECISION_RECALL_MIN_DEN: 0.0481250, RECALL: 0.0481250, MAP: 0.0226238, MRR: 0.0625792, NDCG: 0.0392577, F1: 0.0222116, HIT_RATE: 0.1443751, ARHR: 0.0651701, RMSE: 0.9507784, NOVELTY: 0.0063801, AVERAGE_POPULARITY: 0.6541209, DIVERSITY_MEAN_INTER_LIST: 0.8389039, DIVERSITY_HERFINDAHL: 0.9838852, COVERAGE_ITEM: 0.3342279, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0712341, SHANNON_ENTROPY: 7.4457813, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 1940, 'epochs': 1499, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 1.2790232456713304, 'lambda_j': 0.007232111962961155, 'learning_rate': 8.740269495607794e-06} - results: ROC_AUC: 0.0973466, PRECISION: 0.0157472, PRECISION_RECALL_MIN_DEN: 0.0524907, RECALL: 0.0524907, MAP: 0.0256334, MRR: 0.0705997, NDCG: 0.0437742, F1: 0.0242265, HIT_RATE: 0.1574720, ARHR: 0.0736934, RMSE: 0.9996530, NOVELTY: 0.0066365, AVERAGE_POPULARITY: 0.5882331, DIVERSITY_MEAN_INTER_LIST: 0.8759737, DIVERSITY_HERFINDAHL: 0.9875920, COVERAGE_ITEM: 0.4519866, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1088515, SHANNON_ENTROPY: 8.2617303, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 956, 'epochs': 1499, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 0.005875834072365733, 'lambda_j': 1.2307981598814726, 'learning_rate': 7.255732999840149e-05} - results: ROC_AUC: 0.0927103, PRECISION: 0.0152036, PRECISION_RECALL_MIN_DEN: 0.0506785, RECALL: 0.0506785, MAP: 0.0243683, MRR: 0.0673412, NDCG: 0.0418811, F1: 0.0233901, HIT_RATE: 0.1520356, ARHR: 0.0701641, RMSE: 0.9987040, NOVELTY: 0.0063972, AVERAGE_POPULARITY: 0.6482684, DIVERSITY_MEAN_INTER_LIST: 0.8433237, DIVERSITY_HERFINDAHL: 0.9843272, COVERAGE_ITEM: 0.3382863, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0741208, SHANNON_ENTROPY: 7.5248223, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 1859, 'epochs': 1499, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 0.5262091152006045, 'lambda_j': 0.07164922547846375, 'learning_rate': 6.588991659922043e-06} - results: ROC_AUC: 0.0892938, PRECISION: 0.0145672, PRECISION_RECALL_MIN_DEN: 0.0485575, RECALL: 0.0485575, MAP: 0.0233261, MRR: 0.0647225, NDCG: 0.0401576, F1: 0.0224111, HIT_RATE: 0.1456725, ARHR: 0.0673005, RMSE: 0.9786461, NOVELTY: 0.0063270, AVERAGE_POPULARITY: 0.6845979, DIVERSITY_MEAN_INTER_LIST: 0.7977949, DIVERSITY_HERFINDAHL: 0.9797746, COVERAGE_ITEM: 0.3341625, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0649754, SHANNON_ENTROPY: 7.1014925, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 710, 'epochs': 1499, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 3.8378921769372654, 'lambda_j': 0.00010396716197718338, 'learning_rate': 1.468694807369104e-05} - results: ROC_AUC: 0.0912974, PRECISION: 0.0150244, PRECISION_RECALL_MIN_DEN: 0.0500813, RECALL: 0.0500813, MAP: 0.0237935, MRR: 0.0657507, NDCG: 0.0410952, F1: 0.0231145, HIT_RATE: 0.1502440, ARHR: 0.0685088, RMSE: 0.9997706, NOVELTY: 0.0064251, AVERAGE_POPULARITY: 0.6354300, DIVERSITY_MEAN_INTER_LIST: 0.8574771, DIVERSITY_HERFINDAHL: 0.9857424, COVERAGE_ITEM: 0.3441121, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0774088, SHANNON_ENTROPY: 7.6672809, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 1944, 'epochs': 1499, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 0.0003444584965804755, 'lambda_j': 8.03001751790141e-06, 'learning_rate': 7.922334636171176e-05} - results: ROC_AUC: 0.0896572, PRECISION: 0.0145981, PRECISION_RECALL_MIN_DEN: 0.0486604, RECALL: 0.0486604, MAP: 0.0234083, MRR: 0.0648722, NDCG: 0.0402692, F1: 0.0224587, HIT_RATE: 0.1459813, ARHR: 0.0674986, RMSE: 0.9044601, NOVELTY: 0.0063211, AVERAGE_POPULARITY: 0.6814115, DIVERSITY_MEAN_INTER_LIST: 0.8048276, DIVERSITY_HERFINDAHL: 0.9804778, COVERAGE_ITEM: 0.3143287, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0644232, SHANNON_ENTROPY: 7.1297614, 
SearchBayesianSkopt: New best config found. Config 6: {'topK': 29, 'epochs': 1499, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 0.00025811492974405815, 'lambda_j': 1.6161839692058855, 'learning_rate': 1.5964027242787736e-06} - results: ROC_AUC: 0.1058471, PRECISION: 0.0165750, PRECISION_RECALL_MIN_DEN: 0.0552501, RECALL: 0.0552501, MAP: 0.0276085, MRR: 0.0761939, NDCG: 0.0468046, F1: 0.0255000, HIT_RATE: 0.1657503, ARHR: 0.0794489, RMSE: 0.9999828, NOVELTY: 0.0073319, AVERAGE_POPULARITY: 0.3677106, DIVERSITY_MEAN_INTER_LIST: 0.9714397, DIVERSITY_HERFINDAHL: 0.9971380, COVERAGE_ITEM: 0.5000982, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1838909, SHANNON_ENTROPY: 10.1771780, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 605, 'epochs': 1499, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 1.1737922950038696e-05, 'lambda_j': 0.0029790411926082505, 'learning_rate': 7.208498230678047e-05} - results: ROC_AUC: 0.0988728, PRECISION: 0.0161241, PRECISION_RECALL_MIN_DEN: 0.0537468, RECALL: 0.0537468, MAP: 0.0261830, MRR: 0.0718827, NDCG: 0.0447063, F1: 0.0248062, HIT_RATE: 0.1612405, ARHR: 0.0751457, RMSE: 0.9977114, NOVELTY: 0.0067376, AVERAGE_POPULARITY: 0.5473720, DIVERSITY_MEAN_INTER_LIST: 0.9064029, DIVERSITY_HERFINDAHL: 0.9906347, COVERAGE_ITEM: 0.4576160, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1206980, SHANNON_ENTROPY: 8.6602851, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1727, 'epochs': 1499, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 9.774541904314115e-05, 'lambda_j': 0.000663732988270371, 'learning_rate': 1.2204122644884026e-06} - results: ROC_AUC: 0.0900758, PRECISION: 0.0145672, PRECISION_RECALL_MIN_DEN: 0.0485575, RECALL: 0.0485575, MAP: 0.0234442, MRR: 0.0650499, NDCG: 0.0402924, F1: 0.0224111, HIT_RATE: 0.1456725, ARHR: 0.0676418, RMSE: 0.9979572, NOVELTY: 0.0063221, AVERAGE_POPULARITY: 0.6811789, DIVERSITY_MEAN_INTER_LIST: 0.8049046, DIVERSITY_HERFINDAHL: 0.9804855, COVERAGE_ITEM: 0.3170780, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0642770, SHANNON_ENTROPY: 7.1303403, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 1624, 'epochs': 1499, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 0.0033669397953183656, 'lambda_j': 3.9164640772403813e-07, 'learning_rate': 0.0001075902239310292} - results: ROC_AUC: 0.0898966, PRECISION: 0.0147155, PRECISION_RECALL_MIN_DEN: 0.0490517, RECALL: 0.0490517, MAP: 0.0234925, MRR: 0.0651610, NDCG: 0.0404822, F1: 0.0226392, HIT_RATE: 0.1471551, ARHR: 0.0677702, RMSE: 0.8920064, NOVELTY: 0.0063268, AVERAGE_POPULARITY: 0.6787329, DIVERSITY_MEAN_INTER_LIST: 0.8083870, DIVERSITY_HERFINDAHL: 0.9808337, COVERAGE_ITEM: 0.3181907, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0648455, SHANNON_ENTROPY: 7.1609011, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 683, 'epochs': 1499, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 0.03121930742439899, 'lambda_j': 0.00031352457695077435, 'learning_rate': 0.0002127172007716231} - results: ROC_AUC: 0.0910379, PRECISION: 0.0149441, PRECISION_RECALL_MIN_DEN: 0.0498136, RECALL: 0.0498136, MAP: 0.0239510, MRR: 0.0662681, NDCG: 0.0411766, F1: 0.0229909, HIT_RATE: 0.1494409, ARHR: 0.0690061, RMSE: 1.0113364, NOVELTY: 0.0064112, AVERAGE_POPULARITY: 0.6455466, DIVERSITY_MEAN_INTER_LIST: 0.8427126, DIVERSITY_HERFINDAHL: 0.9842661, COVERAGE_ITEM: 0.3519016, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0749750, SHANNON_ENTROPY: 7.5470072, 
