SearchBayesianSkopt: New best config found. Config 0: {'topK': 1933, 'epochs': 257, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 0.0011453746350455494, 'lambda_j': 0.034480920262291145, 'learning_rate': 0.00023298899716846062} - results: ROC_AUC: 0.0905821, PRECISION: 0.0146537, PRECISION_RECALL_MIN_DEN: 0.0488458, RECALL: 0.0488458, MAP: 0.0238207, MRR: 0.0660244, NDCG: 0.0407653, F1: 0.0225442, HIT_RATE: 0.1465373, ARHR: 0.0687013, RMSE: 0.9295149, NOVELTY: 0.0063299, AVERAGE_POPULARITY: 0.6768095, DIVERSITY_MEAN_INTER_LIST: 0.8119193, DIVERSITY_HERFINDAHL: 0.9811869, COVERAGE_ITEM: 0.3181253, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0660593, SHANNON_ENTROPY: 7.1909809, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 967, 'epochs': 410, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 9.0216621647993e-06, 'lambda_j': 0.48183321914687016, 'learning_rate': 2.0404109903852626e-06} - results: ROC_AUC: 0.0928014, PRECISION: 0.0151727, PRECISION_RECALL_MIN_DEN: 0.0505756, RECALL: 0.0505756, MAP: 0.0242903, MRR: 0.0672132, NDCG: 0.0417880, F1: 0.0233426, HIT_RATE: 0.1517267, ARHR: 0.0699926, RMSE: 0.9999809, NOVELTY: 0.0063958, AVERAGE_POPULARITY: 0.6474241, DIVERSITY_MEAN_INTER_LIST: 0.8455897, DIVERSITY_HERFINDAHL: 0.9845537, COVERAGE_ITEM: 0.3319369, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0742574, SHANNON_ENTROPY: 7.5304650, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 490, 'epochs': 208, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 5.325217794689596e-06, 'lambda_j': 2.8062787512694585, 'learning_rate': 0.00038248309255680015} - results: ROC_AUC: 0.0993352, PRECISION: 0.0159572, PRECISION_RECALL_MIN_DEN: 0.0531908, RECALL: 0.0531908, MAP: 0.0262067, MRR: 0.0719256, NDCG: 0.0445687, F1: 0.0245496, HIT_RATE: 0.1595725, ARHR: 0.0752078, RMSE: 0.9957741, NOVELTY: 0.0067585, AVERAGE_POPULARITY: 0.5374014, DIVERSITY_MEAN_INTER_LIST: 0.9132235, DIVERSITY_HERFINDAHL: 0.9913167, COVERAGE_ITEM: 0.4517248, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1234594, SHANNON_ENTROPY: 8.7533475, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 1904, 'epochs': 219, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 1.8306745955908813e-06, 'lambda_j': 0.007811358401432389, 'learning_rate': 0.00012898291066149555} - results: ROC_AUC: 0.0969901, PRECISION: 0.0156422, PRECISION_RECALL_MIN_DEN: 0.0521406, RECALL: 0.0521406, MAP: 0.0256079, MRR: 0.0706739, NDCG: 0.0436494, F1: 0.0240649, HIT_RATE: 0.1564218, ARHR: 0.0736856, RMSE: 0.9980155, NOVELTY: 0.0066284, AVERAGE_POPULARITY: 0.5891761, DIVERSITY_MEAN_INTER_LIST: 0.8768079, DIVERSITY_HERFINDAHL: 0.9876754, COVERAGE_ITEM: 0.4421680, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1077764, SHANNON_ENTROPY: 8.2497807, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 927, 'epochs': 154, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 4.632277394262655e-06, 'lambda_j': 0.002370377823073116, 'learning_rate': 0.00022334245453430745} - results: ROC_AUC: 0.0918334, PRECISION: 0.0150182, PRECISION_RECALL_MIN_DEN: 0.0500607, RECALL: 0.0500607, MAP: 0.0241374, MRR: 0.0666836, NDCG: 0.0414412, F1: 0.0231050, HIT_RATE: 0.1501822, ARHR: 0.0694911, RMSE: 0.9987276, NOVELTY: 0.0064043, AVERAGE_POPULARITY: 0.6422684, DIVERSITY_MEAN_INTER_LIST: 0.8521051, DIVERSITY_HERFINDAHL: 0.9852052, COVERAGE_ITEM: 0.3291222, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0753783, SHANNON_ENTROPY: 7.5865187, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 166, 'epochs': 80, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 7.398350046665413e-05, 'lambda_j': 0.021158454575633766, 'learning_rate': 0.0006312043954240361} - results: ROC_AUC: 0.0964504, PRECISION: 0.0156607, PRECISION_RECALL_MIN_DEN: 0.0522024, RECALL: 0.0522024, MAP: 0.0252747, MRR: 0.0696252, NDCG: 0.0433068, F1: 0.0240934, HIT_RATE: 0.1566072, ARHR: 0.0726671, RMSE: 0.9575241, NOVELTY: 0.0065748, AVERAGE_POPULARITY: 0.5646303, DIVERSITY_MEAN_INTER_LIST: 0.9116090, DIVERSITY_HERFINDAHL: 0.9911553, COVERAGE_ITEM: 0.3576618, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0943169, SHANNON_ENTROPY: 8.3485816, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 473, 'epochs': 409, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 3.4595425075592305, 'lambda_j': 0.4479163151434602, 'learning_rate': 1.0425438283392907e-05} - results: ROC_AUC: 0.0984218, PRECISION: 0.0157163, PRECISION_RECALL_MIN_DEN: 0.0523877, RECALL: 0.0523877, MAP: 0.0260345, MRR: 0.0714910, NDCG: 0.0441398, F1: 0.0241789, HIT_RATE: 0.1571632, ARHR: 0.0747361, RMSE: 0.9998431, NOVELTY: 0.0067688, AVERAGE_POPULARITY: 0.5354528, DIVERSITY_MEAN_INTER_LIST: 0.9144841, DIVERSITY_HERFINDAHL: 0.9914428, COVERAGE_ITEM: 0.4561105, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1250762, SHANNON_ENTROPY: 8.7789194, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 177, 'epochs': 210, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 0.00018137859057318386, 'lambda_j': 0.0010958163111126238, 'learning_rate': 4.370994633415841e-05} - results: ROC_AUC: 0.0964855, PRECISION: 0.0155433, PRECISION_RECALL_MIN_DEN: 0.0518111, RECALL: 0.0518111, MAP: 0.0255331, MRR: 0.0702545, NDCG: 0.0434339, F1: 0.0239128, HIT_RATE: 0.1554334, ARHR: 0.0733682, RMSE: 0.9857484, NOVELTY: 0.0066679, AVERAGE_POPULARITY: 0.5579814, DIVERSITY_MEAN_INTER_LIST: 0.9062704, DIVERSITY_HERFINDAHL: 0.9906214, COVERAGE_ITEM: 0.4282254, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1079322, SHANNON_ENTROPY: 8.5020395, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1588, 'epochs': 468, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 0.0010802696432024332, 'lambda_j': 0.3972601652194292, 'learning_rate': 0.0008358603614838176} - results: ROC_AUC: 0.0915614, PRECISION: 0.0149256, PRECISION_RECALL_MIN_DEN: 0.0497519, RECALL: 0.0497519, MAP: 0.0239438, MRR: 0.0662624, NDCG: 0.0411636, F1: 0.0229624, HIT_RATE: 0.1492556, ARHR: 0.0689945, RMSE: 0.9909303, NOVELTY: 0.0063613, AVERAGE_POPULARITY: 0.6642150, DIVERSITY_MEAN_INTER_LIST: 0.8271220, DIVERSITY_HERFINDAHL: 0.9827071, COVERAGE_ITEM: 0.3278785, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0704901, SHANNON_ENTROPY: 7.3530757, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 1246, 'epochs': 287, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 2.33135067272755e-06, 'lambda_j': 1.7502200597955198e-07, 'learning_rate': 4.79168775201498e-05} - results: ROC_AUC: 0.0921648, PRECISION: 0.0148020, PRECISION_RECALL_MIN_DEN: 0.0493400, RECALL: 0.0493400, MAP: 0.0240057, MRR: 0.0665156, NDCG: 0.0411263, F1: 0.0227723, HIT_RATE: 0.1480200, ARHR: 0.0692204, RMSE: 0.9662515, NOVELTY: 0.0064409, AVERAGE_POPULARITY: 0.6499419, DIVERSITY_MEAN_INTER_LIST: 0.8283415, DIVERSITY_HERFINDAHL: 0.9828290, COVERAGE_ITEM: 0.3912417, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0815437, SHANNON_ENTROPY: 7.5359170, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 579, 'epochs': 75, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 0.00285084320709593, 'lambda_j': 0.0003202603203448284, 'learning_rate': 2.6079119456090506e-05} - results: ROC_AUC: 0.0915499, PRECISION: 0.0150368, PRECISION_RECALL_MIN_DEN: 0.0501225, RECALL: 0.0501225, MAP: 0.0242298, MRR: 0.0669174, NDCG: 0.0415416, F1: 0.0231335, HIT_RATE: 0.1503676, ARHR: 0.0697526, RMSE: 0.9968936, NOVELTY: 0.0064161, AVERAGE_POPULARITY: 0.6326937, DIVERSITY_MEAN_INTER_LIST: 0.8614026, DIVERSITY_HERFINDAHL: 0.9861349, COVERAGE_ITEM: 0.3179944, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0767980, SHANNON_ENTROPY: 7.6648214, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 1148, 'epochs': 422, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 1.412503812641217e-07, 'lambda_j': 0.06865352721447139, 'learning_rate': 0.0006068498834672337} - results: ROC_AUC: 0.0969537, PRECISION: 0.0156978, PRECISION_RECALL_MIN_DEN: 0.0523259, RECALL: 0.0523259, MAP: 0.0256239, MRR: 0.0704039, NDCG: 0.0436795, F1: 0.0241504, HIT_RATE: 0.1569778, ARHR: 0.0735711, RMSE: 0.9882417, NOVELTY: 0.0066718, AVERAGE_POPULARITY: 0.5727260, DIVERSITY_MEAN_INTER_LIST: 0.8883608, DIVERSITY_HERFINDAHL: 0.9888306, COVERAGE_ITEM: 0.4460954, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1136376, SHANNON_ENTROPY: 8.4106764, 
