SearchBayesianSkopt: New best config found. Config 0: {'topK': 271, 'epochs': 999, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 0.00041461428492068443, 'lambda_j': 2.9820597959011312, 'learning_rate': 1.645300900532807e-07} - results: ROC_AUC: 0.0782114, PRECISION: 0.0128640, PRECISION_RECALL_MIN_DEN: 0.0428800, RECALL: 0.0428800, MAP: 0.0194019, MRR: 0.0550528, NDCG: 0.0344329, F1: 0.0197908, HIT_RATE: 0.1286399, ARHR: 0.0566292, RMSE: 0.9998520, NOVELTY: 0.0147662, AVERAGE_POPULARITY: 0.7463630, DIVERSITY_MEAN_INTER_LIST: 0.7234099, DIVERSITY_HERFINDAHL: 0.9723277, COVERAGE_ITEM: 0.0753172, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1046542, SHANNON_ENTROPY: 5.8882842, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 914, 'epochs': 999, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 1.7370465560200232, 'lambda_j': 4.934815738828167e-08, 'learning_rate': 3.4137395636138375e-05} - results: ROC_AUC: 0.0736206, PRECISION: 0.0121268, PRECISION_RECALL_MIN_DEN: 0.0404227, RECALL: 0.0404227, MAP: 0.0181034, MRR: 0.0514700, NDCG: 0.0322844, F1: 0.0186566, HIT_RATE: 0.1212680, ARHR: 0.0528900, RMSE: 0.9578467, NOVELTY: 0.0146117, AVERAGE_POPULARITY: 0.7869431, DIVERSITY_MEAN_INTER_LIST: 0.6309114, DIVERSITY_HERFINDAHL: 0.9630795, COVERAGE_ITEM: 0.0483379, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1080327, SHANNON_ENTROPY: 5.3397798, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 147, 'epochs': 999, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 6.181290917113427e-08, 'lambda_j': 2.2519587938720425, 'learning_rate': 1.013839631567675e-07} - results: ROC_AUC: 0.0850560, PRECISION: 0.0142647, PRECISION_RECALL_MIN_DEN: 0.0475488, RECALL: 0.0475488, MAP: 0.0209229, MRR: 0.0593968, NDCG: 0.0375464, F1: 0.0219456, HIT_RATE: 0.1426465, ARHR: 0.0610827, RMSE: 0.9999986, NOVELTY: 0.0150088, AVERAGE_POPULARITY: 0.6872798, DIVERSITY_MEAN_INTER_LIST: 0.8185597, DIVERSITY_HERFINDAHL: 0.9818409, COVERAGE_ITEM: 0.1069536, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1199737, SHANNON_ENTROPY: 6.5837813, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 49, 'epochs': 999, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 0.00039534307647710984, 'lambda_j': 1.9230172335692377e-06, 'learning_rate': 3.630205517101266e-06} - results: ROC_AUC: 0.0973482, PRECISION: 0.0159971, PRECISION_RECALL_MIN_DEN: 0.0533235, RECALL: 0.0533235, MAP: 0.0242787, MRR: 0.0686223, NDCG: 0.0429302, F1: 0.0246108, HIT_RATE: 0.1599705, ARHR: 0.0707005, RMSE: 0.9999703, NOVELTY: 0.0153434, AVERAGE_POPULARITY: 0.6128360, DIVERSITY_MEAN_INTER_LIST: 0.8895138, DIVERSITY_HERFINDAHL: 0.9889350, COVERAGE_ITEM: 0.1323270, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1514410, SHANNON_ENTROPY: 7.2780380, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 629, 'epochs': 999, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 0.2298565338245788, 'lambda_j': 0.3412986797062156, 'learning_rate': 2.4371054400282614e-06} - results: ROC_AUC: 0.0739777, PRECISION: 0.0124770, PRECISION_RECALL_MIN_DEN: 0.0415899, RECALL: 0.0415899, MAP: 0.0185891, MRR: 0.0528021, NDCG: 0.0331319, F1: 0.0191953, HIT_RATE: 0.1247696, ARHR: 0.0542848, RMSE: 0.9999377, NOVELTY: 0.0146778, AVERAGE_POPULARITY: 0.7698114, DIVERSITY_MEAN_INTER_LIST: 0.6744738, DIVERSITY_HERFINDAHL: 0.9674350, COVERAGE_ITEM: 0.0631123, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1007308, SHANNON_ENTROPY: 5.5924183, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 689, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 1.2984545975247664e-06, 'lambda_j': 1.5076329613637448e-05, 'learning_rate': 0.0003963068119369845} - results: ROC_AUC: 0.0837902, PRECISION: 0.0138592, PRECISION_RECALL_MIN_DEN: 0.0461973, RECALL: 0.0461973, MAP: 0.0207522, MRR: 0.0589305, NDCG: 0.0369332, F1: 0.0213218, HIT_RATE: 0.1385920, ARHR: 0.0605936, RMSE: 0.9797077, NOVELTY: 0.0147757, AVERAGE_POPULARITY: 0.7459677, DIVERSITY_MEAN_INTER_LIST: 0.7194811, DIVERSITY_HERFINDAHL: 0.9719349, COVERAGE_ITEM: 0.0769231, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1035454, SHANNON_ENTROPY: 5.8935698, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 704, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 3.523036373629384e-05, 'lambda_j': 0.06560126974297396, 'learning_rate': 1.3641238889324077e-05} - results: ROC_AUC: 0.0749452, PRECISION: 0.0124032, PRECISION_RECALL_MIN_DEN: 0.0413441, RECALL: 0.0413441, MAP: 0.0185063, MRR: 0.0526652, NDCG: 0.0330061, F1: 0.0190819, HIT_RATE: 0.1240324, ARHR: 0.0540921, RMSE: 0.9675746, NOVELTY: 0.0146211, AVERAGE_POPULARITY: 0.7850335, DIVERSITY_MEAN_INTER_LIST: 0.6319386, DIVERSITY_HERFINDAHL: 0.9631822, COVERAGE_ITEM: 0.0515497, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1038689, SHANNON_ENTROPY: 5.3652134, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 142, 'epochs': 999, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 0.00010548693858014111, 'lambda_j': 6.036763182394356e-07, 'learning_rate': 0.0005875542147434214} - results: ROC_AUC: 0.0855065, PRECISION: 0.0145042, PRECISION_RECALL_MIN_DEN: 0.0483475, RECALL: 0.0483475, MAP: 0.0210450, MRR: 0.0602510, NDCG: 0.0379976, F1: 0.0223142, HIT_RATE: 0.1450424, ARHR: 0.0616930, RMSE: 0.9920874, NOVELTY: 0.0150248, AVERAGE_POPULARITY: 0.6836501, DIVERSITY_MEAN_INTER_LIST: 0.8216642, DIVERSITY_HERFINDAHL: 0.9821513, COVERAGE_ITEM: 0.1061506, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1236018, SHANNON_ENTROPY: 6.6158455, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 285, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 0.004443993848665563, 'lambda_j': 2.0609298735076615e-05, 'learning_rate': 1.8027067862413655e-05} - results: ROC_AUC: 0.0782741, PRECISION: 0.0128824, PRECISION_RECALL_MIN_DEN: 0.0429414, RECALL: 0.0429414, MAP: 0.0193886, MRR: 0.0552163, NDCG: 0.0344687, F1: 0.0198191, HIT_RATE: 0.1288242, ARHR: 0.0566911, RMSE: 0.9684318, NOVELTY: 0.0147535, AVERAGE_POPULARITY: 0.7500891, DIVERSITY_MEAN_INTER_LIST: 0.7147949, DIVERSITY_HERFINDAHL: 0.9714663, COVERAGE_ITEM: 0.0757989, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1011003, SHANNON_ENTROPY: 5.8406632, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 920, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 0.0003531739048356335, 'lambda_j': 2.0983723832717445, 'learning_rate': 0.00020354943741612673} - results: ROC_AUC: 0.0759448, PRECISION: 0.0126981, PRECISION_RECALL_MIN_DEN: 0.0423271, RECALL: 0.0423271, MAP: 0.0187680, MRR: 0.0534703, NDCG: 0.0336055, F1: 0.0195356, HIT_RATE: 0.1269812, ARHR: 0.0548871, RMSE: 0.8062442, NOVELTY: 0.0146340, AVERAGE_POPULARITY: 0.7809688, DIVERSITY_MEAN_INTER_LIST: 0.6486098, DIVERSITY_HERFINDAHL: 0.9648490, COVERAGE_ITEM: 0.0512285, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1091331, SHANNON_ENTROPY: 5.4388254, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 411, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 4.8985817638130175e-08, 'lambda_j': 0.18622739351440168, 'learning_rate': 0.0002166862612488954} - results: ROC_AUC: 0.0776431, PRECISION: 0.0129561, PRECISION_RECALL_MIN_DEN: 0.0431871, RECALL: 0.0431871, MAP: 0.0191470, MRR: 0.0543147, NDCG: 0.0342592, F1: 0.0199325, HIT_RATE: 0.1295614, ARHR: 0.0558779, RMSE: 0.8348837, NOVELTY: 0.0147388, AVERAGE_POPULARITY: 0.7529804, DIVERSITY_MEAN_INTER_LIST: 0.7136419, DIVERSITY_HERFINDAHL: 0.9713510, COVERAGE_ITEM: 0.0701783, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1047716, SHANNON_ENTROPY: 5.8094267, 
