SearchBayesianSkopt: New best config found. Config 0: {'topK': 603, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 3.342331819625258e-12, 'lambda_j': 1.360018789913614e-09, 'learning_rate': 2.097996130063154e-06} - results: ROC_AUC: 0.0854758, PRECISION: 0.0138776, PRECISION_RECALL_MIN_DEN: 0.0462588, RECALL: 0.0462588, MAP: 0.0207897, MRR: 0.0592251, NDCG: 0.0370572, F1: 0.0213502, HIT_RATE: 0.1387763, ARHR: 0.0607971, RMSE: 0.9998942, NOVELTY: 0.0147860, AVERAGE_POPULARITY: 0.7433067, DIVERSITY_MEAN_INTER_LIST: 0.7228117, DIVERSITY_HERFINDAHL: 0.9722678, COVERAGE_ITEM: 0.0802955, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1018578, SHANNON_ENTROPY: 5.9212897, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 362, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 3.131853675349118e-10, 'lambda_j': 3.765764233731523e-11, 'learning_rate': 8.380059085286406e-08} - results: ROC_AUC: 0.0842356, PRECISION: 0.0139698, PRECISION_RECALL_MIN_DEN: 0.0465659, RECALL: 0.0465659, MAP: 0.0208724, MRR: 0.0588726, NDCG: 0.0371287, F1: 0.0214920, HIT_RATE: 0.1396978, ARHR: 0.0607449, RMSE: 0.9999965, NOVELTY: 0.0148910, AVERAGE_POPULARITY: 0.7170072, DIVERSITY_MEAN_INTER_LIST: 0.7702337, DIVERSITY_HERFINDAHL: 0.9770092, COVERAGE_ITEM: 0.0963546, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1062599, SHANNON_ENTROPY: 6.2318211, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 212, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 8.483957979037562e-08, 'lambda_j': 4.745210533054562e-07, 'learning_rate': 2.5775508210450274e-07} - results: ROC_AUC: 0.0809797, PRECISION: 0.0131036, PRECISION_RECALL_MIN_DEN: 0.0436786, RECALL: 0.0436786, MAP: 0.0200460, MRR: 0.0570359, NDCG: 0.0354187, F1: 0.0201593, HIT_RATE: 0.1310358, ARHR: 0.0585870, RMSE: 0.9995823, NOVELTY: 0.0148139, AVERAGE_POPULARITY: 0.7350563, DIVERSITY_MEAN_INTER_LIST: 0.7439374, DIVERSITY_HERFINDAHL: 0.9743800, COVERAGE_ITEM: 0.0870403, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1019071, SHANNON_ENTROPY: 6.0369098, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 778, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 3.083047271310145e-12, 'lambda_j': 8.020901081893408e-07, 'learning_rate': 1.1650719946074686e-09} - results: ROC_AUC: 0.0815671, PRECISION: 0.0137486, PRECISION_RECALL_MIN_DEN: 0.0458287, RECALL: 0.0458287, MAP: 0.0204522, MRR: 0.0580275, NDCG: 0.0364607, F1: 0.0211517, HIT_RATE: 0.1374862, ARHR: 0.0596921, RMSE: 0.9999999, NOVELTY: 0.0147471, AVERAGE_POPULARITY: 0.7529619, DIVERSITY_MEAN_INTER_LIST: 0.7028816, DIVERSITY_HERFINDAHL: 0.9702752, COVERAGE_ITEM: 0.0721053, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1023394, SHANNON_ENTROPY: 5.7885581, 
SearchBayesianSkopt: New best config found. Config 4: {'topK': 220, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 5.959545138015883e-09, 'lambda_j': 9.683500585864166e-12, 'learning_rate': 3.1310819400991076e-06} - results: ROC_AUC: 0.0855052, PRECISION: 0.0141356, PRECISION_RECALL_MIN_DEN: 0.0471188, RECALL: 0.0471188, MAP: 0.0210231, MRR: 0.0595022, NDCG: 0.0375105, F1: 0.0217471, HIT_RATE: 0.1413564, ARHR: 0.0612858, RMSE: 0.9998931, NOVELTY: 0.0150074, AVERAGE_POPULARITY: 0.6900554, DIVERSITY_MEAN_INTER_LIST: 0.8087917, DIVERSITY_HERFINDAHL: 0.9808643, COVERAGE_ITEM: 0.1128955, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1140240, SHANNON_ENTROPY: 6.5515613, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 811, 'epochs': 999, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 1.9070689862026336e-10, 'lambda_j': 4.1292329417103184e-07, 'learning_rate': 1.209179124512093e-07} - results: ROC_AUC: 0.0749900, PRECISION: 0.0124401, PRECISION_RECALL_MIN_DEN: 0.0414670, RECALL: 0.0414670, MAP: 0.0187080, MRR: 0.0533642, NDCG: 0.0332656, F1: 0.0191386, HIT_RATE: 0.1244010, ARHR: 0.0547441, RMSE: 0.9999967, NOVELTY: 0.0146487, AVERAGE_POPULARITY: 0.7775649, DIVERSITY_MEAN_INTER_LIST: 0.6547101, DIVERSITY_HERFINDAHL: 0.9654589, COVERAGE_ITEM: 0.0565280, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1037226, SHANNON_ENTROPY: 5.4844440, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 662, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 2.8843367679147045e-11, 'lambda_j': 3.532874895800839e-11, 'learning_rate': 1.6088242739266667e-07} - results: ROC_AUC: 0.0828943, PRECISION: 0.0135459, PRECISION_RECALL_MIN_DEN: 0.0451530, RECALL: 0.0451530, MAP: 0.0204772, MRR: 0.0581289, NDCG: 0.0363097, F1: 0.0208398, HIT_RATE: 0.1354589, ARHR: 0.0597802, RMSE: 0.9999917, NOVELTY: 0.0147729, AVERAGE_POPULARITY: 0.7468288, DIVERSITY_MEAN_INTER_LIST: 0.7153498, DIVERSITY_HERFINDAHL: 0.9715218, COVERAGE_ITEM: 0.0793319, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1001182, SHANNON_ENTROPY: 5.8784032, 
SearchBayesianSkopt: New best config found. Config 7: {'topK': 6, 'epochs': 999, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 2.5275235667499243e-10, 'lambda_j': 1.0011888698358807e-11, 'learning_rate': 1.0348199977968625e-08} - results: ROC_AUC: 0.1197205, PRECISION: 0.0208072, PRECISION_RECALL_MIN_DEN: 0.0693574, RECALL: 0.0693574, MAP: 0.0290217, MRR: 0.0810557, NDCG: 0.0529521, F1: 0.0320111, HIT_RATE: 0.2080722, ARHR: 0.0840472, RMSE: 1.0000000, NOVELTY: 0.0160366, AVERAGE_POPULARITY: 0.4910643, DIVERSITY_MEAN_INTER_LIST: 0.9415336, DIVERSITY_HERFINDAHL: 0.9941360, COVERAGE_ITEM: 0.1829131, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1980450, SHANNON_ENTROPY: 8.1705974, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 651, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 2.5989322457879435e-11, 'lambda_j': 4.563802930836131e-07, 'learning_rate': 2.6147357338823972e-08} - results: ROC_AUC: 0.0759883, PRECISION: 0.0125138, PRECISION_RECALL_MIN_DEN: 0.0417127, RECALL: 0.0417127, MAP: 0.0185827, MRR: 0.0528307, NDCG: 0.0332142, F1: 0.0192520, HIT_RATE: 0.1251382, ARHR: 0.0542893, RMSE: 0.9999369, NOVELTY: 0.0146289, AVERAGE_POPULARITY: 0.7828361, DIVERSITY_MEAN_INTER_LIST: 0.6374222, DIVERSITY_HERFINDAHL: 0.9637305, COVERAGE_ITEM: 0.0536374, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1021187, SHANNON_ENTROPY: 5.3934668, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 281, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 2.2567415702514463e-09, 'lambda_j': 5.163825763924363e-07, 'learning_rate': 2.134931107224755e-09} - results: ROC_AUC: 0.0842279, PRECISION: 0.0136565, PRECISION_RECALL_MIN_DEN: 0.0455216, RECALL: 0.0455216, MAP: 0.0207618, MRR: 0.0590043, NDCG: 0.0367668, F1: 0.0210100, HIT_RATE: 0.1365647, ARHR: 0.0606449, RMSE: 0.9999999, NOVELTY: 0.0149463, AVERAGE_POPULARITY: 0.7045700, DIVERSITY_MEAN_INTER_LIST: 0.7893370, DIVERSITY_HERFINDAHL: 0.9789192, COVERAGE_ITEM: 0.1063112, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1082112, SHANNON_ENTROPY: 6.3871060, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 568, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 2.1360715262665092e-10, 'lambda_j': 1.3429241470095245e-12, 'learning_rate': 3.866122992578251e-07} - results: ROC_AUC: 0.0756863, PRECISION: 0.0126244, PRECISION_RECALL_MIN_DEN: 0.0420813, RECALL: 0.0420813, MAP: 0.0186176, MRR: 0.0528937, NDCG: 0.0333477, F1: 0.0194222, HIT_RATE: 0.1262440, ARHR: 0.0543733, RMSE: 0.9991047, NOVELTY: 0.0146471, AVERAGE_POPULARITY: 0.7781203, DIVERSITY_MEAN_INTER_LIST: 0.6500129, DIVERSITY_HERFINDAHL: 0.9649893, COVERAGE_ITEM: 0.0568492, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1017276, SHANNON_ENTROPY: 5.4677393, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 130, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 9.251906211121067e-12, 'lambda_j': 6.296115344543997e-08, 'learning_rate': 2.5315377483992432e-08} - results: ROC_AUC: 0.0880432, PRECISION: 0.0146148, PRECISION_RECALL_MIN_DEN: 0.0487161, RECALL: 0.0487161, MAP: 0.0216741, MRR: 0.0614608, NDCG: 0.0387400, F1: 0.0224843, HIT_RATE: 0.1461482, ARHR: 0.0632416, RMSE: 0.9999993, NOVELTY: 0.0151572, AVERAGE_POPULARITY: 0.6554254, DIVERSITY_MEAN_INTER_LIST: 0.8485913, DIVERSITY_HERFINDAHL: 0.9848435, COVERAGE_ITEM: 0.1252610, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1293271, SHANNON_ENTROPY: 6.9035799, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 482, 'epochs': 999, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 1.3408521194602835e-10, 'lambda_j': 1.6135645185333337e-10, 'learning_rate': 6.266172562552001e-06} - results: ROC_AUC: 0.0766321, PRECISION: 0.0126428, PRECISION_RECALL_MIN_DEN: 0.0421428, RECALL: 0.0421428, MAP: 0.0192941, MRR: 0.0551994, NDCG: 0.0341289, F1: 0.0194505, HIT_RATE: 0.1264283, ARHR: 0.0565409, RMSE: 0.9998530, NOVELTY: 0.0147191, AVERAGE_POPULARITY: 0.7590075, DIVERSITY_MEAN_INTER_LIST: 0.6992365, DIVERSITY_HERFINDAHL: 0.9699108, COVERAGE_ITEM: 0.0674482, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1047111, SHANNON_ENTROPY: 5.7397548, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 573, 'epochs': 999, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 6.223366982011629e-09, 'lambda_j': 1.9065120038172765e-08, 'learning_rate': 1.2569297211940787e-07} - results: ROC_AUC: 0.0779273, PRECISION: 0.0129377, PRECISION_RECALL_MIN_DEN: 0.0431257, RECALL: 0.0431257, MAP: 0.0192521, MRR: 0.0547754, NDCG: 0.0343687, F1: 0.0199042, HIT_RATE: 0.1293771, ARHR: 0.0562658, RMSE: 0.9999969, NOVELTY: 0.0146952, AVERAGE_POPULARITY: 0.7651673, DIVERSITY_MEAN_INTER_LIST: 0.6843707, DIVERSITY_HERFINDAHL: 0.9684245, COVERAGE_ITEM: 0.0645576, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1027657, SHANNON_ENTROPY: 5.6510730, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 891, 'epochs': 999, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 1.6913838170461479e-12, 'lambda_j': 8.737163393866591e-12, 'learning_rate': 3.228467305290394e-07} - results: ROC_AUC: 0.0772349, PRECISION: 0.0126613, PRECISION_RECALL_MIN_DEN: 0.0422042, RECALL: 0.0422042, MAP: 0.0190938, MRR: 0.0546119, NDCG: 0.0339563, F1: 0.0194789, HIT_RATE: 0.1266126, ARHR: 0.0559467, RMSE: 0.9999909, NOVELTY: 0.0146451, AVERAGE_POPULARITY: 0.7782155, DIVERSITY_MEAN_INTER_LIST: 0.6550560, DIVERSITY_HERFINDAHL: 0.9654935, COVERAGE_ITEM: 0.0549221, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1052891, SHANNON_ENTROPY: 5.4713209, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 541, 'epochs': 999, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 2.761304225903318e-11, 'lambda_j': 2.760326885103007e-10, 'learning_rate': 1.1944228272465339e-08} - results: ROC_AUC: 0.0761470, PRECISION: 0.0129746, PRECISION_RECALL_MIN_DEN: 0.0432486, RECALL: 0.0432486, MAP: 0.0189305, MRR: 0.0538207, NDCG: 0.0340325, F1: 0.0199609, HIT_RATE: 0.1297457, ARHR: 0.0553060, RMSE: 0.9999997, NOVELTY: 0.0147059, AVERAGE_POPULARITY: 0.7623938, DIVERSITY_MEAN_INTER_LIST: 0.6910275, DIVERSITY_HERFINDAHL: 0.9690900, COVERAGE_ITEM: 0.0663241, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1024277, SHANNON_ENTROPY: 5.6849638, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 707, 'epochs': 999, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 1.3312928239923455e-12, 'lambda_j': 2.498847371921595e-09, 'learning_rate': 4.0112603155838835e-08} - results: ROC_AUC: 0.0750617, PRECISION: 0.0124401, PRECISION_RECALL_MIN_DEN: 0.0414670, RECALL: 0.0414670, MAP: 0.0186953, MRR: 0.0533462, NDCG: 0.0332568, F1: 0.0191386, HIT_RATE: 0.1244010, ARHR: 0.0547160, RMSE: 0.9999989, NOVELTY: 0.0146675, AVERAGE_POPULARITY: 0.7724816, DIVERSITY_MEAN_INTER_LIST: 0.6681519, DIVERSITY_HERFINDAHL: 0.9668029, COVERAGE_ITEM: 0.0595793, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1033088, SHANNON_ENTROPY: 5.5515233, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 910, 'epochs': 999, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 7.579432326302603e-09, 'lambda_j': 2.06047610475777e-09, 'learning_rate': 3.255058433416462e-08} - results: ROC_AUC: 0.0753689, PRECISION: 0.0124770, PRECISION_RECALL_MIN_DEN: 0.0415899, RECALL: 0.0415899, MAP: 0.0188536, MRR: 0.0537878, NDCG: 0.0334615, F1: 0.0191953, HIT_RATE: 0.1247696, ARHR: 0.0551742, RMSE: 0.9999991, NOVELTY: 0.0146371, AVERAGE_POPULARITY: 0.7805548, DIVERSITY_MEAN_INTER_LIST: 0.6492114, DIVERSITY_HERFINDAHL: 0.9649092, COVERAGE_ITEM: 0.0525132, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1079703, SHANNON_ENTROPY: 5.4469599, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 309, 'epochs': 999, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 7.397100333827688e-12, 'lambda_j': 4.175932108303919e-08, 'learning_rate': 5.584428177060989e-07} - results: ROC_AUC: 0.0777238, PRECISION: 0.0131773, PRECISION_RECALL_MIN_DEN: 0.0439243, RECALL: 0.0439243, MAP: 0.0193786, MRR: 0.0548895, NDCG: 0.0347002, F1: 0.0202728, HIT_RATE: 0.1317729, ARHR: 0.0565127, RMSE: 0.9999890, NOVELTY: 0.0148151, AVERAGE_POPULARITY: 0.7343681, DIVERSITY_MEAN_INTER_LIST: 0.7480179, DIVERSITY_HERFINDAHL: 0.9747880, COVERAGE_ITEM: 0.0827044, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1068419, SHANNON_ENTROPY: 6.0463408, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 991, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 1.0170474348594626e-10, 'lambda_j': 2.662976842816325e-09, 'learning_rate': 2.9022809419776055e-08} - results: ROC_AUC: 0.0824106, PRECISION: 0.0134169, PRECISION_RECALL_MIN_DEN: 0.0447229, RECALL: 0.0447229, MAP: 0.0202324, MRR: 0.0575244, NDCG: 0.0359434, F1: 0.0206414, HIT_RATE: 0.1341688, ARHR: 0.0591108, RMSE: 0.9999983, NOVELTY: 0.0147168, AVERAGE_POPULARITY: 0.7612621, DIVERSITY_MEAN_INTER_LIST: 0.6856112, DIVERSITY_HERFINDAHL: 0.9685485, COVERAGE_ITEM: 0.0663241, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1043346, SHANNON_ENTROPY: 5.6970198, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 567, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 9.469350580478026e-07, 'lambda_j': 6.27538459531179e-09, 'learning_rate': 6.347982761954727e-07} - results: ROC_AUC: 0.0833231, PRECISION: 0.0136933, PRECISION_RECALL_MIN_DEN: 0.0456444, RECALL: 0.0456444, MAP: 0.0204593, MRR: 0.0581042, NDCG: 0.0364586, F1: 0.0210667, HIT_RATE: 0.1369333, ARHR: 0.0597410, RMSE: 0.9999686, NOVELTY: 0.0147961, AVERAGE_POPULARITY: 0.7409658, DIVERSITY_MEAN_INTER_LIST: 0.7268056, DIVERSITY_HERFINDAHL: 0.9726672, COVERAGE_ITEM: 0.0823832, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1016845, SHANNON_ENTROPY: 5.9546829, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 691, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 2.6616077014333395e-08, 'lambda_j': 1.4672152013509285e-10, 'learning_rate': 3.1561150049369565e-06} - results: ROC_AUC: 0.0829827, PRECISION: 0.0137118, PRECISION_RECALL_MIN_DEN: 0.0457059, RECALL: 0.0457059, MAP: 0.0208060, MRR: 0.0592678, NDCG: 0.0368510, F1: 0.0210950, HIT_RATE: 0.1371176, ARHR: 0.0608429, RMSE: 0.9998338, NOVELTY: 0.0147701, AVERAGE_POPULARITY: 0.7473798, DIVERSITY_MEAN_INTER_LIST: 0.7157597, DIVERSITY_HERFINDAHL: 0.9715628, COVERAGE_ITEM: 0.0785290, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0999462, SHANNON_ENTROPY: 5.8702300, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 550, 'epochs': 999, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 1.2779846694687077e-10, 'lambda_j': 2.836432588144412e-09, 'learning_rate': 1.9836776192891756e-09} - results: ROC_AUC: 0.0766641, PRECISION: 0.0124032, PRECISION_RECALL_MIN_DEN: 0.0413441, RECALL: 0.0413441, MAP: 0.0186828, MRR: 0.0530165, NDCG: 0.0332079, F1: 0.0190819, HIT_RATE: 0.1240324, ARHR: 0.0545325, RMSE: 0.9999977, NOVELTY: 0.0146555, AVERAGE_POPULARITY: 0.7754188, DIVERSITY_MEAN_INTER_LIST: 0.6589170, DIVERSITY_HERFINDAHL: 0.9658796, COVERAGE_ITEM: 0.0579733, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1021382, SHANNON_ENTROPY: 5.5028644, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 582, 'epochs': 999, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 4.076657212953276e-10, 'lambda_j': 2.3275531930284357e-12, 'learning_rate': 3.9348089000767956e-08} - results: ROC_AUC: 0.0755020, PRECISION: 0.0123664, PRECISION_RECALL_MIN_DEN: 0.0412213, RECALL: 0.0412213, MAP: 0.0183554, MRR: 0.0524277, NDCG: 0.0328553, F1: 0.0190252, HIT_RATE: 0.1236638, ARHR: 0.0537469, RMSE: 0.9999538, NOVELTY: 0.0146523, AVERAGE_POPULARITY: 0.7759786, DIVERSITY_MEAN_INTER_LIST: 0.6585868, DIVERSITY_HERFINDAHL: 0.9658465, COVERAGE_ITEM: 0.0562068, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1037877, SHANNON_ENTROPY: 5.4889702, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 899, 'epochs': 999, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 4.456442582192587e-08, 'lambda_j': 1.1043080616039932e-12, 'learning_rate': 1.078754307230152e-09} - results: ROC_AUC: 0.0746125, PRECISION: 0.0124032, PRECISION_RECALL_MIN_DEN: 0.0413441, RECALL: 0.0413441, MAP: 0.0183699, MRR: 0.0523233, NDCG: 0.0328669, F1: 0.0190819, HIT_RATE: 0.1240324, ARHR: 0.0537165, RMSE: 0.9999986, NOVELTY: 0.0146143, AVERAGE_POPULARITY: 0.7864848, DIVERSITY_MEAN_INTER_LIST: 0.6293153, DIVERSITY_HERFINDAHL: 0.9629199, COVERAGE_ITEM: 0.0488197, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1075449, SHANNON_ENTROPY: 5.3443478, 
