CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 474, 'epochs': 1000, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 1.4840121401836927e-12, 'lambda_j': 8.645393989967818e-08, 'learning_rate': 7.142193913508191e-05} - results: ROC_AUC: 0.027345±0.0013, PRECISION: 0.004332±0.0002, PRECISION_RECALL_MIN_DEN: 0.043317±0.0016, RECALL: 0.043317±0.0016, MAP: 0.019170±0.0009, MRR: 0.019170±0.0009, NDCG: 0.024754±0.0008, F1: 0.007876±0.0003, HIT_RATE: 0.043317±0.0016, ARHR: 0.019170±0.0009, RMSE: 0.824105±0.0034, NOVELTY: 0.004984±0.0000, AVERAGE_POPULARITY: 0.780187±0.0058, DIVERSITY_MEAN_INTER_LIST: 0.697745±0.0027, DIVERSITY_HERFINDAHL: 0.969757±0.0003, COVERAGE_ITEM: 0.018794±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.119579±0.0015, SHANNON_ENTROPY: 5.702696±0.0082, 
CrossSearchBayesianSkopt: New best config found. Config 1: {'topK': 497, 'epochs': 1000, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 0.037571876384437104, 'lambda_j': 8.714268934483409e-11, 'learning_rate': 6.45887146149547e-05} - results: ROC_AUC: 0.029509±0.0007, PRECISION: 0.004575±0.0001, PRECISION_RECALL_MIN_DEN: 0.045752±0.0015, RECALL: 0.045752±0.0015, MAP: 0.020038±0.0010, MRR: 0.020038±0.0010, NDCG: 0.026025±0.0008, F1: 0.008319±0.0003, HIT_RATE: 0.045752±0.0015, ARHR: 0.020038±0.0010, RMSE: 0.998043±0.0000, NOVELTY: 0.005020±0.0000, AVERAGE_POPULARITY: 0.756120±0.0059, DIVERSITY_MEAN_INTER_LIST: 0.747695±0.0009, DIVERSITY_HERFINDAHL: 0.974751±0.0001, COVERAGE_ITEM: 0.024526±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.117594±0.0016, SHANNON_ENTROPY: 6.019715±0.0098, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 855, 'epochs': 1000, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 0.04667280886518405, 'lambda_j': 5.77450694448564e-12, 'learning_rate': 7.147200671611188e-06} - results: ROC_AUC: 0.026782±0.0015, PRECISION: 0.004210±0.0001, PRECISION_RECALL_MIN_DEN: 0.042100±0.0015, RECALL: 0.042100±0.0015, MAP: 0.018691±0.0013, MRR: 0.018691±0.0013, NDCG: 0.024109±0.0011, F1: 0.007655±0.0003, HIT_RATE: 0.042100±0.0015, ARHR: 0.018691±0.0013, RMSE: 0.979773±0.0003, NOVELTY: 0.004963±0.0000, AVERAGE_POPULARITY: 0.796684±0.0062, DIVERSITY_MEAN_INTER_LIST: 0.666613±0.0020, DIVERSITY_HERFINDAHL: 0.966644±0.0002, COVERAGE_ITEM: 0.014847±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.128908±0.0026, SHANNON_ENTROPY: 5.498329±0.0080, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 720, 'epochs': 1000, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 3.1064843369731763e-09, 'lambda_j': 2.4416468761540914e-05, 'learning_rate': 1.1403857121461119e-07} - results: ROC_AUC: 0.026725±0.0016, PRECISION: 0.004220±0.0001, PRECISION_RECALL_MIN_DEN: 0.042201±0.0015, RECALL: 0.042201±0.0015, MAP: 0.018737±0.0012, MRR: 0.018737±0.0012, NDCG: 0.024164±0.0011, F1: 0.007673±0.0003, HIT_RATE: 0.042201±0.0015, ARHR: 0.018737±0.0012, RMSE: 0.999378±0.0000, NOVELTY: 0.004966±0.0000, AVERAGE_POPULARITY: 0.794243±0.0057, DIVERSITY_MEAN_INTER_LIST: 0.670974±0.0036, DIVERSITY_HERFINDAHL: 0.967080±0.0004, COVERAGE_ITEM: 0.015756±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.124605±0.0025, SHANNON_ENTROPY: 5.528922±0.0140, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 301, 'epochs': 1000, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 2.7368637406939907e-11, 'lambda_j': 4.729189556045343e-07, 'learning_rate': 9.628133893185941e-08} - results: ROC_AUC: 0.028557±0.0010, PRECISION: 0.004423±0.0001, PRECISION_RECALL_MIN_DEN: 0.044230±0.0015, RECALL: 0.044230±0.0015, MAP: 0.019781±0.0010, MRR: 0.019781±0.0010, NDCG: 0.025457±0.0007, F1: 0.008042±0.0003, HIT_RATE: 0.044230±0.0015, ARHR: 0.019781±0.0010, RMSE: 0.999794±0.0000, NOVELTY: 0.005006±0.0000, AVERAGE_POPULARITY: 0.763498±0.0058, DIVERSITY_MEAN_INTER_LIST: 0.732715±0.0011, DIVERSITY_HERFINDAHL: 0.973253±0.0001, COVERAGE_ITEM: 0.021974±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.117718±0.0010, SHANNON_ENTROPY: 5.893148±0.0042, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 427, 'epochs': 1000, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 0.0022061836759195664, 'lambda_j': 1.1199736600325795e-07, 'learning_rate': 3.8493325179099345e-05} - results: ROC_AUC: 0.027435±0.0010, PRECISION: 0.004357±0.0002, PRECISION_RECALL_MIN_DEN: 0.043571±0.0015, RECALL: 0.043571±0.0015, MAP: 0.019237±0.0009, MRR: 0.019237±0.0009, NDCG: 0.024862±0.0007, F1: 0.007922±0.0003, HIT_RATE: 0.043571±0.0015, ARHR: 0.019237±0.0009, RMSE: 0.858083±0.0028, NOVELTY: 0.004987±0.0000, AVERAGE_POPULARITY: 0.777841±0.0061, DIVERSITY_MEAN_INTER_LIST: 0.704458±0.0020, DIVERSITY_HERFINDAHL: 0.970428±0.0002, COVERAGE_ITEM: 0.019270±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.118975±0.0018, SHANNON_ENTROPY: 5.730649±0.0051, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 456, 'epochs': 1000, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 2.589596154608869e-10, 'lambda_j': 0.08265642519755222, 'learning_rate': 2.09734119307814e-05} - results: ROC_AUC: 0.027396±0.0011, PRECISION: 0.004276±0.0001, PRECISION_RECALL_MIN_DEN: 0.042759±0.0011, RECALL: 0.042759±0.0011, MAP: 0.019033±0.0010, MRR: 0.019033±0.0010, NDCG: 0.024535±0.0007, F1: 0.007774±0.0002, HIT_RATE: 0.042759±0.0011, ARHR: 0.019033±0.0010, RMSE: 0.949587±0.0006, NOVELTY: 0.004985±0.0000, AVERAGE_POPULARITY: 0.779462±0.0060, DIVERSITY_MEAN_INTER_LIST: 0.702405±0.0026, DIVERSITY_HERFINDAHL: 0.970223±0.0003, COVERAGE_ITEM: 0.018827±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.119372±0.0010, SHANNON_ENTROPY: 5.707385±0.0102, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 557, 'epochs': 1000, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 4.998616038026785e-08, 'lambda_j': 5.866407900084786e-11, 'learning_rate': 3.4340777255555616e-06} - results: ROC_AUC: 0.026883±0.0012, PRECISION: 0.004195±0.0002, PRECISION_RECALL_MIN_DEN: 0.041948±0.0016, RECALL: 0.041948±0.0016, MAP: 0.018783±0.0010, MRR: 0.018783±0.0010, NDCG: 0.024152±0.0008, F1: 0.007627±0.0003, HIT_RATE: 0.041948±0.0016, ARHR: 0.018783±0.0010, RMSE: 0.982438±0.0002, NOVELTY: 0.004975±0.0000, AVERAGE_POPULARITY: 0.787471±0.0063, DIVERSITY_MEAN_INTER_LIST: 0.684644±0.0020, DIVERSITY_HERFINDAHL: 0.968447±0.0002, COVERAGE_ITEM: 0.017324±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.120707±0.0012, SHANNON_ENTROPY: 5.609961±0.0091, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 877, 'epochs': 1000, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 6.84496494330339e-11, 'lambda_j': 1.2228093836162469e-08, 'learning_rate': 1.5984732251793165e-07} - results: ROC_AUC: 0.026770±0.0015, PRECISION: 0.004190±0.0002, PRECISION_RECALL_MIN_DEN: 0.041897±0.0017, RECALL: 0.041897±0.0017, MAP: 0.018674±0.0011, MRR: 0.018674±0.0011, NDCG: 0.024053±0.0011, F1: 0.007618±0.0003, HIT_RATE: 0.041897±0.0017, ARHR: 0.018674±0.0011, RMSE: 0.999545±0.0000, NOVELTY: 0.004962±0.0000, AVERAGE_POPULARITY: 0.797373±0.0061, DIVERSITY_MEAN_INTER_LIST: 0.665388±0.0018, DIVERSITY_HERFINDAHL: 0.966522±0.0002, COVERAGE_ITEM: 0.014782±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.128663±0.0006, SHANNON_ENTROPY: 5.490703±0.0064, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 834, 'epochs': 1000, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 0.0043316024310137225, 'lambda_j': 0.0042901907828175045, 'learning_rate': 1.1333850157221465e-05} - results: ROC_AUC: 0.026748±0.0014, PRECISION: 0.004205±0.0001, PRECISION_RECALL_MIN_DEN: 0.042049±0.0015, RECALL: 0.042049±0.0015, MAP: 0.018807±0.0011, MRR: 0.018807±0.0011, NDCG: 0.024184±0.0010, F1: 0.007645±0.0003, HIT_RATE: 0.042049±0.0015, ARHR: 0.018807±0.0011, RMSE: 0.936911±0.0006, NOVELTY: 0.004962±0.0000, AVERAGE_POPULARITY: 0.797302±0.0059, DIVERSITY_MEAN_INTER_LIST: 0.664319±0.0027, DIVERSITY_HERFINDAHL: 0.966415±0.0003, COVERAGE_ITEM: 0.014977±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.127238±0.0019, SHANNON_ENTROPY: 5.491270±0.0109, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 723, 'epochs': 1000, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 2.337739573808365e-06, 'lambda_j': 1.1300972428451505e-11, 'learning_rate': 1.017192412830856e-06} - results: ROC_AUC: 0.028365±0.0008, PRECISION: 0.004459±0.0001, PRECISION_RECALL_MIN_DEN: 0.044585±0.0012, RECALL: 0.044585±0.0012, MAP: 0.019270±0.0010, MRR: 0.019270±0.0010, NDCG: 0.025154±0.0007, F1: 0.008106±0.0002, HIT_RATE: 0.044585±0.0012, ARHR: 0.019270±0.0010, RMSE: 0.999965±0.0000, NOVELTY: 0.004991±0.0000, AVERAGE_POPULARITY: 0.776436±0.0061, DIVERSITY_MEAN_INTER_LIST: 0.715799±0.0025, DIVERSITY_HERFINDAHL: 0.971562±0.0002, COVERAGE_ITEM: 0.020957±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.115522±0.0020, SHANNON_ENTROPY: 5.790519±0.0077, 
