SearchBayesianSkopt: New best config found. Config 0: {'topK': 64, 'epochs': 1499, 'symmetric': True, 'sgd_mode': 'sgd', 'lambda_i': 3.663437622570491e-05, 'lambda_j': 4.258221756101243e-05, 'learning_rate': 0.0005443890998337186} - results: ROC_AUC: 0.2890920, PRECISION: 0.0113532, PRECISION_RECALL_MIN_DEN: 0.0378441, RECALL: 0.0378441, MAP: 0.0179116, MRR: 0.0495825, NDCG: 0.0310077, F1: 0.0174665, HIT_RATE: 0.1135323, ARHR: 0.0516181, RMSE: nan, NOVELTY: 0.0044041, AVERAGE_POPULARITY: 0.3652257, DIVERSITY_MEAN_INTER_LIST: 0.9711464, DIVERSITY_HERFINDAHL: 0.9952541, COVERAGE_ITEM: 0.3185185, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1240124, SHANNON_ENTROPY: 9.2061636, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 128, 'epochs': 1499, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 0.00011534430119867799, 'lambda_j': 0.0005954720993739833, 'learning_rate': 0.0134707503886271} - results: ROC_AUC: 0.2901440, PRECISION: 0.0112906, PRECISION_RECALL_MIN_DEN: 0.0376352, RECALL: 0.0376352, MAP: 0.0183117, MRR: 0.0508469, NDCG: 0.0313954, F1: 0.0173701, HIT_RATE: 0.1129056, ARHR: 0.0528536, RMSE: nan, NOVELTY: 0.0042434, AVERAGE_POPULARITY: 0.4434899, DIVERSITY_MEAN_INTER_LIST: 0.9371684, DIVERSITY_HERFINDAHL: 0.9896747, COVERAGE_ITEM: 0.2995945, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.0872307, SHANNON_ENTROPY: 8.1510275, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 114, 'epochs': 1499, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 1.5725421063260802e-05, 'lambda_j': 0.003647769082143207, 'learning_rate': 0.02762740914055154} - results: ROC_AUC: 0.2922253, PRECISION: 0.0119269, PRECISION_RECALL_MIN_DEN: 0.0397564, RECALL: 0.0397564, MAP: 0.0188724, MRR: 0.0520474, NDCG: 0.0325904, F1: 0.0183491, HIT_RATE: 0.1192692, ARHR: 0.0542786, RMSE: nan, NOVELTY: 0.0044555, AVERAGE_POPULARITY: 0.3521777, DIVERSITY_MEAN_INTER_LIST: 0.9737788, DIVERSITY_HERFINDAHL: 0.9956864, COVERAGE_ITEM: 0.3315491, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1406334, SHANNON_ENTROPY: 9.4373541, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 669, 'epochs': 1499, 'symmetric': True, 'sgd_mode': 'sgd', 'lambda_i': 3.258675040628455e-05, 'lambda_j': 0.0050838028670767066, 'learning_rate': 0.00029925660705126843} - results: ROC_AUC: 0.2891828, PRECISION: 0.0113870, PRECISION_RECALL_MIN_DEN: 0.0379566, RECALL: 0.0379566, MAP: 0.0181110, MRR: 0.0500645, NDCG: 0.0312319, F1: 0.0175184, HIT_RATE: 0.1138697, ARHR: 0.0521579, RMSE: nan, NOVELTY: 0.0041759, AVERAGE_POPULARITY: 0.4732565, DIVERSITY_MEAN_INTER_LIST: 0.9270758, DIVERSITY_HERFINDAHL: 0.9880175, COVERAGE_ITEM: 0.2680184, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.0844595, SHANNON_ENTROPY: 7.9288295, 
SearchBayesianSkopt: New best config found. Config 4: {'topK': 275, 'epochs': 1499, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 4.396311969131019e-05, 'lambda_j': 0.0004912728335117679, 'learning_rate': 0.0012174285945455007} - results: ROC_AUC: 0.2920799, PRECISION: 0.0117389, PRECISION_RECALL_MIN_DEN: 0.0391297, RECALL: 0.0391297, MAP: 0.0190150, MRR: 0.0524751, NDCG: 0.0325462, F1: 0.0180598, HIT_RATE: 0.1173890, ARHR: 0.0547173, RMSE: nan, NOVELTY: 0.0042158, AVERAGE_POPULARITY: 0.4625871, DIVERSITY_MEAN_INTER_LIST: 0.9307197, DIVERSITY_HERFINDAHL: 0.9886158, COVERAGE_ITEM: 0.3042985, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.0910487, SHANNON_ENTROPY: 8.0923052, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 987, 'epochs': 1499, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 0.007046071862587626, 'lambda_j': 1.0519734170483373e-05, 'learning_rate': 0.00015884258486348083} - results: ROC_AUC: 0.2915828, PRECISION: 0.0117823, PRECISION_RECALL_MIN_DEN: 0.0392743, RECALL: 0.0392743, MAP: 0.0189083, MRR: 0.0522775, NDCG: 0.0324849, F1: 0.0181266, HIT_RATE: 0.1178229, ARHR: 0.0544536, RMSE: nan, NOVELTY: 0.0041206, AVERAGE_POPULARITY: 0.5073109, DIVERSITY_MEAN_INTER_LIST: 0.9040679, DIVERSITY_HERFINDAHL: 0.9842394, COVERAGE_ITEM: 0.2775885, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.0735737, SHANNON_ENTROPY: 7.5042456, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1000, 'epochs': 1499, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 0.01, 'lambda_j': 0.01, 'learning_rate': 0.1} - results: ROC_AUC: 0.2691912, PRECISION: 0.0087017, PRECISION_RECALL_MIN_DEN: 0.0290058, RECALL: 0.0290058, MAP: 0.0114716, MRR: 0.0321895, NDCG: 0.0214803, F1: 0.0133873, HIT_RATE: 0.0870173, ARHR: 0.0332796, RMSE: nan, NOVELTY: 0.0040892, AVERAGE_POPULARITY: 0.5202373, DIVERSITY_MEAN_INTER_LIST: 0.8995125, DIVERSITY_HERFINDAHL: 0.9834914, COVERAGE_ITEM: 0.2537983, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.0684322, SHANNON_ENTROPY: 7.3228165, 
SearchBayesianSkopt: New best config found. Config 7: {'topK': 5, 'epochs': 1499, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 1e-05, 'lambda_j': 1e-05, 'learning_rate': 0.0001} - results: ROC_AUC: 0.3003506, PRECISION: 0.0120956, PRECISION_RECALL_MIN_DEN: 0.0403188, RECALL: 0.0403188, MAP: 0.0212043, MRR: 0.0585181, NDCG: 0.0353017, F1: 0.0186087, HIT_RATE: 0.1209565, ARHR: 0.0610181, RMSE: nan, NOVELTY: 0.0051679, AVERAGE_POPULARITY: 0.1951015, DIVERSITY_MEAN_INTER_LIST: 0.9865255, DIVERSITY_HERFINDAHL: 0.9977795, COVERAGE_ITEM: 0.3960530, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1959526, SHANNON_ENTROPY: 10.4339935, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 933, 'epochs': 1499, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 1.065618343466702e-05, 'lambda_j': 0.008779025107370091, 'learning_rate': 0.00010113477881727121} - results: ROC_AUC: 0.2898130, PRECISION: 0.0113918, PRECISION_RECALL_MIN_DEN: 0.0379726, RECALL: 0.0379726, MAP: 0.0183702, MRR: 0.0509477, NDCG: 0.0315375, F1: 0.0175258, HIT_RATE: 0.1139179, ARHR: 0.0529891, RMSE: nan, NOVELTY: 0.0040869, AVERAGE_POPULARITY: 0.5241576, DIVERSITY_MEAN_INTER_LIST: 0.8889839, DIVERSITY_HERFINDAHL: 0.9817626, COVERAGE_ITEM: 0.2622330, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.0664098, SHANNON_ENTROPY: 7.2349548, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 712, 'epochs': 1499, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 1.063106410105667e-05, 'lambda_j': 1.320770272781332e-05, 'learning_rate': 0.08283621134045835} - results: ROC_AUC: 0.2655072, PRECISION: 0.0080557, PRECISION_RECALL_MIN_DEN: 0.0268524, RECALL: 0.0268524, MAP: 0.0110827, MRR: 0.0311412, NDCG: 0.0203544, F1: 0.0123934, HIT_RATE: 0.0805573, ARHR: 0.0321781, RMSE: nan, NOVELTY: 0.0047550, AVERAGE_POPULARITY: 0.2768663, DIVERSITY_MEAN_INTER_LIST: 0.9842530, DIVERSITY_HERFINDAHL: 0.9974063, COVERAGE_ITEM: 0.3659908, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1958693, SHANNON_ENTROPY: 10.2962598, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 7, 'epochs': 1499, 'symmetric': False, 'sgd_mode': 'sgd', 'lambda_i': 0.00976945230536749, 'lambda_j': 5.477413984886536e-05, 'learning_rate': 0.00010319718331595819} - results: ROC_AUC: 0.2956579, PRECISION: 0.0121101, PRECISION_RECALL_MIN_DEN: 0.0403670, RECALL: 0.0403670, MAP: 0.0200848, MRR: 0.0553500, NDCG: 0.0340748, F1: 0.0186309, HIT_RATE: 0.1211011, ARHR: 0.0577692, RMSE: nan, NOVELTY: 0.0046500, AVERAGE_POPULARITY: 0.3141004, DIVERSITY_MEAN_INTER_LIST: 0.9760458, DIVERSITY_HERFINDAHL: 0.9960587, COVERAGE_ITEM: 0.3540416, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1247340, SHANNON_ENTROPY: 9.3772662, 
