SearchBayesianSkopt: New best config found. Config 0: {'topK': 293, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 7.274905819575924e-05, 'lambda_j': 7.516911346222434e-05, 'learning_rate': 2.976544134431196e-05} - results: ROC_AUC: 0.1024264, PRECISION: 0.0165441, PRECISION_RECALL_MIN_DEN: 0.0551471, RECALL: 0.0551471, MAP: 0.0272475, MRR: 0.0743620, NDCG: 0.0462114, F1: 0.0254525, HIT_RATE: 0.1654414, ARHR: 0.0779776, RMSE: 0.9997196, NOVELTY: 0.0059155, AVERAGE_POPULARITY: 0.5126641, DIVERSITY_MEAN_INTER_LIST: 0.9304210, DIVERSITY_HERFINDAHL: 0.9930364, COVERAGE_ITEM: 0.4488240, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.1295093, SHANNON_ENTROPY: 9.1243719, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 363, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 2.5574201387258147e-05, 'lambda_j': 0.20268722430773145, 'learning_rate': 2.286171434150778e-05} - results: ROC_AUC: 0.0980355, PRECISION: 0.0159634, PRECISION_RECALL_MIN_DEN: 0.0532114, RECALL: 0.0532114, MAP: 0.0256776, MRR: 0.0706167, NDCG: 0.0440377, F1: 0.0245591, HIT_RATE: 0.1596343, ARHR: 0.0737773, RMSE: 0.9998880, NOVELTY: 0.0056840, AVERAGE_POPULARITY: 0.5973211, DIVERSITY_MEAN_INTER_LIST: 0.8945546, DIVERSITY_HERFINDAHL: 0.9894499, COVERAGE_ITEM: 0.3494458, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.0867513, SHANNON_ENTROPY: 8.1789360, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 1638, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 0.025097620029570486, 'lambda_j': 2.0809401606589153e-07, 'learning_rate': 0.00011844728621732119} - results: ROC_AUC: 0.0996703, PRECISION: 0.0161302, PRECISION_RECALL_MIN_DEN: 0.0537674, RECALL: 0.0537674, MAP: 0.0261790, MRR: 0.0719801, NDCG: 0.0447434, F1: 0.0248157, HIT_RATE: 0.1613023, ARHR: 0.0752023, RMSE: 0.9982303, NOVELTY: 0.0057651, AVERAGE_POPULARITY: 0.5882116, DIVERSITY_MEAN_INTER_LIST: 0.8827084, DIVERSITY_HERFINDAHL: 0.9882654, COVERAGE_ITEM: 0.4280616, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.1079725, SHANNON_ENTROPY: 8.3854064, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 1080, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 0.1801576239029346, 'lambda_j': 4.167553551695401, 'learning_rate': 0.00048150350809394825} - results: ROC_AUC: 0.0924587, PRECISION: 0.0153209, PRECISION_RECALL_MIN_DEN: 0.0510698, RECALL: 0.0510698, MAP: 0.0242669, MRR: 0.0667769, NDCG: 0.0418526, F1: 0.0235707, HIT_RATE: 0.1532094, ARHR: 0.0697302, RMSE: 0.9967027, NOVELTY: 0.0055834, AVERAGE_POPULARITY: 0.6540174, DIVERSITY_MEAN_INTER_LIST: 0.8473208, DIVERSITY_HERFINDAHL: 0.9847268, COVERAGE_ITEM: 0.3215464, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.0730001, SHANNON_ENTROPY: 7.5763429, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 1984, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 0.06748224711929228, 'lambda_j': 0.0005281415194461638, 'learning_rate': 4.424656310014965e-05} - results: ROC_AUC: 0.0939353, PRECISION: 0.0151727, PRECISION_RECALL_MIN_DEN: 0.0505756, RECALL: 0.0505756, MAP: 0.0246843, MRR: 0.0682558, NDCG: 0.0422110, F1: 0.0233426, HIT_RATE: 0.1517267, ARHR: 0.0711088, RMSE: 0.9738166, NOVELTY: 0.0056196, AVERAGE_POPULARITY: 0.6551195, DIVERSITY_MEAN_INTER_LIST: 0.8263095, DIVERSITY_HERFINDAHL: 0.9826258, COVERAGE_ITEM: 0.3827521, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.0831752, SHANNON_ENTROPY: 7.6044536, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 1000, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 1.4398971329365852e-05, 'lambda_j': 4.848490179147217e-07, 'learning_rate': 3.5015798387744846e-06} - results: ROC_AUC: 0.1003038, PRECISION: 0.0162291, PRECISION_RECALL_MIN_DEN: 0.0540969, RECALL: 0.0540969, MAP: 0.0263714, MRR: 0.0724874, NDCG: 0.0450475, F1: 0.0249678, HIT_RATE: 0.1622907, ARHR: 0.0757441, RMSE: 0.9999522, NOVELTY: 0.0057952, AVERAGE_POPULARITY: 0.5725873, DIVERSITY_MEAN_INTER_LIST: 0.8942997, DIVERSITY_HERFINDAHL: 0.9894244, COVERAGE_ITEM: 0.4335226, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.1122111, SHANNON_ENTROPY: 8.5453945, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 724, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 1.1079898274991373e-06, 'lambda_j': 1.8120901281613675, 'learning_rate': 1.8458173422796945e-05} - results: ROC_AUC: 0.0953821, PRECISION: 0.0154383, PRECISION_RECALL_MIN_DEN: 0.0514610, RECALL: 0.0514610, MAP: 0.0250820, MRR: 0.0691123, NDCG: 0.0428741, F1: 0.0237513, HIT_RATE: 0.1543831, ARHR: 0.0721298, RMSE: 0.9905879, NOVELTY: 0.0056689, AVERAGE_POPULARITY: 0.6275003, DIVERSITY_MEAN_INTER_LIST: 0.8565341, DIVERSITY_HERFINDAHL: 0.9856481, COVERAGE_ITEM: 0.3952420, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.0898832, SHANNON_ENTROPY: 7.9144154, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 548, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 0.008660355914939582, 'lambda_j': 0.04321704518485027, 'learning_rate': 8.300164676102431e-05} - results: ROC_AUC: 0.1013667, PRECISION: 0.0165689, PRECISION_RECALL_MIN_DEN: 0.0552295, RECALL: 0.0552295, MAP: 0.0267648, MRR: 0.0731105, NDCG: 0.0457366, F1: 0.0254905, HIT_RATE: 0.1656885, ARHR: 0.0766314, RMSE: 0.9990383, NOVELTY: 0.0058503, AVERAGE_POPULARITY: 0.5437049, DIVERSITY_MEAN_INTER_LIST: 0.9146378, DIVERSITY_HERFINDAHL: 0.9914581, COVERAGE_ITEM: 0.4447689, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.1197797, SHANNON_ENTROPY: 8.8294041, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1975, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 0.019155496483875427, 'lambda_j': 1.3059721868561993e-05, 'learning_rate': 1.6866377110393938e-06} - results: ROC_AUC: 0.0918432, PRECISION: 0.0151232, PRECISION_RECALL_MIN_DEN: 0.0504108, RECALL: 0.0504108, MAP: 0.0240933, MRR: 0.0665779, NDCG: 0.0415041, F1: 0.0232665, HIT_RATE: 0.1512325, ARHR: 0.0693824, RMSE: 0.9999870, NOVELTY: 0.0055559, AVERAGE_POPULARITY: 0.6720087, DIVERSITY_MEAN_INTER_LIST: 0.8253832, DIVERSITY_HERFINDAHL: 0.9825332, COVERAGE_ITEM: 0.3159232, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.0693968, SHANNON_ENTROPY: 7.3786674, 
SearchBayesianSkopt: New best config found. Config 9: {'topK': 12, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 1.464912511702645e-06, 'lambda_j': 3.8731173600428767e-07, 'learning_rate': 9.488301488602914e-05} - results: ROC_AUC: 0.1108246, PRECISION: 0.0174832, PRECISION_RECALL_MIN_DEN: 0.0582772, RECALL: 0.0582772, MAP: 0.0291973, MRR: 0.0801668, NDCG: 0.0493710, F1: 0.0268972, HIT_RATE: 0.1748317, ARHR: 0.0837998, RMSE: 0.9998606, NOVELTY: 0.0063274, AVERAGE_POPULARITY: 0.3462939, DIVERSITY_MEAN_INTER_LIST: 0.9760728, DIVERSITY_HERFINDAHL: 0.9976013, COVERAGE_ITEM: 0.4773723, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.1678569, SHANNON_ENTROPY: 10.2925149, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 830, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 0.07794222982023159, 'lambda_j': 0.0003401392570479235, 'learning_rate': 1.583726260748898e-06} - results: ROC_AUC: 0.1011311, PRECISION: 0.0163588, PRECISION_RECALL_MIN_DEN: 0.0545294, RECALL: 0.0545294, MAP: 0.0265815, MRR: 0.0728946, NDCG: 0.0453785, F1: 0.0251674, HIT_RATE: 0.1635881, ARHR: 0.0762513, RMSE: 0.9999793, NOVELTY: 0.0058108, AVERAGE_POPULARITY: 0.5642783, DIVERSITY_MEAN_INTER_LIST: 0.9013657, DIVERSITY_HERFINDAHL: 0.9901310, COVERAGE_ITEM: 0.4387672, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.1142296, SHANNON_ENTROPY: 8.6278458, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 403, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 1.2372279592144646e-07, 'lambda_j': 0.005741895483880829, 'learning_rate': 9.045443887932188e-06} - results: ROC_AUC: 0.0970840, PRECISION: 0.0156854, PRECISION_RECALL_MIN_DEN: 0.0522848, RECALL: 0.0522848, MAP: 0.0255348, MRR: 0.0701306, NDCG: 0.0435749, F1: 0.0241314, HIT_RATE: 0.1568543, ARHR: 0.0733126, RMSE: 0.9960316, NOVELTY: 0.0057103, AVERAGE_POPULARITY: 0.6048310, DIVERSITY_MEAN_INTER_LIST: 0.8779599, DIVERSITY_HERFINDAHL: 0.9877906, COVERAGE_ITEM: 0.4004866, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.0958515, SHANNON_ENTROPY: 8.1638585, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 1770, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 7.858641930728317e-07, 'lambda_j': 0.008177378525968622, 'learning_rate': 0.0003833580156494871} - results: ROC_AUC: 0.0998241, PRECISION: 0.0161179, PRECISION_RECALL_MIN_DEN: 0.0537262, RECALL: 0.0537262, MAP: 0.0261445, MRR: 0.0718693, NDCG: 0.0447033, F1: 0.0247967, HIT_RATE: 0.1611787, ARHR: 0.0750970, RMSE: 0.9942381, NOVELTY: 0.0057664, AVERAGE_POPULARITY: 0.5880261, DIVERSITY_MEAN_INTER_LIST: 0.8820147, DIVERSITY_HERFINDAHL: 0.9881960, COVERAGE_ITEM: 0.4303866, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.1083941, SHANNON_ENTROPY: 8.3860822, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 1385, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 4.890336465338149e-05, 'lambda_j': 5.917341720725803e-07, 'learning_rate': 0.00011029009189816473} - results: ROC_AUC: 0.0951329, PRECISION: 0.0153518, PRECISION_RECALL_MIN_DEN: 0.0511728, RECALL: 0.0511728, MAP: 0.0248450, MRR: 0.0686952, NDCG: 0.0425786, F1: 0.0236182, HIT_RATE: 0.1535183, ARHR: 0.0715716, RMSE: 0.9421380, NOVELTY: 0.0056362, AVERAGE_POPULARITY: 0.6453590, DIVERSITY_MEAN_INTER_LIST: 0.8376628, DIVERSITY_HERFINDAHL: 0.9837611, COVERAGE_ITEM: 0.3849689, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.0858473, SHANNON_ENTROPY: 7.7161817, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 990, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 6.810319052677707e-07, 'lambda_j': 0.003711289416835324, 'learning_rate': 1.2291171838723778e-06} - results: ROC_AUC: 0.0944847, PRECISION: 0.0154260, PRECISION_RECALL_MIN_DEN: 0.0514199, RECALL: 0.0514199, MAP: 0.0245507, MRR: 0.0678609, NDCG: 0.0423360, F1: 0.0237322, HIT_RATE: 0.1542596, ARHR: 0.0707057, RMSE: 0.9999916, NOVELTY: 0.0055907, AVERAGE_POPULARITY: 0.6506114, DIVERSITY_MEAN_INTER_LIST: 0.8494090, DIVERSITY_HERFINDAHL: 0.9849356, COVERAGE_ITEM: 0.3263044, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.0739853, SHANNON_ENTROPY: 7.6114039, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 309, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 0.0005060733142983941, 'lambda_j': 0.03723632779299164, 'learning_rate': 2.8062247014473986e-06} - results: ROC_AUC: 0.1030816, PRECISION: 0.0166306, PRECISION_RECALL_MIN_DEN: 0.0554354, RECALL: 0.0554354, MAP: 0.0272749, MRR: 0.0747791, NDCG: 0.0463862, F1: 0.0255856, HIT_RATE: 0.1663063, ARHR: 0.0782354, RMSE: 0.9999731, NOVELTY: 0.0059059, AVERAGE_POPULARITY: 0.5176970, DIVERSITY_MEAN_INTER_LIST: 0.9288698, DIVERSITY_HERFINDAHL: 0.9928812, COVERAGE_ITEM: 0.4484455, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.1282014, SHANNON_ENTROPY: 9.0880859, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 1746, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 8.375989128710876e-07, 'lambda_j': 6.323342221566268e-07, 'learning_rate': 0.00021406800368288696} - results: ROC_AUC: 0.0996269, PRECISION: 0.0160437, PRECISION_RECALL_MIN_DEN: 0.0534791, RECALL: 0.0534791, MAP: 0.0261409, MRR: 0.0719977, NDCG: 0.0446386, F1: 0.0246827, HIT_RATE: 0.1604374, ARHR: 0.0751550, RMSE: 0.9967727, NOVELTY: 0.0057669, AVERAGE_POPULARITY: 0.5874947, DIVERSITY_MEAN_INTER_LIST: 0.8829603, DIVERSITY_HERFINDAHL: 0.9882906, COVERAGE_ITEM: 0.4324953, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.1078028, SHANNON_ENTROPY: 8.3885447, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 867, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 7.797202981769309, 'lambda_j': 7.187511379604846e-07, 'learning_rate': 0.000143102924615951} - results: ROC_AUC: 0.0835792, PRECISION: 0.0142213, PRECISION_RECALL_MIN_DEN: 0.0474043, RECALL: 0.0474043, MAP: 0.0213039, MRR: 0.0588441, NDCG: 0.0376105, F1: 0.0218789, HIT_RATE: 0.1422129, ARHR: 0.0613235, RMSE: 0.9991699, NOVELTY: 0.0055975, AVERAGE_POPULARITY: 0.6461277, DIVERSITY_MEAN_INTER_LIST: 0.8564010, DIVERSITY_HERFINDAHL: 0.9856348, COVERAGE_ITEM: 0.3311706, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.0751332, SHANNON_ENTROPY: 7.6770459, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 617, 'epochs': 199, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 2.671987894172995e-07, 'lambda_j': 0.00010437198882557972, 'learning_rate': 1.6585701789219092e-05} - results: ROC_AUC: 0.0965015, PRECISION: 0.0155433, PRECISION_RECALL_MIN_DEN: 0.0518111, RECALL: 0.0518111, MAP: 0.0254502, MRR: 0.0701783, NDCG: 0.0433756, F1: 0.0239128, HIT_RATE: 0.1554334, ARHR: 0.0732090, RMSE: 0.9918686, NOVELTY: 0.0056789, AVERAGE_POPULARITY: 0.6211814, DIVERSITY_MEAN_INTER_LIST: 0.8630281, DIVERSITY_HERFINDAHL: 0.9862975, COVERAGE_ITEM: 0.3947553, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.0914284, SHANNON_ENTROPY: 7.9763118, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 1932, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 0.004879764315150836, 'lambda_j': 0.0001483232339317451, 'learning_rate': 0.000855558139357312} - results: ROC_AUC: 0.0915941, PRECISION: 0.0150120, PRECISION_RECALL_MIN_DEN: 0.0500402, RECALL: 0.0500402, MAP: 0.0239855, MRR: 0.0661150, NDCG: 0.0412545, F1: 0.0230955, HIT_RATE: 0.1501205, ARHR: 0.0689849, RMSE: 0.8728184, NOVELTY: 0.0055370, AVERAGE_POPULARITY: 0.6811948, DIVERSITY_MEAN_INTER_LIST: 0.8147411, DIVERSITY_HERFINDAHL: 0.9814691, COVERAGE_ITEM: 0.3050554, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.0662544, SHANNON_ENTROPY: 7.2544485, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 210, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 7.748397442950469, 'lambda_j': 0.5961858917201668, 'learning_rate': 1.1404267583440334e-06} - results: ROC_AUC: 0.0992268, PRECISION: 0.0160623, PRECISION_RECALL_MIN_DEN: 0.0535409, RECALL: 0.0535409, MAP: 0.0260511, MRR: 0.0719465, NDCG: 0.0445871, F1: 0.0247112, HIT_RATE: 0.1606227, ARHR: 0.0750035, RMSE: 0.9998000, NOVELTY: 0.0056823, AVERAGE_POPULARITY: 0.5962747, DIVERSITY_MEAN_INTER_LIST: 0.8953968, DIVERSITY_HERFINDAHL: 0.9895341, COVERAGE_ITEM: 0.3422547, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.0860844, SHANNON_ENTROPY: 8.1701867, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 71, 'epochs': 199, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 1.6148476488324934, 'lambda_j': 1.3827517159837425e-07, 'learning_rate': 0.000892604777282138} - results: ROC_AUC: 0.0947327, PRECISION: 0.0156360, PRECISION_RECALL_MIN_DEN: 0.0521200, RECALL: 0.0521200, MAP: 0.0240206, MRR: 0.0662765, NDCG: 0.0420185, F1: 0.0240554, HIT_RATE: 0.1563600, ARHR: 0.0691229, RMSE: 0.9427855, NOVELTY: 0.0058227, AVERAGE_POPULARITY: 0.5243279, DIVERSITY_MEAN_INTER_LIST: 0.9367702, DIVERSITY_HERFINDAHL: 0.9936712, COVERAGE_ITEM: 0.3791836, COVERAGE_USER: 1.0109293, DIVERSITY_GINI: 0.1073350, SHANNON_ENTROPY: 8.9001975, 
