SearchBayesianSkopt: New best config found. Config 0: {'topK': 170, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 1.7083630790715017e-09, 'lambda_j': 1.0521949487957268e-06, 'learning_rate': 1.3965839976164699e-08, 'alpha': 0.256935703633527} - results: ROC_AUC: 0.0624533, PRECISION: 0.0086285, PRECISION_RECALL_MIN_DEN: 0.0862855, RECALL: 0.0862855, MAP: 0.0459691, MRR: 0.0459691, NDCG: 0.0554538, F1: 0.0156883, HIT_RATE: 0.0862855, ARHR: 0.0459691, RMSE: 0.9999794, NOVELTY: 0.0055084, AVERAGE_POPULARITY: 0.5393332, DIVERSITY_MEAN_INTER_LIST: 0.9164710, DIVERSITY_HERFINDAHL: 0.9916419, COVERAGE_ITEM: 0.4189781, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1033716, SHANNON_ENTROPY: 8.7011510, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 726, 'epochs': 999, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 0.015320649549011252, 'lambda_j': 1.961802427923393e-09, 'learning_rate': 2.087961904969062e-06, 'alpha': 0.061363532630920224} - results: ROC_AUC: 0.0609725, PRECISION: 0.0083723, PRECISION_RECALL_MIN_DEN: 0.0837225, RECALL: 0.0837225, MAP: 0.0443005, MRR: 0.0443005, NDCG: 0.0536050, F1: 0.0152223, HIT_RATE: 0.0837225, ARHR: 0.0443005, RMSE: 0.9980232, NOVELTY: 0.0053438, AVERAGE_POPULARITY: 0.6109473, DIVERSITY_MEAN_INTER_LIST: 0.8718703, DIVERSITY_HERFINDAHL: 0.9871821, COVERAGE_ITEM: 0.3474993, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0806494, SHANNON_ENTROPY: 7.9467203, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 550, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 1.6921753499404885e-06, 'lambda_j': 0.00015155880042983308, 'learning_rate': 2.5910041945450117e-08, 'alpha': 0.0918310062171308} - results: ROC_AUC: 0.0612953, PRECISION: 0.0083666, PRECISION_RECALL_MIN_DEN: 0.0836656, RECALL: 0.0836656, MAP: 0.0445347, MRR: 0.0445347, NDCG: 0.0537810, F1: 0.0152119, HIT_RATE: 0.0836656, ARHR: 0.0445347, RMSE: 0.9999527, NOVELTY: 0.0053868, AVERAGE_POPULARITY: 0.5974941, DIVERSITY_MEAN_INTER_LIST: 0.8794834, DIVERSITY_HERFINDAHL: 0.9879433, COVERAGE_ITEM: 0.3892944, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0874354, SHANNON_ENTROPY: 8.1171418, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 361, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 1.2855674642097071e-05, 'lambda_j': 1.2556395610715421e-12, 'learning_rate': 1.5519288331690383e-06, 'alpha': 0.08172133591884799} - results: ROC_AUC: 0.0618648, PRECISION: 0.0084178, PRECISION_RECALL_MIN_DEN: 0.0841782, RECALL: 0.0841782, MAP: 0.0453491, MRR: 0.0453491, NDCG: 0.0545186, F1: 0.0153051, HIT_RATE: 0.0841782, ARHR: 0.0453491, RMSE: 0.9973507, NOVELTY: 0.0054249, AVERAGE_POPULARITY: 0.5796481, DIVERSITY_MEAN_INTER_LIST: 0.8918971, DIVERSITY_HERFINDAHL: 0.9891846, COVERAGE_ITEM: 0.3974588, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0925160, SHANNON_ENTROPY: 8.3014891, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 605, 'epochs': 999, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 0.00012983547937869607, 'lambda_j': 1.1593717135889829e-07, 'learning_rate': 1.0040602043308251e-05, 'alpha': 0.08208750055403036} - results: ROC_AUC: 0.0610295, PRECISION: 0.0084349, PRECISION_RECALL_MIN_DEN: 0.0843490, RECALL: 0.0843490, MAP: 0.0445914, MRR: 0.0445914, NDCG: 0.0539564, F1: 0.0153362, HIT_RATE: 0.0843490, ARHR: 0.0445914, RMSE: 0.9907271, NOVELTY: 0.0053555, AVERAGE_POPULARITY: 0.6047638, DIVERSITY_MEAN_INTER_LIST: 0.8766675, DIVERSITY_HERFINDAHL: 0.9876618, COVERAGE_ITEM: 0.3533387, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0823412, SHANNON_ENTROPY: 8.0120632, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 119, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 0.0007142075778277502, 'lambda_j': 5.190597542340076e-07, 'learning_rate': 3.152110768773036e-05, 'alpha': 0.023832785009533047} - results: ROC_AUC: 0.0623711, PRECISION: 0.0086115, PRECISION_RECALL_MIN_DEN: 0.0861146, RECALL: 0.0861146, MAP: 0.0460058, MRR: 0.0460058, NDCG: 0.0554408, F1: 0.0156572, HIT_RATE: 0.0861146, ARHR: 0.0460058, RMSE: 0.9610128, NOVELTY: 0.0055522, AVERAGE_POPULARITY: 0.5174298, DIVERSITY_MEAN_INTER_LIST: 0.9278448, DIVERSITY_HERFINDAHL: 0.9927792, COVERAGE_ITEM: 0.4256826, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1085403, SHANNON_ENTROPY: 8.9047059, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 610, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 3.3004181397679647e-09, 'lambda_j': 9.896831637026491e-06, 'learning_rate': 3.0375906350088145e-07, 'alpha': 0.23622333312218843} - results: ROC_AUC: 0.0608713, PRECISION: 0.0084406, PRECISION_RECALL_MIN_DEN: 0.0844060, RECALL: 0.0844060, MAP: 0.0443067, MRR: 0.0443067, NDCG: 0.0537531, F1: 0.0153465, HIT_RATE: 0.0844060, ARHR: 0.0443067, RMSE: 0.9994371, NOVELTY: 0.0053783, AVERAGE_POPULARITY: 0.6021232, DIVERSITY_MEAN_INTER_LIST: 0.8758992, DIVERSITY_HERFINDAHL: 0.9875849, COVERAGE_ITEM: 0.3857799, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0862561, SHANNON_ENTROPY: 8.0695111, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 835, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 2.3065461600247053e-09, 'lambda_j': 0.0004915333773404572, 'learning_rate': 2.228232823364983e-05, 'alpha': 0.03512806546475018} - results: ROC_AUC: 0.0610295, PRECISION: 0.0084064, PRECISION_RECALL_MIN_DEN: 0.0840642, RECALL: 0.0840642, MAP: 0.0443826, MRR: 0.0443826, NDCG: 0.0537397, F1: 0.0152844, HIT_RATE: 0.0840642, ARHR: 0.0443826, RMSE: 0.9583349, NOVELTY: 0.0053578, AVERAGE_POPULARITY: 0.6116080, DIVERSITY_MEAN_INTER_LIST: 0.8686683, DIVERSITY_HERFINDAHL: 0.9868619, COVERAGE_ITEM: 0.3797242, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0834608, SHANNON_ENTROPY: 7.9692736, 
SearchBayesianSkopt: New best config found. Config 8: {'topK': 184, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 2.3646383736669405e-07, 'lambda_j': 1.5466753036852666e-11, 'learning_rate': 9.671701725115101e-06, 'alpha': 0.04753542049668593} - results: ROC_AUC: 0.0626432, PRECISION: 0.0086456, PRECISION_RECALL_MIN_DEN: 0.0864563, RECALL: 0.0864563, MAP: 0.0462997, MRR: 0.0462997, NDCG: 0.0557431, F1: 0.0157193, HIT_RATE: 0.0864563, ARHR: 0.0462997, RMSE: 0.9855584, NOVELTY: 0.0054985, AVERAGE_POPULARITY: 0.5436961, DIVERSITY_MEAN_INTER_LIST: 0.9141950, DIVERSITY_HERFINDAHL: 0.9914143, COVERAGE_ITEM: 0.4149230, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1020475, SHANNON_ENTROPY: 8.6580432, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 560, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 2.059675457324123e-12, 'lambda_j': 3.6619789631806296e-06, 'learning_rate': 1.751553779303249e-07, 'alpha': 0.3582270203500099} - results: ROC_AUC: 0.0613459, PRECISION: 0.0084178, PRECISION_RECALL_MIN_DEN: 0.0841782, RECALL: 0.0841782, MAP: 0.0446630, MRR: 0.0446630, NDCG: 0.0539870, F1: 0.0153051, HIT_RATE: 0.0841782, ARHR: 0.0446630, RMSE: 0.9996797, NOVELTY: 0.0053849, AVERAGE_POPULARITY: 0.5986828, DIVERSITY_MEAN_INTER_LIST: 0.8785110, DIVERSITY_HERFINDAHL: 0.9878461, COVERAGE_ITEM: 0.3869695, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0872511, SHANNON_ENTROPY: 8.1051504, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 154, 'epochs': 999, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 7.572026454089348e-10, 'lambda_j': 1.8254589240344067e-09, 'learning_rate': 3.7856173876071945e-05, 'alpha': 0.12231462916488743} - results: ROC_AUC: 0.0626368, PRECISION: 0.0086798, PRECISION_RECALL_MIN_DEN: 0.0867980, RECALL: 0.0867980, MAP: 0.0460076, MRR: 0.0460076, NDCG: 0.0556030, F1: 0.0157815, HIT_RATE: 0.0867980, ARHR: 0.0460076, RMSE: 0.9528488, NOVELTY: 0.0055224, AVERAGE_POPULARITY: 0.5319774, DIVERSITY_MEAN_INTER_LIST: 0.9203519, DIVERSITY_HERFINDAHL: 0.9920299, COVERAGE_ITEM: 0.4198432, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1048993, SHANNON_ENTROPY: 8.7678884, 
