SearchBayesianSkopt: New best config found. Config 0: {'topK': 570, 'shrink': 983, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.1542997415690985, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0369615, PRECISION: 0.0057300, PRECISION_RECALL_MIN_DEN: 0.0190999, RECALL: 0.0190999, MAP: 0.0087307, MRR: 0.0253794, NDCG: 0.0155587, F1: 0.0088153, HIT_RATE: 0.0572996, ARHR: 0.0257858, RMSE: 0.9995016, NOVELTY: 0.0061790, AVERAGE_POPULARITY: 0.2892954, DIVERSITY_MEAN_INTER_LIST: 0.9793338, DIVERSITY_HERFINDAHL: 0.9979035, COVERAGE_ITEM: 0.2470397, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2608651, SHANNON_ENTROPY: 10.2256952, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 81, 'shrink': 116, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.4739330971232457, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0814342, PRECISION: 0.0130143, PRECISION_RECALL_MIN_DEN: 0.0433811, RECALL: 0.0433811, MAP: 0.0219506, MRR: 0.0597707, NDCG: 0.0368726, F1: 0.0200220, HIT_RATE: 0.1301432, ARHR: 0.0627943, RMSE: 0.9217628, NOVELTY: 0.0054607, AVERAGE_POPULARITY: 0.5174211, DIVERSITY_MEAN_INTER_LIST: 0.9322480, DIVERSITY_HERFINDAHL: 0.9931964, COVERAGE_ITEM: 0.1397675, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1679227, SHANNON_ENTROPY: 8.5667375, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 200, 'shrink': 58, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.7833526838209883, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0460289, PRECISION: 0.0071015, PRECISION_RECALL_MIN_DEN: 0.0236716, RECALL: 0.0236716, MAP: 0.0113821, MRR: 0.0326616, NDCG: 0.0198055, F1: 0.0109254, HIT_RATE: 0.0710149, ARHR: 0.0334040, RMSE: 0.9887887, NOVELTY: 0.0058948, AVERAGE_POPULARITY: 0.3679862, DIVERSITY_MEAN_INTER_LIST: 0.9706457, DIVERSITY_HERFINDAHL: 0.9970350, COVERAGE_ITEM: 0.2284942, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2358697, SHANNON_ENTROPY: 9.8520188, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 591, 'shrink': 751, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.1244110069997997, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0377256, PRECISION: 0.0059738, PRECISION_RECALL_MIN_DEN: 0.0199126, RECALL: 0.0199126, MAP: 0.0089205, MRR: 0.0255619, NDCG: 0.0159647, F1: 0.0091904, HIT_RATE: 0.0597379, ARHR: 0.0261617, RMSE: 0.9993105, NOVELTY: 0.0061476, AVERAGE_POPULARITY: 0.2978967, DIVERSITY_MEAN_INTER_LIST: 0.9783130, DIVERSITY_HERFINDAHL: 0.9978015, COVERAGE_ITEM: 0.2424980, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2559982, SHANNON_ENTROPY: 10.1585343, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 73, 'shrink': 168, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.4958776535151612, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0288826, PRECISION: 0.0048766, PRECISION_RECALL_MIN_DEN: 0.0162552, RECALL: 0.0162552, MAP: 0.0066080, MRR: 0.0193730, NDCG: 0.0123685, F1: 0.0075024, HIT_RATE: 0.0487656, ARHR: 0.0195985, RMSE: 0.9924288, NOVELTY: 0.0064147, AVERAGE_POPULARITY: 0.2519457, DIVERSITY_MEAN_INTER_LIST: 0.9680949, DIVERSITY_HERFINDAHL: 0.9967800, COVERAGE_ITEM: 0.2409300, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2943973, SHANNON_ENTROPY: 10.2356065, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 1000, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0913261, PRECISION: 0.0153002, PRECISION_RECALL_MIN_DEN: 0.0510007, RECALL: 0.0510007, MAP: 0.0236406, MRR: 0.0653698, NDCG: 0.0412331, F1: 0.0235388, HIT_RATE: 0.1530021, ARHR: 0.0681305, RMSE: 0.9318011, NOVELTY: 0.0052372, AVERAGE_POPULARITY: 0.6224014, DIVERSITY_MEAN_INTER_LIST: 0.8637123, DIVERSITY_HERFINDAHL: 0.9863449, COVERAGE_ITEM: 0.0920249, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1194610, SHANNON_ENTROPY: 7.4091696, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 93, 'shrink': 911, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0627806, PRECISION: 0.0096007, PRECISION_RECALL_MIN_DEN: 0.0320024, RECALL: 0.0320024, MAP: 0.0168362, MRR: 0.0464413, NDCG: 0.0279947, F1: 0.0147704, HIT_RATE: 0.0960073, ARHR: 0.0484495, RMSE: 0.9843102, NOVELTY: 0.0057613, AVERAGE_POPULARITY: 0.4023109, DIVERSITY_MEAN_INTER_LIST: 0.9692450, DIVERSITY_HERFINDAHL: 0.9968950, COVERAGE_ITEM: 0.2081644, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2344392, SHANNON_ENTROPY: 9.7530662, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0883538, PRECISION: 0.0142944, PRECISION_RECALL_MIN_DEN: 0.0476481, RECALL: 0.0476481, MAP: 0.0234737, MRR: 0.0647624, NDCG: 0.0399636, F1: 0.0219914, HIT_RATE: 0.1429442, ARHR: 0.0675917, RMSE: 1.2940552, NOVELTY: 0.0053422, AVERAGE_POPULARITY: 0.5820594, DIVERSITY_MEAN_INTER_LIST: 0.8895093, DIVERSITY_HERFINDAHL: 0.9889238, COVERAGE_ITEM: 0.1273317, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1388122, SHANNON_ENTROPY: 7.9213511, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0883538, PRECISION: 0.0142944, PRECISION_RECALL_MIN_DEN: 0.0476481, RECALL: 0.0476481, MAP: 0.0234737, MRR: 0.0647624, NDCG: 0.0399636, F1: 0.0219914, HIT_RATE: 0.1429442, ARHR: 0.0675917, RMSE: 1.2940552, NOVELTY: 0.0053422, AVERAGE_POPULARITY: 0.5820594, DIVERSITY_MEAN_INTER_LIST: 0.8895093, DIVERSITY_HERFINDAHL: 0.9889238, COVERAGE_ITEM: 0.1273317, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1388122, SHANNON_ENTROPY: 7.9213511, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 16, 'shrink': 35, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.00717166081816001, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0264570, PRECISION: 0.0040232, PRECISION_RECALL_MIN_DEN: 0.0134105, RECALL: 0.0134105, MAP: 0.0064327, MRR: 0.0187902, NDCG: 0.0112619, F1: 0.0061895, HIT_RATE: 0.0402316, ARHR: 0.0190442, RMSE: 0.9932966, NOVELTY: 0.0066115, AVERAGE_POPULARITY: 0.2033378, DIVERSITY_MEAN_INTER_LIST: 0.9616872, DIVERSITY_HERFINDAHL: 0.9961394, COVERAGE_ITEM: 0.3126250, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3110692, SHANNON_ENTROPY: 10.4902667, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0883538, PRECISION: 0.0142944, PRECISION_RECALL_MIN_DEN: 0.0476481, RECALL: 0.0476481, MAP: 0.0234737, MRR: 0.0647624, NDCG: 0.0399636, F1: 0.0219914, HIT_RATE: 0.1429442, ARHR: 0.0675917, RMSE: 1.2940552, NOVELTY: 0.0053422, AVERAGE_POPULARITY: 0.5820594, DIVERSITY_MEAN_INTER_LIST: 0.8895093, DIVERSITY_HERFINDAHL: 0.9889238, COVERAGE_ITEM: 0.1273317, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1388122, SHANNON_ENTROPY: 7.9213511, 
