SearchBayesianSkopt: New best config found. Config 0: {'topK': 352, 'shrink': 911, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0505435, PRECISION: 0.0080768, PRECISION_RECALL_MIN_DEN: 0.0269227, RECALL: 0.0269227, MAP: 0.0129423, MRR: 0.0369874, NDCG: 0.0224589, F1: 0.0124259, HIT_RATE: 0.0807681, ARHR: 0.0379072, RMSE: 0.9979384, NOVELTY: 0.0054950, AVERAGE_POPULARITY: 0.4914610, DIVERSITY_MEAN_INTER_LIST: 0.9344048, DIVERSITY_HERFINDAHL: 0.9934120, COVERAGE_ITEM: 0.1371181, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1612122, SHANNON_ENTROPY: 8.5220961, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 472, 'shrink': 516, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0486069, PRECISION: 0.0075587, PRECISION_RECALL_MIN_DEN: 0.0251956, RECALL: 0.0251956, MAP: 0.0112763, MRR: 0.0326023, NDCG: 0.0202685, F1: 0.0116287, HIT_RATE: 0.0755867, ARHR: 0.0332157, RMSE: 0.9972036, NOVELTY: 0.0056556, AVERAGE_POPULARITY: 0.4441283, DIVERSITY_MEAN_INTER_LIST: 0.9525034, DIVERSITY_HERFINDAHL: 0.9952213, COVERAGE_ITEM: 0.1760476, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1914100, SHANNON_ENTROPY: 9.1171627, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 157, 'shrink': 62, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0795459, PRECISION: 0.0128010, PRECISION_RECALL_MIN_DEN: 0.0426699, RECALL: 0.0426699, MAP: 0.0213566, MRR: 0.0584594, NDCG: 0.0360524, F1: 0.0196938, HIT_RATE: 0.1280098, ARHR: 0.0612477, RMSE: 1.0370380, NOVELTY: 0.0055774, AVERAGE_POPULARITY: 0.4677915, DIVERSITY_MEAN_INTER_LIST: 0.9515110, DIVERSITY_HERFINDAHL: 0.9951221, COVERAGE_ITEM: 0.1639362, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1933062, SHANNON_ENTROPY: 9.0610131, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 294, 'shrink': 442, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0844536, PRECISION: 0.0133801, PRECISION_RECALL_MIN_DEN: 0.0446002, RECALL: 0.0446002, MAP: 0.0229434, MRR: 0.0629780, NDCG: 0.0383886, F1: 0.0205847, HIT_RATE: 0.1338007, ARHR: 0.0658851, RMSE: 0.9474386, NOVELTY: 0.0054226, AVERAGE_POPULARITY: 0.5313229, DIVERSITY_MEAN_INTER_LIST: 0.9258597, DIVERSITY_HERFINDAHL: 0.9925577, COVERAGE_ITEM: 0.1288456, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1614027, SHANNON_ENTROPY: 8.4089083, 
SearchBayesianSkopt: New best config found. Config 4: {'topK': 299, 'shrink': 646, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0875284, PRECISION: 0.0141116, PRECISION_RECALL_MIN_DEN: 0.0470385, RECALL: 0.0470385, MAP: 0.0239029, MRR: 0.0653756, NDCG: 0.0401165, F1: 0.0217101, HIT_RATE: 0.1411155, ARHR: 0.0685422, RMSE: 0.9448541, NOVELTY: 0.0054513, AVERAGE_POPULARITY: 0.5206357, DIVERSITY_MEAN_INTER_LIST: 0.9307930, DIVERSITY_HERFINDAHL: 0.9930509, COVERAGE_ITEM: 0.1394431, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1647511, SHANNON_ENTROPY: 8.5233819, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 984, 'shrink': 973, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0928261, PRECISION: 0.0150259, PRECISION_RECALL_MIN_DEN: 0.0500864, RECALL: 0.0500864, MAP: 0.0246390, MRR: 0.0675562, NDCG: 0.0419287, F1: 0.0231168, HIT_RATE: 0.1502591, ARHR: 0.0707366, RMSE: 0.9512120, NOVELTY: 0.0052915, AVERAGE_POPULARITY: 0.5880625, DIVERSITY_MEAN_INTER_LIST: 0.8941141, DIVERSITY_HERFINDAHL: 0.9893842, COVERAGE_ITEM: 0.0952690, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1368692, SHANNON_ENTROPY: 7.7783961, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0926976, PRECISION: 0.0154526, PRECISION_RECALL_MIN_DEN: 0.0515087, RECALL: 0.0515087, MAP: 0.0239092, MRR: 0.0660133, NDCG: 0.0416657, F1: 0.0237732, HIT_RATE: 0.1545261, ARHR: 0.0688552, RMSE: 0.9387282, NOVELTY: 0.0052462, AVERAGE_POPULARITY: 0.6162901, DIVERSITY_MEAN_INTER_LIST: 0.8701972, DIVERSITY_HERFINDAHL: 0.9869932, COVERAGE_ITEM: 0.0927278, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1214926, SHANNON_ENTROPY: 7.4678518, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 990, 'shrink': 6, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0831259, PRECISION: 0.0129838, PRECISION_RECALL_MIN_DEN: 0.0432795, RECALL: 0.0432795, MAP: 0.0226775, MRR: 0.0623598, NDCG: 0.0376976, F1: 0.0199751, HIT_RATE: 0.1298385, ARHR: 0.0651962, RMSE: 6.9523425, NOVELTY: 0.0054832, AVERAGE_POPULARITY: 0.4921901, DIVERSITY_MEAN_INTER_LIST: 0.9444437, DIVERSITY_HERFINDAHL: 0.9944156, COVERAGE_ITEM: 0.1278724, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1839617, SHANNON_ENTROPY: 8.7449068, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 30, 'shrink': 992, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0053359, PRECISION: 0.0009144, PRECISION_RECALL_MIN_DEN: 0.0030479, RECALL: 0.0030479, MAP: 0.0011282, MRR: 0.0031814, NDCG: 0.0021861, F1: 0.0014067, HIT_RATE: 0.0091436, ARHR: 0.0032830, RMSE: 0.9996479, NOVELTY: 0.0074802, AVERAGE_POPULARITY: 0.0705666, DIVERSITY_MEAN_INTER_LIST: 0.6704886, DIVERSITY_HERFINDAHL: 0.9670284, COVERAGE_ITEM: 0.2776426, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2202259, SHANNON_ENTROPY: 7.7619326, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 736, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0901889, PRECISION: 0.0145992, PRECISION_RECALL_MIN_DEN: 0.0486640, RECALL: 0.0486640, MAP: 0.0226133, MRR: 0.0627905, NDCG: 0.0395175, F1: 0.0224603, HIT_RATE: 0.1459921, ARHR: 0.0653152, RMSE: 0.9547953, NOVELTY: 0.0052733, AVERAGE_POPULARITY: 0.6104505, DIVERSITY_MEAN_INTER_LIST: 0.8702919, DIVERSITY_HERFINDAHL: 0.9870027, COVERAGE_ITEM: 0.1045688, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1240509, SHANNON_ENTROPY: 7.5503831, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 468, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0930735, PRECISION: 0.0148735, PRECISION_RECALL_MIN_DEN: 0.0495784, RECALL: 0.0495784, MAP: 0.0237552, MRR: 0.0657216, NDCG: 0.0409723, F1: 0.0228823, HIT_RATE: 0.1487351, ARHR: 0.0684783, RMSE: 0.9462572, NOVELTY: 0.0053232, AVERAGE_POPULARITY: 0.5863224, DIVERSITY_MEAN_INTER_LIST: 0.8892654, DIVERSITY_HERFINDAHL: 0.9888994, COVERAGE_ITEM: 0.1165180, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1345920, SHANNON_ENTROPY: 7.8340074, 
