SearchBayesianSkopt: New best config found. Config 0: {'topK': 952, 'shrink': 366, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0592976, PRECISION: 0.0097531, PRECISION_RECALL_MIN_DEN: 0.0325104, RECALL: 0.0325104, MAP: 0.0143258, MRR: 0.0410642, NDCG: 0.0257810, F1: 0.0150048, HIT_RATE: 0.0975312, ARHR: 0.0420208, RMSE: 0.9816708, NOVELTY: 0.0051298, AVERAGE_POPULARITY: 0.6665336, DIVERSITY_MEAN_INTER_LIST: 0.8218060, DIVERSITY_HERFINDAHL: 0.9821555, COVERAGE_ITEM: 0.0494728, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1032651, SHANNON_ENTROPY: 6.6709730, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 408, 'shrink': 570, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0499488, PRECISION: 0.0084425, PRECISION_RECALL_MIN_DEN: 0.0281418, RECALL: 0.0281418, MAP: 0.0125484, MRR: 0.0358497, NDCG: 0.0224055, F1: 0.0129885, HIT_RATE: 0.0844255, ARHR: 0.0367475, RMSE: 0.9958288, NOVELTY: 0.0054004, AVERAGE_POPULARITY: 0.5304064, DIVERSITY_MEAN_INTER_LIST: 0.9164643, DIVERSITY_HERFINDAHL: 0.9916185, COVERAGE_ITEM: 0.1110030, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1435361, SHANNON_ENTROPY: 8.0887670, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 969, 'shrink': 886, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0598712, PRECISION: 0.0098141, PRECISION_RECALL_MIN_DEN: 0.0327136, RECALL: 0.0327136, MAP: 0.0144617, MRR: 0.0415679, NDCG: 0.0260116, F1: 0.0150986, HIT_RATE: 0.0981408, ARHR: 0.0424765, RMSE: 0.9919341, NOVELTY: 0.0051260, AVERAGE_POPULARITY: 0.6685103, DIVERSITY_MEAN_INTER_LIST: 0.8199454, DIVERSITY_HERFINDAHL: 0.9819695, COVERAGE_ITEM: 0.0490943, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1027583, SHANNON_ENTROPY: 6.6537146, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 362, 'shrink': 844, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0505520, PRECISION: 0.0079244, PRECISION_RECALL_MIN_DEN: 0.0264147, RECALL: 0.0264147, MAP: 0.0129318, MRR: 0.0368068, NDCG: 0.0222738, F1: 0.0121914, HIT_RATE: 0.0792441, ARHR: 0.0378011, RMSE: 0.9976833, NOVELTY: 0.0054765, AVERAGE_POPULARITY: 0.4990445, DIVERSITY_MEAN_INTER_LIST: 0.9313104, DIVERSITY_HERFINDAHL: 0.9931027, COVERAGE_ITEM: 0.1328467, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1568401, SHANNON_ENTROPY: 8.4368612, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 854, 'shrink': 536, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0590818, PRECISION: 0.0096007, PRECISION_RECALL_MIN_DEN: 0.0320024, RECALL: 0.0320024, MAP: 0.0140879, MRR: 0.0403906, NDCG: 0.0253752, F1: 0.0147704, HIT_RATE: 0.0960073, ARHR: 0.0413272, RMSE: 0.9882882, NOVELTY: 0.0051512, AVERAGE_POPULARITY: 0.6554991, DIVERSITY_MEAN_INTER_LIST: 0.8315582, DIVERSITY_HERFINDAHL: 0.9831305, COVERAGE_ITEM: 0.0569884, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1026488, SHANNON_ENTROPY: 6.7994998, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0165515, PRECISION: 0.0028650, PRECISION_RECALL_MIN_DEN: 0.0095499, RECALL: 0.0095499, MAP: 0.0039641, MRR: 0.0115818, NDCG: 0.0073294, F1: 0.0044077, HIT_RATE: 0.0286498, ARHR: 0.0117371, RMSE: 0.9930044, NOVELTY: 0.0068550, AVERAGE_POPULARITY: 0.1545748, DIVERSITY_MEAN_INTER_LIST: 0.9367201, DIVERSITY_HERFINDAHL: 0.9936435, COVERAGE_ITEM: 0.3225737, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3258819, SHANNON_ENTROPY: 10.3277885, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0597273, PRECISION: 0.0096617, PRECISION_RECALL_MIN_DEN: 0.0322056, RECALL: 0.0322056, MAP: 0.0144157, MRR: 0.0412270, NDCG: 0.0257762, F1: 0.0148641, HIT_RATE: 0.0966169, ARHR: 0.0422371, RMSE: 0.9926457, NOVELTY: 0.0051183, AVERAGE_POPULARITY: 0.6725473, DIVERSITY_MEAN_INTER_LIST: 0.8156213, DIVERSITY_HERFINDAHL: 0.9815373, COVERAGE_ITEM: 0.0464991, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1033404, SHANNON_ENTROPY: 6.6042252, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0560445, PRECISION: 0.0089607, PRECISION_RECALL_MIN_DEN: 0.0298689, RECALL: 0.0298689, MAP: 0.0130614, MRR: 0.0379799, NDCG: 0.0236924, F1: 0.0137857, HIT_RATE: 0.0896068, ARHR: 0.0385820, RMSE: 0.8669016, NOVELTY: 0.0051176, AVERAGE_POPULARITY: 0.6722924, DIVERSITY_MEAN_INTER_LIST: 0.8086168, DIVERSITY_HERFINDAHL: 0.9808370, COVERAGE_ITEM: 0.0407678, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0998361, SHANNON_ENTROPY: 6.4400045, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 998, 'shrink': 984, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0594797, PRECISION: 0.0096312, PRECISION_RECALL_MIN_DEN: 0.0321040, RECALL: 0.0321040, MAP: 0.0143894, MRR: 0.0410873, NDCG: 0.0257037, F1: 0.0148172, HIT_RATE: 0.0963121, ARHR: 0.0421278, RMSE: 0.9925411, NOVELTY: 0.0051191, AVERAGE_POPULARITY: 0.6720991, DIVERSITY_MEAN_INTER_LIST: 0.8162491, DIVERSITY_HERFINDAHL: 0.9816000, COVERAGE_ITEM: 0.0468235, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1031915, SHANNON_ENTROPY: 6.6103272, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0597273, PRECISION: 0.0096617, PRECISION_RECALL_MIN_DEN: 0.0322056, RECALL: 0.0322056, MAP: 0.0144157, MRR: 0.0412270, NDCG: 0.0257762, F1: 0.0148641, HIT_RATE: 0.0966169, ARHR: 0.0422371, RMSE: 0.9926457, NOVELTY: 0.0051183, AVERAGE_POPULARITY: 0.6725473, DIVERSITY_MEAN_INTER_LIST: 0.8156213, DIVERSITY_HERFINDAHL: 0.9815373, COVERAGE_ITEM: 0.0464991, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1033404, SHANNON_ENTROPY: 6.6042252, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0597273, PRECISION: 0.0096617, PRECISION_RECALL_MIN_DEN: 0.0322056, RECALL: 0.0322056, MAP: 0.0144157, MRR: 0.0412270, NDCG: 0.0257762, F1: 0.0148641, HIT_RATE: 0.0966169, ARHR: 0.0422371, RMSE: 0.9926457, NOVELTY: 0.0051183, AVERAGE_POPULARITY: 0.6725473, DIVERSITY_MEAN_INTER_LIST: 0.8156213, DIVERSITY_HERFINDAHL: 0.9815373, COVERAGE_ITEM: 0.0464991, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1033404, SHANNON_ENTROPY: 6.6042252, 
