SearchBayesianSkopt: New best config found. Config 0: {'topK': 622, 'shrink': 280, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.8851617582589502, 'tversky_beta': 0.8489435428152146} - results: ROC_AUC: 0.0563704, PRECISION: 0.0093874, PRECISION_RECALL_MIN_DEN: 0.0312913, RECALL: 0.0312913, MAP: 0.0135236, MRR: 0.0390504, NDCG: 0.0245783, F1: 0.0144421, HIT_RATE: 0.0938738, ARHR: 0.0398106, RMSE: 0.9843304, NOVELTY: 0.0052314, AVERAGE_POPULARITY: 0.6120465, DIVERSITY_MEAN_INTER_LIST: 0.8643751, DIVERSITY_HERFINDAHL: 0.9864112, COVERAGE_ITEM: 0.0752636, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1124507, SHANNON_ENTROPY: 7.2295075, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 579, 'shrink': 984, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.5292088785396029, 'tversky_beta': 1.387542511593941} - results: ROC_AUC: 0.0563284, PRECISION: 0.0094483, PRECISION_RECALL_MIN_DEN: 0.0314945, RECALL: 0.0314945, MAP: 0.0139412, MRR: 0.0396575, NDCG: 0.0249600, F1: 0.0145359, HIT_RATE: 0.0944834, ARHR: 0.0407253, RMSE: 0.9956683, NOVELTY: 0.0052530, AVERAGE_POPULARITY: 0.5999695, DIVERSITY_MEAN_INTER_LIST: 0.8723712, DIVERSITY_HERFINDAHL: 0.9872105, COVERAGE_ITEM: 0.0806705, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1146943, SHANNON_ENTROPY: 7.3390837, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 347, 'shrink': 454, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.12967841282512607, 'tversky_beta': 0.29267252694192286} - results: ROC_AUC: 0.0501964, PRECISION: 0.0078330, PRECISION_RECALL_MIN_DEN: 0.0261099, RECALL: 0.0261099, MAP: 0.0128599, MRR: 0.0369084, NDCG: 0.0221429, F1: 0.0120507, HIT_RATE: 0.0783298, ARHR: 0.0377440, RMSE: 0.9959892, NOVELTY: 0.0055043, AVERAGE_POPULARITY: 0.4879200, DIVERSITY_MEAN_INTER_LIST: 0.9359640, DIVERSITY_HERFINDAHL: 0.9935679, COVERAGE_ITEM: 0.1393350, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1632617, SHANNON_ENTROPY: 8.5648666, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 863, 'shrink': 791, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.6820567530787183, 'tversky_beta': 1.0105262632866714} - results: ROC_AUC: 0.0590818, PRECISION: 0.0099360, PRECISION_RECALL_MIN_DEN: 0.0331200, RECALL: 0.0331200, MAP: 0.0142172, MRR: 0.0407775, NDCG: 0.0258460, F1: 0.0152861, HIT_RATE: 0.0993600, ARHR: 0.0417146, RMSE: 0.9919914, NOVELTY: 0.0051473, AVERAGE_POPULARITY: 0.6573187, DIVERSITY_MEAN_INTER_LIST: 0.8302941, DIVERSITY_HERFINDAHL: 0.9830041, COVERAGE_ITEM: 0.0561233, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1024293, SHANNON_ENTROPY: 6.7814500, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 117, 'shrink': 215, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.85643663461374, 'tversky_beta': 0.24592270402051125} - results: ROC_AUC: 0.0322077, PRECISION: 0.0049070, PRECISION_RECALL_MIN_DEN: 0.0163568, RECALL: 0.0163568, MAP: 0.0072005, MRR: 0.0209800, NDCG: 0.0130765, F1: 0.0075493, HIT_RATE: 0.0490704, ARHR: 0.0212907, RMSE: 0.9986373, NOVELTY: 0.0063118, AVERAGE_POPULARITY: 0.2616038, DIVERSITY_MEAN_INTER_LIST: 0.9833278, DIVERSITY_HERFINDAHL: 0.9983028, COVERAGE_ITEM: 0.2909976, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3004905, SHANNON_ENTROPY: 10.6654666, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 994, 'shrink': 31, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.20568805608863766, 'tversky_beta': 0.2053967693258965} - results: ROC_AUC: 0.0594035, PRECISION: 0.0096312, PRECISION_RECALL_MIN_DEN: 0.0321040, RECALL: 0.0321040, MAP: 0.0144673, MRR: 0.0413312, NDCG: 0.0257824, F1: 0.0148172, HIT_RATE: 0.0963121, ARHR: 0.0423666, RMSE: 0.8558836, NOVELTY: 0.0051167, AVERAGE_POPULARITY: 0.6738033, DIVERSITY_MEAN_INTER_LIST: 0.8135235, DIVERSITY_HERFINDAHL: 0.9813276, COVERAGE_ITEM: 0.0460124, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1032251, SHANNON_ENTROPY: 6.5860531, 
SearchBayesianSkopt: New best config found. Config 6: {'topK': 1000, 'shrink': 1000, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.0, 'tversky_beta': 2.0} - results: ROC_AUC: 0.0596765, PRECISION: 0.0099360, PRECISION_RECALL_MIN_DEN: 0.0331200, RECALL: 0.0331200, MAP: 0.0145547, MRR: 0.0414764, NDCG: 0.0261686, F1: 0.0152861, HIT_RATE: 0.0993600, ARHR: 0.0425703, RMSE: 0.9924792, NOVELTY: 0.0051285, AVERAGE_POPULARITY: 0.6681823, DIVERSITY_MEAN_INTER_LIST: 0.8194545, DIVERSITY_HERFINDAHL: 0.9819205, COVERAGE_ITEM: 0.0524466, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1011568, SHANNON_ENTROPY: 6.6810924, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 991, 'shrink': 933, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.987173731087793, 'tversky_beta': 0.07116812656070205} - results: ROC_AUC: 0.0591855, PRECISION: 0.0096007, PRECISION_RECALL_MIN_DEN: 0.0320024, RECALL: 0.0320024, MAP: 0.0142859, MRR: 0.0408504, NDCG: 0.0255721, F1: 0.0147704, HIT_RATE: 0.0960073, ARHR: 0.0418540, RMSE: 0.9923700, NOVELTY: 0.0051211, AVERAGE_POPULARITY: 0.6709719, DIVERSITY_MEAN_INTER_LIST: 0.8173368, DIVERSITY_HERFINDAHL: 0.9817088, COVERAGE_ITEM: 0.0471479, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1035180, SHANNON_ENTROPY: 6.6230632, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.0, 'tversky_beta': 2.0} - results: ROC_AUC: 0.0597464, PRECISION: 0.0103932, PRECISION_RECALL_MIN_DEN: 0.0346439, RECALL: 0.0346439, MAP: 0.0143521, MRR: 0.0408899, NDCG: 0.0264208, F1: 0.0159895, HIT_RATE: 0.1039317, ARHR: 0.0419731, RMSE: 2.5143854, NOVELTY: 0.0050841, AVERAGE_POPULARITY: 0.7000914, DIVERSITY_MEAN_INTER_LIST: 0.7813118, DIVERSITY_HERFINDAHL: 0.9781074, COVERAGE_ITEM: 0.0523385, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0902002, SHANNON_ENTROPY: 6.4114708, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 14, 'shrink': 985, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.23255765707882686, 'tversky_beta': 1.9250365013636181} - results: ROC_AUC: 0.0096219, PRECISION: 0.0017068, PRECISION_RECALL_MIN_DEN: 0.0056893, RECALL: 0.0056893, MAP: 0.0021639, MRR: 0.0061360, NDCG: 0.0041386, F1: 0.0026258, HIT_RATE: 0.0170680, ARHR: 0.0063138, RMSE: 0.9999684, NOVELTY: 0.0071580, AVERAGE_POPULARITY: 0.1026182, DIVERSITY_MEAN_INTER_LIST: 0.8465045, DIVERSITY_HERFINDAHL: 0.9846247, COVERAGE_ITEM: 0.3100838, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2944443, SHANNON_ENTROPY: 9.3526907, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 995, 'shrink': 104, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.9758977148108245, 'tversky_beta': 0.013609075873583402} - results: ROC_AUC: 0.0584404, PRECISION: 0.0096922, PRECISION_RECALL_MIN_DEN: 0.0323072, RECALL: 0.0323072, MAP: 0.0141959, MRR: 0.0406617, NDCG: 0.0255584, F1: 0.0149110, HIT_RATE: 0.0969217, ARHR: 0.0416247, RMSE: 0.9516064, NOVELTY: 0.0051215, AVERAGE_POPULARITY: 0.6703816, DIVERSITY_MEAN_INTER_LIST: 0.8175246, DIVERSITY_HERFINDAHL: 0.9817275, COVERAGE_ITEM: 0.0461746, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1030200, SHANNON_ENTROPY: 6.5963338, 
