SearchBayesianSkopt: New best config found. Config 0: {'topK': 1773, 'shrink': 1414, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.8351832718696455, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0370754, PRECISION: 0.0071724, PRECISION_RECALL_MIN_DEN: 0.0239081, RECALL: 0.0239081, MAP: 0.0078656, MRR: 0.0230082, NDCG: 0.0161411, F1: 0.0110345, HIT_RATE: 0.0717242, ARHR: 0.0233025, RMSE: 0.8545295, NOVELTY: 0.0050006, AVERAGE_POPULARITY: 0.7746772, DIVERSITY_MEAN_INTER_LIST: 0.7185908, DIVERSITY_HERFINDAHL: 0.9718546, COVERAGE_ITEM: 0.0056772, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3331253, SHANNON_ENTROPY: 5.5274329, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 1071, 'shrink': 116, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.814031044624455, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0315660, PRECISION: 0.0060048, PRECISION_RECALL_MIN_DEN: 0.0200161, RECALL: 0.0200161, MAP: 0.0067525, MRR: 0.0197442, NDCG: 0.0136971, F1: 0.0092382, HIT_RATE: 0.0600482, ARHR: 0.0200008, RMSE: 0.8125620, NOVELTY: 0.0052019, AVERAGE_POPULARITY: 0.6333388, DIVERSITY_MEAN_INTER_LIST: 0.8279213, DIVERSITY_HERFINDAHL: 0.9827870, COVERAGE_ITEM: 0.0282238, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1292174, SHANNON_ENTROPY: 6.4589378, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 134, 'shrink': 1071, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.2159857620646917, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0094615, PRECISION: 0.0017607, PRECISION_RECALL_MIN_DEN: 0.0058689, RECALL: 0.0058689, MAP: 0.0019706, MRR: 0.0057948, NDCG: 0.0040183, F1: 0.0027087, HIT_RATE: 0.0176067, ARHR: 0.0058533, RMSE: 0.9955527, NOVELTY: 0.0059468, AVERAGE_POPULARITY: 0.1944478, DIVERSITY_MEAN_INTER_LIST: 0.7572032, DIVERSITY_HERFINDAHL: 0.9757156, COVERAGE_ITEM: 0.1168965, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0815445, SHANNON_ENTROPY: 6.9485364, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 1457, 'shrink': 1013, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.3296905776420576, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0333653, PRECISION: 0.0062025, PRECISION_RECALL_MIN_DEN: 0.0206750, RECALL: 0.0206750, MAP: 0.0068767, MRR: 0.0202128, NDCG: 0.0140807, F1: 0.0095423, HIT_RATE: 0.0620251, ARHR: 0.0204215, RMSE: 0.9604935, NOVELTY: 0.0051650, AVERAGE_POPULARITY: 0.6543098, DIVERSITY_MEAN_INTER_LIST: 0.8109186, DIVERSITY_HERFINDAHL: 0.9810868, COVERAGE_ITEM: 0.0163828, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1923127, SHANNON_ENTROPY: 6.2725657, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 573, 'shrink': 1005, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.7249405571471655, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0283269, PRECISION: 0.0053253, PRECISION_RECALL_MIN_DEN: 0.0177509, RECALL: 0.0177509, MAP: 0.0059186, MRR: 0.0173789, NDCG: 0.0120917, F1: 0.0081927, HIT_RATE: 0.0532526, ARHR: 0.0175674, RMSE: 0.9812561, NOVELTY: 0.0053675, AVERAGE_POPULARITY: 0.5519985, DIVERSITY_MEAN_INTER_LIST: 0.8828222, DIVERSITY_HERFINDAHL: 0.9882768, COVERAGE_ITEM: 0.0523385, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1173888, SHANNON_ENTROPY: 7.1505850, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 939, 'shrink': 888, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.2580922336093954, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0360427, PRECISION: 0.0070056, PRECISION_RECALL_MIN_DEN: 0.0233521, RECALL: 0.0233521, MAP: 0.0077760, MRR: 0.0225609, NDCG: 0.0158297, F1: 0.0107779, HIT_RATE: 0.0700562, ARHR: 0.0229444, RMSE: 0.9902679, NOVELTY: 0.0050319, AVERAGE_POPULARITY: 0.7511593, DIVERSITY_MEAN_INTER_LIST: 0.7446849, DIVERSITY_HERFINDAHL: 0.9744639, COVERAGE_ITEM: 0.0198432, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1211540, SHANNON_ENTROPY: 5.8487241, 
SearchBayesianSkopt: New best config found. Config 6: {'topK': 1223, 'shrink': 181, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.07969929305510816, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0384834, PRECISION: 0.0072651, PRECISION_RECALL_MIN_DEN: 0.0242170, RECALL: 0.0242170, MAP: 0.0080793, MRR: 0.0235559, NDCG: 0.0164763, F1: 0.0111771, HIT_RATE: 0.0726509, ARHR: 0.0238969, RMSE: 0.8352232, NOVELTY: 0.0049812, AVERAGE_POPULARITY: 0.7911132, DIVERSITY_MEAN_INTER_LIST: 0.6894300, DIVERSITY_HERFINDAHL: 0.9689387, COVERAGE_ITEM: 0.0059476, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2874139, SHANNON_ENTROPY: 5.3798891, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 1067, 'shrink': 647, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.29644334471428807, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0364717, PRECISION: 0.0069747, PRECISION_RECALL_MIN_DEN: 0.0232491, RECALL: 0.0232491, MAP: 0.0075170, MRR: 0.0219803, NDCG: 0.0155676, F1: 0.0107304, HIT_RATE: 0.0697473, ARHR: 0.0222656, RMSE: 0.8427216, NOVELTY: 0.0050988, AVERAGE_POPULARITY: 0.7163249, DIVERSITY_MEAN_INTER_LIST: 0.7946895, DIVERSITY_HERFINDAHL: 0.9794640, COVERAGE_ITEM: 0.0251419, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1153053, SHANNON_ENTROPY: 6.1408262, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 156, 'shrink': 996, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.045332931529113336, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0114886, PRECISION: 0.0021252, PRECISION_RECALL_MIN_DEN: 0.0070839, RECALL: 0.0070839, MAP: 0.0024132, MRR: 0.0071044, NDCG: 0.0048867, F1: 0.0032695, HIT_RATE: 0.0212516, ARHR: 0.0071721, RMSE: 0.9797989, NOVELTY: 0.0059506, AVERAGE_POPULARITY: 0.2196000, DIVERSITY_MEAN_INTER_LIST: 0.7983244, DIVERSITY_HERFINDAHL: 0.9798275, COVERAGE_ITEM: 0.1256556, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0955329, SHANNON_ENTROPY: 7.2834845, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 471, 'shrink': 1201, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.897767513043266, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0269112, PRECISION: 0.0049731, PRECISION_RECALL_MIN_DEN: 0.0165771, RECALL: 0.0165771, MAP: 0.0056906, MRR: 0.0166912, NDCG: 0.0114682, F1: 0.0076510, HIT_RATE: 0.0497313, ARHR: 0.0168816, RMSE: 0.9359599, NOVELTY: 0.0053938, AVERAGE_POPULARITY: 0.5122937, DIVERSITY_MEAN_INTER_LIST: 0.8792424, DIVERSITY_HERFINDAHL: 0.9879188, COVERAGE_ITEM: 0.0463368, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1160101, SHANNON_ENTROPY: 7.0069586, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 426, 'shrink': 1536, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.0580744307174885, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0222517, PRECISION: 0.0040773, PRECISION_RECALL_MIN_DEN: 0.0135912, RECALL: 0.0135912, MAP: 0.0048891, MRR: 0.0143579, NDCG: 0.0096379, F1: 0.0062728, HIT_RATE: 0.0407735, ARHR: 0.0145126, RMSE: 0.9868035, NOVELTY: 0.0055075, AVERAGE_POPULARITY: 0.4375538, DIVERSITY_MEAN_INTER_LIST: 0.8712954, DIVERSITY_HERFINDAHL: 0.9871242, COVERAGE_ITEM: 0.0645039, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0951868, SHANNON_ENTROPY: 7.0778779, 
