SearchBayesianSkopt: New best config found. Config 0: {'topK': 1773, 'shrink': 1414, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0372543, PRECISION: 0.0072218, PRECISION_RECALL_MIN_DEN: 0.0240728, RECALL: 0.0240728, MAP: 0.0075949, MRR: 0.0223129, NDCG: 0.0159300, F1: 0.0111105, HIT_RATE: 0.0722184, ARHR: 0.0225488, RMSE: 0.8907960, NOVELTY: 0.0050127, AVERAGE_POPULARITY: 0.7642132, DIVERSITY_MEAN_INTER_LIST: 0.7303178, DIVERSITY_HERFINDAHL: 0.9730273, COVERAGE_ITEM: 0.0055691, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3518480, SHANNON_ENTROPY: 5.5784448, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 1421, 'shrink': 1069, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0361972, PRECISION: 0.0069006, PRECISION_RECALL_MIN_DEN: 0.0230020, RECALL: 0.0230020, MAP: 0.0077642, MRR: 0.0226723, NDCG: 0.0157406, F1: 0.0106163, HIT_RATE: 0.0690060, ARHR: 0.0229825, RMSE: 0.8376715, NOVELTY: 0.0050713, AVERAGE_POPULARITY: 0.7193796, DIVERSITY_MEAN_INTER_LIST: 0.7753386, DIVERSITY_HERFINDAHL: 0.9775291, COVERAGE_ITEM: 0.0174642, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1452368, SHANNON_ENTROPY: 5.9560479, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 454, 'shrink': 1355, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0290863, PRECISION: 0.0053376, PRECISION_RECALL_MIN_DEN: 0.0177921, RECALL: 0.0177921, MAP: 0.0061775, MRR: 0.0181381, NDCG: 0.0123892, F1: 0.0082117, HIT_RATE: 0.0533762, ARHR: 0.0183354, RMSE: 0.9873439, NOVELTY: 0.0052625, AVERAGE_POPULARITY: 0.5730587, DIVERSITY_MEAN_INTER_LIST: 0.8330941, DIVERSITY_HERFINDAHL: 0.9833043, COVERAGE_ITEM: 0.0351446, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0987653, SHANNON_ENTROPY: 6.3913747, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 1218, 'shrink': 470, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0377167, PRECISION: 0.0071106, PRECISION_RECALL_MIN_DEN: 0.0237021, RECALL: 0.0237021, MAP: 0.0079901, MRR: 0.0235167, NDCG: 0.0162450, F1: 0.0109395, HIT_RATE: 0.0711064, ARHR: 0.0237434, RMSE: 0.7502401, NOVELTY: 0.0050385, AVERAGE_POPULARITY: 0.7459790, DIVERSITY_MEAN_INTER_LIST: 0.7700205, DIVERSITY_HERFINDAHL: 0.9769973, COVERAGE_ITEM: 0.0136794, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1741395, SHANNON_ENTROPY: 5.8709553, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 282, 'shrink': 1330, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0191383, PRECISION: 0.0034966, PRECISION_RECALL_MIN_DEN: 0.0116554, RECALL: 0.0116554, MAP: 0.0040285, MRR: 0.0118889, NDCG: 0.0081078, F1: 0.0053794, HIT_RATE: 0.0349663, ARHR: 0.0119872, RMSE: 0.9925772, NOVELTY: 0.0056775, AVERAGE_POPULARITY: 0.3752919, DIVERSITY_MEAN_INTER_LIST: 0.8872296, DIVERSITY_HERFINDAHL: 0.9887175, COVERAGE_ITEM: 0.1025683, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0930400, SHANNON_ENTROPY: 7.5445380, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 922, 'shrink': 125, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0347668, PRECISION: 0.0066473, PRECISION_RECALL_MIN_DEN: 0.0221577, RECALL: 0.0221577, MAP: 0.0071522, MRR: 0.0210035, NDCG: 0.0148367, F1: 0.0102266, HIT_RATE: 0.0664731, ARHR: 0.0212301, RMSE: 0.9468386, NOVELTY: 0.0051569, AVERAGE_POPULARITY: 0.6826930, DIVERSITY_MEAN_INTER_LIST: 0.8211781, DIVERSITY_HERFINDAHL: 0.9821127, COVERAGE_ITEM: 0.0395242, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0939992, SHANNON_ENTROPY: 6.4547161, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 891, 'shrink': 1605, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0356738, PRECISION: 0.0068388, PRECISION_RECALL_MIN_DEN: 0.0227961, RECALL: 0.0227961, MAP: 0.0076332, MRR: 0.0221841, NDCG: 0.0155131, F1: 0.0105213, HIT_RATE: 0.0683882, ARHR: 0.0225418, RMSE: 0.9948475, NOVELTY: 0.0050470, AVERAGE_POPULARITY: 0.7406191, DIVERSITY_MEAN_INTER_LIST: 0.7550701, DIVERSITY_HERFINDAHL: 0.9755023, COVERAGE_ITEM: 0.0231955, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1111046, SHANNON_ENTROPY: 5.9387723, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 1223, 'shrink': 181, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0362148, PRECISION: 0.0068821, PRECISION_RECALL_MIN_DEN: 0.0229402, RECALL: 0.0229402, MAP: 0.0077988, MRR: 0.0227320, NDCG: 0.0157476, F1: 0.0105878, HIT_RATE: 0.0688207, ARHR: 0.0230641, RMSE: 0.7963153, NOVELTY: 0.0050660, AVERAGE_POPULARITY: 0.7306894, DIVERSITY_MEAN_INTER_LIST: 0.7863598, DIVERSITY_HERFINDAHL: 0.9786311, COVERAGE_ITEM: 0.0217356, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1322281, SHANNON_ENTROPY: 6.1153071, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 361, 'shrink': 1065, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0261604, PRECISION: 0.0049422, PRECISION_RECALL_MIN_DEN: 0.0164741, RECALL: 0.0164741, MAP: 0.0055742, MRR: 0.0163513, NDCG: 0.0113009, F1: 0.0076034, HIT_RATE: 0.0494224, ARHR: 0.0165370, RMSE: 0.9869269, NOVELTY: 0.0053500, AVERAGE_POPULARITY: 0.5274746, DIVERSITY_MEAN_INTER_LIST: 0.8548558, DIVERSITY_HERFINDAHL: 0.9854803, COVERAGE_ITEM: 0.0620708, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0782149, SHANNON_ENTROPY: 6.7427853, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 1497, 'shrink': 1264, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0374177, PRECISION: 0.0072095, PRECISION_RECALL_MIN_DEN: 0.0240316, RECALL: 0.0240316, MAP: 0.0075829, MRR: 0.0221887, NDCG: 0.0158975, F1: 0.0110915, HIT_RATE: 0.0720949, ARHR: 0.0224686, RMSE: 0.8908683, NOVELTY: 0.0050309, AVERAGE_POPULARITY: 0.7520535, DIVERSITY_MEAN_INTER_LIST: 0.7496510, DIVERSITY_HERFINDAHL: 0.9749605, COVERAGE_ITEM: 0.0067045, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3198811, SHANNON_ENTROPY: 5.7155287, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 50, 'shrink': 1002, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0043558, PRECISION: 0.0007784, PRECISION_RECALL_MIN_DEN: 0.0025947, RECALL: 0.0025947, MAP: 0.0008879, MRR: 0.0026284, NDCG: 0.0018004, F1: 0.0011975, HIT_RATE: 0.0077840, ARHR: 0.0026460, RMSE: 0.9934826, NOVELTY: 0.0061176, AVERAGE_POPULARITY: 0.0888521, DIVERSITY_MEAN_INTER_LIST: 0.6186055, DIVERSITY_HERFINDAHL: 0.9618567, COVERAGE_ITEM: 0.1474993, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0843045, SHANNON_ENTROPY: 6.3796686, 
