SearchBayesianSkopt: New best config found. Config 0: {'topK': 1773, 'shrink': 1414, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0373710, PRECISION: 0.0071230, PRECISION_RECALL_MIN_DEN: 0.0237433, RECALL: 0.0237433, MAP: 0.0080290, MRR: 0.0234150, NDCG: 0.0162562, F1: 0.0109585, HIT_RATE: 0.0712300, ARHR: 0.0237510, RMSE: 0.9903986, NOVELTY: 0.0049676, AVERAGE_POPULARITY: 0.8028946, DIVERSITY_MEAN_INTER_LIST: 0.6642207, DIVERSITY_HERFINDAHL: 0.9664180, COVERAGE_ITEM: 0.0067586, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2384339, SHANNON_ENTROPY: 5.2946194, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 838, 'shrink': 852, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0350774, PRECISION: 0.0066473, PRECISION_RECALL_MIN_DEN: 0.0221577, RECALL: 0.0221577, MAP: 0.0075076, MRR: 0.0218109, NDCG: 0.0151767, F1: 0.0102266, HIT_RATE: 0.0664731, ARHR: 0.0221669, RMSE: 0.9908231, NOVELTY: 0.0050700, AVERAGE_POPULARITY: 0.7239266, DIVERSITY_MEAN_INTER_LIST: 0.7694661, DIVERSITY_HERFINDAHL: 0.9769419, COVERAGE_ITEM: 0.0282238, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0995379, SHANNON_ENTROPY: 6.0543617, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 121, 'shrink': 1592, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0123423, PRECISION: 0.0022549, PRECISION_RECALL_MIN_DEN: 0.0075163, RECALL: 0.0075163, MAP: 0.0026956, MRR: 0.0078314, NDCG: 0.0053116, F1: 0.0034691, HIT_RATE: 0.0225490, ARHR: 0.0079591, RMSE: 0.9991915, NOVELTY: 0.0056946, AVERAGE_POPULARITY: 0.2758308, DIVERSITY_MEAN_INTER_LIST: 0.7690085, DIVERSITY_HERFINDAHL: 0.9768961, COVERAGE_ITEM: 0.1112192, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0605124, SHANNON_ENTROPY: 6.6784078, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 454, 'shrink': 1355, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0293668, PRECISION: 0.0054797, PRECISION_RECALL_MIN_DEN: 0.0182657, RECALL: 0.0182657, MAP: 0.0061700, MRR: 0.0179220, NDCG: 0.0125000, F1: 0.0084303, HIT_RATE: 0.0547971, ARHR: 0.0182160, RMSE: 0.9966305, NOVELTY: 0.0052566, AVERAGE_POPULARITY: 0.5869564, DIVERSITY_MEAN_INTER_LIST: 0.8432724, DIVERSITY_HERFINDAHL: 0.9843220, COVERAGE_ITEM: 0.0441741, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0927727, SHANNON_ENTROPY: 6.5959871, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 788, 'shrink': 70, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0343125, PRECISION: 0.0064682, PRECISION_RECALL_MIN_DEN: 0.0215605, RECALL: 0.0215605, MAP: 0.0073543, MRR: 0.0213750, NDCG: 0.0148235, F1: 0.0099510, HIT_RATE: 0.0646815, ARHR: 0.0217189, RMSE: 0.9081690, NOVELTY: 0.0050952, AVERAGE_POPULARITY: 0.7056190, DIVERSITY_MEAN_INTER_LIST: 0.7818637, DIVERSITY_HERFINDAHL: 0.9781815, COVERAGE_ITEM: 0.0329278, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0905751, SHANNON_ENTROPY: 6.1411139, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 834, 'shrink': 1455, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0349728, PRECISION: 0.0066288, PRECISION_RECALL_MIN_DEN: 0.0220959, RECALL: 0.0220959, MAP: 0.0074765, MRR: 0.0217313, NDCG: 0.0151249, F1: 0.0101981, HIT_RATE: 0.0662878, ARHR: 0.0220804, RMSE: 0.9946272, NOVELTY: 0.0050720, AVERAGE_POPULARITY: 0.7224839, DIVERSITY_MEAN_INTER_LIST: 0.7703648, DIVERSITY_HERFINDAHL: 0.9770317, COVERAGE_ITEM: 0.0277372, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1017693, SHANNON_ENTROPY: 6.0622302, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 282, 'shrink': 1330, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0230865, PRECISION: 0.0042750, PRECISION_RECALL_MIN_DEN: 0.0142501, RECALL: 0.0142501, MAP: 0.0047543, MRR: 0.0138893, NDCG: 0.0097077, F1: 0.0065770, HIT_RATE: 0.0427504, ARHR: 0.0140761, RMSE: 0.9977923, NOVELTY: 0.0054287, AVERAGE_POPULARITY: 0.4660627, DIVERSITY_MEAN_INTER_LIST: 0.8538323, DIVERSITY_HERFINDAHL: 0.9853780, COVERAGE_ITEM: 0.0708300, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0724349, SHANNON_ENTROPY: 6.8068344, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 573, 'shrink': 1005, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0304720, PRECISION: 0.0057577, PRECISION_RECALL_MIN_DEN: 0.0191924, RECALL: 0.0191924, MAP: 0.0064385, MRR: 0.0187005, NDCG: 0.0130797, F1: 0.0088580, HIT_RATE: 0.0575771, ARHR: 0.0190081, RMSE: 0.9943933, NOVELTY: 0.0051799, AVERAGE_POPULARITY: 0.6403268, DIVERSITY_MEAN_INTER_LIST: 0.8203113, DIVERSITY_HERFINDAHL: 0.9820261, COVERAGE_ITEM: 0.0312517, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1106919, SHANNON_ENTROPY: 6.3855190, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 728, 'shrink': 595, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0329710, PRECISION: 0.0062828, PRECISION_RECALL_MIN_DEN: 0.0209427, RECALL: 0.0209427, MAP: 0.0070319, MRR: 0.0204501, NDCG: 0.0142749, F1: 0.0096659, HIT_RATE: 0.0628282, ARHR: 0.0207686, RMSE: 0.9884275, NOVELTY: 0.0051241, AVERAGE_POPULARITY: 0.6833517, DIVERSITY_MEAN_INTER_LIST: 0.7947210, DIVERSITY_HERFINDAHL: 0.9794672, COVERAGE_ITEM: 0.0243309, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1250353, SHANNON_ENTROPY: 6.2003060, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 891, 'shrink': 1605, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0355828, PRECISION: 0.0067832, PRECISION_RECALL_MIN_DEN: 0.0226107, RECALL: 0.0226107, MAP: 0.0075667, MRR: 0.0219915, NDCG: 0.0153860, F1: 0.0104357, HIT_RATE: 0.0678322, ARHR: 0.0223458, RMSE: 0.9948479, NOVELTY: 0.0050493, AVERAGE_POPULARITY: 0.7391320, DIVERSITY_MEAN_INTER_LIST: 0.7569929, DIVERSITY_HERFINDAHL: 0.9756946, COVERAGE_ITEM: 0.0234658, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1114244, SHANNON_ENTROPY: 5.9570305, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 178, 'shrink': 477, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0163025, PRECISION: 0.0029097, PRECISION_RECALL_MIN_DEN: 0.0096991, RECALL: 0.0096991, MAP: 0.0034043, MRR: 0.0099900, NDCG: 0.0068015, F1: 0.0044765, HIT_RATE: 0.0290974, ARHR: 0.0101015, RMSE: 0.9961220, NOVELTY: 0.0055859, AVERAGE_POPULARITY: 0.3576795, DIVERSITY_MEAN_INTER_LIST: 0.8222713, DIVERSITY_HERFINDAHL: 0.9822220, COVERAGE_ITEM: 0.0959178, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0645799, SHANNON_ENTROPY: 6.8282588, 
