SearchBayesianSkopt: New best config found. Config 0: {'topK': 972, 'shrink': 1867, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.292653443213929, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0794353, PRECISION: 0.0126398, PRECISION_RECALL_MIN_DEN: 0.0421326, RECALL: 0.0421326, MAP: 0.0202192, MRR: 0.0567666, NDCG: 0.0349644, F1: 0.0194458, HIT_RATE: 0.1263977, ARHR: 0.0586821, RMSE: 0.9566554, NOVELTY: 0.0052461, AVERAGE_POPULARITY: 0.6340007, DIVERSITY_MEAN_INTER_LIST: 0.8800707, DIVERSITY_HERFINDAHL: 0.9880016, COVERAGE_ITEM: 0.1880508, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0641178, SHANNON_ENTROPY: 7.5034799, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 616, 'shrink': 957, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.32520811812366685, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1010506, PRECISION: 0.0164577, PRECISION_RECALL_MIN_DEN: 0.0548588, RECALL: 0.0548588, MAP: 0.0263688, MRR: 0.0726865, NDCG: 0.0453226, F1: 0.0253195, HIT_RATE: 0.1645765, ARHR: 0.0758539, RMSE: 0.9261764, NOVELTY: 0.0053757, AVERAGE_POPULARITY: 0.5893403, DIVERSITY_MEAN_INTER_LIST: 0.8997907, DIVERSITY_HERFINDAHL: 0.9899735, COVERAGE_ITEM: 0.2820222, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0807404, SHANNON_ENTROPY: 8.1270448, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 1067, 'shrink': 1687, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.29997194257192256, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.1049987, PRECISION: 0.0173473, PRECISION_RECALL_MIN_DEN: 0.0578242, RECALL: 0.0578242, MAP: 0.0276461, MRR: 0.0757800, NDCG: 0.0475170, F1: 0.0266881, HIT_RATE: 0.1734725, ARHR: 0.0792746, RMSE: 0.8017567, NOVELTY: 0.0053427, AVERAGE_POPULARITY: 0.6143164, DIVERSITY_MEAN_INTER_LIST: 0.8789126, DIVERSITY_HERFINDAHL: 0.9878858, COVERAGE_ITEM: 0.3021898, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0728932, SHANNON_ENTROPY: 7.8217734, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 205, 'shrink': 1620, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.7876665625784847, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0669258, PRECISION: 0.0109223, PRECISION_RECALL_MIN_DEN: 0.0364078, RECALL: 0.0364078, MAP: 0.0160498, MRR: 0.0459906, NDCG: 0.0288810, F1: 0.0168036, HIT_RATE: 0.1092235, ARHR: 0.0470623, RMSE: 0.9667044, NOVELTY: 0.0054855, AVERAGE_POPULARITY: 0.5345090, DIVERSITY_MEAN_INTER_LIST: 0.9301656, DIVERSITY_HERFINDAHL: 0.9930108, COVERAGE_ITEM: 0.3094350, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1091040, SHANNON_ENTROPY: 8.7715108, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 1109, 'shrink': 932, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.3980082313394321, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1053687, PRECISION: 0.0171557, PRECISION_RECALL_MIN_DEN: 0.0571858, RECALL: 0.0571858, MAP: 0.0275881, MRR: 0.0759926, NDCG: 0.0473335, F1: 0.0263934, HIT_RATE: 0.1715574, ARHR: 0.0793042, RMSE: 0.8547268, NOVELTY: 0.0052478, AVERAGE_POPULARITY: 0.6517446, DIVERSITY_MEAN_INTER_LIST: 0.8562254, DIVERSITY_HERFINDAHL: 0.9856172, COVERAGE_ITEM: 0.2263855, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0613240, SHANNON_ENTROPY: 7.4050346, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 689, 'shrink': 710, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.8069416440406638, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0784933, PRECISION: 0.0126089, PRECISION_RECALL_MIN_DEN: 0.0420296, RECALL: 0.0420296, MAP: 0.0200621, MRR: 0.0562105, NDCG: 0.0347397, F1: 0.0193983, HIT_RATE: 0.1260888, ARHR: 0.0581700, RMSE: 0.9295275, NOVELTY: 0.0053680, AVERAGE_POPULARITY: 0.5794908, DIVERSITY_MEAN_INTER_LIST: 0.9123268, DIVERSITY_HERFINDAHL: 0.9912270, COVERAGE_ITEM: 0.2654231, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0771568, SHANNON_ENTROPY: 8.1229681, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1456, 'shrink': 1797, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.017146039004564576, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0801423, PRECISION: 0.0131093, PRECISION_RECALL_MIN_DEN: 0.0436976, RECALL: 0.0436976, MAP: 0.0202917, MRR: 0.0570779, NDCG: 0.0355427, F1: 0.0201681, HIT_RATE: 0.1310929, ARHR: 0.0589531, RMSE: 0.9404008, NOVELTY: 0.0051375, AVERAGE_POPULARITY: 0.6893486, DIVERSITY_MEAN_INTER_LIST: 0.8337849, DIVERSITY_HERFINDAHL: 0.9833733, COVERAGE_ITEM: 0.1095972, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0583110, SHANNON_ENTROPY: 6.8506013, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 1047, 'shrink': 137, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.45848560497693536, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0894554, PRECISION: 0.0148823, PRECISION_RECALL_MIN_DEN: 0.0496077, RECALL: 0.0496077, MAP: 0.0230001, MRR: 0.0640283, NDCG: 0.0401859, F1: 0.0228959, HIT_RATE: 0.1488231, ARHR: 0.0664757, RMSE: 0.8297178, NOVELTY: 0.0050666, AVERAGE_POPULARITY: 0.7428246, DIVERSITY_MEAN_INTER_LIST: 0.7610022, DIVERSITY_HERFINDAHL: 0.9760955, COVERAGE_ITEM: 0.0915383, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0503604, SHANNON_ENTROPY: 6.3082040, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 779, 'shrink': 815, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.7073403882128573, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0645838, PRECISION: 0.0101687, PRECISION_RECALL_MIN_DEN: 0.0338955, RECALL: 0.0338955, MAP: 0.0161831, MRR: 0.0459379, NDCG: 0.0281350, F1: 0.0156441, HIT_RATE: 0.1016865, ARHR: 0.0472198, RMSE: 0.9524390, NOVELTY: 0.0058364, AVERAGE_POPULARITY: 0.4517395, DIVERSITY_MEAN_INTER_LIST: 0.9472952, DIVERSITY_HERFINDAHL: 0.9947237, COVERAGE_ITEM: 0.4579075, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1357361, SHANNON_ENTROPY: 9.4729123, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 961, 'shrink': 278, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.9421693260915751, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1039593, PRECISION: 0.0170507, PRECISION_RECALL_MIN_DEN: 0.0568357, RECALL: 0.0568357, MAP: 0.0274071, MRR: 0.0754183, NDCG: 0.0470010, F1: 0.0262319, HIT_RATE: 0.1705072, ARHR: 0.0787470, RMSE: 1.2715858, NOVELTY: 0.0052487, AVERAGE_POPULARITY: 0.6472557, DIVERSITY_MEAN_INTER_LIST: 0.8620636, DIVERSITY_HERFINDAHL: 0.9862010, COVERAGE_ITEM: 0.2158421, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0627455, SHANNON_ENTROPY: 7.4399833, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 1687, 'shrink': 721, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.3513186789504186, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0965535, PRECISION: 0.0156484, PRECISION_RECALL_MIN_DEN: 0.0521612, RECALL: 0.0521612, MAP: 0.0252493, MRR: 0.0695485, NDCG: 0.0432688, F1: 0.0240744, HIT_RATE: 0.1564836, ARHR: 0.0725882, RMSE: 1.1939301, NOVELTY: 0.0054248, AVERAGE_POPULARITY: 0.5911973, DIVERSITY_MEAN_INTER_LIST: 0.8766947, DIVERSITY_HERFINDAHL: 0.9876641, COVERAGE_ITEM: 0.3414436, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0925370, SHANNON_ENTROPY: 8.0974929, 
