SearchBayesianSkopt: New best config found. Config 0: {'topK': 972, 'shrink': 1867, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0725984, PRECISION: 0.0122444, PRECISION_RECALL_MIN_DEN: 0.0408146, RECALL: 0.0408146, MAP: 0.0178722, MRR: 0.0507606, NDCG: 0.0321198, F1: 0.0188375, HIT_RATE: 0.1224439, ARHR: 0.0521599, RMSE: 0.9895224, NOVELTY: 0.0051180, AVERAGE_POPULARITY: 0.7049162, DIVERSITY_MEAN_INTER_LIST: 0.8173835, DIVERSITY_HERFINDAHL: 0.9817333, COVERAGE_ITEM: 0.1284672, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0519764, SHANNON_ENTROPY: 6.7501498, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 1441, 'shrink': 612, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0909684, PRECISION: 0.0150862, PRECISION_RECALL_MIN_DEN: 0.0502873, RECALL: 0.0502873, MAP: 0.0236974, MRR: 0.0660566, NDCG: 0.0411396, F1: 0.0232095, HIT_RATE: 0.1508618, ARHR: 0.0685296, RMSE: 0.8386973, NOVELTY: 0.0050437, AVERAGE_POPULARITY: 0.7581852, DIVERSITY_MEAN_INTER_LIST: 0.7346509, DIVERSITY_HERFINDAHL: 0.9734606, COVERAGE_ITEM: 0.0819681, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0479588, SHANNON_ENTROPY: 6.1100881, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 1913, 'shrink': 1880, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0899080, PRECISION: 0.0148267, PRECISION_RECALL_MIN_DEN: 0.0494224, RECALL: 0.0494224, MAP: 0.0232354, MRR: 0.0649132, NDCG: 0.0404096, F1: 0.0228103, HIT_RATE: 0.1482671, ARHR: 0.0672715, RMSE: 0.8825123, NOVELTY: 0.0050207, AVERAGE_POPULARITY: 0.7728549, DIVERSITY_MEAN_INTER_LIST: 0.7083525, DIVERSITY_HERFINDAHL: 0.9708309, COVERAGE_ITEM: 0.0625034, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0510598, SHANNON_ENTROPY: 5.9126360, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 304, 'shrink': 900, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0829254, PRECISION: 0.0137827, PRECISION_RECALL_MIN_DEN: 0.0459422, RECALL: 0.0459422, MAP: 0.0207713, MRR: 0.0580373, NDCG: 0.0367142, F1: 0.0212041, HIT_RATE: 0.1378267, ARHR: 0.0601320, RMSE: 0.9265134, NOVELTY: 0.0052324, AVERAGE_POPULARITY: 0.6420550, DIVERSITY_MEAN_INTER_LIST: 0.8743244, DIVERSITY_HERFINDAHL: 0.9874270, COVERAGE_ITEM: 0.1613950, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0729895, SHANNON_ENTROPY: 7.5056290, 
SearchBayesianSkopt: New best config found. Config 4: {'topK': 1906, 'shrink': 788, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.1037125, PRECISION: 0.0170075, PRECISION_RECALL_MIN_DEN: 0.0566916, RECALL: 0.0566916, MAP: 0.0271552, MRR: 0.0746574, NDCG: 0.0466893, F1: 0.0261653, HIT_RATE: 0.1700748, ARHR: 0.0779892, RMSE: 0.8653172, NOVELTY: 0.0052173, AVERAGE_POPULARITY: 0.6673209, DIVERSITY_MEAN_INTER_LIST: 0.8365473, DIVERSITY_HERFINDAHL: 0.9836496, COVERAGE_ITEM: 0.2141660, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0563663, SHANNON_ENTROPY: 7.1643959, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 501, 'shrink': 260, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0884209, PRECISION: 0.0143510, PRECISION_RECALL_MIN_DEN: 0.0478367, RECALL: 0.0478367, MAP: 0.0231065, MRR: 0.0645888, NDCG: 0.0397748, F1: 0.0220785, HIT_RATE: 0.1435102, ARHR: 0.0669171, RMSE: 3.1102945, NOVELTY: 0.0058300, AVERAGE_POPULARITY: 0.4612150, DIVERSITY_MEAN_INTER_LIST: 0.9466493, DIVERSITY_HERFINDAHL: 0.9946591, COVERAGE_ITEM: 0.5259259, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1620653, SHANNON_ENTROPY: 9.7286263, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 714, 'shrink': 1762, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0784478, PRECISION: 0.0125965, PRECISION_RECALL_MIN_DEN: 0.0419884, RECALL: 0.0419884, MAP: 0.0200758, MRR: 0.0562088, NDCG: 0.0347355, F1: 0.0193793, HIT_RATE: 0.1259653, ARHR: 0.0581897, RMSE: 0.9636999, NOVELTY: 0.0053566, AVERAGE_POPULARITY: 0.5844549, DIVERSITY_MEAN_INTER_LIST: 0.9098057, DIVERSITY_HERFINDAHL: 0.9909749, COVERAGE_ITEM: 0.2583942, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0760346, SHANNON_ENTROPY: 8.0707375, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 1456, 'shrink': 1797, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0732043, PRECISION: 0.0122135, PRECISION_RECALL_MIN_DEN: 0.0407117, RECALL: 0.0407117, MAP: 0.0182890, MRR: 0.0517212, NDCG: 0.0324911, F1: 0.0187900, HIT_RATE: 0.1221350, ARHR: 0.0532647, RMSE: 0.9855505, NOVELTY: 0.0050484, AVERAGE_POPULARITY: 0.7495487, DIVERSITY_MEAN_INTER_LIST: 0.7595733, DIVERSITY_HERFINDAHL: 0.9759526, COVERAGE_ITEM: 0.0902406, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0452609, SHANNON_ENTROPY: 6.1906573, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1721, 'shrink': 1045, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0906372, PRECISION: 0.0149997, PRECISION_RECALL_MIN_DEN: 0.0499990, RECALL: 0.0499990, MAP: 0.0233986, MRR: 0.0652870, NDCG: 0.0407541, F1: 0.0230764, HIT_RATE: 0.1499969, ARHR: 0.0677028, RMSE: 0.8312655, NOVELTY: 0.0050296, AVERAGE_POPULARITY: 0.7671896, DIVERSITY_MEAN_INTER_LIST: 0.7183807, DIVERSITY_HERFINDAHL: 0.9718336, COVERAGE_ITEM: 0.0695864, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0498599, SHANNON_ENTROPY: 5.9911538, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 1663, 'shrink': 464, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0890498, PRECISION: 0.0145055, PRECISION_RECALL_MIN_DEN: 0.0483516, RECALL: 0.0483516, MAP: 0.0229090, MRR: 0.0641400, NDCG: 0.0397531, F1: 0.0223161, HIT_RATE: 0.1450547, ARHR: 0.0663916, RMSE: 0.8277755, NOVELTY: 0.0050323, AVERAGE_POPULARITY: 0.7661053, DIVERSITY_MEAN_INTER_LIST: 0.7168027, DIVERSITY_HERFINDAHL: 0.9716758, COVERAGE_ITEM: 0.0741281, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0493213, SHANNON_ENTROPY: 6.0137373, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 1708, 'shrink': 220, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0795555, PRECISION: 0.0131278, PRECISION_RECALL_MIN_DEN: 0.0437594, RECALL: 0.0437594, MAP: 0.0197884, MRR: 0.0555941, NDCG: 0.0350324, F1: 0.0201966, HIT_RATE: 0.1312782, ARHR: 0.0574462, RMSE: 0.8131232, NOVELTY: 0.0051057, AVERAGE_POPULARITY: 0.7059820, DIVERSITY_MEAN_INTER_LIST: 0.8172850, DIVERSITY_HERFINDAHL: 0.9817234, COVERAGE_ITEM: 0.0789403, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0597554, SHANNON_ENTROPY: 6.5724599, 
