SearchBayesianSkopt: New best config found. Config 0: {'topK': 972, 'shrink': 1867, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0732614, PRECISION: 0.0124606, PRECISION_RECALL_MIN_DEN: 0.0415354, RECALL: 0.0415354, MAP: 0.0185773, MRR: 0.0523320, NDCG: 0.0330112, F1: 0.0191702, HIT_RATE: 0.1246062, ARHR: 0.0540056, RMSE: 0.9904712, NOVELTY: 0.0050722, AVERAGE_POPULARITY: 0.7277028, DIVERSITY_MEAN_INTER_LIST: 0.7976875, DIVERSITY_HERFINDAHL: 0.9797638, COVERAGE_ITEM: 0.0740741, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0574522, SHANNON_ENTROPY: 6.4251215, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 297, 'shrink': 0, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0670045, PRECISION: 0.0111633, PRECISION_RECALL_MIN_DEN: 0.0372109, RECALL: 0.0372109, MAP: 0.0164905, MRR: 0.0466641, NDCG: 0.0294813, F1: 0.0171743, HIT_RATE: 0.1116328, ARHR: 0.0480433, RMSE: 0.9101448, NOVELTY: 0.0053238, AVERAGE_POPULARITY: 0.5898122, DIVERSITY_MEAN_INTER_LIST: 0.9115992, DIVERSITY_HERFINDAHL: 0.9911543, COVERAGE_ITEM: 0.2101108, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0811469, SHANNON_ENTROPY: 8.0359292, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 959, 'shrink': 348, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0737736, PRECISION: 0.0124853, PRECISION_RECALL_MIN_DEN: 0.0416178, RECALL: 0.0416178, MAP: 0.0186176, MRR: 0.0525800, NDCG: 0.0331073, F1: 0.0192082, HIT_RATE: 0.1248533, ARHR: 0.0541897, RMSE: 0.9601932, NOVELTY: 0.0050735, AVERAGE_POPULARITY: 0.7267647, DIVERSITY_MEAN_INTER_LIST: 0.7987094, DIVERSITY_HERFINDAHL: 0.9798660, COVERAGE_ITEM: 0.0747229, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0574018, SHANNON_ENTROPY: 6.4347728, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 1913, 'shrink': 1880, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0708366, PRECISION: 0.0119664, PRECISION_RECALL_MIN_DEN: 0.0398880, RECALL: 0.0398880, MAP: 0.0174676, MRR: 0.0495667, NDCG: 0.0313843, F1: 0.0184098, HIT_RATE: 0.1196639, ARHR: 0.0509681, RMSE: 0.9850783, NOVELTY: 0.0049903, AVERAGE_POPULARITY: 0.7867851, DIVERSITY_MEAN_INTER_LIST: 0.6983486, DIVERSITY_HERFINDAHL: 0.9698305, COVERAGE_ITEM: 0.0296837, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0742567, SHANNON_ENTROPY: 5.6563120, 
SearchBayesianSkopt: New best config found. Config 4: {'topK': 698, 'shrink': 439, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0738947, PRECISION: 0.0125162, PRECISION_RECALL_MIN_DEN: 0.0417207, RECALL: 0.0417207, MAP: 0.0187445, MRR: 0.0528060, NDCG: 0.0332483, F1: 0.0192557, HIT_RATE: 0.1251622, ARHR: 0.0544896, RMSE: 0.9736507, NOVELTY: 0.0051264, AVERAGE_POPULARITY: 0.6931539, DIVERSITY_MEAN_INTER_LIST: 0.8364496, DIVERSITY_HERFINDAHL: 0.9836398, COVERAGE_ITEM: 0.1037037, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0592359, SHANNON_ENTROPY: 6.8389075, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 796, 'shrink': 201, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0740656, PRECISION: 0.0123556, PRECISION_RECALL_MIN_DEN: 0.0411853, RECALL: 0.0411853, MAP: 0.0185057, MRR: 0.0523674, NDCG: 0.0328817, F1: 0.0190086, HIT_RATE: 0.1235559, ARHR: 0.0539136, RMSE: 0.9485864, NOVELTY: 0.0050998, AVERAGE_POPULARITY: 0.7096060, DIVERSITY_MEAN_INTER_LIST: 0.8192105, DIVERSITY_HERFINDAHL: 0.9819160, COVERAGE_ITEM: 0.0898621, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0573253, SHANNON_ENTROPY: 6.6400216, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1906, 'shrink': 788, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0707855, PRECISION: 0.0120158, PRECISION_RECALL_MIN_DEN: 0.0400527, RECALL: 0.0400527, MAP: 0.0175195, MRR: 0.0496681, NDCG: 0.0314787, F1: 0.0184859, HIT_RATE: 0.1201582, ARHR: 0.0510966, RMSE: 0.9674160, NOVELTY: 0.0049906, AVERAGE_POPULARITY: 0.7865949, DIVERSITY_MEAN_INTER_LIST: 0.6990297, DIVERSITY_HERFINDAHL: 0.9698987, COVERAGE_ITEM: 0.0297918, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0741732, SHANNON_ENTROPY: 5.6600121, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 1109, 'shrink': 932, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0736505, PRECISION: 0.0123062, PRECISION_RECALL_MIN_DEN: 0.0410206, RECALL: 0.0410206, MAP: 0.0185297, MRR: 0.0523166, NDCG: 0.0328323, F1: 0.0189326, HIT_RATE: 0.1230617, ARHR: 0.0539321, RMSE: 0.9803320, NOVELTY: 0.0050537, AVERAGE_POPULARITY: 0.7402393, DIVERSITY_MEAN_INTER_LIST: 0.7805533, DIVERSITY_HERFINDAHL: 0.9780505, COVERAGE_ITEM: 0.0639092, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0581348, SHANNON_ENTROPY: 6.2707303, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 402, 'shrink': 1291, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0710668, PRECISION: 0.0117996, PRECISION_RECALL_MIN_DEN: 0.0393320, RECALL: 0.0393320, MAP: 0.0177779, MRR: 0.0503729, NDCG: 0.0315355, F1: 0.0181532, HIT_RATE: 0.1179959, ARHR: 0.0518368, RMSE: 0.9930630, NOVELTY: 0.0052596, AVERAGE_POPULARITY: 0.6182795, DIVERSITY_MEAN_INTER_LIST: 0.8955406, DIVERSITY_HERFINDAHL: 0.9895485, COVERAGE_ITEM: 0.1714517, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0732358, SHANNON_ENTROPY: 7.6986090, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 714, 'shrink': 1762, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0737589, PRECISION: 0.0124730, PRECISION_RECALL_MIN_DEN: 0.0415766, RECALL: 0.0415766, MAP: 0.0185588, MRR: 0.0522829, NDCG: 0.0330144, F1: 0.0191892, HIT_RATE: 0.1247297, ARHR: 0.0539505, RMSE: 0.9919602, NOVELTY: 0.0051227, AVERAGE_POPULARITY: 0.6952835, DIVERSITY_MEAN_INTER_LIST: 0.8345049, DIVERSITY_HERFINDAHL: 0.9834453, COVERAGE_ITEM: 0.1006218, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0595746, SHANNON_ENTROPY: 6.8147391, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 454, 'shrink': 1732, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0733642, PRECISION: 0.0122691, PRECISION_RECALL_MIN_DEN: 0.0408970, RECALL: 0.0408970, MAP: 0.0184278, MRR: 0.0521449, NDCG: 0.0327046, F1: 0.0188755, HIT_RATE: 0.1226910, ARHR: 0.0536919, RMSE: 0.9941753, NOVELTY: 0.0052236, AVERAGE_POPULARITY: 0.6371079, DIVERSITY_MEAN_INTER_LIST: 0.8834444, DIVERSITY_HERFINDAHL: 0.9883390, COVERAGE_ITEM: 0.1516626, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0692932, SHANNON_ENTROPY: 7.4866182, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 53, 'shrink': 1521, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0369858, PRECISION: 0.0060666, PRECISION_RECALL_MIN_DEN: 0.0202220, RECALL: 0.0202220, MAP: 0.0086351, MRR: 0.0250136, NDCG: 0.0157886, F1: 0.0093332, HIT_RATE: 0.0606660, ARHR: 0.0254518, RMSE: 0.9988114, NOVELTY: 0.0060654, AVERAGE_POPULARITY: 0.3091796, DIVERSITY_MEAN_INTER_LIST: 0.9845169, DIVERSITY_HERFINDAHL: 0.9984456, COVERAGE_ITEM: 0.4881319, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1987716, SHANNON_ENTROPY: 10.7736745, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 1721, 'shrink': 1045, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0716737, PRECISION: 0.0122197, PRECISION_RECALL_MIN_DEN: 0.0407323, RECALL: 0.0407323, MAP: 0.0178951, MRR: 0.0506108, NDCG: 0.0320706, F1: 0.0187995, HIT_RATE: 0.1221968, ARHR: 0.0521266, RMSE: 0.9760779, NOVELTY: 0.0050003, AVERAGE_POPULARITY: 0.7790922, DIVERSITY_MEAN_INTER_LIST: 0.7140475, DIVERSITY_HERFINDAHL: 0.9714003, COVERAGE_ITEM: 0.0345499, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0697224, SHANNON_ENTROPY: 5.7664749, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 1133, 'shrink': 458, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0733567, PRECISION: 0.0123679, PRECISION_RECALL_MIN_DEN: 0.0412265, RECALL: 0.0412265, MAP: 0.0184717, MRR: 0.0521476, NDCG: 0.0328253, F1: 0.0190276, HIT_RATE: 0.1236795, ARHR: 0.0537578, RMSE: 0.9637277, NOVELTY: 0.0050509, AVERAGE_POPULARITY: 0.7422070, DIVERSITY_MEAN_INTER_LIST: 0.7776093, DIVERSITY_HERFINDAHL: 0.9777561, COVERAGE_ITEM: 0.0625034, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0581213, SHANNON_ENTROPY: 6.2452860, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 779, 'shrink': 815, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0738065, PRECISION: 0.0123062, PRECISION_RECALL_MIN_DEN: 0.0410206, RECALL: 0.0410206, MAP: 0.0182442, MRR: 0.0516162, NDCG: 0.0325627, F1: 0.0189326, HIT_RATE: 0.1230617, ARHR: 0.0531490, RMSE: 0.9828739, NOVELTY: 0.0051064, AVERAGE_POPULARITY: 0.7054519, DIVERSITY_MEAN_INTER_LIST: 0.8238911, DIVERSITY_HERFINDAHL: 0.9823840, COVERAGE_ITEM: 0.0927818, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0580309, SHANNON_ENTROPY: 6.6921839, 
