SearchBayesianSkopt: New best config found. Config 0: {'topK': 972, 'shrink': 1867, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0732721, PRECISION: 0.0124668, PRECISION_RECALL_MIN_DEN: 0.0415560, RECALL: 0.0415560, MAP: 0.0185808, MRR: 0.0523403, NDCG: 0.0330209, F1: 0.0191797, HIT_RATE: 0.1246679, ARHR: 0.0540150, RMSE: 0.9904535, NOVELTY: 0.0050722, AVERAGE_POPULARITY: 0.7276888, DIVERSITY_MEAN_INTER_LIST: 0.7977156, DIVERSITY_HERFINDAHL: 0.9797666, COVERAGE_ITEM: 0.0740741, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0574597, SHANNON_ENTROPY: 6.4252675, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 297, 'shrink': 0, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0662741, PRECISION: 0.0109718, PRECISION_RECALL_MIN_DEN: 0.0365726, RECALL: 0.0365726, MAP: 0.0162501, MRR: 0.0460271, NDCG: 0.0290327, F1: 0.0168796, HIT_RATE: 0.1097177, ARHR: 0.0473615, RMSE: 0.9065151, NOVELTY: 0.0053433, AVERAGE_POPULARITY: 0.5831488, DIVERSITY_MEAN_INTER_LIST: 0.9143417, DIVERSITY_HERFINDAHL: 0.9914285, COVERAGE_ITEM: 0.2254123, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0830410, SHANNON_ENTROPY: 8.1197616, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 959, 'shrink': 348, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0737904, PRECISION: 0.0124791, PRECISION_RECALL_MIN_DEN: 0.0415972, RECALL: 0.0415972, MAP: 0.0186155, MRR: 0.0525777, NDCG: 0.0330998, F1: 0.0191987, HIT_RATE: 0.1247915, ARHR: 0.0541853, RMSE: 0.9599314, NOVELTY: 0.0050736, AVERAGE_POPULARITY: 0.7267269, DIVERSITY_MEAN_INTER_LIST: 0.7987704, DIVERSITY_HERFINDAHL: 0.9798721, COVERAGE_ITEM: 0.0747229, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0574422, SHANNON_ENTROPY: 6.4353433, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 1913, 'shrink': 1880, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0708297, PRECISION: 0.0119602, PRECISION_RECALL_MIN_DEN: 0.0398674, RECALL: 0.0398674, MAP: 0.0174644, MRR: 0.0495570, NDCG: 0.0313745, F1: 0.0184003, HIT_RATE: 0.1196021, ARHR: 0.0509584, RMSE: 0.9850545, NOVELTY: 0.0049903, AVERAGE_POPULARITY: 0.7867703, DIVERSITY_MEAN_INTER_LIST: 0.6983733, DIVERSITY_HERFINDAHL: 0.9698330, COVERAGE_ITEM: 0.0297378, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0741397, SHANNON_ENTROPY: 5.6565471, 
SearchBayesianSkopt: New best config found. Config 4: {'topK': 698, 'shrink': 439, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0739054, PRECISION: 0.0125286, PRECISION_RECALL_MIN_DEN: 0.0417619, RECALL: 0.0417619, MAP: 0.0187585, MRR: 0.0528465, NDCG: 0.0332751, F1: 0.0192747, HIT_RATE: 0.1252857, ARHR: 0.0545308, RMSE: 0.9734915, NOVELTY: 0.0051264, AVERAGE_POPULARITY: 0.6931168, DIVERSITY_MEAN_INTER_LIST: 0.8365170, DIVERSITY_HERFINDAHL: 0.9836465, COVERAGE_ITEM: 0.1038659, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0591742, SHANNON_ENTROPY: 6.8393348, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 796, 'shrink': 201, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0741411, PRECISION: 0.0123371, PRECISION_RECALL_MIN_DEN: 0.0411235, RECALL: 0.0411235, MAP: 0.0185335, MRR: 0.0524744, NDCG: 0.0328971, F1: 0.0189801, HIT_RATE: 0.1233706, ARHR: 0.0540088, RMSE: 0.9480953, NOVELTY: 0.0051000, AVERAGE_POPULARITY: 0.7095174, DIVERSITY_MEAN_INTER_LIST: 0.8193356, DIVERSITY_HERFINDAHL: 0.9819285, COVERAGE_ITEM: 0.0900243, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0572978, SHANNON_ENTROPY: 6.6411422, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1906, 'shrink': 788, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0707649, PRECISION: 0.0120158, PRECISION_RECALL_MIN_DEN: 0.0400527, RECALL: 0.0400527, MAP: 0.0175171, MRR: 0.0496606, NDCG: 0.0314756, F1: 0.0184859, HIT_RATE: 0.1201582, ARHR: 0.0510892, RMSE: 0.9673117, NOVELTY: 0.0049906, AVERAGE_POPULARITY: 0.7865657, DIVERSITY_MEAN_INTER_LIST: 0.6990807, DIVERSITY_HERFINDAHL: 0.9699037, COVERAGE_ITEM: 0.0297918, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0741985, SHANNON_ENTROPY: 5.6604596, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 1109, 'shrink': 932, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0736681, PRECISION: 0.0123123, PRECISION_RECALL_MIN_DEN: 0.0410412, RECALL: 0.0410412, MAP: 0.0185338, MRR: 0.0523248, NDCG: 0.0328426, F1: 0.0189421, HIT_RATE: 0.1231235, ARHR: 0.0539423, RMSE: 0.9802697, NOVELTY: 0.0050538, AVERAGE_POPULARITY: 0.7402259, DIVERSITY_MEAN_INTER_LIST: 0.7805813, DIVERSITY_HERFINDAHL: 0.9780533, COVERAGE_ITEM: 0.0638551, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0581851, SHANNON_ENTROPY: 6.2708589, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 402, 'shrink': 1291, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0710779, PRECISION: 0.0117996, PRECISION_RECALL_MIN_DEN: 0.0393320, RECALL: 0.0393320, MAP: 0.0177741, MRR: 0.0503739, NDCG: 0.0315334, F1: 0.0181532, HIT_RATE: 0.1179959, ARHR: 0.0518316, RMSE: 0.9930420, NOVELTY: 0.0052598, AVERAGE_POPULARITY: 0.6182319, DIVERSITY_MEAN_INTER_LIST: 0.8955682, DIVERSITY_HERFINDAHL: 0.9895513, COVERAGE_ITEM: 0.1713436, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0733230, SHANNON_ENTROPY: 7.6991711, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 714, 'shrink': 1762, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0737550, PRECISION: 0.0124853, PRECISION_RECALL_MIN_DEN: 0.0416178, RECALL: 0.0416178, MAP: 0.0185734, MRR: 0.0523284, NDCG: 0.0330421, F1: 0.0192082, HIT_RATE: 0.1248533, ARHR: 0.0539951, RMSE: 0.9919433, NOVELTY: 0.0051228, AVERAGE_POPULARITY: 0.6952470, DIVERSITY_MEAN_INTER_LIST: 0.8345428, DIVERSITY_HERFINDAHL: 0.9834491, COVERAGE_ITEM: 0.1008381, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0594965, SHANNON_ENTROPY: 6.8153045, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 454, 'shrink': 1732, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0733504, PRECISION: 0.0122629, PRECISION_RECALL_MIN_DEN: 0.0408764, RECALL: 0.0408764, MAP: 0.0184251, MRR: 0.0521367, NDCG: 0.0326953, F1: 0.0188660, HIT_RATE: 0.1226293, ARHR: 0.0536837, RMSE: 0.9941617, NOVELTY: 0.0052236, AVERAGE_POPULARITY: 0.6370911, DIVERSITY_MEAN_INTER_LIST: 0.8834493, DIVERSITY_HERFINDAHL: 0.9883395, COVERAGE_ITEM: 0.1517707, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0693079, SHANNON_ENTROPY: 7.4870847, 
