SearchBayesianSkopt: New best config found. Config 0: {'topK': 683, 'shrink': 508, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.3145770609456873, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0562406, PRECISION: 0.0090778, PRECISION_RECALL_MIN_DEN: 0.0302592, RECALL: 0.0302592, MAP: 0.0139735, MRR: 0.0398566, NDCG: 0.0246325, F1: 0.0139658, HIT_RATE: 0.0907776, ARHR: 0.0408757, RMSE: 0.9816184, NOVELTY: 0.0054925, AVERAGE_POPULARITY: 0.4899223, DIVERSITY_MEAN_INTER_LIST: 0.9238391, DIVERSITY_HERFINDAHL: 0.9923795, COVERAGE_ITEM: 0.2804542, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0819684, SHANNON_ENTROPY: 8.3721290, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 750, 'shrink': 192, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6781973416382056, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0667885, PRECISION: 0.0114448, PRECISION_RECALL_MIN_DEN: 0.0381494, RECALL: 0.0381494, MAP: 0.0164077, MRR: 0.0465933, NDCG: 0.0296989, F1: 0.0176074, HIT_RATE: 0.1144482, ARHR: 0.0478858, RMSE: 0.9503277, NOVELTY: 0.0051020, AVERAGE_POPULARITY: 0.7065086, DIVERSITY_MEAN_INTER_LIST: 0.8223812, DIVERSITY_HERFINDAHL: 0.9822342, COVERAGE_ITEM: 0.0967829, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0523845, SHANNON_ENTROPY: 6.6364974, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 623, 'shrink': 985, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.30249069263945333, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0668906, PRECISION: 0.0113436, PRECISION_RECALL_MIN_DEN: 0.0378120, RECALL: 0.0378120, MAP: 0.0164192, MRR: 0.0465883, NDCG: 0.0296016, F1: 0.0174517, HIT_RATE: 0.1134359, ARHR: 0.0479030, RMSE: 0.9887559, NOVELTY: 0.0051360, AVERAGE_POPULARITY: 0.6848892, DIVERSITY_MEAN_INTER_LIST: 0.8445401, DIVERSITY_HERFINDAHL: 0.9844499, COVERAGE_ITEM: 0.1154366, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0544675, SHANNON_ENTROPY: 6.8886337, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 946, 'shrink': 798, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6083819443559705, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0674912, PRECISION: 0.0114496, PRECISION_RECALL_MIN_DEN: 0.0381655, RECALL: 0.0381655, MAP: 0.0166505, MRR: 0.0471169, NDCG: 0.0299392, F1: 0.0176148, HIT_RATE: 0.1144965, ARHR: 0.0485133, RMSE: 0.9814695, NOVELTY: 0.0050665, AVERAGE_POPULARITY: 0.7302532, DIVERSITY_MEAN_INTER_LIST: 0.7940392, DIVERSITY_HERFINDAHL: 0.9794001, COVERAGE_ITEM: 0.0762368, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0521442, SHANNON_ENTROPY: 6.3575076, 
SearchBayesianSkopt: New best config found. Config 4: {'topK': 782, 'shrink': 253, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0668060614812689, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0806031, PRECISION: 0.0137830, PRECISION_RECALL_MIN_DEN: 0.0459432, RECALL: 0.0459432, MAP: 0.0201482, MRR: 0.0559869, NDCG: 0.0359894, F1: 0.0212046, HIT_RATE: 0.1378296, ARHR: 0.0581806, RMSE: 0.8573630, NOVELTY: 0.0050989, AVERAGE_POPULARITY: 0.7183478, DIVERSITY_MEAN_INTER_LIST: 0.8017538, DIVERSITY_HERFINDAHL: 0.9801715, COVERAGE_ITEM: 0.1109489, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0485380, SHANNON_ENTROPY: 6.5673715, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0595156, PRECISION: 0.0102107, PRECISION_RECALL_MIN_DEN: 0.0340356, RECALL: 0.0340356, MAP: 0.0148439, MRR: 0.0412798, NDCG: 0.0265711, F1: 0.0157087, HIT_RATE: 0.1021067, ARHR: 0.0428733, RMSE: 2.5736910, NOVELTY: 0.0054833, AVERAGE_POPULARITY: 0.5544143, DIVERSITY_MEAN_INTER_LIST: 0.9080321, DIVERSITY_HERFINDAHL: 0.9907988, COVERAGE_ITEM: 0.3496621, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1042020, SHANNON_ENTROPY: 8.6156287, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0168189, PRECISION: 0.0028347, PRECISION_RECALL_MIN_DEN: 0.0094490, RECALL: 0.0094490, MAP: 0.0038882, MRR: 0.0111463, NDCG: 0.0071939, F1: 0.0043611, HIT_RATE: 0.0283469, ARHR: 0.0113975, RMSE: 0.9978191, NOVELTY: 0.0062769, AVERAGE_POPULARITY: 0.1440228, DIVERSITY_MEAN_INTER_LIST: 0.8910864, DIVERSITY_HERFINDAHL: 0.9891043, COVERAGE_ITEM: 0.5856718, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1915747, SHANNON_ENTROPY: 9.8030672, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0393298, PRECISION: 0.0068312, PRECISION_RECALL_MIN_DEN: 0.0227707, RECALL: 0.0227707, MAP: 0.0090834, MRR: 0.0259530, NDCG: 0.0170113, F1: 0.0105096, HIT_RATE: 0.0683122, ARHR: 0.0265895, RMSE: 4.8279958, NOVELTY: 0.0056499, AVERAGE_POPULARITY: 0.5186774, DIVERSITY_MEAN_INTER_LIST: 0.9096520, DIVERSITY_HERFINDAHL: 0.9909608, COVERAGE_ITEM: 0.2871046, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1464422, SHANNON_ENTROPY: 8.8976384, 
SearchBayesianSkopt: New best config found. Config 8: {'topK': 895, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0807420, PRECISION: 0.0135805, PRECISION_RECALL_MIN_DEN: 0.0452683, RECALL: 0.0452683, MAP: 0.0202961, MRR: 0.0566194, NDCG: 0.0359673, F1: 0.0208931, HIT_RATE: 0.1358048, ARHR: 0.0587158, RMSE: 0.9111784, NOVELTY: 0.0051101, AVERAGE_POPULARITY: 0.7111461, DIVERSITY_MEAN_INTER_LIST: 0.8061833, DIVERSITY_HERFINDAHL: 0.9806144, COVERAGE_ITEM: 0.1028386, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0520232, SHANNON_ENTROPY: 6.6216081, 
SearchBayesianSkopt: New best config found. Config 9: {'topK': 986, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0812596, PRECISION: 0.0137540, PRECISION_RECALL_MIN_DEN: 0.0458468, RECALL: 0.0458468, MAP: 0.0204439, MRR: 0.0570822, NDCG: 0.0363143, F1: 0.0211601, HIT_RATE: 0.1375404, ARHR: 0.0591742, RMSE: 0.9067562, NOVELTY: 0.0050936, AVERAGE_POPULARITY: 0.7210894, DIVERSITY_MEAN_INTER_LIST: 0.7953305, DIVERSITY_HERFINDAHL: 0.9795292, COVERAGE_ITEM: 0.0995945, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0499577, SHANNON_ENTROPY: 6.5175016, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.8484918729463775, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0755909, PRECISION: 0.0126934, PRECISION_RECALL_MIN_DEN: 0.0423115, RECALL: 0.0423115, MAP: 0.0195405, MRR: 0.0543761, NDCG: 0.0341793, F1: 0.0195284, HIT_RATE: 0.1269344, ARHR: 0.0564640, RMSE: 0.9150102, NOVELTY: 0.0051595, AVERAGE_POPULARITY: 0.6780289, DIVERSITY_MEAN_INTER_LIST: 0.8277216, DIVERSITY_HERFINDAHL: 0.9827682, COVERAGE_ITEM: 0.0902406, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0661003, SHANNON_ENTROPY: 6.8583420, 
