SearchBayesianSkopt: New best config found. Config 0: {'topK': 683, 'shrink': 508, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0770832, PRECISION: 0.0130743, PRECISION_RECALL_MIN_DEN: 0.0435810, RECALL: 0.0435810, MAP: 0.0197242, MRR: 0.0548215, NDCG: 0.0347731, F1: 0.0201143, HIT_RATE: 0.1307429, ARHR: 0.0569661, RMSE: 0.8573943, NOVELTY: 0.0052083, AVERAGE_POPULARITY: 0.6627866, DIVERSITY_MEAN_INTER_LIST: 0.8437036, DIVERSITY_HERFINDAHL: 0.9843663, COVERAGE_ITEM: 0.1178156, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0676047, SHANNON_ENTROPY: 7.1427958, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 224, 'shrink': 749, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0705211, PRECISION: 0.0119125, PRECISION_RECALL_MIN_DEN: 0.0397082, RECALL: 0.0397082, MAP: 0.0179288, MRR: 0.0498152, NDCG: 0.0316373, F1: 0.0183268, HIT_RATE: 0.1191245, ARHR: 0.0517616, RMSE: 0.9543601, NOVELTY: 0.0053955, AVERAGE_POPULARITY: 0.5682765, DIVERSITY_MEAN_INTER_LIST: 0.9142869, DIVERSITY_HERFINDAHL: 0.9914243, COVERAGE_ITEM: 0.1577183, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0981789, SHANNON_ENTROPY: 8.1351885, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 342, 'shrink': 179, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0552297, PRECISION: 0.0091019, PRECISION_RECALL_MIN_DEN: 0.0303396, RECALL: 0.0303396, MAP: 0.0135427, MRR: 0.0384319, NDCG: 0.0241703, F1: 0.0140029, HIT_RATE: 0.0910187, ARHR: 0.0395212, RMSE: 1.5220075, NOVELTY: 0.0057706, AVERAGE_POPULARITY: 0.4471904, DIVERSITY_MEAN_INTER_LIST: 0.9464701, DIVERSITY_HERFINDAHL: 0.9946425, COVERAGE_ITEM: 0.3882130, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1513233, SHANNON_ENTROPY: 9.4911864, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 153, 'shrink': 151, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0393104, PRECISION: 0.0065612, PRECISION_RECALL_MIN_DEN: 0.0218708, RECALL: 0.0218708, MAP: 0.0094736, MRR: 0.0271972, NDCG: 0.0171598, F1: 0.0100942, HIT_RATE: 0.0656125, ARHR: 0.0278039, RMSE: 1.3323911, NOVELTY: 0.0060233, AVERAGE_POPULARITY: 0.3440940, DIVERSITY_MEAN_INTER_LIST: 0.9635359, DIVERSITY_HERFINDAHL: 0.9963489, COVERAGE_ITEM: 0.4896999, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1730153, SHANNON_ENTROPY: 10.1125104, 
SearchBayesianSkopt: New best config found. Config 4: {'topK': 920, 'shrink': 288, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0782247, PRECISION: 0.0132189, PRECISION_RECALL_MIN_DEN: 0.0440631, RECALL: 0.0440631, MAP: 0.0197646, MRR: 0.0552944, NDCG: 0.0350412, F1: 0.0203368, HIT_RATE: 0.1321892, ARHR: 0.0572625, RMSE: 0.8595592, NOVELTY: 0.0051309, AVERAGE_POPULARITY: 0.6992249, DIVERSITY_MEAN_INTER_LIST: 0.8140478, DIVERSITY_HERFINDAHL: 0.9814009, COVERAGE_ITEM: 0.0962422, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0602195, SHANNON_ENTROPY: 6.7566765, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 1000, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0804824, PRECISION: 0.0135949, PRECISION_RECALL_MIN_DEN: 0.0453165, RECALL: 0.0453165, MAP: 0.0203676, MRR: 0.0568232, NDCG: 0.0360489, F1: 0.0209153, HIT_RATE: 0.1359495, ARHR: 0.0589250, RMSE: 0.9072397, NOVELTY: 0.0050972, AVERAGE_POPULARITY: 0.7185260, DIVERSITY_MEAN_INTER_LIST: 0.7977489, DIVERSITY_HERFINDAHL: 0.9797710, COVERAGE_ITEM: 0.0970533, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0513612, SHANNON_ENTROPY: 6.5385272, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0674084, PRECISION: 0.0115557, PRECISION_RECALL_MIN_DEN: 0.0385190, RECALL: 0.0385190, MAP: 0.0166296, MRR: 0.0470071, NDCG: 0.0300171, F1: 0.0177780, HIT_RATE: 0.1155571, ARHR: 0.0484275, RMSE: 0.9842483, NOVELTY: 0.0050585, AVERAGE_POPULARITY: 0.7356853, DIVERSITY_MEAN_INTER_LIST: 0.7870388, DIVERSITY_HERFINDAHL: 0.9787001, COVERAGE_ITEM: 0.0716410, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0525198, SHANNON_ENTROPY: 6.2928942, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0796104, PRECISION: 0.0135805, PRECISION_RECALL_MIN_DEN: 0.0452683, RECALL: 0.0452683, MAP: 0.0199112, MRR: 0.0556278, NDCG: 0.0355643, F1: 0.0208931, HIT_RATE: 0.1358048, ARHR: 0.0576482, RMSE: 0.9035834, NOVELTY: 0.0050777, AVERAGE_POPULARITY: 0.7335216, DIVERSITY_MEAN_INTER_LIST: 0.7792554, DIVERSITY_HERFINDAHL: 0.9779218, COVERAGE_ITEM: 0.1093268, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0457473, SHANNON_ENTROPY: 6.4109049, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0805578, PRECISION: 0.0136094, PRECISION_RECALL_MIN_DEN: 0.0453647, RECALL: 0.0453647, MAP: 0.0203152, MRR: 0.0566369, NDCG: 0.0360113, F1: 0.0209376, HIT_RATE: 0.1360941, ARHR: 0.0587581, RMSE: 0.8829088, NOVELTY: 0.0051185, AVERAGE_POPULARITY: 0.7065775, DIVERSITY_MEAN_INTER_LIST: 0.8073864, DIVERSITY_HERFINDAHL: 0.9807347, COVERAGE_ITEM: 0.0989997, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0554232, SHANNON_ENTROPY: 6.6698972, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 9, 'shrink': 994, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0229013, PRECISION: 0.0036880, PRECISION_RECALL_MIN_DEN: 0.0122933, RECALL: 0.0122933, MAP: 0.0055153, MRR: 0.0158518, NDCG: 0.0098577, F1: 0.0056738, HIT_RATE: 0.0368799, ARHR: 0.0161861, RMSE: 0.9966448, NOVELTY: 0.0062189, AVERAGE_POPULARITY: 0.1951470, DIVERSITY_MEAN_INTER_LIST: 0.9342224, DIVERSITY_HERFINDAHL: 0.9934177, COVERAGE_ITEM: 0.5545823, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1939475, SHANNON_ENTROPY: 10.2137920, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 997, 'shrink': 39, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0641802, PRECISION: 0.0108374, PRECISION_RECALL_MIN_DEN: 0.0361246, RECALL: 0.0361246, MAP: 0.0157301, MRR: 0.0447317, NDCG: 0.0283442, F1: 0.0166729, HIT_RATE: 0.1083739, ARHR: 0.0459389, RMSE: 1.0108780, NOVELTY: 0.0051632, AVERAGE_POPULARITY: 0.6789799, DIVERSITY_MEAN_INTER_LIST: 0.8364533, DIVERSITY_HERFINDAHL: 0.9836413, COVERAGE_ITEM: 0.1546364, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0533717, SHANNON_ENTROPY: 6.9910609, 
