SearchBayesianSkopt: New best config found. Config 0: {'topK': 683, 'shrink': 508, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0669039, PRECISION: 0.0114304, PRECISION_RECALL_MIN_DEN: 0.0381012, RECALL: 0.0381012, MAP: 0.0166291, MRR: 0.0470498, NDCG: 0.0298863, F1: 0.0175852, HIT_RATE: 0.1143036, ARHR: 0.0484454, RMSE: 0.9797306, NOVELTY: 0.0051183, AVERAGE_POPULARITY: 0.6959603, DIVERSITY_MEAN_INTER_LIST: 0.8336768, DIVERSITY_HERFINDAHL: 0.9833637, COVERAGE_ITEM: 0.1052717, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0535699, SHANNON_ENTROPY: 6.7598706, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 659, 'shrink': 221, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0669315, PRECISION: 0.0112520, PRECISION_RECALL_MIN_DEN: 0.0375066, RECALL: 0.0375066, MAP: 0.0166714, MRR: 0.0472150, NDCG: 0.0297512, F1: 0.0173108, HIT_RATE: 0.1125199, ARHR: 0.0485882, RMSE: 0.9624157, NOVELTY: 0.0051227, AVERAGE_POPULARITY: 0.6932146, DIVERSITY_MEAN_INTER_LIST: 0.8362655, DIVERSITY_HERFINDAHL: 0.9836225, COVERAGE_ITEM: 0.1074344, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0538562, SHANNON_ENTROPY: 6.7901723, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 432, 'shrink': 592, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0646783, PRECISION: 0.0110206, PRECISION_RECALL_MIN_DEN: 0.0367353, RECALL: 0.0367353, MAP: 0.0157938, MRR: 0.0448307, NDCG: 0.0285993, F1: 0.0169547, HIT_RATE: 0.1102059, ARHR: 0.0460914, RMSE: 0.9874911, NOVELTY: 0.0052198, AVERAGE_POPULARITY: 0.6374012, DIVERSITY_MEAN_INTER_LIST: 0.8818226, DIVERSITY_HERFINDAHL: 0.9881780, COVERAGE_ITEM: 0.1610165, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0620639, SHANNON_ENTROPY: 7.4337271, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 623, 'shrink': 985, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0670389, PRECISION: 0.0113484, PRECISION_RECALL_MIN_DEN: 0.0378280, RECALL: 0.0378280, MAP: 0.0164339, MRR: 0.0466079, NDCG: 0.0296218, F1: 0.0174591, HIT_RATE: 0.1134841, ARHR: 0.0479349, RMSE: 0.9893105, NOVELTY: 0.0051357, AVERAGE_POPULARITY: 0.6851044, DIVERSITY_MEAN_INTER_LIST: 0.8443478, DIVERSITY_HERFINDAHL: 0.9844307, COVERAGE_ITEM: 0.1153285, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0544400, SHANNON_ENTROPY: 6.8868336, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 155, 'shrink': 193, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0540840, PRECISION: 0.0087837, PRECISION_RECALL_MIN_DEN: 0.0292790, RECALL: 0.0292790, MAP: 0.0130446, MRR: 0.0373480, NDCG: 0.0233653, F1: 0.0135134, HIT_RATE: 0.0878369, ARHR: 0.0382275, RMSE: 0.9867275, NOVELTY: 0.0055778, AVERAGE_POPULARITY: 0.4782420, DIVERSITY_MEAN_INTER_LIST: 0.9537289, DIVERSITY_HERFINDAHL: 0.9953683, COVERAGE_ITEM: 0.3453366, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1051708, SHANNON_ENTROPY: 9.1612981, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 999, 'shrink': 997, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0674021, PRECISION: 0.0115798, PRECISION_RECALL_MIN_DEN: 0.0385994, RECALL: 0.0385994, MAP: 0.0166662, MRR: 0.0471156, NDCG: 0.0300813, F1: 0.0178151, HIT_RATE: 0.1157981, ARHR: 0.0485369, RMSE: 0.9849199, NOVELTY: 0.0050587, AVERAGE_POPULARITY: 0.7355585, DIVERSITY_MEAN_INTER_LIST: 0.7870891, DIVERSITY_HERFINDAHL: 0.9787051, COVERAGE_ITEM: 0.0720735, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0523045, SHANNON_ENTROPY: 6.2944499, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 18, 'shrink': 23, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0278628, PRECISION: 0.0045702, PRECISION_RECALL_MIN_DEN: 0.0152341, RECALL: 0.0152341, MAP: 0.0064432, MRR: 0.0187069, NDCG: 0.0118379, F1: 0.0070311, HIT_RATE: 0.0457022, ARHR: 0.0190103, RMSE: 0.9924772, NOVELTY: 0.0062827, AVERAGE_POPULARITY: 0.2485623, DIVERSITY_MEAN_INTER_LIST: 0.9890242, DIVERSITY_HERFINDAHL: 0.9988977, COVERAGE_ITEM: 0.5377670, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2280268, SHANNON_ENTROPY: 11.2417254, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0653316, PRECISION: 0.0113098, PRECISION_RECALL_MIN_DEN: 0.0376995, RECALL: 0.0376995, MAP: 0.0159015, MRR: 0.0448274, NDCG: 0.0289693, F1: 0.0173998, HIT_RATE: 0.1130984, ARHR: 0.0462446, RMSE: 0.8525153, NOVELTY: 0.0050508, AVERAGE_POPULARITY: 0.7415617, DIVERSITY_MEAN_INTER_LIST: 0.7786434, DIVERSITY_HERFINDAHL: 0.9778606, COVERAGE_ITEM: 0.0673696, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0527324, SHANNON_ENTROPY: 6.2217189, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 998, 'shrink': 50, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0670998, PRECISION: 0.0115412, PRECISION_RECALL_MIN_DEN: 0.0384708, RECALL: 0.0384708, MAP: 0.0165695, MRR: 0.0468166, NDCG: 0.0299305, F1: 0.0177558, HIT_RATE: 0.1154124, ARHR: 0.0482411, RMSE: 0.8799158, NOVELTY: 0.0050487, AVERAGE_POPULARITY: 0.7424304, DIVERSITY_MEAN_INTER_LIST: 0.7778709, DIVERSITY_HERFINDAHL: 0.9777833, COVERAGE_ITEM: 0.0667207, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0519828, SHANNON_ENTROPY: 6.1997619, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 999, 'shrink': 982, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0673997, PRECISION: 0.0115798, PRECISION_RECALL_MIN_DEN: 0.0385994, RECALL: 0.0385994, MAP: 0.0166543, MRR: 0.0470786, NDCG: 0.0300685, F1: 0.0178151, HIT_RATE: 0.1157981, ARHR: 0.0485006, RMSE: 0.9847142, NOVELTY: 0.0050588, AVERAGE_POPULARITY: 0.7355522, DIVERSITY_MEAN_INTER_LIST: 0.7871019, DIVERSITY_HERFINDAHL: 0.9787064, COVERAGE_ITEM: 0.0720735, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0523048, SHANNON_ENTROPY: 6.2945106, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 998, 'shrink': 960, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0674309, PRECISION: 0.0115412, PRECISION_RECALL_MIN_DEN: 0.0384708, RECALL: 0.0384708, MAP: 0.0166474, MRR: 0.0470649, NDCG: 0.0300231, F1: 0.0177558, HIT_RATE: 0.1154124, ARHR: 0.0484833, RMSE: 0.9844132, NOVELTY: 0.0050590, AVERAGE_POPULARITY: 0.7354023, DIVERSITY_MEAN_INTER_LIST: 0.7873124, DIVERSITY_HERFINDAHL: 0.9787274, COVERAGE_ITEM: 0.0722357, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0522733, SHANNON_ENTROPY: 6.2963635, 
