SearchBayesianSkopt: New best config found. Config 0: {'topK': 683, 'shrink': 508, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.3145770609456873, 'tversky_beta': 0.44104919493014305} - results: ROC_AUC: 0.0666009, PRECISION: 0.0113580, PRECISION_RECALL_MIN_DEN: 0.0378602, RECALL: 0.0378602, MAP: 0.0165085, MRR: 0.0466776, NDCG: 0.0296803, F1: 0.0174739, HIT_RATE: 0.1135805, ARHR: 0.0480784, RMSE: 0.9796720, NOVELTY: 0.0051185, AVERAGE_POPULARITY: 0.6957729, DIVERSITY_MEAN_INTER_LIST: 0.8337851, DIVERSITY_HERFINDAHL: 0.9833745, COVERAGE_ITEM: 0.1055961, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0534136, SHANNON_ENTROPY: 6.7604001, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 750, 'shrink': 192, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.6781973416382056, 'tversky_beta': 0.35848317005696023} - results: ROC_AUC: 0.0670157, PRECISION: 0.0115653, PRECISION_RECALL_MIN_DEN: 0.0385512, RECALL: 0.0385512, MAP: 0.0164526, MRR: 0.0466828, NDCG: 0.0298684, F1: 0.0177928, HIT_RATE: 0.1156535, ARHR: 0.0479975, RMSE: 0.9509454, NOVELTY: 0.0051020, AVERAGE_POPULARITY: 0.7065124, DIVERSITY_MEAN_INTER_LIST: 0.8222743, DIVERSITY_HERFINDAHL: 0.9822235, COVERAGE_ITEM: 0.0973777, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0521235, SHANNON_ENTROPY: 6.6358375, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 623, 'shrink': 985, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.30249069263945333, 'tversky_beta': 0.3858505608836943} - results: ROC_AUC: 0.0669495, PRECISION: 0.0113532, PRECISION_RECALL_MIN_DEN: 0.0378441, RECALL: 0.0378441, MAP: 0.0164465, MRR: 0.0466496, NDCG: 0.0296382, F1: 0.0174665, HIT_RATE: 0.1135323, ARHR: 0.0479746, RMSE: 0.9887173, NOVELTY: 0.0051356, AVERAGE_POPULARITY: 0.6851447, DIVERSITY_MEAN_INTER_LIST: 0.8443632, DIVERSITY_HERFINDAHL: 0.9844322, COVERAGE_ITEM: 0.1153825, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0543949, SHANNON_ENTROPY: 6.8863051, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 946, 'shrink': 798, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.6083819443559705, 'tversky_beta': 0.4584181134699653} - results: ROC_AUC: 0.0675264, PRECISION: 0.0114448, PRECISION_RECALL_MIN_DEN: 0.0381494, RECALL: 0.0381494, MAP: 0.0166572, MRR: 0.0471386, NDCG: 0.0299429, F1: 0.0176074, HIT_RATE: 0.1144482, ARHR: 0.0485342, RMSE: 0.9816425, NOVELTY: 0.0050666, AVERAGE_POPULARITY: 0.7301718, DIVERSITY_MEAN_INTER_LIST: 0.7941118, DIVERSITY_HERFINDAHL: 0.9794074, COVERAGE_ITEM: 0.0763990, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0520595, SHANNON_ENTROPY: 6.3582046, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 782, 'shrink': 253, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.0668060614812689, 'tversky_beta': 0.9009314115648939} - results: ROC_AUC: 0.0666399, PRECISION: 0.0113484, PRECISION_RECALL_MIN_DEN: 0.0378280, RECALL: 0.0378280, MAP: 0.0162374, MRR: 0.0460931, NDCG: 0.0294241, F1: 0.0174591, HIT_RATE: 0.1134841, ARHR: 0.0473802, RMSE: 0.9559491, NOVELTY: 0.0050939, AVERAGE_POPULARITY: 0.7117388, DIVERSITY_MEAN_INTER_LIST: 0.8168561, DIVERSITY_HERFINDAHL: 0.9816817, COVERAGE_ITEM: 0.0919167, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0523662, SHANNON_ENTROPY: 6.5781274, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 41, 'shrink': 53, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.986603915885746, 'tversky_beta': 1.8698440075880753} - results: ROC_AUC: 0.0390363, PRECISION: 0.0063781, PRECISION_RECALL_MIN_DEN: 0.0212602, RECALL: 0.0212602, MAP: 0.0094146, MRR: 0.0271100, NDCG: 0.0169202, F1: 0.0098124, HIT_RATE: 0.0637806, ARHR: 0.0276608, RMSE: 0.9920224, NOVELTY: 0.0059565, AVERAGE_POPULARITY: 0.3426691, DIVERSITY_MEAN_INTER_LIST: 0.9815529, DIVERSITY_HERFINDAHL: 0.9981506, COVERAGE_ITEM: 0.4597999, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1679998, SHANNON_ENTROPY: 10.4641124, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.0, 'tversky_beta': 0.0} - results: ROC_AUC: 0.0049414, PRECISION: 0.0009353, PRECISION_RECALL_MIN_DEN: 0.0031175, RECALL: 0.0031175, MAP: 0.0010408, MRR: 0.0030283, NDCG: 0.0021191, F1: 0.0014389, HIT_RATE: 0.0093526, ARHR: 0.0030714, RMSE: 1.0143025, NOVELTY: 0.0063912, AVERAGE_POPULARITY: 0.0613142, DIVERSITY_MEAN_INTER_LIST: 0.6778682, DIVERSITY_HERFINDAHL: 0.9677836, COVERAGE_ITEM: 0.5556096, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1630896, SHANNON_ENTROPY: 7.9965440, 
SearchBayesianSkopt: New best config found. Config 7: {'topK': 1000, 'shrink': 1000, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 2.0, 'tversky_beta': 2.0} - results: ROC_AUC: 0.0678801, PRECISION: 0.0115846, PRECISION_RECALL_MIN_DEN: 0.0386154, RECALL: 0.0386154, MAP: 0.0168103, MRR: 0.0475252, NDCG: 0.0302393, F1: 0.0178225, HIT_RATE: 0.1158463, ARHR: 0.0489576, RMSE: 0.9858434, NOVELTY: 0.0050584, AVERAGE_POPULARITY: 0.7357214, DIVERSITY_MEAN_INTER_LIST: 0.7868353, DIVERSITY_HERFINDAHL: 0.9786797, COVERAGE_ITEM: 0.0714788, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0525136, SHANNON_ENTROPY: 6.2915622, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 2.0, 'tversky_beta': 2.0} - results: ROC_AUC: 0.0647499, PRECISION: 0.0111459, PRECISION_RECALL_MIN_DEN: 0.0371531, RECALL: 0.0371531, MAP: 0.0156403, MRR: 0.0441035, NDCG: 0.0285260, F1: 0.0171476, HIT_RATE: 0.1114593, ARHR: 0.0454891, RMSE: 0.8527932, NOVELTY: 0.0050657, AVERAGE_POPULARITY: 0.7331672, DIVERSITY_MEAN_INTER_LIST: 0.7888448, DIVERSITY_HERFINDAHL: 0.9788807, COVERAGE_ITEM: 0.0761287, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0515205, SHANNON_ENTROPY: 6.3211507, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 996, 'shrink': 855, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.9103892003386196, 'tversky_beta': 0.10608984215920517} - results: ROC_AUC: 0.0677311, PRECISION: 0.0115798, PRECISION_RECALL_MIN_DEN: 0.0385994, RECALL: 0.0385994, MAP: 0.0167317, MRR: 0.0473142, NDCG: 0.0301547, F1: 0.0178151, HIT_RATE: 0.1157981, ARHR: 0.0487342, RMSE: 0.9830625, NOVELTY: 0.0050590, AVERAGE_POPULARITY: 0.7353907, DIVERSITY_MEAN_INTER_LIST: 0.7870729, DIVERSITY_HERFINDAHL: 0.9787035, COVERAGE_ITEM: 0.0718573, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0524341, SHANNON_ENTROPY: 6.2953593, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.0, 'tversky_beta': 2.0} - results: ROC_AUC: 0.0676447, PRECISION: 0.0114882, PRECISION_RECALL_MIN_DEN: 0.0382940, RECALL: 0.0382940, MAP: 0.0166836, MRR: 0.0472250, NDCG: 0.0300170, F1: 0.0176742, HIT_RATE: 0.1148821, ARHR: 0.0486153, RMSE: 0.9845120, NOVELTY: 0.0050632, AVERAGE_POPULARITY: 0.7330012, DIVERSITY_MEAN_INTER_LIST: 0.7901825, DIVERSITY_HERFINDAHL: 0.9790144, COVERAGE_ITEM: 0.0770479, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0513539, SHANNON_ENTROPY: 6.3349421, 
