SearchBayesianSkopt: New best config found. Config 0: {'topK': 599, 'shrink': 803, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.1959231163951964, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0293178, PRECISION: 0.0054958, PRECISION_RECALL_MIN_DEN: 0.0183194, RECALL: 0.0183194, MAP: 0.0061681, MRR: 0.0179698, NDCG: 0.0125212, F1: 0.0084551, HIT_RATE: 0.0549583, ARHR: 0.0182370, RMSE: 0.9927595, NOVELTY: 0.0052517, AVERAGE_POPULARITY: 0.5796180, DIVERSITY_MEAN_INTER_LIST: 0.8194680, DIVERSITY_HERFINDAHL: 0.9819429, COVERAGE_ITEM: 0.0346039, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0939585, SHANNON_ENTROPY: 6.2878588, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 436, 'shrink': 531, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.6499410272929997, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0271303, PRECISION: 0.0050909, PRECISION_RECALL_MIN_DEN: 0.0169696, RECALL: 0.0169696, MAP: 0.0057707, MRR: 0.0167998, NDCG: 0.0116594, F1: 0.0078321, HIT_RATE: 0.0509087, ARHR: 0.0170559, RMSE: 0.9691822, NOVELTY: 0.0053444, AVERAGE_POPULARITY: 0.5038889, DIVERSITY_MEAN_INTER_LIST: 0.8176374, DIVERSITY_HERFINDAHL: 0.9817598, COVERAGE_ITEM: 0.0221141, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1400305, SHANNON_ENTROPY: 6.2461473, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 755, 'shrink': 317, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.7805766972409625, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0350604, PRECISION: 0.0066625, PRECISION_RECALL_MIN_DEN: 0.0222083, RECALL: 0.0222083, MAP: 0.0074394, MRR: 0.0216311, NDCG: 0.0151269, F1: 0.0102500, HIT_RATE: 0.0666249, ARHR: 0.0219747, RMSE: 0.9235798, NOVELTY: 0.0051083, AVERAGE_POPULARITY: 0.6966577, DIVERSITY_MEAN_INTER_LIST: 0.7779571, DIVERSITY_HERFINDAHL: 0.9777920, COVERAGE_ITEM: 0.0210868, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1257321, SHANNON_ENTROPY: 6.0198037, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 119, 'shrink': 373, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.5642451314830944, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0128484, PRECISION: 0.0024249, PRECISION_RECALL_MIN_DEN: 0.0080830, RECALL: 0.0080830, MAP: 0.0027805, MRR: 0.0080865, NDCG: 0.0055816, F1: 0.0037306, HIT_RATE: 0.0242491, ARHR: 0.0082140, RMSE: 0.9966472, NOVELTY: 0.0056771, AVERAGE_POPULARITY: 0.2791269, DIVERSITY_MEAN_INTER_LIST: 0.7693975, DIVERSITY_HERFINDAHL: 0.9769360, COVERAGE_ITEM: 0.1233847, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0574481, SHANNON_ENTROPY: 6.7178497, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 68, 'shrink': 656, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.2823293689423066, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0112434, PRECISION: 0.0021549, PRECISION_RECALL_MIN_DEN: 0.0071831, RECALL: 0.0071831, MAP: 0.0023059, MRR: 0.0067206, NDCG: 0.0047888, F1: 0.0033153, HIT_RATE: 0.0215494, ARHR: 0.0068164, RMSE: 0.9956384, NOVELTY: 0.0057808, AVERAGE_POPULARITY: 0.2120685, DIVERSITY_MEAN_INTER_LIST: 0.7207412, DIVERSITY_HERFINDAHL: 0.9720706, COVERAGE_ITEM: 0.1309543, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0651144, SHANNON_ENTROPY: 6.6597377, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 1000, 'shrink': 0, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0394608, PRECISION: 0.0075061, PRECISION_RECALL_MIN_DEN: 0.0250205, RECALL: 0.0250205, MAP: 0.0083682, MRR: 0.0243895, NDCG: 0.0170359, F1: 0.0115479, HIT_RATE: 0.0750615, ARHR: 0.0247471, RMSE: 6.2430352, NOVELTY: 0.0050278, AVERAGE_POPULARITY: 0.7583367, DIVERSITY_MEAN_INTER_LIST: 0.7382940, DIVERSITY_HERFINDAHL: 0.9738258, COVERAGE_ITEM: 0.0328737, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0745018, SHANNON_ENTROPY: 5.8385792, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 992, 'shrink': 983, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.2740449197258173, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0384146, PRECISION: 0.0072988, PRECISION_RECALL_MIN_DEN: 0.0243295, RECALL: 0.0243295, MAP: 0.0081417, MRR: 0.0236226, NDCG: 0.0165556, F1: 0.0112290, HIT_RATE: 0.0729885, ARHR: 0.0240238, RMSE: 0.9669940, NOVELTY: 0.0050144, AVERAGE_POPULARITY: 0.7682310, DIVERSITY_MEAN_INTER_LIST: 0.7261408, DIVERSITY_HERFINDAHL: 0.9726106, COVERAGE_ITEM: 0.0217897, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0984656, SHANNON_ENTROPY: 5.6877527, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 993, 'shrink': 25, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.8542117501846085, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0333526, PRECISION: 0.0063491, PRECISION_RECALL_MIN_DEN: 0.0211638, RECALL: 0.0211638, MAP: 0.0071174, MRR: 0.0207023, NDCG: 0.0144420, F1: 0.0097679, HIT_RATE: 0.0634913, ARHR: 0.0210273, RMSE: 0.8559639, NOVELTY: 0.0051348, AVERAGE_POPULARITY: 0.6704184, DIVERSITY_MEAN_INTER_LIST: 0.7753124, DIVERSITY_HERFINDAHL: 0.9775275, COVERAGE_ITEM: 0.0190322, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1363931, SHANNON_ENTROPY: 5.9884808, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0387222, PRECISION: 0.0072940, PRECISION_RECALL_MIN_DEN: 0.0243134, RECALL: 0.0243134, MAP: 0.0082014, MRR: 0.0237587, NDCG: 0.0166136, F1: 0.0112216, HIT_RATE: 0.0729403, ARHR: 0.0241815, RMSE: 0.9676556, NOVELTY: 0.0050081, AVERAGE_POPULARITY: 0.7706770, DIVERSITY_MEAN_INTER_LIST: 0.7202661, DIVERSITY_HERFINDAHL: 0.9720231, COVERAGE_ITEM: 0.0155718, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1299226, SHANNON_ENTROPY: 5.6252309, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 998, 'shrink': 11, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9205892436890069, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0356747, PRECISION: 0.0066818, PRECISION_RECALL_MIN_DEN: 0.0222726, RECALL: 0.0222726, MAP: 0.0075675, MRR: 0.0218863, NDCG: 0.0152735, F1: 0.0102796, HIT_RATE: 0.0668177, ARHR: 0.0222944, RMSE: 2.1100194, NOVELTY: 0.0051169, AVERAGE_POPULARITY: 0.6811084, DIVERSITY_MEAN_INTER_LIST: 0.7579216, DIVERSITY_HERFINDAHL: 0.9757885, COVERAGE_ITEM: 0.0140038, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1619004, SHANNON_ENTROPY: 5.7951371, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 12, 'shrink': 72, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.996697910748017, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0024101, PRECISION: 0.0004580, PRECISION_RECALL_MIN_DEN: 0.0015266, RECALL: 0.0015266, MAP: 0.0004900, MRR: 0.0014314, NDCG: 0.0010185, F1: 0.0007046, HIT_RATE: 0.0045799, ARHR: 0.0014507, RMSE: 0.9949545, NOVELTY: 0.0059581, AVERAGE_POPULARITY: 0.0585777, DIVERSITY_MEAN_INTER_LIST: 0.4569643, DIVERSITY_HERFINDAHL: 0.9456942, COVERAGE_ITEM: 0.1863747, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0437925, SHANNON_ENTROPY: 5.3429070, 
