SearchBayesianSkopt: New best config found. Config 0: {'topK': 599, 'shrink': 803, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0326954, PRECISION: 0.0062672, PRECISION_RECALL_MIN_DEN: 0.0208906, RECALL: 0.0208906, MAP: 0.0070383, MRR: 0.0203733, NDCG: 0.0142506, F1: 0.0096418, HIT_RATE: 0.0626717, ARHR: 0.0207440, RMSE: 0.9725688, NOVELTY: 0.0051668, AVERAGE_POPULARITY: 0.6411681, DIVERSITY_MEAN_INTER_LIST: 0.8077022, DIVERSITY_HERFINDAHL: 0.9807663, COVERAGE_ITEM: 0.0294674, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1007461, SHANNON_ENTROPY: 6.1790343, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 132, 'shrink': 433, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0133405, PRECISION: 0.0025020, PRECISION_RECALL_MIN_DEN: 0.0083402, RECALL: 0.0083402, MAP: 0.0027682, MRR: 0.0081116, NDCG: 0.0056663, F1: 0.0038493, HIT_RATE: 0.0250205, ARHR: 0.0082081, RMSE: 0.9877188, NOVELTY: 0.0056653, AVERAGE_POPULARITY: 0.2706812, DIVERSITY_MEAN_INTER_LIST: 0.7374337, DIVERSITY_HERFINDAHL: 0.9737398, COVERAGE_ITEM: 0.0959178, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0542554, SHANNON_ENTROPY: 6.4008857, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 826, 'shrink': 858, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0359760, PRECISION: 0.0067396, PRECISION_RECALL_MIN_DEN: 0.0224654, RECALL: 0.0224654, MAP: 0.0077083, MRR: 0.0224087, NDCG: 0.0155001, F1: 0.0103687, HIT_RATE: 0.0673962, ARHR: 0.0227668, RMSE: 0.9910632, NOVELTY: 0.0050703, AVERAGE_POPULARITY: 0.7228154, DIVERSITY_MEAN_INTER_LIST: 0.7702243, DIVERSITY_HERFINDAHL: 0.9770187, COVERAGE_ITEM: 0.0286564, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0975407, SHANNON_ENTROPY: 6.0535514, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 867, 'shrink': 890, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0372488, PRECISION: 0.0070964, PRECISION_RECALL_MIN_DEN: 0.0236546, RECALL: 0.0236546, MAP: 0.0078961, MRR: 0.0228817, NDCG: 0.0160704, F1: 0.0109175, HIT_RATE: 0.0709637, ARHR: 0.0232850, RMSE: 0.9672877, NOVELTY: 0.0050563, AVERAGE_POPULARITY: 0.7365820, DIVERSITY_MEAN_INTER_LIST: 0.7563975, DIVERSITY_HERFINDAHL: 0.9756361, COVERAGE_ITEM: 0.0328737, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0789449, SHANNON_ENTROPY: 5.9390179, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 332, 'shrink': 921, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0265625, PRECISION: 0.0049077, PRECISION_RECALL_MIN_DEN: 0.0163589, RECALL: 0.0163589, MAP: 0.0055693, MRR: 0.0162628, NDCG: 0.0112591, F1: 0.0075503, HIT_RATE: 0.0490768, ARHR: 0.0164854, RMSE: 0.9963158, NOVELTY: 0.0053535, AVERAGE_POPULARITY: 0.5145219, DIVERSITY_MEAN_INTER_LIST: 0.8550683, DIVERSITY_HERFINDAHL: 0.9855027, COVERAGE_ITEM: 0.0634225, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0747508, SHANNON_ENTROPY: 6.7502841, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 1000, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0386302, PRECISION: 0.0073181, PRECISION_RECALL_MIN_DEN: 0.0243938, RECALL: 0.0243938, MAP: 0.0081736, MRR: 0.0237418, NDCG: 0.0166168, F1: 0.0112587, HIT_RATE: 0.0731813, ARHR: 0.0241313, RMSE: 0.9673600, NOVELTY: 0.0050127, AVERAGE_POPULARITY: 0.7694021, DIVERSITY_MEAN_INTER_LIST: 0.7248050, DIVERSITY_HERFINDAHL: 0.9724770, COVERAGE_ITEM: 0.0215193, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0989020, SHANNON_ENTROPY: 5.6771299, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0365572, PRECISION: 0.0069807, PRECISION_RECALL_MIN_DEN: 0.0232689, RECALL: 0.0232689, MAP: 0.0078293, MRR: 0.0226656, NDCG: 0.0158643, F1: 0.0107395, HIT_RATE: 0.0698067, ARHR: 0.0230767, RMSE: 42.4542913, NOVELTY: 0.0050798, AVERAGE_POPULARITY: 0.7140823, DIVERSITY_MEAN_INTER_LIST: 0.7511147, DIVERSITY_HERFINDAHL: 0.9751078, COVERAGE_ITEM: 0.0246012, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0956769, SHANNON_ENTROPY: 5.8347892, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0362904, PRECISION: 0.0067878, PRECISION_RECALL_MIN_DEN: 0.0226261, RECALL: 0.0226261, MAP: 0.0077142, MRR: 0.0224777, NDCG: 0.0155642, F1: 0.0104428, HIT_RATE: 0.0678783, ARHR: 0.0228101, RMSE: 11.1059581, NOVELTY: 0.0050684, AVERAGE_POPULARITY: 0.7218472, DIVERSITY_MEAN_INTER_LIST: 0.7581190, DIVERSITY_HERFINDAHL: 0.9758082, COVERAGE_ITEM: 0.0234117, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1104892, SHANNON_ENTROPY: 5.9524472, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 30, 'shrink': 14, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0062474, PRECISION: 0.0012149, PRECISION_RECALL_MIN_DEN: 0.0040496, RECALL: 0.0040496, MAP: 0.0012555, MRR: 0.0037409, NDCG: 0.0026634, F1: 0.0018690, HIT_RATE: 0.0121487, ARHR: 0.0037537, RMSE: 0.9885076, NOVELTY: 0.0058967, AVERAGE_POPULARITY: 0.1188105, DIVERSITY_MEAN_INTER_LIST: 0.5871017, DIVERSITY_HERFINDAHL: 0.9587073, COVERAGE_ITEM: 0.1663152, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0544599, SHANNON_ENTROPY: 6.0592979, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 992, 'shrink': 18, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0384976, PRECISION: 0.0073278, PRECISION_RECALL_MIN_DEN: 0.0244259, RECALL: 0.0244259, MAP: 0.0081267, MRR: 0.0236340, NDCG: 0.0165801, F1: 0.0112735, HIT_RATE: 0.0732777, ARHR: 0.0240071, RMSE: 1.4045758, NOVELTY: 0.0050145, AVERAGE_POPULARITY: 0.7680369, DIVERSITY_MEAN_INTER_LIST: 0.7262997, DIVERSITY_HERFINDAHL: 0.9726265, COVERAGE_ITEM: 0.0217897, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0984736, SHANNON_ENTROPY: 5.6884445, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 999, 'shrink': 995, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0362860, PRECISION: 0.0068360, PRECISION_RECALL_MIN_DEN: 0.0227868, RECALL: 0.0227868, MAP: 0.0077431, MRR: 0.0225661, NDCG: 0.0156432, F1: 0.0105170, HIT_RATE: 0.0683604, ARHR: 0.0228978, RMSE: 0.9909156, NOVELTY: 0.0050678, AVERAGE_POPULARITY: 0.7221655, DIVERSITY_MEAN_INTER_LIST: 0.7576688, DIVERSITY_HERFINDAHL: 0.9757632, COVERAGE_ITEM: 0.0232495, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1108073, SHANNON_ENTROPY: 5.9473312, 
