SearchBayesianSkopt: New best config found. Config 0: {'topK': 599, 'shrink': 803, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.1959231163951964, 'tversky_beta': 0.2543558371747548} - results: ROC_AUC: 0.0325434, PRECISION: 0.0060743, PRECISION_RECALL_MIN_DEN: 0.0202478, RECALL: 0.0202478, MAP: 0.0069195, MRR: 0.0200993, NDCG: 0.0139409, F1: 0.0093451, HIT_RATE: 0.0607434, ARHR: 0.0204290, RMSE: 0.9927815, NOVELTY: 0.0051641, AVERAGE_POPULARITY: 0.6512650, DIVERSITY_MEAN_INTER_LIST: 0.8150131, DIVERSITY_HERFINDAHL: 0.9814974, COVERAGE_ITEM: 0.0337388, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1003174, SHANNON_ENTROPY: 6.3512544, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 436, 'shrink': 531, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.6499410272929997, 'tversky_beta': 1.7154818664912734} - results: ROC_AUC: 0.0297974, PRECISION: 0.0056115, PRECISION_RECALL_MIN_DEN: 0.0187051, RECALL: 0.0187051, MAP: 0.0063003, MRR: 0.0182626, NDCG: 0.0127710, F1: 0.0086331, HIT_RATE: 0.0561153, ARHR: 0.0185790, RMSE: 0.9918592, NOVELTY: 0.0052635, AVERAGE_POPULARITY: 0.5813345, DIVERSITY_MEAN_INTER_LIST: 0.8464731, DIVERSITY_HERFINDAHL: 0.9846432, COVERAGE_ITEM: 0.0501757, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0852959, SHANNON_ENTROPY: 6.6432704, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 755, 'shrink': 317, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.7805766972409625, 'tversky_beta': 1.277539135657267} - results: ROC_AUC: 0.0344082, PRECISION: 0.0065227, PRECISION_RECALL_MIN_DEN: 0.0217423, RECALL: 0.0217423, MAP: 0.0073519, MRR: 0.0213340, NDCG: 0.0148731, F1: 0.0100349, HIT_RATE: 0.0652268, ARHR: 0.0216914, RMSE: 0.9779828, NOVELTY: 0.0051106, AVERAGE_POPULARITY: 0.6928440, DIVERSITY_MEAN_INTER_LIST: 0.7892460, DIVERSITY_HERFINDAHL: 0.9789208, COVERAGE_ITEM: 0.0293593, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1023640, SHANNON_ENTROPY: 6.1734258, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 119, 'shrink': 373, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.5642451314830944, 'tversky_beta': 0.5166110111935386} - results: ROC_AUC: 0.0128859, PRECISION: 0.0024201, PRECISION_RECALL_MIN_DEN: 0.0080670, RECALL: 0.0080670, MAP: 0.0027856, MRR: 0.0081017, NDCG: 0.0055830, F1: 0.0037232, HIT_RATE: 0.0242009, ARHR: 0.0082292, RMSE: 0.9966472, NOVELTY: 0.0056772, AVERAGE_POPULARITY: 0.2790753, DIVERSITY_MEAN_INTER_LIST: 0.7694144, DIVERSITY_HERFINDAHL: 0.9769377, COVERAGE_ITEM: 0.1232766, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0574787, SHANNON_ENTROPY: 6.7180115, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 68, 'shrink': 656, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.2823293689423066, 'tversky_beta': 1.7737517963569394} - results: ROC_AUC: 0.0086662, PRECISION: 0.0016102, PRECISION_RECALL_MIN_DEN: 0.0053673, RECALL: 0.0053673, MAP: 0.0018933, MRR: 0.0055034, NDCG: 0.0037565, F1: 0.0024772, HIT_RATE: 0.0161018, ARHR: 0.0055916, RMSE: 0.9989022, NOVELTY: 0.0057943, AVERAGE_POPULARITY: 0.1879659, DIVERSITY_MEAN_INTER_LIST: 0.6713255, DIVERSITY_HERFINDAHL: 0.9671293, COVERAGE_ITEM: 0.1324682, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0532433, SHANNON_ENTROPY: 6.3261303, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 1000, 'shrink': 0, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.0, 'tversky_beta': 0.0} - results: ROC_AUC: 0.0360152, PRECISION: 0.0068505, PRECISION_RECALL_MIN_DEN: 0.0228350, RECALL: 0.0228350, MAP: 0.0076178, MRR: 0.0221775, NDCG: 0.0155211, F1: 0.0105392, HIT_RATE: 0.0685050, ARHR: 0.0225155, RMSE: 6.6476717, NOVELTY: 0.0050634, AVERAGE_POPULARITY: 0.7255369, DIVERSITY_MEAN_INTER_LIST: 0.7532217, DIVERSITY_HERFINDAHL: 0.9753185, COVERAGE_ITEM: 0.0224385, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1113165, SHANNON_ENTROPY: 5.9075024, 
SearchBayesianSkopt: New best config found. Config 6: {'topK': 980, 'shrink': 936, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.720065247722627, 'tversky_beta': 1.9618896315653278} - results: ROC_AUC: 0.0381872, PRECISION: 0.0071060, PRECISION_RECALL_MIN_DEN: 0.0236867, RECALL: 0.0236867, MAP: 0.0081089, MRR: 0.0235601, NDCG: 0.0163238, F1: 0.0109323, HIT_RATE: 0.0710601, ARHR: 0.0239434, RMSE: 0.9905010, NOVELTY: 0.0050250, AVERAGE_POPULARITY: 0.7571622, DIVERSITY_MEAN_INTER_LIST: 0.7402081, DIVERSITY_HERFINDAHL: 0.9740172, COVERAGE_ITEM: 0.0201135, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1170095, SHANNON_ENTROPY: 5.8169588, 
SearchBayesianSkopt: New best config found. Config 7: {'topK': 994, 'shrink': 999, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.1925683872361877, 'tversky_beta': 1.6024139992856163} - results: ROC_AUC: 0.0380815, PRECISION: 0.0071060, PRECISION_RECALL_MIN_DEN: 0.0236867, RECALL: 0.0236867, MAP: 0.0081201, MRR: 0.0235856, NDCG: 0.0163321, F1: 0.0109323, HIT_RATE: 0.0710601, ARHR: 0.0239729, RMSE: 0.9909962, NOVELTY: 0.0050220, AVERAGE_POPULARITY: 0.7596710, DIVERSITY_MEAN_INTER_LIST: 0.7378257, DIVERSITY_HERFINDAHL: 0.9737790, COVERAGE_ITEM: 0.0212490, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1096139, SHANNON_ENTROPY: 5.8001556, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 2.0, 'tversky_beta': 0.0} - results: ROC_AUC: 0.0359844, PRECISION: 0.0068601, PRECISION_RECALL_MIN_DEN: 0.0228672, RECALL: 0.0228672, MAP: 0.0077275, MRR: 0.0225261, NDCG: 0.0156471, F1: 0.0105541, HIT_RATE: 0.0686015, ARHR: 0.0228542, RMSE: 0.9909730, NOVELTY: 0.0050684, AVERAGE_POPULARITY: 0.7217458, DIVERSITY_MEAN_INTER_LIST: 0.7585892, DIVERSITY_HERFINDAHL: 0.9758553, COVERAGE_ITEM: 0.0216815, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1185896, SHANNON_ENTROPY: 5.9491535, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 997, 'shrink': 40, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.8982701232082106, 'tversky_beta': 1.932080380530546} - results: ROC_AUC: 0.0380443, PRECISION: 0.0071060, PRECISION_RECALL_MIN_DEN: 0.0236867, RECALL: 0.0236867, MAP: 0.0081120, MRR: 0.0235754, NDCG: 0.0163252, F1: 0.0109323, HIT_RATE: 0.0710601, ARHR: 0.0239557, RMSE: 0.8463871, NOVELTY: 0.0050212, AVERAGE_POPULARITY: 0.7603744, DIVERSITY_MEAN_INTER_LIST: 0.7370823, DIVERSITY_HERFINDAHL: 0.9737047, COVERAGE_ITEM: 0.0216275, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1073276, SHANNON_ENTROPY: 5.7945931, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 8, 'shrink': 0, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.679038923168829, 'tversky_beta': 0.020950869307879486} - results: ROC_AUC: 0.0015865, PRECISION: 0.0003085, PRECISION_RECALL_MIN_DEN: 0.0010285, RECALL: 0.0010285, MAP: 0.0003249, MRR: 0.0009586, NDCG: 0.0006815, F1: 0.0004747, HIT_RATE: 0.0030854, ARHR: 0.0009667, RMSE: 1.0230049, NOVELTY: 0.0059592, AVERAGE_POPULARITY: 0.0405914, DIVERSITY_MEAN_INTER_LIST: 0.3986332, DIVERSITY_HERFINDAHL: 0.9398614, COVERAGE_ITEM: 0.1632333, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0346693, SHANNON_ENTROPY: 4.9440641, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 956, 'shrink': 5, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.031284495666842334, 'tversky_beta': 1.975321706304097} - results: ROC_AUC: 0.0375967, PRECISION: 0.0070626, PRECISION_RECALL_MIN_DEN: 0.0235421, RECALL: 0.0235421, MAP: 0.0080320, MRR: 0.0233497, NDCG: 0.0161910, F1: 0.0108656, HIT_RATE: 0.0706262, ARHR: 0.0237229, RMSE: 1.4633262, NOVELTY: 0.0050300, AVERAGE_POPULARITY: 0.7529964, DIVERSITY_MEAN_INTER_LIST: 0.7443668, DIVERSITY_HERFINDAHL: 0.9744331, COVERAGE_ITEM: 0.0213571, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1128775, SHANNON_ENTROPY: 5.8498453, 
