SearchBayesianSkopt: New best config found. Config 0: {'topK': 1213, 'shrink': 1859, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.1889773430874098, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0846699, PRECISION: 0.0150412, PRECISION_RECALL_MIN_DEN: 0.0501374, RECALL: 0.0501374, MAP: 0.0204616, MRR: 0.0565736, NDCG: 0.0376208, F1: 0.0231403, HIT_RATE: 0.1504122, ARHR: 0.0589445, RMSE: 1.2990799, NOVELTY: 0.0060755, AVERAGE_POPULARITY: 0.3567097, DIVERSITY_MEAN_INTER_LIST: 0.9743040, DIVERSITY_HERFINDAHL: 0.9974257, COVERAGE_ITEM: 0.4341714, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1869592, SHANNON_ENTROPY: 10.3927409, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 1562, 'shrink': 1625, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.1122746204459184, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0869192, PRECISION: 0.0154703, PRECISION_RECALL_MIN_DEN: 0.0515676, RECALL: 0.0515676, MAP: 0.0209900, MRR: 0.0577857, NDCG: 0.0386010, F1: 0.0238004, HIT_RATE: 0.1547028, ARHR: 0.0603476, RMSE: 1.4583277, NOVELTY: 0.0059608, AVERAGE_POPULARITY: 0.3865305, DIVERSITY_MEAN_INTER_LIST: 0.9682947, DIVERSITY_HERFINDAHL: 0.9968248, COVERAGE_ITEM: 0.3875642, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1758661, SHANNON_ENTROPY: 10.0986843, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 521, 'shrink': 433, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6456365658616515, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0761231, PRECISION: 0.0133587, PRECISION_RECALL_MIN_DEN: 0.0445291, RECALL: 0.0445291, MAP: 0.0184080, MRR: 0.0511136, NDCG: 0.0337004, F1: 0.0205519, HIT_RATE: 0.1335872, ARHR: 0.0531379, RMSE: 1.7575639, NOVELTY: 0.0064131, AVERAGE_POPULARITY: 0.2773495, DIVERSITY_MEAN_INTER_LIST: 0.9863415, DIVERSITY_HERFINDAHL: 0.9986294, COVERAGE_ITEM: 0.5612328, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2284705, SHANNON_ENTROPY: 11.1922331, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 528, 'shrink': 372, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.15386086010125657, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0826867, PRECISION: 0.0148387, PRECISION_RECALL_MIN_DEN: 0.0494625, RECALL: 0.0494625, MAP: 0.0198256, MRR: 0.0548088, NDCG: 0.0367280, F1: 0.0228288, HIT_RATE: 0.1483874, ARHR: 0.0571091, RMSE: 1.3563439, NOVELTY: 0.0062228, AVERAGE_POPULARITY: 0.3091558, DIVERSITY_MEAN_INTER_LIST: 0.9826358, DIVERSITY_HERFINDAHL: 0.9982588, COVERAGE_ITEM: 0.4250338, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2160520, SHANNON_ENTROPY: 10.7429057, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 2848, 'shrink': 329, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.2765902678448606, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0749387, PRECISION: 0.0131611, PRECISION_RECALL_MIN_DEN: 0.0438702, RECALL: 0.0438702, MAP: 0.0180737, MRR: 0.0504847, NDCG: 0.0331800, F1: 0.0202478, HIT_RATE: 0.1316107, ARHR: 0.0523313, RMSE: 1.0565727, NOVELTY: 0.0052179, AVERAGE_POPULARITY: 0.6490415, DIVERSITY_MEAN_INTER_LIST: 0.8521183, DIVERSITY_HERFINDAHL: 0.9852077, COVERAGE_ITEM: 0.0808327, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0861870, SHANNON_ENTROPY: 7.1099519, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 808, 'shrink': 1725, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.2815751758507706, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0807426, PRECISION: 0.0144820, PRECISION_RECALL_MIN_DEN: 0.0482733, RECALL: 0.0482733, MAP: 0.0194078, MRR: 0.0537253, NDCG: 0.0359157, F1: 0.0222800, HIT_RATE: 0.1448199, ARHR: 0.0559373, RMSE: 1.0102255, NOVELTY: 0.0061996, AVERAGE_POPULARITY: 0.3211222, DIVERSITY_MEAN_INTER_LIST: 0.9801750, DIVERSITY_HERFINDAHL: 0.9980128, COVERAGE_ITEM: 0.4389294, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2051930, SHANNON_ENTROPY: 10.6502788, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 64, 'shrink': 303, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.5591073034878226, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0321996, PRECISION: 0.0053030, PRECISION_RECALL_MIN_DEN: 0.0176766, RECALL: 0.0176766, MAP: 0.0078282, MRR: 0.0222179, NDCG: 0.0140150, F1: 0.0081585, HIT_RATE: 0.0530299, ARHR: 0.0228351, RMSE: 1.0329816, NOVELTY: 0.0072532, AVERAGE_POPULARITY: 0.1471897, DIVERSITY_MEAN_INTER_LIST: 0.9965637, DIVERSITY_HERFINDAHL: 0.9996516, COVERAGE_ITEM: 0.7159773, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3890783, SHANNON_ENTROPY: 12.5709061, 
SearchBayesianSkopt: New best config found. Config 7: {'topK': 2142, 'shrink': 880, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.25166428748455943, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0913152, PRECISION: 0.0162754, PRECISION_RECALL_MIN_DEN: 0.0542512, RECALL: 0.0542512, MAP: 0.0223757, MRR: 0.0613701, NDCG: 0.0408690, F1: 0.0250390, HIT_RATE: 0.1627537, ARHR: 0.0642106, RMSE: 1.0110884, NOVELTY: 0.0054056, AVERAGE_POPULARITY: 0.5867950, DIVERSITY_MEAN_INTER_LIST: 0.8876108, DIVERSITY_HERFINDAHL: 0.9887568, COVERAGE_ITEM: 0.2138956, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1041442, SHANNON_ENTROPY: 8.1646043, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 54, 'shrink': 1128, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.826524553515644, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0600938, PRECISION: 0.0101576, PRECISION_RECALL_MIN_DEN: 0.0338588, RECALL: 0.0338588, MAP: 0.0146595, MRR: 0.0407851, NDCG: 0.0263487, F1: 0.0156271, HIT_RATE: 0.1015764, ARHR: 0.0423368, RMSE: 0.9545253, NOVELTY: 0.0069811, AVERAGE_POPULARITY: 0.1613417, DIVERSITY_MEAN_INTER_LIST: 0.9962619, DIVERSITY_HERFINDAHL: 0.9996214, COVERAGE_ITEM: 0.5891322, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3845705, SHANNON_ENTROPY: 12.3340393, 
SearchBayesianSkopt: New best config found. Config 9: {'topK': 1979, 'shrink': 1920, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.8181576128643719, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0942302, PRECISION: 0.0169262, PRECISION_RECALL_MIN_DEN: 0.0564206, RECALL: 0.0564206, MAP: 0.0231772, MRR: 0.0634351, NDCG: 0.0423657, F1: 0.0260403, HIT_RATE: 0.1692619, ARHR: 0.0664420, RMSE: 0.8026166, NOVELTY: 0.0056986, AVERAGE_POPULARITY: 0.4367739, DIVERSITY_MEAN_INTER_LIST: 0.9582515, DIVERSITY_HERFINDAHL: 0.9958205, COVERAGE_ITEM: 0.2273587, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1537147, SHANNON_ENTROPY: 9.3531218, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 2258, 'shrink': 1539, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.9054791645561284, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0908726, PRECISION: 0.0161259, PRECISION_RECALL_MIN_DEN: 0.0537531, RECALL: 0.0537531, MAP: 0.0222279, MRR: 0.0611896, NDCG: 0.0405899, F1: 0.0248091, HIT_RATE: 0.1612592, ARHR: 0.0638990, RMSE: 0.9606707, NOVELTY: 0.0054236, AVERAGE_POPULARITY: 0.5790150, DIVERSITY_MEAN_INTER_LIST: 0.8920392, DIVERSITY_HERFINDAHL: 0.9891996, COVERAGE_ITEM: 0.2186537, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1060019, SHANNON_ENTROPY: 8.2352286, 
