SearchBayesianSkopt: New best config found. Config 0: {'topK': 1213, 'shrink': 1859, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0949823, PRECISION: 0.0169985, PRECISION_RECALL_MIN_DEN: 0.0566617, RECALL: 0.0566617, MAP: 0.0232574, MRR: 0.0636226, NDCG: 0.0425354, F1: 0.0261515, HIT_RATE: 0.1699851, ARHR: 0.0666621, RMSE: 0.8198110, NOVELTY: 0.0058291, AVERAGE_POPULARITY: 0.4062135, DIVERSITY_MEAN_INTER_LIST: 0.9659412, DIVERSITY_HERFINDAHL: 0.9965895, COVERAGE_ITEM: 0.2948905, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1655983, SHANNON_ENTROPY: 9.7635312, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 2204, 'shrink': 1040, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0911826, PRECISION: 0.0163236, PRECISION_RECALL_MIN_DEN: 0.0544119, RECALL: 0.0544119, MAP: 0.0219540, MRR: 0.0603402, NDCG: 0.0405043, F1: 0.0251132, HIT_RATE: 0.1632358, ARHR: 0.0630589, RMSE: 1.5079615, NOVELTY: 0.0057878, AVERAGE_POPULARITY: 0.4277112, DIVERSITY_MEAN_INTER_LIST: 0.9589182, DIVERSITY_HERFINDAHL: 0.9958872, COVERAGE_ITEM: 0.2999189, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1559541, SHANNON_ENTROPY: 9.5899099, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 2392, 'shrink': 1487, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0907435, PRECISION: 0.0162513, PRECISION_RECALL_MIN_DEN: 0.0541709, RECALL: 0.0541709, MAP: 0.0222018, MRR: 0.0610168, NDCG: 0.0406740, F1: 0.0250019, HIT_RATE: 0.1625127, ARHR: 0.0637727, RMSE: 0.9569497, NOVELTY: 0.0053975, AVERAGE_POPULARITY: 0.5907483, DIVERSITY_MEAN_INTER_LIST: 0.8842331, DIVERSITY_HERFINDAHL: 0.9884190, COVERAGE_ITEM: 0.2115166, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1030162, SHANNON_ENTROPY: 8.1239095, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 972, 'shrink': 1518, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0762713, PRECISION: 0.0134166, PRECISION_RECALL_MIN_DEN: 0.0447219, RECALL: 0.0447219, MAP: 0.0179906, MRR: 0.0505077, NDCG: 0.0334241, F1: 0.0206409, HIT_RATE: 0.1341657, ARHR: 0.0522169, RMSE: 0.9778674, NOVELTY: 0.0052055, AVERAGE_POPULARITY: 0.6451430, DIVERSITY_MEAN_INTER_LIST: 0.8684367, DIVERSITY_HERFINDAHL: 0.9868395, COVERAGE_ITEM: 0.0738578, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0978061, SHANNON_ENTROPY: 7.2436855, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 306, 'shrink': 154, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0696104, PRECISION: 0.0118450, PRECISION_RECALL_MIN_DEN: 0.0394832, RECALL: 0.0394832, MAP: 0.0169010, MRR: 0.0472035, NDCG: 0.0305413, F1: 0.0182230, HIT_RATE: 0.1184496, ARHR: 0.0488978, RMSE: 1.6427780, NOVELTY: 0.0060664, AVERAGE_POPULARITY: 0.3636442, DIVERSITY_MEAN_INTER_LIST: 0.9747064, DIVERSITY_HERFINDAHL: 0.9974659, COVERAGE_ITEM: 0.4623952, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1966215, SHANNON_ENTROPY: 10.4880332, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 1455, 'shrink': 1714, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0952085, PRECISION: 0.0168250, PRECISION_RECALL_MIN_DEN: 0.0560832, RECALL: 0.0560832, MAP: 0.0235169, MRR: 0.0646445, NDCG: 0.0426689, F1: 0.0258845, HIT_RATE: 0.1682495, ARHR: 0.0675525, RMSE: 0.9042486, NOVELTY: 0.0053933, AVERAGE_POPULARITY: 0.5786399, DIVERSITY_MEAN_INTER_LIST: 0.8968334, DIVERSITY_HERFINDAHL: 0.9896790, COVERAGE_ITEM: 0.1777237, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1075465, SHANNON_ENTROPY: 8.1680410, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 2588, 'shrink': 752, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0922296, PRECISION: 0.0165453, PRECISION_RECALL_MIN_DEN: 0.0551511, RECALL: 0.0551511, MAP: 0.0222382, MRR: 0.0608579, NDCG: 0.0409972, F1: 0.0254544, HIT_RATE: 0.1654534, ARHR: 0.0637494, RMSE: 1.9687341, NOVELTY: 0.0057295, AVERAGE_POPULARITY: 0.4444783, DIVERSITY_MEAN_INTER_LIST: 0.9550102, DIVERSITY_HERFINDAHL: 0.9954964, COVERAGE_ITEM: 0.2808327, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1489210, SHANNON_ENTROPY: 9.4294467, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 64, 'shrink': 303, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0457159, PRECISION: 0.0077906, PRECISION_RECALL_MIN_DEN: 0.0259686, RECALL: 0.0259686, MAP: 0.0107912, MRR: 0.0304233, NDCG: 0.0198036, F1: 0.0119855, HIT_RATE: 0.0779058, ARHR: 0.0313783, RMSE: 0.9994630, NOVELTY: 0.0061115, AVERAGE_POPULARITY: 0.3157128, DIVERSITY_MEAN_INTER_LIST: 0.9844342, DIVERSITY_HERFINDAHL: 0.9984387, COVERAGE_ITEM: 0.5068938, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1954696, SHANNON_ENTROPY: 10.8443351, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 2217, 'shrink': 1427, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0751499, PRECISION: 0.0131418, PRECISION_RECALL_MIN_DEN: 0.0438059, RECALL: 0.0438059, MAP: 0.0178308, MRR: 0.0501213, NDCG: 0.0329676, F1: 0.0202181, HIT_RATE: 0.1314178, ARHR: 0.0517916, RMSE: 0.9580353, NOVELTY: 0.0050761, AVERAGE_POPULARITY: 0.7271604, DIVERSITY_MEAN_INTER_LIST: 0.7846431, DIVERSITY_HERFINDAHL: 0.9784605, COVERAGE_ITEM: 0.0435793, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0877689, SHANNON_ENTROPY: 6.3886134, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 2326, 'shrink': 305, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0905205, PRECISION: 0.0161259, PRECISION_RECALL_MIN_DEN: 0.0537531, RECALL: 0.0537531, MAP: 0.0220994, MRR: 0.0608662, NDCG: 0.0404546, F1: 0.0248091, HIT_RATE: 0.1612592, ARHR: 0.0635409, RMSE: 2.3028718, NOVELTY: 0.0054197, AVERAGE_POPULARITY: 0.5820637, DIVERSITY_MEAN_INTER_LIST: 0.8897650, DIVERSITY_HERFINDAHL: 0.9889722, COVERAGE_ITEM: 0.2231414, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1049581, SHANNON_ENTROPY: 8.2172308, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 1243, 'shrink': 1188, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0850143, PRECISION: 0.0150123, PRECISION_RECALL_MIN_DEN: 0.0500410, RECALL: 0.0500410, MAP: 0.0204390, MRR: 0.0564773, NDCG: 0.0375689, F1: 0.0230958, HIT_RATE: 0.1501229, ARHR: 0.0588622, RMSE: 1.9380601, NOVELTY: 0.0060715, AVERAGE_POPULARITY: 0.3607260, DIVERSITY_MEAN_INTER_LIST: 0.9731601, DIVERSITY_HERFINDAHL: 0.9973113, COVERAGE_ITEM: 0.4448770, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1849188, SHANNON_ENTROPY: 10.3799131, 
