SearchBayesianSkopt: New best config found. Config 0: {'topK': 2891, 'shrink': 1, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0244374, PRECISION: 0.0042722, PRECISION_RECALL_MIN_DEN: 0.0427215, RECALL: 0.0427215, MAP: 0.0158946, MRR: 0.0158946, NDCG: 0.0220493, F1: 0.0077675, HIT_RATE: 0.0427215, ARHR: 0.0158946, RMSE: 97.3360438, NOVELTY: 0.0050096, AVERAGE_POPULARITY: 0.8164096, DIVERSITY_MEAN_INTER_LIST: 0.6245531, DIVERSITY_HERFINDAHL: 0.9624224, COVERAGE_ITEM: 0.0034063, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4184912, SHANNON_ENTROPY: 5.1024054, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 1932, 'shrink': 1543, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0232068, PRECISION: 0.0041139, PRECISION_RECALL_MIN_DEN: 0.0411392, RECALL: 0.0411392, MAP: 0.0137076, MRR: 0.0137076, NDCG: 0.0200491, F1: 0.0074799, HIT_RATE: 0.0411392, ARHR: 0.0137076, RMSE: 0.9533339, NOVELTY: 0.0049282, AVERAGE_POPULARITY: 0.8289024, DIVERSITY_MEAN_INTER_LIST: 0.6503599, DIVERSITY_HERFINDAHL: 0.9650017, COVERAGE_ITEM: 0.0031901, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4570570, SHANNON_ENTROPY: 5.1222561, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 2152, 'shrink': 1525, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0232654, PRECISION: 0.0045359, PRECISION_RECALL_MIN_DEN: 0.0453586, RECALL: 0.0453586, MAP: 0.0139898, MRR: 0.0139898, NDCG: 0.0211631, F1: 0.0082470, HIT_RATE: 0.0453586, ARHR: 0.0139898, RMSE: 0.7833714, NOVELTY: 0.0049758, AVERAGE_POPULARITY: 0.7892987, DIVERSITY_MEAN_INTER_LIST: 0.7234677, DIVERSITY_HERFINDAHL: 0.9723086, COVERAGE_ITEM: 0.0046499, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4061448, SHANNON_ENTROPY: 5.5248983, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 304, 'shrink': 123, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0118378, PRECISION: 0.0020042, PRECISION_RECALL_MIN_DEN: 0.0200422, RECALL: 0.0200422, MAP: 0.0067412, MRR: 0.0067412, NDCG: 0.0098467, F1: 0.0036440, HIT_RATE: 0.0200422, ARHR: 0.0067412, RMSE: 0.9493709, NOVELTY: 0.0063933, AVERAGE_POPULARITY: 0.3522878, DIVERSITY_MEAN_INTER_LIST: 0.7842752, DIVERSITY_HERFINDAHL: 0.9783862, COVERAGE_ITEM: 0.0367126, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1422039, SHANNON_ENTROPY: 6.6305215, 
SearchBayesianSkopt: New best config found. Config 4: {'topK': 3215, 'shrink': 1381, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0251406, PRECISION: 0.0045359, PRECISION_RECALL_MIN_DEN: 0.0453586, RECALL: 0.0453586, MAP: 0.0159567, MRR: 0.0159567, NDCG: 0.0226940, F1: 0.0082470, HIT_RATE: 0.0453586, ARHR: 0.0159567, RMSE: 0.9288522, NOVELTY: 0.0049100, AVERAGE_POPULARITY: 0.8465303, DIVERSITY_MEAN_INTER_LIST: 0.5871652, DIVERSITY_HERFINDAHL: 0.9586856, COVERAGE_ITEM: 0.0025412, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4909327, SHANNON_ENTROPY: 4.8903574, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 518, 'shrink': 1535, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0131271, PRECISION: 0.0023734, PRECISION_RECALL_MIN_DEN: 0.0237342, RECALL: 0.0237342, MAP: 0.0075037, MRR: 0.0075037, NDCG: 0.0112564, F1: 0.0043153, HIT_RATE: 0.0237342, ARHR: 0.0075037, RMSE: 0.9387940, NOVELTY: 0.0059491, AVERAGE_POPULARITY: 0.4796627, DIVERSITY_MEAN_INTER_LIST: 0.8276696, DIVERSITY_HERFINDAHL: 0.9827233, COVERAGE_ITEM: 0.0215193, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1743901, SHANNON_ENTROPY: 6.4765076, 
SearchBayesianSkopt: New best config found. Config 6: {'topK': 3138, 'shrink': 2966, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0280122, PRECISION: 0.0047468, PRECISION_RECALL_MIN_DEN: 0.0474684, RECALL: 0.0474684, MAP: 0.0166677, MRR: 0.0166677, NDCG: 0.0238489, F1: 0.0086306, HIT_RATE: 0.0474684, ARHR: 0.0166677, RMSE: 0.8744939, NOVELTY: 0.0050438, AVERAGE_POPULARITY: 0.7754212, DIVERSITY_MEAN_INTER_LIST: 0.7019616, DIVERSITY_HERFINDAHL: 0.9701591, COVERAGE_ITEM: 0.0046499, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3963832, SHANNON_ENTROPY: 5.4878231, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 200, 'shrink': 2945, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0080872, PRECISION: 0.0015823, PRECISION_RECALL_MIN_DEN: 0.0158228, RECALL: 0.0158228, MAP: 0.0043889, MRR: 0.0043889, NDCG: 0.0070204, F1: 0.0028769, HIT_RATE: 0.0158228, ARHR: 0.0043889, RMSE: 0.9874756, NOVELTY: 0.0064729, AVERAGE_POPULARITY: 0.3210883, DIVERSITY_MEAN_INTER_LIST: 0.8283097, DIVERSITY_HERFINDAHL: 0.9827873, COVERAGE_ITEM: 0.0504461, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1814880, SHANNON_ENTROPY: 7.2680274, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 782, 'shrink': 2989, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0173465, PRECISION: 0.0033228, PRECISION_RECALL_MIN_DEN: 0.0332278, RECALL: 0.0332278, MAP: 0.0101362, MRR: 0.0101362, NDCG: 0.0154146, F1: 0.0060414, HIT_RATE: 0.0332278, ARHR: 0.0101362, RMSE: 0.9878563, NOVELTY: 0.0052664, AVERAGE_POPULARITY: 0.7071558, DIVERSITY_MEAN_INTER_LIST: 0.7758877, DIVERSITY_HERFINDAHL: 0.9775478, COVERAGE_ITEM: 0.0103271, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2414282, SHANNON_ENTROPY: 5.9359330, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 2091, 'shrink': 2587, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0219175, PRECISION: 0.0037447, PRECISION_RECALL_MIN_DEN: 0.0374473, RECALL: 0.0374473, MAP: 0.0146273, MRR: 0.0146273, NDCG: 0.0198627, F1: 0.0068086, HIT_RATE: 0.0374473, ARHR: 0.0146273, RMSE: 0.9695527, NOVELTY: 0.0050759, AVERAGE_POPULARITY: 0.7901534, DIVERSITY_MEAN_INTER_LIST: 0.6706022, DIVERSITY_HERFINDAHL: 0.9670249, COVERAGE_ITEM: 0.0041633, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3904820, SHANNON_ENTROPY: 5.2951626, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 3878, 'shrink': 505, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0261369, PRECISION: 0.0046941, PRECISION_RECALL_MIN_DEN: 0.0469409, RECALL: 0.0469409, MAP: 0.0154946, MRR: 0.0154946, NDCG: 0.0227586, F1: 0.0085347, HIT_RATE: 0.0469409, ARHR: 0.0154946, RMSE: 0.7437897, NOVELTY: 0.0049628, AVERAGE_POPULARITY: 0.8005830, DIVERSITY_MEAN_INTER_LIST: 0.6710287, DIVERSITY_HERFINDAHL: 0.9670675, COVERAGE_ITEM: 0.0032441, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4873781, SHANNON_ENTROPY: 5.2536041, 
